sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
The hidden offspring aren't confident.,The hid offspring aren't confident.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,0,-45.904335021972656,-49.11899948120117,1
The hidden bicycles weren't exposed.,The hid bicycles weren't exposed.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,1,-49.60362243652344,-50.71937942504883,1
The hidden glass was big.,The hid glass was big.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,2,-35.05466079711914,-39.95497131347656,1
The worn skirts aren't important.,The wore skirts aren't important.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,3,-48.796234130859375,-47.99812316894531,0
The worn hats aren't big.,The wore hats aren't big.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,4,-45.71193313598633,-45.61890411376953,0
The broken mirrors were blue.,The broke mirrors were blue.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,5,-41.0672721862793,-41.65595245361328,1
The worn pants weren't big.,The wore pants weren't big.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,6,-47.61674118041992,-48.35762023925781,1
The known children were nice.,The knew children were nice.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,7,-34.4573974609375,-34.173309326171875,0
The forgotten newspaper article was bad.,The forgot newspaper article was bad.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,8,-47.46700668334961,-50.0351448059082,1
The known adult was exposed.,The knew adult was exposed.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,9,-36.97295379638672,-38.669437408447266,1
The hidden patients weren't busy.,The hid patients weren't busy.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,10,-45.945125579833984,-48.37899398803711,1
The worn scarf was popular.,The wore scarf was popular.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,11,-39.94987869262695,-39.67449951171875,0
The taken rabbit wasn't popular.,The took rabbit wasn't popular.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,12,-51.097259521484375,-48.37546920776367,0
The known girl is important.,The knew girl is important.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,13,-32.923004150390625,-35.19882583618164,1
The broken dishes weren't red.,The broke dishes weren't red.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,14,-46.237037658691406,-49.756439208984375,1
The worn sweaters weren't smooth.,The wore sweaters weren't smooth.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,15,-53.234920501708984,-51.58435821533203,0
The forgotten children weren't hidden.,The forgot children weren't hidden.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,16,-46.27647018432617,-48.285400390625,1
The hidden plates aren't white.,The hid plates aren't white.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,17,-44.80609893798828,-49.227962493896484,1
The forgotten doctors are young.,The forgot doctors are young.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,18,-37.458282470703125,-40.906890869140625,1
The worn skirt was important.,The wore skirt was important.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,19,-36.684295654296875,-37.17698287963867,1
The taken cilantro wasn't yellow.,The took cilantro wasn't yellow.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,20,-54.573753356933594,-52.0550537109375,0
The worn shawls aren't concealed.,The wore shawls aren't concealed.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,21,-62.1068115234375,-61.95225143432617,0
The hidden fish wasn't important.,The hid fish wasn't important.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,22,-43.915184020996094,-46.941856384277344,1
The known people aren't hidden.,The knew people aren't hidden.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,23,-40.733299255371094,-41.854698181152344,1
The worn glove is red.,The wore glove is red.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,24,-41.975337982177734,-42.115325927734375,1
The known senators aren't serious.,The knew senators aren't serious.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,25,-47.289302825927734,-47.14399719238281,0
The broken couch isn't small.,The broke couch isn't small.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,26,-43.400901794433594,-45.808990478515625,1
The hidden lady isn't popular.,The hid lady isn't popular.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,27,-42.626346588134766,-46.38844680786133,1
The worn scarf wasn't lost.,The wore scarf wasn't lost.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,28,-46.4833984375,-47.022361755371094,1
The broken tooth wasn't whole.,The broke tooth wasn't whole.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,29,-46.37269592285156,-51.12046813964844,1
The broken forks are white.,The broke forks are white.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,30,-39.833133697509766,-40.958255767822266,1
The hidden guest wasn't hidden.,The hid guest wasn't hidden.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,31,-48.07684326171875,-51.31257247924805,1
The hidden cactus was out in the open.,The hid cactus was out in the open.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,32,-54.558998107910156,-56.48627853393555,1
The broken skateboards are cheap.,The broke skateboards are cheap.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,33,-41.89360046386719,-45.364158630371094,1
The broken computers weren't white.,The broke computers weren't white.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,34,-49.2139778137207,-50.576446533203125,1
The worn shirt is gray.,The wore shirt is gray.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,35,-38.47776794433594,-40.19322967529297,1
The known waiter is scared.,The knew waiter is scared.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,36,-40.432373046875,-41.978904724121094,1
The worn shoe was exposed.,The wore shoe was exposed.,morphology,irregular_forms,irregular_past_participle_adjectives,True,False,True,False,37,-38.16896438598633,-38.41741180419922,1
