sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Patricia had changed.,Patricia had forgotten.,syntax,argument_structure,inchoative,True,False,False,False,0,-30.967012405395508,-30.9575138092041,0
A lot of closets could fling open.,A lot of closets could buy.,syntax,argument_structure,inchoative,True,False,False,False,1,-54.38719940185547,-40.98322677612305,0
All pants loosen.,All pants brought.,syntax,argument_structure,inchoative,True,False,False,False,2,-34.41870880126953,-30.569698333740234,0
Many glasses aren't warping.,Many glasses aren't messing up.,syntax,argument_structure,inchoative,True,False,False,False,3,-48.283329010009766,-42.016517639160156,0
A screen was fading.,A screen was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,4,-35.40263748168945,-32.86760711669922,0
Every mountain sells.,Every mountain climbs down.,syntax,argument_structure,inchoative,True,False,False,False,5,-30.86410140991211,-31.7714900970459,1
All rivers can't melt.,All rivers can't reveal.,syntax,argument_structure,inchoative,True,False,False,False,6,-34.37626647949219,-37.3660888671875,1
That skirt isn't unfolding.,That skirt isn't cleaning.,syntax,argument_structure,inchoative,True,False,False,False,7,-38.35499954223633,-34.86043930053711,0
That shawl shrank.,That shawl reveals.,syntax,argument_structure,inchoative,True,False,False,False,8,-41.384376525878906,-40.878990173339844,0
Those bananas are ripening.,Those bananas are cleaning.,syntax,argument_structure,inchoative,True,False,False,False,9,-35.763389587402344,-31.157155990600586,0
A lot of chairs shattered.,A lot of chairs found.,syntax,argument_structure,inchoative,True,False,False,False,10,-33.831668853759766,-31.22797393798828,0
These carriages have maneuvered.,These carriages have looked like.,syntax,argument_structure,inchoative,True,False,False,False,11,-46.72737121582031,-41.3427734375,0
Clyde's oncologists weren't reuniting.,Clyde's oncologists weren't boring.,syntax,argument_structure,inchoative,True,False,False,False,12,-95.41339111328125,-82.00740051269531,0
Benjamin's tutors spin around.,Benjamin's tutors respect.,syntax,argument_structure,inchoative,True,False,False,False,13,-53.18671417236328,-44.628536224365234,0
The sock isn't flattening.,The sock isn't wearing.,syntax,argument_structure,inchoative,True,False,False,False,14,-42.93755340576172,-34.89887237548828,0
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,True,False,False,False,15,-35.81103515625,-35.06130599975586,0
Rivers vaporized.,Rivers pass.,syntax,argument_structure,inchoative,True,False,False,False,16,-32.176124572753906,-27.30701446533203,0
Boys weren't assembling.,Boys weren't leaving.,syntax,argument_structure,inchoative,True,False,False,False,17,-32.034759521484375,-26.94838523864746,0
Planes accelerate.,Planes had.,syntax,argument_structure,inchoative,True,False,False,False,18,-32.58253479003906,-26.661460876464844,0
Many carriages slow.,Many carriages admire.,syntax,argument_structure,inchoative,True,False,False,False,19,-35.756248474121094,-39.018707275390625,1
Diane's granddaughters weren't worrying.,Diane's granddaughters weren't looking like.,syntax,argument_structure,inchoative,True,False,False,False,20,-61.25294494628906,-65.9708023071289,1
Some feet chip.,Some feet have.,syntax,argument_structure,inchoative,True,False,False,False,21,-32.3665771484375,-26.76972007751465,0
A lot of bananas baked.,A lot of bananas brought.,syntax,argument_structure,inchoative,True,False,False,False,22,-34.81545639038086,-33.212158203125,0
Dennis didn't sit down.,Dennis didn't kiss.,syntax,argument_structure,inchoative,True,False,False,False,23,-26.423608779907227,-28.30211067199707,1
Most glaciers freeze.,Most glaciers look like.,syntax,argument_structure,inchoative,True,False,False,False,24,-36.67081069946289,-38.03240203857422,1
The bicycle wasn't slowing.,The bicycle wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,25,-36.28615188598633,-38.6983642578125,1
Most children move.,Most children looked like.,syntax,argument_structure,inchoative,True,False,False,False,26,-26.97641372680664,-31.515758514404297,1
Ella's grandfathers hurt.,Ella's grandfathers reference.,syntax,argument_structure,inchoative,True,False,False,False,27,-41.665771484375,-46.783226013183594,1
That sweater twirls.,That sweater took.,syntax,argument_structure,inchoative,True,False,False,False,28,-36.241050720214844,-29.225364685058594,0
A hat folds.,A hat saw.,syntax,argument_structure,inchoative,True,False,False,False,29,-30.593894958496094,-26.6568660736084,0
Some bicycle maneuvers.,Some bicycle had.,syntax,argument_structure,inchoative,True,False,False,False,30,-38.46592712402344,-30.20120620727539,0
A bicycle stopped.,A bicycle liked.,syntax,argument_structure,inchoative,True,False,False,False,31,-27.98076820373535,-31.461441040039062,1
What wrinkles.,What arrives at.,syntax,argument_structure,inchoative,True,False,False,False,32,-24.784088134765625,-28.9345703125,1
All scarves fold.,All scarves admired.,syntax,argument_structure,inchoative,True,False,False,False,33,-41.90765380859375,-40.712772369384766,0
Many gloves twirl.,Many gloves revealed.,syntax,argument_structure,inchoative,True,False,False,False,34,-40.16312789916992,-36.44839859008789,0
Some river vaporizes.,Some river cleaned.,syntax,argument_structure,inchoative,True,False,False,False,35,-37.91109085083008,-34.85987854003906,0
Every father of Randolf hides.,Every father of Randolf aggravated.,syntax,argument_structure,inchoative,True,False,False,False,36,-62.32444763183594,-64.78719329833984,1
A lot of carts had slowed.,A lot of carts had looked like.,syntax,argument_structure,inchoative,True,False,False,False,37,-43.43889617919922,-43.59252166748047,1
This truck slowed.,This truck cleans.,syntax,argument_structure,inchoative,True,False,False,False,38,-27.54568099975586,-29.1016788482666,1
Some windows have flung open.,Some windows have seen.,syntax,argument_structure,inchoative,True,False,False,False,39,-36.046470642089844,-28.235374450683594,0
A coat hadn't shrunk.,A coat hadn't worn.,syntax,argument_structure,inchoative,True,False,False,False,40,-39.38463592529297,-37.96263122558594,0
Danielle's supervisor worries.,Danielle's supervisor astounded.,syntax,argument_structure,inchoative,True,False,False,False,41,-43.19367980957031,-49.29535675048828,1
The sock soaked.,The sock cleaned.,syntax,argument_structure,inchoative,True,False,False,False,42,-31.952564239501953,-32.553810119628906,1
Every candle dims.,Every candle lifted.,syntax,argument_structure,inchoative,True,False,False,False,43,-40.73655700683594,-31.518796920776367,0
The cashier's bosses worried.,The cashier's bosses aggravated.,syntax,argument_structure,inchoative,True,False,False,False,44,-42.37285614013672,-48.46998596191406,1
Those gloves had flattened.,Those gloves had looked like.,syntax,argument_structure,inchoative,True,False,False,False,45,-38.11308288574219,-40.396385192871094,1
A jacket shrank.,A jacket cleaned.,syntax,argument_structure,inchoative,True,False,False,False,46,-33.09605026245117,-32.598419189453125,0
Adam isn't healing.,Adam isn't concealing.,syntax,argument_structure,inchoative,True,False,False,False,47,-31.530704498291016,-36.43186950683594,1
That carriage chipped.,That carriage looked like.,syntax,argument_structure,inchoative,True,False,False,False,48,-32.57339859008789,-28.856714248657227,0
That vase couldn't chip.,That vase couldn't buy.,syntax,argument_structure,inchoative,True,False,False,False,49,-42.21571350097656,-38.88877868652344,0
Most coats didn't tighten.,Most coats didn't reveal.,syntax,argument_structure,inchoative,True,False,False,False,50,-42.02611541748047,-39.95943832397461,0
Those nephews of Alan marry.,Those nephews of Alan disturbed.,syntax,argument_structure,inchoative,True,False,False,False,51,-53.84272766113281,-55.028560638427734,1
That bicycle turned.,That bicycle brought.,syntax,argument_structure,inchoative,True,False,False,False,52,-31.261194229125977,-31.60499382019043,1
A shirt wrinkled.,A shirt has.,syntax,argument_structure,inchoative,True,False,False,False,53,-30.620769500732422,-24.223785400390625,0
These legislatures don't benefit.,These legislatures don't irritate.,syntax,argument_structure,inchoative,True,False,False,False,54,-40.664100646972656,-43.52455139160156,1
All windows closed.,All windows saw.,syntax,argument_structure,inchoative,True,False,False,False,55,-24.607940673828125,-28.250995635986328,1
Some plane crashed.,Some plane lifted.,syntax,argument_structure,inchoative,True,False,False,False,56,-26.602779388427734,-30.759292602539062,1
That unicycle shattered.,That unicycle had.,syntax,argument_structure,inchoative,True,False,False,False,57,-39.97406768798828,-36.59330368041992,0
The glasses are breaking.,The glasses are taking.,syntax,argument_structure,inchoative,True,False,False,False,58,-26.90706443786621,-28.42196273803711,1
Susan's grandsons assemble.,Susan's grandsons complain about.,syntax,argument_structure,inchoative,True,False,False,False,59,-49.024932861328125,-54.6925048828125,1
All candles darken.,All candles admired.,syntax,argument_structure,inchoative,True,False,False,False,60,-38.570526123046875,-34.27783203125,0
Some lamp wasn't dimming.,Some lamp wasn't lifting.,syntax,argument_structure,inchoative,True,False,False,False,61,-46.91973114013672,-39.33946990966797,0
Stephanie hadn't trained.,Stephanie hadn't escaped from.,syntax,argument_structure,inchoative,True,False,False,False,62,-38.62785720825195,-42.37705612182617,1
Most cucumbers ripened.,Most cucumbers bought.,syntax,argument_structure,inchoative,True,False,False,False,63,-38.038002014160156,-37.78632354736328,0
Jason moves.,Jason talks to.,syntax,argument_structure,inchoative,True,False,False,False,64,-26.593297958374023,-27.923734664916992,1
All bikes won't stop.,All bikes won't like.,syntax,argument_structure,inchoative,True,False,False,False,65,-29.90541648864746,-35.02321243286133,1
Adam hadn't hidden.,Adam hadn't astounded.,syntax,argument_structure,inchoative,True,False,False,False,66,-31.21820068359375,-39.57224655151367,1
Some skirt couldn't soak.,Some skirt couldn't reveal.,syntax,argument_structure,inchoative,True,False,False,False,67,-42.085086822509766,-41.271080017089844,0
Some skirts shrank.,Some skirts liked.,syntax,argument_structure,inchoative,True,False,False,False,68,-37.185951232910156,-31.540908813476562,0
These customers weren't spinning around.,These customers weren't describing.,syntax,argument_structure,inchoative,True,False,False,False,69,-39.20135498046875,-39.1781120300293,0
Kenneth's best friends reunited.,Kenneth's best friends dislike.,syntax,argument_structure,inchoative,True,False,False,False,70,-42.50094223022461,-44.7682991027832,1
A lot of apples had blackened.,A lot of apples had concealed.,syntax,argument_structure,inchoative,True,False,False,False,71,-42.25254821777344,-38.11028289794922,0
