sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lady has remembered who the actors conceal.,A lady has remembered that the actors conceal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,0,-64.71939086914062,-57.24108123779297,0
Teenagers know what all ladies haven't examined.,Teenagers know that all ladies haven't examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,1,-55.02165222167969,-51.90868377685547,0
Dancers hadn't figured out who the actress didn't reveal.,Dancers hadn't figured out that the actress didn't reveal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,2,-60.66272735595703,-55.09763717651367,0
All guys find out who some patient was scaring.,All guys find out that some patient was scaring.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,3,-69.21180725097656,-64.92002868652344,0
Nina has learned who most men sound like.,Nina has learned that most men sound like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,4,-63.23175048828125,-52.11150360107422,0
Kirsten doesn't conceal what that man wasn't driving to.,Kirsten doesn't conceal that that man wasn't driving to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,5,-76.01092529296875,-76.44734954833984,1
The boy was figuring out who some women shouldn't listen to.,The boy was figuring out that some women shouldn't listen to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,6,-63.595489501953125,-58.23258972167969,0
Sarah discovers what some pedestrian had examined.,Sarah discovers that some pedestrian had examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,7,-56.33608627319336,-52.53056335449219,0
Sarah should forget who some waiter dislikes.,Sarah should forget that some waiter dislikes.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,8,-57.70085906982422,-51.411617279052734,0
Janice hasn't learned what this offspring didn't examine.,Janice hasn't learned that this offspring didn't examine.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,9,-65.80746459960938,-63.686622619628906,0
Wayne has revealed who most hospitals admired.,Wayne has revealed that most hospitals admired.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,10,-65.16165161132812,-53.110595703125,0
Those teenagers realize who all guests flee from.,Those teenagers realize that all guests flee from.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,11,-62.326759338378906,-56.13554382324219,0
George forgets what some car has looked like.,George forgets that some car has looked like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,12,-51.64237976074219,-51.71350860595703,1
Some child would conceal who most guys are listening to.,Some child would conceal that most guys are listening to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,13,-66.37725067138672,-60.78631591796875,0
The cashier wouldn't figure out what a person hasn't arrived at.,The cashier wouldn't figure out that a person hasn't arrived at.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,14,-64.18697357177734,-66.17138671875,1
Valerie discovers what most dancers referenced.,Valerie discovers that most dancers referenced.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,15,-54.663185119628906,-52.39404296875,0
Some dancers discover who that guy works with.,Some dancers discover that that guy works with.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,16,-54.495609283447266,-51.22056198120117,0
Some children did figure out what these dogs resemble.,Some children did figure out that these dogs resemble.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,17,-53.850502014160156,-55.268367767333984,1
Becca figures out what the waiter has dropped by.,Becca figures out that the waiter has dropped by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,18,-65.9963150024414,-63.671592712402344,0
That doctor had remembered who the actors revealed.,That doctor had remembered that the actors revealed.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,19,-60.4244384765625,-55.43549728393555,0
A lot of women remember what all adults drop by.,A lot of women remember that all adults drop by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,20,-59.344581604003906,-56.381202697753906,0
Amanda remembered who that driver returned to.,Amanda remembered that that driver returned to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,21,-56.28839874267578,-52.49614715576172,0
Steve wasn't concealing what some popsicle resembled.,Steve wasn't concealing that some popsicle resembled.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,22,-63.73059844970703,-63.03984832763672,0
The Clintons discovered what a girl can wear.,The Clintons discovered that a girl can wear.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,23,-51.146183013916016,-47.91413879394531,0
Connie hadn't investigated what a lot of women examine.,Connie hadn't investigated that a lot of women examine.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,24,-71.33202362060547,-69.7278823852539,0
That government remembers who a man wouldn't complain about.,That government remembers that a man wouldn't complain about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,25,-56.34554672241211,-50.450714111328125,0
Most people forgot who most teenagers wouldn't complain about.,Most people forgot that most teenagers wouldn't complain about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,26,-58.17420959472656,-51.46975326538086,0
Marcus had remembered who some lady disliked.,Marcus had remembered that some lady disliked.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,27,-57.24641036987305,-51.899024963378906,0
Alexander discovers who this organization can conceal.,Alexander discovers that this organization can conceal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,28,-53.80106735229492,-43.367252349853516,0
A library is concealing who these teenagers sound like.,A library is concealing that these teenagers sound like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,29,-71.40132141113281,-64.20816040039062,0
Kathleen did learn who some boys will talk about.,Kathleen did learn that some boys will talk about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,30,-66.40603637695312,-59.32496643066406,0
A waitress could learn what some woman is concealing.,A waitress could learn that some woman is concealing.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,31,-63.15268325805664,-60.82477569580078,0
Elaine had remembered who this girl does care for.,Elaine had remembered that this girl does care for.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,32,-71.9996337890625,-63.53803634643555,0
Sherry is remembering who that drawing looks like.,Sherry is remembering that that drawing looks like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,33,-63.43191909790039,-56.48722839355469,0
Diane finds out who a lot of photographs look like.,Diane finds out that a lot of photographs look like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,34,-57.685447692871094,-50.52470016479492,0
Governments investigate who those patients find.,Governments investigate that those patients find.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,35,-57.36774444580078,-48.459808349609375,0
