sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Joel discovered the vase that Patricia might take.,Joel discovered what Patricia might take the vase.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,0,-67.76409912109375,-65.76721954345703,0
Rodney thought about many paintings that Wendy had thought about.,Rodney thought about what Wendy had thought about many paintings.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,1,-76.18634796142578,-72.21784973144531,0
Susan wasn't thinking about the rivers that Kenneth wasn't bringing.,Susan wasn't thinking about what Kenneth wasn't bringing the rivers.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,2,-73.15044403076172,-74.18768310546875,1
A driver has thought about those deer that many pictures look like.,A driver has thought about what many pictures look like those deer.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,3,-73.29151153564453,-72.73661041259766,0
Amy has seen every skateboard that all guests see.,Amy has seen what all guests see every skateboard.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,4,-72.21602630615234,-76.01322937011719,1
Michelle can see this banana that Maria did sell.,Michelle can see what Maria did sell this banana.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,5,-70.22494506835938,-67.2906494140625,0
Rachelle thought about a screen that Galileo hides.,Rachelle thought about what Galileo hides a screen.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,6,-75.90953826904297,-76.42027282714844,1
These waitresses see some mirrors that Phillip found.,These waitresses see what Phillip found some mirrors.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,7,-74.3727798461914,-76.90727233886719,1
Pamela thought about most students that a lot of libraries haven't praised.,Pamela thought about who a lot of libraries haven't praised most students.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,8,-93.85289001464844,-96.77885437011719,1
Mark discovers most analyses that Randolf remembered.,Mark discovers what Randolf remembered most analyses.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,9,-88.09938049316406,-91.92540740966797,1
