sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Carla had explained that Samuel has discussed her.,Carla had explained that Samuel has discussed herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,0,-62.368568420410156,-64.21266174316406,1
Alice hadn't said that some people weren't escaping from her.,Alice hadn't said that some people weren't escaping from herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,1,-68.88819122314453,-70.9953842163086,1
Carl imagines that Maria does leave him.,Carl imagines that Maria does leave himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,2,-57.14665985107422,-60.93442916870117,1
Those waiters think that Robert flees from them.,Those waiters think that Robert flees from themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,3,-71.65602111816406,-75.5932388305664,1
Florence did think that Walter stunned her.,Florence did think that Walter stunned herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,4,-65.39911651611328,-67.12200164794922,1
Carlos said that Lori helped him.,Carlos said that Lori helped himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,5,-43.18657684326172,-47.421634674072266,1
All people think that Tamara investigated them.,All people think that Tamara investigated themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,6,-50.894866943359375,-53.88100814819336,1
A lot of people imagined that Sabrina had aggravated them.,A lot of people imagined that Sabrina had aggravated themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,7,-76.94905090332031,-79.08444213867188,1
Emily is thinking that Samuel will love her.,Emily is thinking that Samuel will love herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,8,-45.94141387939453,-48.03894805908203,1
A lot of children say that Allison hadn't approached them.,A lot of children say that Allison hadn't approached themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,9,-68.87379455566406,-71.98371124267578,1
Paul wasn't thinking that Marie had distracted him.,Paul wasn't thinking that Marie had distracted himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,10,-59.652976989746094,-61.48802185058594,1
A lot of actors imagined that Kenneth loves them.,A lot of actors imagined that Kenneth loves themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,11,-66.97926330566406,-70.06121826171875,1
A waitress hasn't thought that many drivers talked about her.,A waitress hasn't thought that many drivers talked about herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,12,-68.51011657714844,-70.65328979492188,1
Joseph isn't imagining that Veronica could remember him.,Joseph isn't imagining that Veronica could remember himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,13,-58.21497344970703,-60.80615234375,1
Kathleen thinks that Carlos was irritating her.,Kathleen thinks that Carlos was irritating herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,14,-65.34310150146484,-66.88713836669922,1
Brian thought that Rebecca was criticizing him.,Brian thought that Rebecca was criticizing himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,15,-43.424129486083984,-45.79145050048828,1
Anne hadn't explained that most girls haven't hugged her.,Anne hadn't explained that most girls haven't hugged herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,16,-68.88229370117188,-70.09573364257812,1
Gerald said that Jane was thinking about him.,Gerald said that Jane was thinking about himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,17,-45.93997573852539,-49.118690490722656,1
Many actresses explain that Anne isn't hurting them.,Many actresses explain that Anne isn't hurting themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,18,-64.03135681152344,-66.13665008544922,1
Lori hadn't thought that some girls have known her.,Lori hadn't thought that some girls have known herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,19,-69.10006713867188,-70.37794494628906,1
Ronald was saying that those waitresses argued about him.,Ronald was saying that those waitresses argued about himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,20,-79.60859680175781,-83.00814819335938,1
A lot of pedestrians say that David criticizes them.,A lot of pedestrians say that David criticizes themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,21,-67.2468490600586,-69.69857788085938,1
Candice explains that Brad had concealed her.,Candice explains that Brad had concealed herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,22,-58.05155944824219,-59.18199157714844,1
Edward had said that Carolyn respected him.,Edward had said that Carolyn respected himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,23,-48.30686950683594,-50.70146179199219,1
A lot of guys shouldn't imagine that the pie won't stun them.,A lot of guys shouldn't imagine that the pie won't stun themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,24,-84.35993194580078,-85.07951354980469,1
Sonia does think that many waiters should approach her.,Sonia does think that many waiters should approach herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,25,-81.49777221679688,-81.61947631835938,1
Kimberley was explaining that most girls hated her.,Kimberley was explaining that most girls hated herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,26,-66.17709350585938,-68.17647552490234,1
Michael said that Sarah has complained about him.,Michael said that Sarah has complained about himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,27,-40.28374481201172,-43.889163970947266,1
Carrie hasn't explained that Samuel disliked her.,Carrie hasn't explained that Samuel disliked herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,28,-64.50433349609375,-65.91459655761719,1
Patrick did think that Rachelle embarrassed him.,Patrick did think that Rachelle embarrassed himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,29,-55.67242431640625,-58.627071380615234,1
A lot of people imagined that that waitress annoyed them.,A lot of people imagined that that waitress annoyed themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,30,-70.39840698242188,-72.60586547851562,1
Claire wouldn't imagine that a university wasn't admiring her.,Claire wouldn't imagine that a university wasn't admiring herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,31,-73.41504669189453,-75.55184936523438,1
Erin says that all documentaries are stunning her.,Erin says that all documentaries are stunning herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,32,-59.77561950683594,-60.74363708496094,1
Gregory wasn't explaining that Carrie noticed him.,Gregory wasn't explaining that Carrie noticed himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,33,-65.33485412597656,-66.77821350097656,1
Jodi explains that a spotlight bothered her.,Jodi explains that a spotlight bothered herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,34,-58.377479553222656,-59.33451843261719,1
Diane hasn't explained that Donald astounded her.,Diane hasn't explained that Donald astounded herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,35,-69.31817626953125,-69.93415832519531,1
Keith has thought that Mary did insult him.,Keith has thought that Mary did insult himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,36,-48.021995544433594,-50.605445861816406,1
Kirsten says that a glacier shocked her.,Kirsten says that a glacier shocked herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,37,-69.45936584472656,-70.62095642089844,1
Beth shouldn't imagine that Alan is annoying her.,Beth shouldn't imagine that Alan is annoying herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,38,-66.679443359375,-67.7238998413086,1
Those women imagined that David concealed them.,Those women imagined that David concealed themselves.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,39,-53.79705810546875,-55.08701705932617,1
Debra said that most bicycles haven't disgusted her.,Debra said that most bicycles haven't disgusted herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,40,-73.04708862304688,-73.97727966308594,1
Margaret doesn't explain that many waitresses won't scare her.,Margaret doesn't explain that many waitresses won't scare herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,41,-85.30260467529297,-87.48265838623047,1
Christina explains that Russell can think about her.,Christina explains that Russell can think about herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,42,-56.714134216308594,-58.170013427734375,1
This guy should imagine that Katherine hadn't remembered him.,This guy should imagine that Katherine hadn't remembered himself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,43,-65.3620834350586,-67.99333190917969,1
Marla was saying that Daniel shouldn't return to her.,Marla was saying that Daniel shouldn't return to herself.,syntax_semantics,binding,principle_A_domain_1,True,True,False,False,44,-63.17052459716797,-66.30194091796875,1
