sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Every hospital isn't about to tempt Tiffany to reference Matt.,Every hospital isn't fun to tempt Tiffany to reference Matt.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,0,-75.14122009277344,-77.46224975585938,1
Rachel was apt to talk to Alicia.,Rachel was exciting to talk to Alicia.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,1,-41.702213287353516,-39.50485610961914,0
This doctor's cousins aren't soon to question Kirsten.,This doctor's cousins aren't interesting to question Kirsten.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,2,-71.05084228515625,-67.76667022705078,0
Sheila is certain to find Stephen to describe this customer.,Sheila is difficult to find Stephen to describe this customer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,3,-67.97866821289062,-63.19655227661133,0
Liam's French teachers were sure to want to aggravate many people.,Liam's French teachers were irritating to want to aggravate many people.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,4,-82.18405151367188,-87.10710144042969,1
Thomas isn't sure to hug Margaret.,Thomas isn't annoying to hug Margaret.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,5,-41.393009185791016,-45.87040328979492,1
Carrie is bound to explore some public park.,Carrie is pleasant to explore some public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,6,-52.26322937011719,-51.77143096923828,0
Timothy is about to respect most guys.,Timothy is annoying to respect most guys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,7,-45.18975067138672,-49.4786262512207,1
Derek's guest is likely to like to forfeit.,Derek's guest is difficult to like to forfeit.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,8,-59.84632110595703,-64.98055267333984,1
Melinda's guests aren't about to yearn to sit down.,Melinda's guests aren't unpleasant to yearn to sit down.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,9,-69.58946228027344,-75.34906768798828,1
Mark wasn't certain to climb down the ladder.,Mark wasn't fun to climb down the ladder.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,10,-48.04956817626953,-43.95883560180664,0
Jesus's tutor wasn't soon to remember Dawn.,Jesus's tutor wasn't tough to remember Dawn.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,11,-60.707218170166016,-56.427284240722656,0
Those organizations were certain to respond.,Those organizations were tough to respond.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,12,-37.131717681884766,-35.18518829345703,0
Bradley isn't soon to encourage Stephanie to scream.,Bradley isn't hard work to encourage Stephanie to scream.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,13,-57.159664154052734,-60.14124298095703,1
Tina wasn't sure to conceal what are profiting.,Tina wasn't exciting to conceal what are profiting.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,14,-64.89791870117188,-71.95657348632812,1
The legislature wasn't unlikely to continue to hug a lot of boys.,The legislature wasn't hard to continue to hug a lot of boys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,15,-66.32901000976562,-64.4499740600586,0
Bruce was sure to remember Gerald.,Bruce was annoying to remember Gerald.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,16,-37.080078125,-42.38890838623047,1
Brad's employees aren't likely to retaliate.,Brad's employees aren't irritating to retaliate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,17,-38.04814910888672,-47.250701904296875,1
Jennifer isn't apt to walk through a cafe.,Jennifer isn't difficult to walk through a cafe.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,18,-46.38758087158203,-40.32634735107422,0
Andrea was soon to ascertain Winston Churchill to explore a lot of movie theaters.,Andrea was interesting to ascertain Winston Churchill to explore a lot of movie theaters.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,19,-86.36941528320312,-85.06068420410156,0
Cheryl's daughter isn't sure to find out who work hard.,Cheryl's daughter isn't irritating to find out who work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,20,-71.46200561523438,-76.61280822753906,1
Douglas's cousin isn't sure to entreat Danielle to stand up.,Douglas's cousin isn't irritating to entreat Danielle to stand up.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,21,-81.50093841552734,-88.02948760986328,1
Margaret's nieces aren't unlikely to describe Diana.,Margaret's nieces aren't pleasant to describe Diana.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,22,-68.28697204589844,-66.95140075683594,0
Brian is about to walk through that high school.,Brian is pleasant to walk through that high school.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,23,-39.47869873046875,-43.200599670410156,1
Heidi wasn't certain to like to hate Joseph.,Heidi wasn't easy to like to hate Joseph.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,24,-63.21263122558594,-62.643089294433594,0
Many adults' boss was certain to hide a lot of spotlights.,Many adults' boss was interesting to hide a lot of spotlights.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,25,-71.75807189941406,-70.28929138183594,0
Bradley was apt to clean that hat.,Bradley was tough to clean that hat.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,26,-47.97321319580078,-43.784202575683594,0
Every granddaughter of Renee isn't certain to entice Anne to bike to high schools.,Every granddaughter of Renee isn't irritating to entice Anne to bike to high schools.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,27,-101.97391510009766,-105.00623321533203,1
These plates were certain to scare Andrew.,These plates were exciting to scare Andrew.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,28,-55.10833740234375,-55.20011520385742,1
Andrew wasn't sure to oblige Vanessa's guests to work hard.,Andrew wasn't exciting to oblige Vanessa's guests to work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,29,-69.2649917602539,-73.2405776977539,1
Harvard University was soon to praise Valerie.,Harvard University was hard to praise Valerie.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,30,-53.57590866088867,-56.2166748046875,1
The association isn't apt to cope.,The association isn't hard to cope.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,31,-40.3726806640625,-33.55574035644531,0
The mothers of Alice were certain to figure out who continued to describe these customers.,The mothers of Alice were boring to figure out who continued to describe these customers.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,32,-88.73478698730469,-90.84468078613281,1
Timothy wasn't likely to beg Donna to astound that university.,Timothy wasn't exciting to beg Donna to astound that university.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,33,-85.60302734375,-93.04766845703125,1
Florence wasn't unlikely to concur.,Florence wasn't hard to concur.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,34,-54.32213592529297,-50.045249938964844,0
These grandfathers of Janice are likely to compete.,These grandfathers of Janice are unpleasant to compete.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,35,-53.93960189819336,-64.13470458984375,1
Irene is likely to appreciate Nina.,Irene is unpleasant to appreciate Nina.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,36,-44.431819915771484,-51.81945037841797,1
Matt wasn't certain to criticize Nancy.,Matt wasn't easy to criticize Nancy.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,37,-43.02666091918945,-38.95890808105469,0
Janice's supervisors weren't about to yearn to exit every college campus.,Janice's supervisors weren't hard to yearn to exit every college campus.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,38,-100.004638671875,-100.619140625,1
Becky isn't apt to respect Jason.,Becky isn't pleasant to respect Jason.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,39,-49.269309997558594,-47.394615173339844,0
Maria was soon to approach Carlos.,Maria was hard to approach Carlos.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,40,-40.68037414550781,-41.60877227783203,1
The people are bound to seem to hide.,The people are fun to seem to hide.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,41,-38.554439544677734,-42.979576110839844,1
Diane's mentor is bound to tempt grandfathers of Carl to blink.,Diane's mentor is unpleasant to tempt grandfathers of Carl to blink.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,42,-95.86676025390625,-102.8440933227539,1
Nancy's electrician wasn't soon to fail to astound Karen.,Nancy's electrician wasn't enjoyable to fail to astound Karen.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,43,-92.87012481689453,-93.14854431152344,1
Frank is likely to laugh.,Frank is hard to laugh.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,44,-26.386043548583984,-26.415592193603516,1
Tina isn't bound to exit every movie theater.,Tina isn't hard to exit every movie theater.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,45,-63.03960037231445,-59.0447998046875,0
Becky was sure to scan those books.,Becky was hard work to scan those books.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,46,-44.8416748046875,-53.327423095703125,1
Leslie wasn't likely to discover the dog to climb down this slope.,Leslie wasn't enjoyable to discover the dog to climb down this slope.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,47,-75.44273376464844,-80.00764465332031,1
All legislatures were soon to stun Steven.,All legislatures were unpleasant to stun Steven.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,48,-54.687591552734375,-58.68963623046875,1
Donald's supervisor wasn't sure to mutter.,Donald's supervisor wasn't difficult to mutter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,49,-51.71910858154297,-51.82492446899414,1
Angela wasn't soon to litter.,Angela wasn't annoying to litter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,50,-44.9807014465332,-44.3228645324707,0
A man wasn't certain to wish to shout.,A man wasn't interesting to wish to shout.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,51,-53.86506652832031,-54.402408599853516,1
Laurie was soon to grin.,Laurie was fun to grin.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,52,-43.75999069213867,-43.65593719482422,0
These boys aren't likely to confer.,These boys aren't annoying to confer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,53,-36.974143981933594,-42.63010787963867,1
Danielle is about to nod.,Danielle is tough to nod.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,54,-34.22882843017578,-36.75721740722656,1
Samuel isn't apt to turn out to change.,Samuel isn't unpleasant to turn out to change.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,55,-50.713050842285156,-54.23398208618164,1
Michelle isn't bound to mess up that dress.,Michelle isn't irritating to mess up that dress.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,56,-47.19138717651367,-49.116249084472656,1
Renee wasn't unlikely to boycott committees.,Renee wasn't hard work to boycott committees.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,57,-53.462669372558594,-59.304771423339844,1
Tracy is likely to smile.,Tracy is pleasant to smile.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,58,-30.38494110107422,-32.167762756347656,1
Kimberley wasn't unlikely to explain those waitresses appear to fix this wheelbarrow.,Kimberley wasn't interesting to explain those waitresses appear to fix this wheelbarrow.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,59,-106.62794494628906,-104.50658416748047,0
Ellen's hairdresser is about to ascertain the computers to embarrass Renee.,Ellen's hairdresser is exciting to ascertain the computers to embarrass Renee.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,60,-97.53684997558594,-104.6512680053711,1
A lot of waitresses' French teachers aren't apt to obligate Sonia to smile.,A lot of waitresses' French teachers aren't unpleasant to obligate Sonia to smile.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,61,-112.71038818359375,-115.38362121582031,1
Todd was soon to commission Guy to weep.,Todd was fun to commission Guy to weep.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,62,-52.00376510620117,-57.66405487060547,1
Cindy was about to conceal some waitresses.,Cindy was hard work to conceal some waitresses.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,63,-61.191184997558594,-65.7967529296875,1
Alice wasn't soon to discover all lights to darken.,Alice wasn't annoying to discover all lights to darken.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,64,-65.75542449951172,-65.5340576171875,0
Dan's bosses were soon to plan to admire Eric.,Dan's bosses were tough to plan to admire Eric.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,65,-60.56126022338867,-61.249114990234375,1
Nicole's girlfriend isn't certain to figure out who boast about Tonya.,Nicole's girlfriend isn't pleasant to figure out who boast about Tonya.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,66,-82.79345703125,-83.29216003417969,1
Amelia wasn't soon to love Lisa.,Amelia wasn't hard to love Lisa.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,67,-49.27436828613281,-45.95439910888672,0
Theresa's associate is certain to talk.,Theresa's associate is interesting to talk.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,68,-53.127689361572266,-49.750362396240234,0
Carla was certain to slump over.,Carla was hard to slump over.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,69,-49.11013412475586,-44.86875915527344,0
Walter is sure to remember who hadn't profited.,Walter is pleasant to remember who hadn't profited.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,70,-53.811866760253906,-58.29585647583008,1
Mitchell was apt to investigate Dana.,Mitchell was pleasant to investigate Dana.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,71,-50.907569885253906,-50.32054901123047,0
Craig is sure to predict those guests to benefit.,Craig is exciting to predict those guests to benefit.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,72,-51.83258056640625,-54.16637420654297,1
Rachel's sons aren't soon to watch Kirsten.,Rachel's sons aren't hard work to watch Kirsten.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,73,-56.344417572021484,-60.516292572021484,1
Theodore wasn't unlikely to explore the art gallery.,Theodore wasn't irritating to explore the art gallery.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,74,-56.573516845703125,-59.73295974731445,1
Harvard University wasn't apt to learn who skated around all hospitals.,Harvard University wasn't unpleasant to learn who skated around all hospitals.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,75,-92.7801513671875,-96.85574340820312,1
Katherine's grandmothers weren't about to remember who returns to Lissa.,Katherine's grandmothers weren't tough to remember who returns to Lissa.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,76,-86.30360412597656,-87.11225891113281,1
Janet was unlikely to leave this lake.,Janet was irritating to leave this lake.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,77,-45.24748992919922,-50.40843200683594,1
Aaron isn't unlikely to compel Carol's mentors to disagree.,Aaron isn't hard work to compel Carol's mentors to disagree.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,78,-69.23009490966797,-74.3042221069336,1
Beverly's contractors aren't sure to aggravate Gregory.,Beverly's contractors aren't easy to aggravate Gregory.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,79,-77.50149536132812,-77.21394348144531,0
Charles wasn't apt to want a lot of governments to debate.,Charles wasn't easy to want a lot of governments to debate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,80,-64.84515380859375,-60.489830017089844,0
Heather was bound to wave.,Heather was unpleasant to wave.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,81,-40.352256774902344,-43.49958419799805,1
Mitchell was sure to prove to sit down.,Mitchell was fun to prove to sit down.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,82,-48.500709533691406,-51.3626823425293,1
Stacey is certain to notice a lot of lamps.,Stacey is boring to notice a lot of lamps.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,83,-56.061241149902344,-56.12403106689453,1
Winston Churchill was certain to kiss Eric.,Winston Churchill was tough to kiss Eric.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,84,-59.957557678222656,-56.25340270996094,0
Dennis isn't likely to care for guys.,Dennis isn't enjoyable to care for guys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,85,-48.20758819580078,-52.958885192871094,1
Every patient's friends were bound to fail to donate.,Every patient's friends were annoying to fail to donate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,86,-58.26629638671875,-62.19978332519531,1
The muffins are apt to confuse Winston Churchill.,The muffins are boring to confuse Winston Churchill.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,87,-58.37495803833008,-60.17778015136719,1
Hospitals aren't bound to yearn to reference Brian.,Hospitals aren't hard to yearn to reference Brian.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,88,-79.17002868652344,-79.48609161376953,1
Stephanie's dentists aren't apt to hug that man.,Stephanie's dentists aren't hard to hug that man.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,89,-74.09046173095703,-69.09895324707031,0
Nina's husband was sure to lie.,Nina's husband was hard to lie.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,90,-44.50032043457031,-45.14945602416992,1
Andrew's grandson wasn't apt to convince Kendra to escape from Margaret.,Andrew's grandson wasn't tough to convince Kendra to escape from Margaret.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,91,-81.38914489746094,-80.22566986083984,0
Alexander's girlfriend wasn't certain to want Ronald to complain.,Alexander's girlfriend wasn't enjoyable to want Ronald to complain.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,92,-71.72929382324219,-75.5464096069336,1
These actors aren't bound to question Melinda.,These actors aren't annoying to question Melinda.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,93,-52.971900939941406,-56.645938873291016,1
Customers aren't apt to seem to wash.,Customers aren't enjoyable to seem to wash.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,94,-47.588470458984375,-49.59523010253906,1
This doctor is likely to criticize Amanda.,This doctor is difficult to criticize Amanda.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,95,-43.26416778564453,-44.9313850402832,1
Regina's sons aren't about to motivate Vincent's guest to heal this boy.,Regina's sons aren't tough to motivate Vincent's guest to heal this boy.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,96,-98.74671936035156,-99.39314270019531,1
Joel's tutors aren't soon to appreciate that grocery store.,Joel's tutors aren't hard work to appreciate that grocery store.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,97,-74.18345642089844,-76.30948638916016,1
Kayla is certain to disturb every library.,Kayla is annoying to disturb every library.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,98,-52.16136169433594,-52.37855911254883,1
Carlos isn't bound to visit Carrie.,Carlos isn't unpleasant to visit Carrie.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,99,-47.57513427734375,-53.15242004394531,1
Tonya isn't likely to visit the public park.,Tonya isn't annoying to visit the public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,100,-42.11193084716797,-47.317054748535156,1
That teenager was sure to sound like Danielle.,That teenager was boring to sound like Danielle.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,101,-50.19089126586914,-52.836631774902344,1
Cynthia's colleagues aren't about to hire Lawrence.,Cynthia's colleagues aren't fun to hire Lawrence.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,102,-66.62625885009766,-68.6109619140625,1
Carmen is about to sell this public park.,Carmen is easy to sell this public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,103,-53.78310775756836,-53.35521697998047,0
Richard was about to look like the sketches.,Richard was boring to look like the sketches.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,104,-41.02027893066406,-44.41599655151367,1
Galileo was unlikely to wish to sing.,Galileo was unpleasant to wish to sing.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,105,-52.29233932495117,-57.71717071533203,1
Martin wasn't about to find Erin.,Martin wasn't enjoyable to find Erin.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,106,-39.72679901123047,-40.812713623046875,1
Vanessa's sisters weren't certain to prod Becky's nephew to stand up.,Vanessa's sisters weren't annoying to prod Becky's nephew to stand up.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,107,-87.80046081542969,-89.40747833251953,1
Monica is apt to care for Charles.,Monica is fun to care for Charles.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,108,-45.90385818481445,-44.255401611328125,0
Dan's ex-wives were unlikely to confer.,Dan's ex-wives were exciting to confer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,109,-51.92493438720703,-56.582969665527344,1
Adam isn't bound to think about Deanna.,Adam isn't enjoyable to think about Deanna.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,110,-44.41185760498047,-45.85559844970703,1
Marla wasn't likely to intend to weep.,Marla wasn't enjoyable to intend to weep.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,111,-50.47477340698242,-60.09672164916992,1
Brett's podiatrist wasn't about to imagine some popsicle hadn't condensed.,Brett's podiatrist wasn't unpleasant to imagine some popsicle hadn't condensed.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,112,-112.1504135131836,-114.96371459960938,1
Julie is about to prompt hospitals to clash.,Julie is fun to prompt hospitals to clash.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,113,-59.41429138183594,-63.47818374633789,1
All schools aren't soon to collaborate.,All schools aren't boring to collaborate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,114,-44.90188980102539,-43.429931640625,0
A boy isn't certain to come here.,A boy isn't irritating to come here.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,115,-41.78564453125,-45.79521179199219,1
Rodney wasn't about to walk through those museums.,Rodney wasn't difficult to walk through those museums.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,116,-56.79938888549805,-55.28623962402344,0
All men are about to argue about Lissa.,All men are unpleasant to argue about Lissa.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,117,-52.73863220214844,-59.482418060302734,1
Sherry wasn't soon to wave.,Sherry wasn't hard to wave.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,118,-47.25569152832031,-42.04144287109375,0
Steve was unlikely to notice James.,Steve was exciting to notice James.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,119,-38.570377349853516,-41.10829162597656,1
Kayla's dentist wasn't unlikely to reveal many hamsters.,Kayla's dentist wasn't hard to reveal many hamsters.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,120,-70.15580749511719,-66.95463562011719,0
Samuel's grandfather isn't soon to declare the Borgias to mutter.,Samuel's grandfather isn't pleasant to declare the Borgias to mutter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,121,-92.49354553222656,-91.32305908203125,0
Meredith wasn't bound to oblige John to stun these drivers.,Meredith wasn't annoying to oblige John to stun these drivers.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,122,-84.00025939941406,-86.50595092773438,1
Amanda is unlikely to commission Naomi to respect Deanna.,Amanda is irritating to commission Naomi to respect Deanna.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,123,-72.02284240722656,-80.26362609863281,1
That actress's granddaughter was certain to confuse Alan.,That actress's granddaughter was hard to confuse Alan.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,124,-61.10613250732422,-58.076438903808594,0
Rodney's tutors weren't unlikely to regret Denise can't question the waiter.,Rodney's tutors weren't interesting to regret Denise can't question the waiter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,125,-101.35194396972656,-100.2720947265625,0
Gregory wasn't apt to compromise.,Gregory wasn't interesting to compromise.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,126,-41.4084358215332,-41.25074005126953,0
Cynthia wasn't soon to escape from this restaurant.,Cynthia wasn't unpleasant to escape from this restaurant.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,127,-59.67381286621094,-62.50373840332031,1
Lissa isn't apt to need to help Amelia.,Lissa isn't irritating to need to help Amelia.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,128,-60.059661865234375,-61.22947692871094,1
Meredith isn't certain to return to Tanya.,Meredith isn't hard work to return to Tanya.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,129,-54.16682815551758,-59.045875549316406,1
A lot of cashiers are likely to communicate.,A lot of cashiers are pleasant to communicate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,130,-45.198280334472656,-51.094844818115234,1
