sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lot of patients who can sell some couch didn't investigate themselves.,A lot of patients who can sell some couch didn't investigate itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,0,-77.20504760742188,-79.16411590576172,1
A lot of actresses that thought about Alice healed themselves.,A lot of actresses that thought about Alice healed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,1,-66.91527557373047,-64.69194030761719,0
A guy that has seen the wheelbarrow notices himself.,A guy that has seen the wheelbarrow notices itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,2,-72.22042083740234,-70.8503646850586,0
The children that were complaining about Gregory hated themselves.,The children that were complaining about Gregory hated himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,3,-62.30393981933594,-60.7039794921875,0
Every boy that isn't selling the grocery stores isn't healing himself.,Every boy that isn't selling the grocery stores isn't healing themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,4,-78.92039489746094,-76.66877746582031,0
The hospitals that talk to Ann talked to themselves.,The hospitals that talk to Ann talked to herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,5,-60.25794219970703,-58.44078063964844,0
Many skirts that stun some waitress are boring themselves.,Many skirts that stun some waitress are boring herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,6,-74.72026062011719,-76.25601196289062,1
All men that might fire Tiffany have worked with themselves.,All men that might fire Tiffany have worked with herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,7,-66.44624328613281,-66.06073760986328,0
That actress who admired the cup praises herself.,That actress who admired the cup praises itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,8,-57.04721450805664,-59.862693786621094,1
This lady who is healing Charles wasn't hiding herself.,This lady who is healing Charles wasn't hiding himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,9,-66.97483825683594,-66.96209716796875,0
