sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Who were all men and Eric leaving?,Who were all men leaving and Eric?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,0,-48.86772918701172,-50.28059387207031,1
Who will Elizabeth and Gregory cure?,Who could Elizabeth cure and Gregory?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,1,-51.35388946533203,-56.28408432006836,1
What do that legislature and Janice bother?,What could that legislature bother and Janice?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,2,-68.75833129882812,-71.36495971679688,1
What were some museum and a lot of patients insulting?,What is some museum insulting and a lot of patients?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,3,-61.74127960205078,-61.39278793334961,0
Who should Keith and Andrea climb up?,Who might Keith climb up and Andrea?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,4,-52.34036636352539,-54.19395446777344,1
What are Rose and a picture scaring?,What is Rose scaring and a picture?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,5,-55.816410064697266,-53.747406005859375,0
Who should that company and Caroline boast about?,Who does that company boast about and Caroline?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,6,-62.78517532348633,-61.08138656616211,0
Who should Denise and every adult boast about?,Who will Denise boast about and every adult?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,7,-66.9554443359375,-65.49913787841797,0
What were the photograph and the prints looking like?,What was the photograph looking like and the prints?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,8,-58.78104019165039,-60.556243896484375,1
What had Jesus and Andrea arrived at?,What had Jesus arrived at and Andrea?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,9,-49.90947723388672,-51.74938201904297,1
Who were Kristen and Melinda biking to?,Who is Kristen biking to and Melinda?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,10,-65.48030090332031,-63.58122253417969,0
Who might Beverly and those waitresses exit?,Who does Beverly exit and those waitresses?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,11,-76.54026794433594,-72.99230194091797,0
Who could Joel and this fish hurt?,Who would Joel hurt and this fish?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,12,-56.996395111083984,-55.206207275390625,0
What have Brian and Galileo escaped from?,What had Brian escaped from and Galileo?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,13,-63.456275939941406,-65.65436553955078,1
Who were some windows and Douglas aggravating?,Who were some windows aggravating and Douglas?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,14,-57.081199645996094,-60.1884765625,1
What were the turtle and Scott scaring?,What was the turtle scaring and Scott?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,15,-61.769901275634766,-57.74040985107422,0
Who are Bruce and Ronald hugging?,Who is Bruce hugging and Ronald?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,16,-50.62726974487305,-50.11699676513672,0
Who would a man and Victoria hate?,Who can a man hate and Victoria?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,17,-49.19330978393555,-49.43154525756836,1
What could Marcus and Cheryl clean?,What did Marcus clean and Cheryl?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,18,-56.98624038696289,-50.257049560546875,0
Who can Karen and Kimberley approach?,Who should Karen approach and Kimberley?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,19,-57.111244201660156,-58.8668212890625,1
What had Russell and Douglas attacked?,What had Russell attacked and Douglas?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,20,-52.45509719848633,-52.396697998046875,0
Who are Mitchell and most guys boycotting?,Who is Mitchell boycotting and most guys?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,21,-63.69322204589844,-61.55146408081055,0
What can Julie and Veronica examine?,What might Julie examine and Veronica?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,22,-52.46240997314453,-54.803871154785156,1
What can Sharon and most universities boast about?,What did Sharon boast about and most universities?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,23,-66.62396240234375,-64.21959686279297,0
What did Caroline and Colleen kiss?,What might Caroline kiss and Colleen?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,24,-55.56596755981445,-59.5110969543457,1
Who can Dawn and every actor question?,Who should Dawn question and every actor?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,25,-55.07058334350586,-56.181278228759766,1
What will the report and those guys disagree with?,What could the report disagree with and those guys?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,26,-56.0389404296875,-62.812198638916016,1
What had Ann and Nicole bought?,What has Ann bought and Nicole?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,27,-49.09645462036133,-48.924163818359375,0
What had Katherine and Mary talked about?,What has Katherine talked about and Mary?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,28,-53.34346008300781,-54.81696319580078,1
What have Brett and a nose bored?,What had Brett bored and a nose?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,29,-59.68429183959961,-54.31314468383789,0
What had the boys and the cashier observed?,What have the boys observed and the cashier?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,30,-63.27535629272461,-61.17411422729492,0
What could Adam and Sharon kiss?,What could Adam kiss and Sharon?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,31,-52.768455505371094,-51.910316467285156,0
Who have Charles and the snake climbed up?,Who had Charles climbed up and the snake?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,32,-60.28655242919922,-57.73529052734375,0
What had Benjamin and the rugs astounded?,What had Benjamin astounded and the rugs?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,33,-72.13694763183594,-67.91616821289062,0
Who were Richard and Melanie biking to?,Who is Richard biking to and Melanie?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,34,-60.39169692993164,-57.40947341918945,0
Who had Rebecca and many girls admired?,Who had Rebecca admired and many girls?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,35,-54.64250946044922,-51.46177673339844,0
What should Steve and Laurie question?,What did Steve question and Laurie?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,36,-49.1572265625,-49.2758903503418,1
Who have Karen and Theodore cared for?,Who has Karen cared for and Theodore?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,37,-54.37490463256836,-55.36383056640625,1
Who are all girls and Donald breaking?,Who are all girls breaking and Donald?,syntax,island_effects,coordinate_structure_constraint_object_extraction,True,False,False,False,38,-49.98025894165039,-55.286163330078125,1
