sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Every hospital isn't about to tempt Tiffany to reference Matt.,Every hospital isn't fun to tempt Tiffany to reference Matt.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,0,-86.86283874511719,-87.13896179199219,1
Rachel was apt to talk to Alicia.,Rachel was exciting to talk to Alicia.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,1,-44.53044128417969,-44.037532806396484,0
This doctor's cousins aren't soon to question Kirsten.,This doctor's cousins aren't interesting to question Kirsten.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,2,-80.64779663085938,-81.40900421142578,1
Sheila is certain to find Stephen to describe this customer.,Sheila is difficult to find Stephen to describe this customer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,3,-71.67073059082031,-69.54610443115234,0
Liam's French teachers were sure to want to aggravate many people.,Liam's French teachers were irritating to want to aggravate many people.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,4,-82.79470825195312,-86.9052505493164,1
Thomas isn't sure to hug Margaret.,Thomas isn't annoying to hug Margaret.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,5,-49.88937759399414,-55.29254913330078,1
Carrie is bound to explore some public park.,Carrie is pleasant to explore some public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,6,-52.981773376464844,-56.06303787231445,1
Timothy is about to respect most guys.,Timothy is annoying to respect most guys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,7,-55.85639953613281,-57.731048583984375,1
Derek's guest is likely to like to forfeit.,Derek's guest is difficult to like to forfeit.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,8,-62.66933059692383,-63.32114791870117,1
Melinda's guests aren't about to yearn to sit down.,Melinda's guests aren't unpleasant to yearn to sit down.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,9,-78.53423309326172,-82.035400390625,1
Mark wasn't certain to climb down the ladder.,Mark wasn't fun to climb down the ladder.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,10,-51.00970458984375,-50.05413055419922,0
Jesus's tutor wasn't soon to remember Dawn.,Jesus's tutor wasn't tough to remember Dawn.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,11,-59.552894592285156,-60.58428955078125,1
Those organizations were certain to respond.,Those organizations were tough to respond.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,12,-35.765380859375,-35.815242767333984,1
