sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lot of patients who can sell some couch didn't investigate themselves.,A lot of patients who can sell some couch didn't investigate itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,0,-77.5738525390625,-77.72007751464844,1
A lot of actresses that thought about Alice healed themselves.,A lot of actresses that thought about Alice healed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,1,-71.52374267578125,-72.57876586914062,1
A guy that has seen the wheelbarrow notices himself.,A guy that has seen the wheelbarrow notices itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,2,-78.40745544433594,-75.93632507324219,0
The children that were complaining about Gregory hated themselves.,The children that were complaining about Gregory hated himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,3,-62.570045471191406,-62.247894287109375,0
Every boy that isn't selling the grocery stores isn't healing himself.,Every boy that isn't selling the grocery stores isn't healing themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,4,-80.07496643066406,-77.63114929199219,0
The hospitals that talk to Ann talked to themselves.,The hospitals that talk to Ann talked to herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,5,-62.93456268310547,-63.7021484375,1
Many skirts that stun some waitress are boring themselves.,Many skirts that stun some waitress are boring herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,6,-76.77967834472656,-77.4328384399414,1
All men that might fire Tiffany have worked with themselves.,All men that might fire Tiffany have worked with herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,7,-70.58883666992188,-70.90341186523438,1
That actress who admired the cup praises herself.,That actress who admired the cup praises itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,8,-65.05299377441406,-62.763614654541016,0
This lady who is healing Charles wasn't hiding herself.,This lady who is healing Charles wasn't hiding himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,9,-74.03334045410156,-73.4664306640625,0
Every woman that was hiring the Borgias argued about herself.,Every woman that was hiring the Borgias argued about themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,10,-79.27542114257812,-78.99181365966797,0
Every lady who does walk through a lot of movie theaters hadn't hugged herself.,Every lady who does walk through a lot of movie theaters hadn't hugged themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,11,-92.123779296875,-91.73138427734375,0
These doctors who do leave Melissa fled from themselves.,These doctors who do leave Melissa fled from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,12,-67.53767395019531,-66.62017822265625,0
These ladies that hadn't forgotten Victoria fled from themselves.,These ladies that hadn't forgotten Victoria fled from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,13,-74.08251953125,-73.15504455566406,0
The customers who embarrass Kevin are discussing themselves.,The customers who embarrass Kevin are discussing himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,14,-59.02210998535156,-60.45863342285156,1
Some steak that scares Stacy doesn't shock itself.,Some steak that scares Stacy doesn't shock herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,15,-73.16535186767578,-76.06322479248047,1
All ladies who were bothering Dan observed themselves.,All ladies who were bothering Dan observed himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,16,-62.490989685058594,-61.979244232177734,0
The woman who hadn't taken a screen should respect herself.,The woman who hadn't taken a screen should respect itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,17,-74.24290466308594,-72.6306381225586,0
Most women who were arriving at every hospital fired themselves.,Most women who were arriving at every hospital fired itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,18,-62.71590042114258,-62.83323669433594,1
Some hill that could distract Barbara is alarming itself.,Some hill that could distract Barbara is alarming herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,19,-72.31983184814453,-74.56282806396484,1
A lot of senators who climbed down the hill hired themselves.,A lot of senators who climbed down the hill hired itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,20,-73.84916687011719,-73.41950988769531,0
The dancers who haven't shocked Candice aren't appreciating themselves.,The dancers who haven't shocked Candice aren't appreciating herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,21,-91.0579605102539,-91.01119995117188,0
A legislature that wouldn't criticize Patrick hasn't helped itself.,A legislature that wouldn't criticize Patrick hasn't helped himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,22,-78.63703155517578,-76.36934661865234,0
Most guests who were revealing Colleen weren't complaining about themselves.,Most guests who were revealing Colleen weren't complaining about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,23,-82.07923889160156,-81.7469482421875,0
A guy who hasn't annoyed Laura argued about himself.,A guy who hasn't annoyed Laura argued about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,24,-70.61402893066406,-70.94107055664062,1
That company that had known Sandra annoyed itself.,That company that had known Sandra annoyed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,25,-63.5506591796875,-64.93607330322266,1
Those senators who had a slope have cared for themselves.,Those senators who had a slope have cared for itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,26,-60.0697021484375,-61.929656982421875,1
A cat that hasn't impressed Joseph couldn't distract itself.,A cat that hasn't impressed Joseph couldn't distract himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,27,-73.36888122558594,-72.50889587402344,0
Some association that had forgotten Claire insults itself.,Some association that had forgotten Claire insults herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,28,-64.29330444335938,-66.1046142578125,1
That plane that was scaring Wendy has disgusted itself.,That plane that was scaring Wendy has disgusted herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,29,-77.9132080078125,-77.39639282226562,0
The dancer who has brought those fish could care for herself.,The dancer who has brought those fish could care for themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,30,-69.81552124023438,-67.9724349975586,0
Some boy that disturbed Jill could argue about himself.,Some boy that disturbed Jill could argue about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,31,-65.68772888183594,-65.86880493164062,1
Some woman that was exploring some hill can't think about herself.,Some woman that was exploring some hill can't think about itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,32,-70.80280303955078,-70.61615753173828,0
All actors that disgust Veronica escaped from themselves.,All actors that disgust Veronica escaped from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,33,-67.18548583984375,-67.04067993164062,0
Some museum that doesn't like a waitress was praising itself.,Some museum that doesn't like a waitress was praising herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,34,-69.23474884033203,-67.66297912597656,0
These pies that were embarrassing Jennifer are annoying themselves.,These pies that were embarrassing Jennifer are annoying herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,35,-73.62844848632812,-75.01661682128906,1
