sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Whose museums had Dana alarmed?,Whose had Dana alarmed museums?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,0,-58.39708709716797,-59.34531784057617,1
Whose hat should Tonya wear?,Whose should Tonya wear hat?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,1,-57.958984375,-55.92133712768555,0
What movies is Renee concealing?,What is Renee concealing movies?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,2,-57.7620849609375,-56.56218338012695,0
What bicycle was Rebecca noticing?,What was Rebecca noticing bicycle?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,3,-47.714630126953125,-43.817413330078125,0
Which senator should Jesus visit?,Which should Jesus visit senator?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,4,-47.11293029785156,-46.26475143432617,0
What fish is a person healing?,What is a person healing fish?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,5,-38.50856399536133,-34.11737060546875,0
What dancers should Kristen respect?,What should Kristen respect dancers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,6,-49.76824188232422,-47.963218688964844,0
What waiter has James hurt?,What has James hurt waiter?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,7,-42.595821380615234,-46.10546875,1
Which adult was Larry distracting?,Which was Larry distracting adult?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,8,-49.61443328857422,-46.1736946105957,0
What waitresses has Monica approached?,What has Monica approached waitresses?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,9,-59.86805725097656,-60.28163146972656,1
Which waiters has Thomas disliked?,Which has Thomas disliked waiters?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,10,-58.46045684814453,-55.672157287597656,0
What senator is a truck hurting?,What is a truck hurting senator?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,11,-41.509033203125,-42.22214126586914,1
Which carriages might Alice break?,Which might Alice break carriages?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,12,-55.97909927368164,-51.9984130859375,0
Which newspaper articles can the student dislike?,Which can the student dislike newspaper articles?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,13,-58.626426696777344,-59.4033088684082,1
Which oasis has Diane dropped by?,Which has Diane dropped by oasis?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,14,-59.0543327331543,-55.38627624511719,0
Which senators has Deborah observed?,Which has Deborah observed senators?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,15,-51.35230255126953,-51.58502960205078,1
What doctors will Chad kiss?,What will Chad kiss doctors?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,16,-44.49494171142578,-46.650917053222656,1
Whose thesis was Donna appreciating?,Whose was Donna appreciating thesis?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,17,-61.48873519897461,-59.981971740722656,0
What unicycles would Galileo take?,What would Galileo take unicycles?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,18,-69.39260864257812,-63.4911003112793,0
What paralysis will Amy discover?,What will Amy discover paralysis?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,19,-48.98095703125,-46.62651062011719,0
Which woman could Jesus heal?,Which could Jesus heal woman?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,20,-42.885738372802734,-43.77055740356445,1
What patient can this guest reference?,What can this guest reference patient?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,21,-49.02724075317383,-49.03211212158203,1
Which waiter could Amelia talk about?,Which could Amelia talk about waiter?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,22,-49.45951461791992,-48.99848175048828,0
Which library is Kristen thinking about?,Which is Kristen thinking about library?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,23,-45.11496353149414,-43.656105041503906,0
Which book could John bring?,Which could John bring book?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,24,-46.33089828491211,-40.21098327636719,0
What actress could Adam argue about?,What could Adam argue about actress?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,25,-51.55413055419922,-47.986663818359375,0
Which pedestrians had a lot of teachers forgotten?,Which had a lot of teachers forgotten pedestrians?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,26,-53.7650032043457,-52.558921813964844,0
Which horses does Marcus hide?,Which does Marcus hide horses?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,27,-44.345703125,-43.647193908691406,0
What adults do many drawings embarrass?,What do many drawings embarrass adults?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,28,-52.58283233642578,-49.774147033691406,0
Which guys has Colleen cared for?,Which has Colleen cared for guys?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,29,-59.04945755004883,-57.7716064453125,0
Which bikes is John fixing?,Which is John fixing bikes?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,30,-43.40060043334961,-39.54779052734375,0
Which movies would Laura hate?,Which would Laura hate movies?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,31,-45.53471374511719,-42.38188552856445,0
Which mountains has Jodi ascended?,Which has Jodi ascended mountains?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,32,-56.485599517822266,-54.729461669921875,0
What carriage is Steve fixing?,What is Steve fixing carriage?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,33,-43.85238265991211,-39.210472106933594,0
Whose car is Gregory buying?,Whose is Gregory buying car?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,34,-47.965572357177734,-44.96519470214844,0
Which doctor had Timothy escaped from?,Which had Timothy escaped from doctor?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,35,-50.968223571777344,-50.1857795715332,0
Which glove had an adult concealed?,Which had an adult concealed glove?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,36,-48.590309143066406,-45.62548828125,0
Which mall had Gina dropped by?,Which had Gina dropped by mall?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,37,-52.164859771728516,-49.72724533081055,0
What girl was Clyde boasting about?,What was Clyde boasting about girl?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,38,-49.80845260620117,-49.28120422363281,0
Which closets should Colleen appreciate?,Which should Colleen appreciate closets?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,39,-66.40168762207031,-63.96797180175781,0
Which children had George revealed?,Which had George revealed children?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,40,-41.892662048339844,-42.87839889526367,1
What customers does Martin flee from?,What does Martin flee from customers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,41,-54.07396697998047,-49.535736083984375,0
Which hill is Roger climbing down?,Which is Roger climbing down hill?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,42,-48.30436706542969,-46.90655517578125,0
Which men has George questioned?,Which has George questioned men?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,43,-44.365806579589844,-42.52513122558594,0
What teenagers was Monet visiting?,What was Monet visiting teenagers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,44,-55.29198455810547,-51.73210906982422,0
Which cashier is Richard approaching?,Which is Richard approaching cashier?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,45,-51.50944519042969,-48.149505615234375,0
What teenager had Elaine complained about?,What had Elaine complained about teenager?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,46,-48.949737548828125,-49.24282455444336,1
What customers might Benjamin work with?,What might Benjamin work with customers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,47,-52.39779281616211,-48.431148529052734,0
What river had David passed?,What had David passed river?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,48,-45.08882522583008,-43.56885528564453,0
Which organizations has Laura upset?,Which has Laura upset organizations?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,49,-45.3468017578125,-47.03287124633789,1
Whose hats was Sally wearing?,Whose was Sally wearing hats?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,50,-50.43315124511719,-46.456817626953125,0
Which women has Harvard University fired?,Which has Harvard University fired women?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,51,-51.5793342590332,-50.070892333984375,0
What waitress will Christopher listen to?,What will Christopher listen to waitress?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,52,-47.5614013671875,-47.784629821777344,1
Which trucks has a guest concealed?,Which has a guest concealed trucks?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,53,-46.57228469848633,-45.05118179321289,0
Which alumnus has this screen shocked?,Which has this screen shocked alumnus?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,54,-61.926048278808594,-61.97922134399414,1
Which dancers did that skirt annoy?,Which did that skirt annoy dancers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,55,-52.04536437988281,-49.4798583984375,0
Which eyes might Jacqueline clean?,Which might Jacqueline clean eyes?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,56,-52.11660385131836,-48.228118896484375,0
What high school does Melissa walk through?,What does Melissa walk through high school?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,57,-51.54414367675781,-45.38154602050781,0
What student could Karen argue about?,What could Karen argue about student?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,58,-50.97603225708008,-48.65299606323242,0
Which child would Samantha confuse?,Which would Samantha confuse child?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,59,-47.92144775390625,-42.99510192871094,0
What museum can Theodore skate around?,What can Theodore skate around museum?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,60,-58.451446533203125,-55.770530700683594,0
What senators could those newspaper articles scare?,What could those newspaper articles scare senators?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,61,-67.70234680175781,-64.37960052490234,0
What patients have all chairs embarrassed?,What have all chairs embarrassed patients?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,62,-49.27661895751953,-50.123802185058594,1
What malls has Dawn driven to?,What has Dawn driven to malls?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,63,-57.794464111328125,-54.75831604003906,0
Which college campuses had Paula walked through?,Which had Paula walked through college campuses?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,64,-62.4564094543457,-58.96261215209961,0
What offspring should all girls dislike?,What should all girls dislike offspring?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,65,-50.57708740234375,-49.126190185546875,0
Whose art gallery were the Impressionists cleaning?,Whose were the Impressionists cleaning art gallery?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,66,-85.16368103027344,-82.46923828125,0
What glove will Walter sell?,What will Walter sell glove?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,67,-49.014251708984375,-45.843284606933594,0
What pedestrian was Ronald observing?,What was Ronald observing pedestrian?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,68,-53.3333740234375,-50.025054931640625,0
Whose tooth is Candice noticing?,Whose is Candice noticing tooth?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,69,-59.562095642089844,-56.47972106933594,0
Whose ladders is Paul descending?,Whose is Paul descending ladders?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,70,-57.34986877441406,-51.00902557373047,0
What woman had some bird annoyed?,What had some bird annoyed woman?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,71,-45.99468231201172,-45.020851135253906,0
What drivers did this actor fire?,What did this actor fire drivers?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,72,-47.400455474853516,-43.982513427734375,0
Which senator could Samuel return to?,Which could Samuel return to senator?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,73,-54.338165283203125,-50.31694030761719,0
Which hospital were cars bothering?,Which were cars bothering hospital?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,74,-45.55925750732422,-42.596500396728516,0
What dancer could Donna work with?,What could Donna work with dancer?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,75,-50.25884246826172,-45.077850341796875,0
Which banks might most people visit?,Which might most people visit banks?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,76,-49.82954406738281,-46.38641357421875,0
Whose lakes could Benjamin drive to?,Whose could Benjamin drive to lakes?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,77,-62.753143310546875,-59.839256286621094,0
Which bank has some lake distracted?,Which has some lake distracted bank?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,78,-52.237056732177734,-49.50705337524414,0
Which synopses was Russell complaining about?,Which was Russell complaining about synopses?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,79,-67.03414154052734,-64.74140930175781,0
Which closet should Alexander run around?,Which should Alexander run around closet?,syntax,island_effects,left_branch_island_simple_question,True,False,False,True,80,-51.858673095703125,-51.178672790527344,0
