sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
All convertibles weren't there existing.,There weren't all convertibles existing.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,0,1.0725231985633634,1.4969998716830268,-0.4244766731196634,0,-62.58849600702524,-58.80653617531061,-71.16868159553215,-70.78253514877483,8,8
Every fish was there astounding Sally.,There was every fish astounding Sally.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,1,0.34051940416135046,0.4958585830614248,-0.15533917890007432,0,-57.592745542526245,-56.12033438682556,-59.9763813716557,-59.591344468255535,7,7
All sisters of Roger weren't there going to this school.,There weren't all sisters of Roger going to this school.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,2,1.3285542774937416,1.0500603840001286,0.278493893493613,1,-69.10414651036263,-72.05992678552866,-85.04679784028752,-84.6606513935302,12,12
Every documentary is there annoying Anna.,There is every documentary annoying Anna.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,3,0.869933150044597,1.5477116895632617,-0.6777785395186646,0,-54.4094272851944,-49.279940605163574,-60.49895933550658,-60.113922432106406,7,7
Each government was there hurting Rhonda.,There was each government hurting Rhonda.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,4,0.8568587936381569,0.7590240927153609,0.097834700922796,1,-65.0273289680481,-64.4948890209198,-71.88219931715335,-70.56708176264269,8,8
Every newspaper article wasn't there wasting away.,There wasn't every newspaper article wasting away.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,5,1.3596644689953368,1.196440391836398,0.16322407715893883,1,-63.88057453930378,-64.96455433033407,-76.11755476026181,-75.73251785686165,9,9
Every student wasn't there leaving Andrew.,There wasn't every student leaving Andrew.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,6,2.0060670797128903,1.8909219721022499,0.11514510761064045,1,-50.23013871908188,-50.76626267656684,-66.278675356785,-65.89363845338484,8,8
Each screen is there alarming Tara.,There is each screen alarming Tara.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,7,0.5223424442124939,0.7465403319276221,-0.22419788771512827,0,-60.2761549949646,-57.39165222644806,-63.93255210445206,-62.617434549941414,7,7
Most universities weren't there hurting this child.,There weren't most universities hurting this child.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,8,1.8887207514064908,1.598091649036699,0.2906291023697918,1,-56.58262265473604,-58.39170394092798,-73.58110941739446,-72.77452878225827,9,9
Each book is there disturbing Margaret.,There is each book disturbing Margaret.,semantics,quantifiers,existential_there_quantifiers_2,True,False,False,False,9,0.5598407796818218,0.5967344260802919,-0.03689364639847015,0,-54.37990868091583,-52.806535601615906,-58.298794138688585,-56.98367658417795,7,7
