sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Lucille's sisters are confused by Amy.,Lucille's sisters are communicated by Amy.,syntax,argument_structure,passive_1,True,False,False,False,0,2.6877612969498252,2.3647933088370063,0.3229679881128189,1,-51.99063193798065,-57.13950061798096,-76.18048361052908,-78.42264039751402,9,9
A lot of hospitals were astounded by some actress.,A lot of hospitals were cooperated by some actress.,syntax,argument_structure,passive_1,True,False,False,False,1,3.1703971732173724,3.074443863639759,0.0959533095776135,1,-53.98745346069336,-55.0803827047348,-88.86182236608445,-88.89926520477215,11,11
Larry's oncologists aren't helped by Spain.,Larry's oncologists aren't struggled by Spain.,syntax,argument_structure,passive_1,True,False,False,False,2,1.4304962143457478,0.9863942773963313,0.44410193694941646,1,-73.06958998925984,-79.96789504773915,-88.80504834706306,-90.8182320990988,11,11
Jeffrey's sons are insulted by Tina's supervisor.,Jeffrey's sons are smiled by Tina's supervisor.,syntax,argument_structure,passive_1,True,False,False,False,3,3.3556694816322787,2.6535184800409635,0.7021510015913153,1,-62.2660596370697,-67.37991827726364,-99.17842393502477,-96.56862155771424,11,11
Tracy isn't fired by Jodi's daughter.,Tracy isn't muttered by Jodi's daughter.,syntax,argument_structure,passive_1,True,False,False,False,4,3.1888653618404805,2.845796035194026,0.3430693266464546,1,-57.68669676780701,-62.31644892692566,-92.7642157480523,-93.62020531405994,11,11
Eva's bosses weren't cared for by drivers.,Eva's bosses weren't interacted by drivers.,syntax,argument_structure,passive_1,True,False,False,False,5,1.856909082731289,1.982243739471228,-0.12533465673993893,0,-67.01641336083412,-66.05960264801979,-85.58550418814701,-83.89979630326084,10,9
Some guys are disgusted by Angela.,Some guys are corresponded by Angela.,syntax,argument_structure,passive_1,True,False,False,False,6,2.441157210177669,2.673944228862549,-0.23278701868487994,0,-42.60323119163513,-46.731858015060425,-59.69133166287882,-68.12341184596082,7,8
That guest's supervisor wasn't disliked by Wayne's partners.,That guest's supervisor wasn't screamed by Wayne's partners.,syntax,argument_structure,passive_1,True,False,False,False,7,2.109338368087395,2.02447156042412,0.08486680766327481,1,-76.78426855057478,-77.05140470713377,-102.09632896762352,-101.34506343222321,12,12
Curtis was distracted by these high schools.,Curtis was argued by these high schools.,syntax,argument_structure,passive_1,True,False,False,False,8,2.264391911507869,1.9140050619654345,0.3503868495424345,1,-58.13207399845123,-61.30649769306183,-80.77599311352992,-80.44654831271617,10,10
David wasn't disgusted by these hospitals.,David wasn't shouted by these hospitals.,syntax,argument_structure,passive_1,True,False,False,False,9,2.0597662380536086,1.5929808747826737,0.4667853632709349,1,-50.75390895456076,-52.25764378160238,-67.23203885898963,-65.00149077986377,8,8
The students weren't approached by Amy.,The students weren't shouted by Amy.,syntax,argument_structure,passive_1,True,False,False,False,10,2.020781300210383,1.9559101696581118,0.06487113055227134,1,-47.70735001936555,-47.47565472498536,-63.873600421048614,-63.122936082250256,8,8
The teenagers are irritated by that coat.,The teenagers are flirted by that coat.,syntax,argument_structure,passive_1,True,False,False,False,11,1.5162511754641592,2.0668673949905068,-0.5506162195263475,0,-52.07095694541931,-55.18727993965149,-64.20096634913259,-73.78908649456605,8,9
Girls' students were alarmed by Brenda.,Girls' students were chatted by Brenda.,syntax,argument_structure,passive_1,True,False,False,False,12,1.8235459442085968,2.529284452308149,-0.705738508099552,0,-56.02845811843872,-56.744147062301636,-70.6168256721075,-79.50770713307497,8,9
Thomas's oncologist isn't talked about by a student.,Thomas's oncologist isn't laughed by a student.,syntax,argument_structure,passive_1,True,False,False,False,13,1.1664094155302744,0.7992312607449416,0.3671781547853329,1,-80.58583531947806,-79.31992731662467,-95.74915772137163,-88.91070244556397,13,12
Karen isn't remembered by Homer.,Karen isn't joked around by Homer.,syntax,argument_structure,passive_1,True,False,False,False,14,2.587447940767987,2.1261200211187816,0.4613279196492055,1,-44.495452848263085,-57.6468586595729,-65.19503637440698,-76.78193884964193,8,9
The Impressionists aren't concealed by all banks.,The Impressionists aren't competed by all banks.,syntax,argument_structure,passive_1,True,False,False,False,15,3.2919375937502378,3.034582372208689,0.25735522154154866,1,-61.381288051605225,-62.959242820739746,-97.59260158285784,-96.33964891503533,11,11
Nicole's daughters were scanned by Vincent's mother.,Nicole's daughters were communicated by Vincent's mother.,syntax,argument_structure,passive_1,True,False,False,False,16,2.239061974547845,2.3059205191657437,-0.06685854461789864,0,-67.82693761587143,-67.57901310920715,-92.45661933589773,-92.94413882003033,11,11
