sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Tara would ascertain it to be noteworthy that Kenneth didn't wash.,Tara wouldn't entice it to be noteworthy that Kenneth didn't wash.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,0,-86.09284973144531,-90.3893051147461,1
Carla could declare it to be not so important that these doctors observe Rhonda.,Carla can convince it to be not so important that these doctors observe Rhonda.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,1,-92.30425262451172,-93.021728515625,1
Nina anticipated it to be nice that Jacqueline exists.,Nina obligated it to be nice that Jacqueline exists.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,2,-66.7023696899414,-73.18218231201172,1
Some granddaughter of Bruce did find it to be expected that a lot of legislatures try to conceal Colleen.,Some granddaughter of Bruce would force it to be expected that a lot of legislatures try to conceal Colleen.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,3,-112.41917419433594,-114.5732421875,1
Charles's brothers hadn't considered it to be not so amusing that every man exercised.,Charles's brothers motivate it to be not so amusing that every man exercised.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,4,-84.90522766113281,-84.35897064208984,0
Maria discovers it to be not so good that Karla couldn't need Carlos to question Candice.,Maria shouldn't ask it to be not so good that Karla couldn't need Carlos to question Candice.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,5,-110.96076965332031,-119.21154022216797,1
Walter considers it to be lucky that Angela walks through many museums.,Walter hadn't pressed it to be lucky that Angela walks through many museums.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,6,-77.3846435546875,-91.46942138671875,1
Noah can't predict it to be not so funny that some pasta blackens.,Noah is pressuring it to be not so funny that some pasta blackens.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,7,-98.38166809082031,-97.23591613769531,0
Aaron was predicting it to be amusing that Bradley motivates Jennifer to yawn.,Aaron asked it to be amusing that Bradley motivates Jennifer to yawn.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,8,-89.69605255126953,-84.07360076904297,0
Ronald does need it to be not so pleasant that those actors hide away.,Ronald asked it to be not so pleasant that those actors hide away.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,9,-84.40009307861328,-79.825927734375,0
Michelle's mentors anticipate it to be bad that the Impressionists were hugging.,Michelle's mentors do tempt it to be bad that the Impressionists were hugging.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,10,-93.73175811767578,-99.02000427246094,1
Winston Churchill found it to be not so obvious that Jill isn't wearing that hat.,Winston Churchill commissioned it to be not so obvious that Jill isn't wearing that hat.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,11,-90.80537414550781,-97.2879638671875,1
Jane believed it to be not so amusing that Heidi wouldn't blink.,Jane hadn't enticed it to be not so amusing that Heidi wouldn't blink.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,12,-69.87153625488281,-83.94924926757812,1
Jacqueline ascertains it to be nice that Adam was disturbing Guy.,Jacqueline would spur it to be nice that Adam was disturbing Guy.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,13,-91.64971160888672,-91.72392272949219,1
Tanya is needing it to be expected that Sharon couldn't forget about who talks to Kenneth.,Tanya had ordered it to be expected that Sharon couldn't forget about who talks to Kenneth.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,14,-107.45668029785156,-101.87388610839844,0
Girls hadn't needed it to be not so surprising that many actresses observe Gary.,Girls prod it to be not so surprising that many actresses observe Gary.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,15,-86.74063110351562,-87.6888427734375,1
Some committee had discovered it to be strange that Denise should entreat Peter to win.,Some committee couldn't entreat it to be strange that Denise should entreat Peter to win.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,16,-98.40248107910156,-109.56504821777344,1
The teenagers' hairdressers discover it to be not so clear that an eye flung open.,The teenagers' hairdressers haven't implored it to be not so clear that an eye flung open.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,17,-109.1548843383789,-121.28490447998047,1
A lot of teenagers' ex-wives anticipate it to be not so important that Jeffrey drinks.,A lot of teenagers' ex-wives did push it to be not so important that Jeffrey drinks.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,18,-112.56707000732422,-116.69886779785156,1
Some nephews of Tammy predict it to be okay that all ladies weren't imploring Charles to scare Steve.,Some nephews of Tammy hadn't compelled it to be okay that all ladies weren't imploring Charles to scare Steve.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,19,-144.82530212402344,-151.96910095214844,1
The guys didn't consider it to be clear that Janet tempted some waiter to confuse David.,The guys persuaded it to be clear that Janet tempted some waiter to confuse David.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,20,-108.2890625,-108.20580291748047,0
Kristen hasn't discovered it to be sad that teachers were responding.,Kristen isn't prodding it to be sad that teachers were responding.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,21,-70.55125427246094,-82.95706176757812,1
Maria's cousins want it to be weird that Jennifer wishes to admire Susan.,Maria's cousins aren't badgering it to be weird that Jennifer wishes to admire Susan.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,22,-85.83544158935547,-112.86639404296875,1
Tracy ascertains it to be noteworthy that Emily didn't order this teenager's tutors to know Florence.,Tracy pressed it to be noteworthy that Emily didn't order this teenager's tutors to know Florence.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,23,-128.57723999023438,-127.14447021484375,0
Catherine's doctor couldn't anticipate it to be too bad that Steven forfeits.,Catherine's doctor couldn't prod it to be too bad that Steven forfeits.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,24,-92.12239074707031,-97.60684967041016,1
Irene judges it to be interesting that Samantha had hoped to argue.,Irene has prodded it to be interesting that Samantha had hoped to argue.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,25,-91.8297348022461,-102.91482543945312,1
Cynthia's granddaughter has expected it to be sad that Beth smiled.,Cynthia's granddaughter compels it to be sad that Beth smiled.,syntax_semantics,control_raising,expletive_it_object_raising,True,False,True,False,26,-83.39901733398438,-89.55110168457031,1
