sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Who should Derek hug after shocking Richard?,Who should Derek hug Richard after shocking?,syntax,island_effects,adjunct_island,True,False,False,True,0,-67.17809295654297,-66.08441162109375,0
What had Theresa walked through while talking about that high school?,What had Theresa walked through that high school while talking about?,syntax,island_effects,adjunct_island,True,False,False,True,1,-64.98255920410156,-62.647254943847656,0
Who will Katherine discover without hiring Erin?,Who will Katherine discover Erin without hiring?,syntax,island_effects,adjunct_island,True,False,False,True,2,-57.0831413269043,-59.428993225097656,1
Who has Colleen aggravated before kissing Judy?,Who has Colleen aggravated Judy before kissing?,syntax,island_effects,adjunct_island,True,False,False,True,3,-69.54779052734375,-71.03730773925781,1
What could a lot of cats break while finding all convertibles?,What could a lot of cats break all convertibles while finding?,syntax,island_effects,adjunct_island,True,False,False,True,4,-75.43253326416016,-80.875,1
Who have most people discovered while embarrassing Erin?,Who have most people discovered Erin while embarrassing?,syntax,island_effects,adjunct_island,True,False,False,True,5,-64.19256591796875,-66.33483123779297,1
Who was William firing before talking about Maria?,Who was William firing Maria before talking about?,syntax,island_effects,adjunct_island,True,False,False,True,6,-58.95426940917969,-62.608890533447266,1
What is Denise descending while hiding a lot of hills?,What is Denise descending a lot of hills while hiding?,syntax,island_effects,adjunct_island,True,False,False,True,7,-69.07476806640625,-68.91488647460938,0
Who does John leave while alarming Beverly?,Who does John leave Beverly while alarming?,syntax,island_effects,adjunct_island,True,False,False,True,8,-69.46453857421875,-65.18585205078125,0
What was Melanie going to after taking those rivers?,What was Melanie going to those rivers after taking?,syntax,island_effects,adjunct_island,True,False,False,True,9,-65.1566162109375,-65.64128112792969,1
Who could Bethany research before discussing Winston Churchill?,Who could Bethany research Winston Churchill before discussing?,syntax,island_effects,adjunct_island,True,False,False,True,10,-70.71650695800781,-75.59160614013672,1
What could Jessica sell before noticing these spotlights?,What could Jessica sell these spotlights before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,11,-66.39739990234375,-67.68981170654297,1
What had Helen biked to without bothering Spain?,What had Helen biked to Spain without bothering?,syntax,island_effects,adjunct_island,True,False,False,True,12,-74.86956787109375,-67.32441711425781,0
Who is Mary irritating after approaching Kenneth?,Who is Mary irritating Kenneth after approaching?,syntax,island_effects,adjunct_island,True,False,False,True,13,-65.10587310791016,-66.35795593261719,1
Who might Rose flee from before returning to this customer?,Who might Rose flee from this customer before returning to?,syntax,island_effects,adjunct_island,True,False,False,True,14,-68.300537109375,-69.620849609375,1
What will Janice research after boasting about politics?,What will Janice research politics after boasting about?,syntax,island_effects,adjunct_island,True,False,False,True,15,-69.62783813476562,-77.3116683959961,1
Who had Karla aggravated without finding Donald?,Who had Karla aggravated Donald without finding?,syntax,island_effects,adjunct_island,True,False,False,True,16,-66.74964904785156,-69.48486328125,1
Who should a government reference before shocking Jesus?,Who should a government reference Jesus before shocking?,syntax,island_effects,adjunct_island,True,False,False,True,17,-65.31407165527344,-66.58580780029297,1
What had Aaron sounded like while cleaning the museum?,What had Aaron sounded like the museum while cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,18,-67.04747772216797,-67.67770385742188,1
What is Brenda arriving at while exiting many schools?,What is Brenda arriving at many schools while exiting?,syntax,island_effects,adjunct_island,True,False,False,True,19,-72.11858367919922,-65.27375030517578,0
Who is a window hurting without disturbing Sabrina?,Who is a window hurting Sabrina without disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,20,-62.45815658569336,-63.867759704589844,1
Who had Jesus bothered after leaving Lori?,Who had Jesus bothered Lori after leaving?,syntax,island_effects,adjunct_island,True,False,False,True,21,-54.45890426635742,-52.3050422668457,0
Who are a lot of hamsters disgusting while finding Ronald?,Who are a lot of hamsters disgusting Ronald while finding?,syntax,island_effects,adjunct_island,True,False,False,True,22,-76.38394927978516,-80.85916137695312,1
Who could Amelia leave while appreciating Paul?,Who could Amelia leave Paul while appreciating?,syntax,island_effects,adjunct_island,True,False,False,True,23,-61.31779479980469,-61.774375915527344,1
What have many ladies dropped by without talking about all malls?,What have many ladies dropped by all malls without talking about?,syntax,island_effects,adjunct_island,True,False,False,True,24,-73.11488342285156,-71.10177612304688,0
What is Larry dropping by after lifting a grocery store?,What is Larry dropping by a grocery store after lifting?,syntax,island_effects,adjunct_island,True,False,False,True,25,-64.00916290283203,-63.638057708740234,0
Who is that student hugging before stunning Catherine?,Who is that student hugging Catherine before stunning?,syntax,island_effects,adjunct_island,True,False,False,True,26,-71.41172790527344,-71.54771423339844,1
Who were those schools appreciating without scaring Alice?,Who were those schools appreciating Alice without scaring?,syntax,island_effects,adjunct_island,True,False,False,True,27,-72.96627044677734,-74.27774047851562,1
What did Dan sell after revealing some plane?,What did Dan sell some plane after revealing?,syntax,island_effects,adjunct_island,True,False,False,True,28,-61.33692169189453,-60.43853759765625,0
What had Marcus climbed down before buying many mountains?,What had Marcus climbed down many mountains before buying?,syntax,island_effects,adjunct_island,True,False,False,True,29,-70.03280639648438,-66.84598541259766,0
What has Jacqueline scanned before revealing that report?,What has Jacqueline scanned that report before revealing?,syntax,island_effects,adjunct_island,True,False,False,True,30,-69.04800415039062,-68.02916717529297,0
Who is Tanya returning to while astounding Donald?,Who is Tanya returning to Donald while astounding?,syntax,island_effects,adjunct_island,True,False,False,True,31,-74.12771606445312,-72.75975036621094,0
Who had Kirsten referenced without boring Liam?,Who had Kirsten referenced Liam without boring?,syntax,island_effects,adjunct_island,True,False,False,True,32,-69.95069122314453,-67.79927825927734,0
What are some drivers touring after going to every hill?,What are some drivers touring every hill after going to?,syntax,island_effects,adjunct_island,True,False,False,True,33,-70.0111083984375,-69.52213287353516,0
Who would Mark visit while kissing Marla?,Who would Mark visit Marla while kissing?,syntax,island_effects,adjunct_island,True,False,False,True,34,-64.77192687988281,-64.92884826660156,1
What is Scott cleaning after cleaning a pie?,What is Scott cleaning a pie after cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,35,-57.37171936035156,-55.60448455810547,0
Who has some doctor listened to after firing that actress?,Who has some doctor listened to that actress after firing?,syntax,island_effects,adjunct_island,True,False,False,True,36,-71.04402160644531,-68.17220306396484,0
Who has that lady approached after alarming Ellen?,Who has that lady approached Ellen after alarming?,syntax,island_effects,adjunct_island,True,False,False,True,37,-75.31961059570312,-67.58238220214844,0
What can Randolf bike to before discussing the lakes?,What can Randolf bike to the lakes before discussing?,syntax,island_effects,adjunct_island,True,False,False,True,38,-80.22196197509766,-77.8078842163086,0
What had some senator toured before hiding those cafes?,What had some senator toured those cafes before hiding?,syntax,island_effects,adjunct_island,True,False,False,True,39,-75.49920654296875,-73.51183319091797,0
Who was Eric impressing without admiring Christina?,Who was Eric impressing Christina without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,40,-67.74980163574219,-67.86383056640625,1
What do most drivers climb up without noticing most hills?,What do most drivers climb up most hills without noticing?,syntax,island_effects,adjunct_island,True,False,False,True,41,-74.22042846679688,-72.87673950195312,0
Who had Gregory worked with while noticing Julie?,Who had Gregory worked with Julie while noticing?,syntax,island_effects,adjunct_island,True,False,False,True,42,-62.77043151855469,-59.70778274536133,0
Who was Rose astounding while hiding many waiters?,Who was Rose astounding many waiters while hiding?,syntax,island_effects,adjunct_island,True,False,False,True,43,-77.63397216796875,-76.81123352050781,0
What is Karen researching before walking through that mountain?,What is Karen researching that mountain before walking through?,syntax,island_effects,adjunct_island,True,False,False,True,44,-64.77616882324219,-69.75479125976562,1
Who could Dana boast about after disturbing Brenda?,Who could Dana boast about Brenda after disturbing?,syntax,island_effects,adjunct_island,True,False,False,True,45,-73.58965301513672,-71.07437133789062,0
What was this bird aggravating before annoying every hospital?,What was this bird aggravating every hospital before annoying?,syntax,island_effects,adjunct_island,True,False,False,True,46,-77.73987579345703,-77.16941833496094,0
Who had Colleen known after concealing Stephen?,Who had Colleen known Stephen after concealing?,syntax,island_effects,adjunct_island,True,False,False,True,47,-68.85224914550781,-71.92620086669922,1
What are these customers arriving at without alarming Spain?,What are these customers arriving at Spain without alarming?,syntax,island_effects,adjunct_island,True,False,False,True,48,-73.80262756347656,-68.95709991455078,0
What has Angela admired while cleaning shoes?,What has Angela admired shoes while cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,49,-62.128971099853516,-64.06150817871094,1
What is Becky selling before noticing some hospital?,What is Becky selling some hospital before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,50,-66.23098754882812,-65.39341735839844,0
Who had many cashiers concealed after investigating Nina?,Who had many cashiers concealed Nina after investigating?,syntax,island_effects,adjunct_island,True,False,False,True,51,-76.57977294921875,-76.28591918945312,0
Who had Melanie admired before listening to Chad?,Who had Melanie admired Chad before listening to?,syntax,island_effects,adjunct_island,True,False,False,True,52,-59.166229248046875,-59.99943542480469,1
Who does Bethany visit before scaring Amanda?,Who does Bethany visit Amanda before scaring?,syntax,island_effects,adjunct_island,True,False,False,True,53,-68.6905517578125,-69.83128356933594,1
What is Tiffany exiting before climbing down the mountain?,What is Tiffany exiting the mountain before climbing down?,syntax,island_effects,adjunct_island,True,False,False,True,54,-63.95798873901367,-65.5556640625,1
Who had Susan insulted without boring Heather?,Who had Susan insulted Heather without boring?,syntax,island_effects,adjunct_island,True,False,False,True,55,-68.70093536376953,-65.86576843261719,0
Who has Curtis noticed while investigating Steve?,Who has Curtis noticed Steve while investigating?,syntax,island_effects,adjunct_island,True,False,False,True,56,-57.910030364990234,-59.001129150390625,1
Who has Kayla disliked after disgusting Derek?,Who has Kayla disliked Derek after disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,57,-77.1339340209961,-72.45201873779297,0
What is Martin skated around without buying these hospitals?,What is Martin skated around these hospitals without buying?,syntax,island_effects,adjunct_island,True,False,False,True,58,-76.02445220947266,-73.90347290039062,0
What was Beth dropping by after bringing all glaciers?,What was Beth dropping by all glaciers after bringing?,syntax,island_effects,adjunct_island,True,False,False,True,59,-72.32015991210938,-74.31681823730469,1
Who had Rhonda distracted while finding Chad?,Who had Rhonda distracted Chad while finding?,syntax,island_effects,adjunct_island,True,False,False,True,60,-67.22650146484375,-69.09649658203125,1
What has Bethany driven to before biking to a lot of hills?,What has Bethany driven to a lot of hills before biking to?,syntax,island_effects,adjunct_island,True,False,False,True,61,-88.44367218017578,-87.29472351074219,0
Who have the slopes hurt before disgusting a lot of adults?,Who have the slopes hurt a lot of adults before disgusting?,syntax,island_effects,adjunct_island,True,False,False,True,62,-76.1104736328125,-74.75296020507812,0
What will Brad wear before noticing these scarves?,What will Brad wear these scarves before noticing?,syntax,island_effects,adjunct_island,True,False,False,True,63,-65.30506896972656,-68.58480834960938,1
What had Steven boycotted before running around the art gallery?,What had Steven boycotted the art gallery before running around?,syntax,island_effects,adjunct_island,True,False,False,True,64,-86.69305419921875,-89.01347351074219,1
Who do the Borgias like before aggravating Mark?,Who do the Borgias like Mark before aggravating?,syntax,island_effects,adjunct_island,True,False,False,True,65,-78.15666198730469,-74.39257049560547,0
What had the patients resembled without hiding most sketches?,What had the patients resembled most sketches without hiding?,syntax,island_effects,adjunct_island,True,False,False,True,66,-74.818603515625,-73.48690795898438,0
Who would Jesus hug without discovering Bradley?,Who would Jesus hug Bradley without discovering?,syntax,island_effects,adjunct_island,True,False,False,True,67,-61.60882568359375,-59.758155822753906,0
Who has Mark sounded like before finding that doctor?,Who has Mark sounded like that doctor before finding?,syntax,island_effects,adjunct_island,True,False,False,True,68,-67.15190124511719,-69.04164123535156,1
Who has Rebecca fled from without listening to Kirsten?,Who has Rebecca fled from Kirsten without listening to?,syntax,island_effects,adjunct_island,True,False,False,True,69,-67.6336441040039,-69.16494750976562,1
Who was Ellen escaping from before curing Julia?,Who was Ellen escaping from Julia before curing?,syntax,island_effects,adjunct_island,True,False,False,True,70,-70.15403747558594,-67.83020782470703,0
What does Travis fix after breaking every carriage?,What does Travis fix every carriage after breaking?,syntax,island_effects,adjunct_island,True,False,False,True,71,-65.37855529785156,-63.49451446533203,0
What might Tanya walk through after hiding every cafe?,What might Tanya walk through every cafe after hiding?,syntax,island_effects,adjunct_island,True,False,False,True,72,-75.91636657714844,-73.67256164550781,0
What has Ella brought after finding all icicles?,What has Ella brought all icicles after finding?,syntax,island_effects,adjunct_island,True,False,False,True,73,-75.18580627441406,-76.6391372680664,1
What was Valerie selling after climbing down some slope?,What was Valerie selling some slope after climbing down?,syntax,island_effects,adjunct_island,True,False,False,True,74,-74.87164306640625,-78.85674285888672,1
What could Douglas bike to without admiring every mountain?,What could Douglas bike to every mountain without admiring?,syntax,island_effects,adjunct_island,True,False,False,True,75,-82.26478576660156,-76.97291564941406,0
What would those teenagers research before boycotting some malls?,What would those teenagers research some malls before boycotting?,syntax,island_effects,adjunct_island,True,False,False,True,76,-70.91544342041016,-76.96884155273438,1
What can Dan clean before cleaning every screen?,What can Dan clean every screen before cleaning?,syntax,island_effects,adjunct_island,True,False,False,True,77,-57.32876205444336,-55.83070373535156,0
Who would Deborah see while hugging Christina?,Who would Deborah see Christina while hugging?,syntax,island_effects,adjunct_island,True,False,False,True,78,-60.633182525634766,-57.334129333496094,0
Who can Gregory talk about before hugging Emily?,Who can Gregory talk about Emily before hugging?,syntax,island_effects,adjunct_island,True,False,False,True,79,-59.93503952026367,-57.138465881347656,0
What should Elaine argue about before admiring books?,What should Elaine argue about books before admiring?,syntax,island_effects,adjunct_island,True,False,False,True,80,-63.6441650390625,-68.95625305175781,1
What had Jason dropped by before selling those schools?,What had Jason dropped by those schools before selling?,syntax,island_effects,adjunct_island,True,False,False,True,81,-68.77233123779297,-68.09248352050781,0
What will the guys notice before shocking a lot of museums?,What will the guys notice a lot of museums before shocking?,syntax,island_effects,adjunct_island,True,False,False,True,82,-75.24356842041016,-73.26545715332031,0
Who could Monet worry while thinking about Dana?,Who could Monet worry Dana while thinking about?,syntax,island_effects,adjunct_island,True,False,False,True,83,-68.30622863769531,-75.38113403320312,1
Who could Thomas observe without distracting Peter?,Who could Thomas observe Peter without distracting?,syntax,island_effects,adjunct_island,True,False,False,True,84,-60.675594329833984,-61.05390167236328,1
Who has Suzanne admired after scaring Connie?,Who has Suzanne admired Connie after scaring?,syntax,island_effects,adjunct_island,True,False,False,True,85,-71.97998046875,-71.64969635009766,0
Who can some closets disgust without shocking that dancer?,Who can some closets disgust that dancer without shocking?,syntax,island_effects,adjunct_island,True,False,False,True,86,-85.4021987915039,-87.67372131347656,1
Who has Bruce annoyed while investigating Kevin?,Who has Bruce annoyed Kevin while investigating?,syntax,island_effects,adjunct_island,True,False,False,True,87,-64.57971954345703,-62.80462646484375,0
