sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Tamara really exited those mountains.,Tamara ever exited those mountains.,semantics,npi_licensing,npi_present_2,True,True,False,False,0,1.668868247414078,1.7440299843650362,-0.07516173695095829,0,-55.66561162471771,-55.85131335258484,-67.34768935661626,-68.05952324314009,7,7
Karen could certainly boycott this association.,Karen could ever boycott this association.,semantics,npi_licensing,npi_present_2,True,True,False,False,1,2.335499928520843,2.311413886772783,0.024086041748059728,1,-52.62309420108795,-51.34447777271271,-71.3070936292547,-69.83578886689497,8,8
Every committee could often sell a river.,Every committee could ever sell a river.,semantics,npi_licensing,npi_present_2,True,True,False,False,2,1.3294276565885497,1.3491884902305635,-0.019760833642013864,0,-54.92923307418823,-54.05784273147583,-65.56465432689663,-64.85135065332034,8,8
Charles had often arrived at those restaurants.,Charles had ever arrived at those restaurants.,semantics,npi_licensing,npi_present_2,True,True,False,False,3,1.8544920091440975,1.7571612466595532,0.09733076248454431,1,-52.034098982810974,-52.09944140911102,-66.87003505596375,-66.15673138238745,8,8
Many skateboards also roll.,Many skateboards ever roll.,semantics,npi_licensing,npi_present_2,True,True,False,False,4,2.642450077014491,2.6225052675806437,0.019944809433847244,1,-41.19584894180298,-41.879398584365845,-57.050549403889924,-57.614430189849706,6,6
Some river really vaporizes.,Some river ever vaporizes.,semantics,npi_licensing,npi_present_2,True,True,False,False,5,1.642295642621195,1.805062763522243,-0.16276712090104795,0,-43.511913895606995,-43.24714505672455,-53.365687751334164,-54.077521637858005,6,6
Guy has really listened to all customers.,Guy has ever listened to all customers.,semantics,npi_licensing,npi_present_2,True,True,False,False,6,1.5053318494844117,1.728118170754355,-0.22278632126994324,0,-52.02039158344269,-50.949934899806976,-64.06304637931798,-64.77488026584182,8,8
Mark certainly struggles.,Mark ever struggles.,semantics,npi_licensing,npi_present_2,True,True,False,False,7,0.10594502227376879,0.5928587360875301,-0.48691371381376136,0,-36.0679407119751,-32.64898109436035,-36.49172080107017,-35.02041603871047,4,4
Ladies also answer.,Ladies ever answer.,semantics,npi_licensing,npi_present_2,True,True,False,False,8,1.9992710709157095,1.6899777739145505,0.30929329700115904,1,-30.972164392471313,-33.08251166343689,-40.96851974704986,-41.53240053300964,5,5
A driver has clearly taken many snakes.,A driver has ever taken many snakes.,semantics,npi_licensing,npi_present_2,True,True,False,False,9,1.492713626638384,1.6899521757351659,-0.19723854909678185,0,-54.32352924346924,-50.274078607559204,-66.26523825657631,-63.79369601344053,8,8
Homer certainly spins around.,Homer ever spins around.,semantics,npi_licensing,npi_present_2,True,True,False,False,10,1.8369371196467543,2.0649334908371295,-0.2279963711903752,0,-43.234822034835815,-40.39553904533386,-54.25644475271634,-52.78513999035664,6,6
