sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Raymond is selling this sketch.,Raymond is selling this sketches.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,0,-37.6661491394043,-42.563697814941406,1
Craig explored that grocery store.,Craig explored that grocery stores.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,1,-33.91898727416992,-35.739418029785156,1
Eva has scared these children.,Eva has scared these child.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,2,-31.089086532592773,-37.17812728881836,1
Marcus would conceal that pamphlet.,Marcus would conceal that pamphlets.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,3,-38.42208480834961,-41.518959045410156,1
Carmen hadn't shocked these customers.,Carmen hadn't shocked these customer.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,4,-57.69783020019531,-63.08982849121094,1
The Impressionists were walking through this library.,The Impressionists were walking through this libraries.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,5,-45.23912811279297,-50.06761169433594,1
Some men weren't touring those cafes.,Some men weren't touring those cafe.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,6,-46.64008331298828,-49.03158187866211,1
Leslie isn't firing that actress.,Leslie isn't firing that actresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,7,-51.343013763427734,-54.21144104003906,1
Jennifer concealed those cups.,Jennifer concealed those cup.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,8,-36.32592010498047,-38.79813003540039,1
A waitress does take those hospitals.,A waitress does take those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,9,-45.76118850708008,-45.55015182495117,0
The man walks through those hospitals.,The man walks through those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,10,-38.59832763671875,-39.03764724731445,1
Winston Churchill boycotts these public parks.,Winston Churchill boycotts these public park.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,11,-58.99882507324219,-62.51478958129883,1
This sock disturbs that customer.,This sock disturbs that customers.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,12,-48.477935791015625,-47.74640655517578,0
William described this movie.,William described this movies.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,13,-24.302886962890625,-28.776046752929688,1
Monet dropped by those libraries.,Monet dropped by those library.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,14,-45.913143157958984,-48.09773254394531,1
Elaine was biking to this bank.,Elaine was biking to this banks.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,15,-46.568389892578125,-49.709686279296875,1
These senators wear that jacket.,These senators wear that jackets.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,16,-39.24372863769531,-40.93791961669922,1
The Lutherans notice that drawing.,The Lutherans notice that drawings.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,17,-50.40045928955078,-51.25202941894531,1
Cheryl is hurting that teacher.,Cheryl is hurting that teachers.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,18,-55.08201217651367,-55.17475509643555,1
Russell might break those cups.,Russell might break those cup.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,19,-33.30408477783203,-33.724857330322266,1
A lot of patients resemble these pictures.,A lot of patients resemble these picture.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,20,-42.71472930908203,-47.163700103759766,1
Vanessa can talk to these doctors.,Vanessa can talk to these doctor.,morphology,determiner_noun_agreement,determiner_noun_agreement_1,True,True,False,True,21,-40.44200897216797,-43.39078140258789,1
