sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Eric imagines himself taking every rug.,Eric imagines himself took every rug.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,0,-61.631813049316406,-61.66268539428711,1
Stacy imagines herself praising this actress.,Stacy imagines herself praises this actress.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,1,-67.28227233886719,-70.4394302368164,1
All pedestrians think about themselves exploring museums.,All pedestrians think about themselves explored museums.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,2,-67.15242004394531,-65.72331237792969,0
Cheryl is forgetting about herself thinking about Beverly.,Cheryl is forgetting about herself thought about Beverly.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,3,-78.5097427368164,-80.48961639404297,1
Some guests imagine themselves exploring a library.,Some guests imagine themselves explored a library.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,4,-61.0018196105957,-61.90585708618164,1
Tonya is thinking about herself listening to Andrew.,Tonya is thinking about herself listened to Andrew.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,5,-62.33949279785156,-67.6528549194336,1
Christina hasn't thought about herself noticing Sheila.,Christina hasn't thought about herself notices Sheila.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,6,-67.19351959228516,-68.72305297851562,1
Ann wouldn't forget about herself passing banks.,Ann wouldn't forget about herself passed banks.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,7,-61.942264556884766,-64.6682357788086,1
These patients think about themselves concealing that girl.,These patients think about themselves concealed that girl.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,8,-63.736873626708984,-63.228878021240234,0
That association is forgetting about itself impressing Renee.,That association is forgetting about itself impresses Renee.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,9,-83.07894897460938,-85.45378875732422,1
Some teachers imagine themselves bringing many carriages.,Some teachers imagine themselves brought many carriages.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,10,-63.253822326660156,-61.095787048339844,0
Stacy won't imagine herself biking to all malls.,Stacy won't imagine herself biked to all malls.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,11,-86.0113754272461,-88.40029907226562,1
Most men forget about themselves climbing down the ladder.,Most men forget about themselves climb down the ladder.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,12,-57.69172668457031,-58.7729606628418,1
Paula hasn't forgotten about herself complaining about Deborah.,Paula hasn't forgotten about herself complained about Deborah.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,13,-66.21159362792969,-70.46048736572266,1
Steven doesn't think about himself listening to Theresa.,Steven doesn't think about himself listened to Theresa.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,14,-55.950439453125,-60.45985794067383,1
The schools think about themselves irritating Paula.,The schools think about themselves irritated Paula.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,15,-60.295318603515625,-61.46148681640625,1
Gregory had forgotten about himself talking to Elaine.,Gregory had forgotten about himself talked to Elaine.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,16,-55.32389831542969,-58.012657165527344,1
Kevin wasn't forgetting about himself breaking a lot of unicycles.,Kevin wasn't forgetting about himself breaks a lot of unicycles.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,17,-83.533447265625,-88.72605895996094,1
Scott would imagine himself dropping by some schools.,Scott would imagine himself dropped by some schools.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,18,-69.11813354492188,-65.58778381347656,0
Guests think about themselves praising Todd.,Guests think about themselves praise Todd.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,19,-61.76618957519531,-64.12200164794922,1
Jane imagines herself exiting a school.,Jane imagines herself exits a school.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,20,-63.222103118896484,-61.28301239013672,0
Brett had imagined himself listening to Jeffrey.,Brett had imagined himself listened to Jeffrey.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,21,-59.1605339050293,-59.9501953125,1
Organizations think about themselves talking to Nancy.,Organizations think about themselves talked to Nancy.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,22,-58.484397888183594,-61.275306701660156,1
Theodore wasn't imagining himself observing the customers.,Theodore wasn't imagining himself observes the customers.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,23,-66.44084167480469,-73.12800598144531,1
Dawn will think about herself curing George.,Dawn will think about herself cured George.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,24,-67.21820831298828,-63.83946228027344,0
Bethany was forgetting about herself questioning Rachelle.,Bethany was forgetting about herself questioned Rachelle.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,25,-82.797607421875,-83.90172576904297,1
Dancers hadn't forgotten about themselves appreciating a public park.,Dancers hadn't forgotten about themselves appreciated a public park.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,26,-83.41182708740234,-83.0760498046875,0
The men forget about themselves taking all hats.,The men forget about themselves took all hats.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,27,-58.104427337646484,-58.40183639526367,1
Steven thinks about himself thinking about this college campus.,Steven thinks about himself thought about this college campus.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,28,-68.60482025146484,-71.08810424804688,1
Becca is forgetting about herself biking to that high school.,Becca is forgetting about herself biked to that high school.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,29,-87.03646850585938,-89.6366195678711,1
Omar thought about himself working with Sheila.,Omar thought about himself worked with Sheila.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,30,-54.99776077270508,-57.72704315185547,1
Irene might imagine herself hugging Lissa.,Irene might imagine herself hugs Lissa.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,31,-66.58607482910156,-69.08683776855469,1
Jacqueline forgot about herself fleeing from these waitresses.,Jacqueline forgot about herself flees from these waitresses.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,32,-91.70901489257812,-93.8782730102539,1
Jerry wasn't thinking about himself returning to Leslie.,Jerry wasn't thinking about himself returned to Leslie.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,33,-57.89287567138672,-57.16859436035156,0
Brett forgot about himself working with Jesus.,Brett forgot about himself worked with Jesus.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,34,-54.653892517089844,-57.9703369140625,1
Dennis hasn't forgotten about himself scaring Paula.,Dennis hasn't forgotten about himself scared Paula.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,35,-66.65196990966797,-62.2353401184082,0
Joseph thought about himself researching an essay.,Joseph thought about himself researches an essay.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,36,-56.18138885498047,-63.70697021484375,1
Frank thought about himself talking to Michelle.,Frank thought about himself talked to Michelle.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,37,-45.51374053955078,-49.96931838989258,1
Amanda forgets about herself hurting Ruth.,Amanda forgets about herself hurt Ruth.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,38,-62.91608428955078,-61.45949172973633,0
Robert imagines himself visiting Joel.,Robert imagines himself visited Joel.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,39,-55.95002365112305,-56.00044250488281,1
Todd shouldn't imagine himself helping William.,Todd shouldn't imagine himself helps William.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,40,-60.47721481323242,-65.05171203613281,1
Victoria hadn't imagined herself discussing Lori.,Victoria hadn't imagined herself discussed Lori.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,41,-71.60997009277344,-70.9171371459961,0
Some governments think about themselves admiring some bread.,Some governments think about themselves admired some bread.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,42,-65.22396087646484,-65.784912109375,1
The Clintons think about themselves disagreeing with Alicia.,The Clintons think about themselves disagree with Alicia.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,43,-73.94329833984375,-67.60527038574219,0
Gerald imagines himself cleaning this painting.,Gerald imagines himself cleaned this painting.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,44,-62.73931884765625,-60.795753479003906,0
Liam forgot about himself thinking about Rose.,Liam forgot about himself thinks about Rose.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,45,-56.781959533691406,-62.98522186279297,1
Raymond did imagine himself distracting Gina.,Raymond did imagine himself distracted Gina.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,46,-64.3298568725586,-62.510986328125,0
Kendra won't think about herself disturbing Colleen.,Kendra won't think about herself disturbs Colleen.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,47,-74.36971282958984,-80.46009826660156,1
Regina imagined herself breaking a lot of forks.,Regina imagined herself broke a lot of forks.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,48,-68.23666381835938,-67.42115020751953,0
Some children imagine themselves bringing a lot of dogs.,Some children imagine themselves brought a lot of dogs.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,49,-54.01551818847656,-52.65425109863281,0
Janet hasn't thought about herself boycotting Harvard University.,Janet hasn't thought about herself boycotted Harvard University.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,50,-82.47479248046875,-91.28509521484375,1
Maria would forget about herself boycotting that committee.,Maria would forget about herself boycotts that committee.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,51,-78.5023422241211,-75.74675750732422,0
Bethany wasn't forgetting about herself insulting Kevin.,Bethany wasn't forgetting about herself insulted Kevin.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,52,-80.55484008789062,-76.32687377929688,0
Most drivers think about themselves scanning the movie.,Most drivers think about themselves scanned the movie.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,53,-58.6827278137207,-58.20634460449219,0
Adults forget about themselves distracting Dawn.,Adults forget about themselves distract Dawn.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,54,-66.22903442382812,-65.8488998413086,0
Florence should think about herself irritating Sharon.,Florence should think about herself irritated Sharon.,syntax/semantics,binding,principle_A_case_2,True,True,False,False,55,-67.31057739257812,-64.61580657958984,0
