sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
The students perform.,The student perform.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,0,1.6723738079741217,1.0802957778314024,0.5920780301427193,1,-25.053192138671875,-27.744343280792236,-31.742687370568362,-32.065526392117846,4,4
The associations talk about Stacey.,The association talk about Stacey.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,1,2.467137603889122,2.1990462961692336,0.2680913077198883,1,-42.07126009464264,-42.74478888511658,-59.341223321866494,-58.138112958301214,7,7
The glove tightens.,The gloves tightens.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,2,0.7042780283327019,1.0170502306855824,-0.3127722023528805,0,-39.29891610145569,-37.02862358093262,-42.8203062431192,-42.11387473436053,5,5
The actresses compromise.,The actress compromise.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,3,0.9458273271920081,-0.08291790461882442,1.0287452318108325,1,-32.59783673286438,-33.67477297782898,-36.38114604163241,-33.34310135935368,4,4
The customer is suffering.,The customers is suffering.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,4,2.168556554978457,1.833057405385027,0.3354991495934301,1,-27.169920325279236,-28.80408799648285,-38.01270310017152,-37.969375023407984,5,5
The cashiers marry.,The cashier marry.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,5,1.5599182439474817,1.8366792298749388,-0.2767609859274571,0,-34.57638692855835,-31.9586501121521,-42.37597814829576,-41.142046261526794,5,5
The hospital appreciates Claire.,The hospitals appreciates Claire.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,6,2.7305264469463495,2.4976900180505055,0.232836428895844,1,-38.71702861785889,-42.418713450431824,-55.100187299536984,-57.40485355873486,6,6
The dress crumples.,The dresses crumples.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,7,1.6626960769957175,1.245457772059229,0.4172383049364885,1,-38.79350459575653,-43.38912332057953,-48.769681057730836,-50.8618699529349,6,6
The customers haven't whispered.,The customer haven't whispered.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,8,2.0128412606730364,1.640439871717189,0.3724013889558473,1,-34.0473241917789,-36.32506060227752,-46.124371755817116,-46.16769983258065,6,6
The adult talks.,The adults talks.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_2,True,False,True,False,9,1.2407745472134213,1.2808037770828928,-0.04002922986947155,0,-25.801787853240967,-27.04715347290039,-30.764886042094652,-32.17036858123196,4,4
