sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Some turtles alarm Kimberley.,Some turtles come here Kimberley.,syntax,argument_structure,transitive,True,False,True,False,0,1.752397682572558,2.5272752097928546,-0.7748775272202966,0,-50.0212516784668,-45.71323084831238,-60.535637773902145,-63.40415731686236,6,7
Diane watched Alan.,Diane screamed Alan.,syntax,argument_structure,transitive,True,False,True,False,1,2.43213209819708,2.686393795864268,-0.2542616976671881,0,-34.16655516624451,-34.787776470184326,-46.32721565722991,-48.219745449505666,5,5
This cousin of Theodore buys some mushroom.,This cousin of Theodore wept some mushroom.,syntax,argument_structure,transitive,True,False,True,False,2,1.4926916218533002,0.9930587560761808,0.4996328657771194,1,-59.08125138282776,-65.9811954498291,-71.02278435765416,-74.91872425451473,8,9
Rhonda was arguing about this nephew of Dana.,Rhonda was going fishing this nephew of Dana.,syntax,argument_structure,transitive,True,False,True,False,3,2.2946679432794355,1.658870537588416,0.6357974056910194,1,-64.76718056201935,-69.8983291387558,-87.7138599948137,-86.48703451463996,10,10
A lot of actresses' nieces have toured that art gallery.,A lot of actresses' nieces have coped that art gallery.,syntax,argument_structure,transitive,True,False,True,False,4,2.3596655368269523,2.1397233901549915,0.21994214667196088,1,-84.4063628911972,-91.224436044693,-117.44168040677454,-123.32028689701787,14,15
Debra wears many skirts.,Debra slumps over many skirts.,syntax,argument_structure,transitive,True,False,True,False,5,1.94840411287662,2.2533340589184974,-0.3049299460418773,0,-45.261114954948425,-55.843225955963135,-56.951539632208146,-73.86989842731111,6,8
Chad's daughters embarrasses Erin's girlfriend.,Chad's daughters screamed Erin's girlfriend.,syntax,argument_structure,transitive,True,False,True,False,6,2.5794124459734804,2.2803712778134457,0.2990411681600347,1,-61.92131495475769,-57.88191485404968,-87.7154394144925,-78.40525635437069,10,9
Elaine criticized Jill.,Elaine shrugs Jill.,syntax,argument_structure,transitive,True,False,True,False,7,1.8734164067179493,1.8127536179385249,0.06066278877942444,1,-40.655630111694336,-46.407968044281006,-50.02271214528408,-57.284489751912155,5,6
The pedestrians question some people.,The pedestrians wave some people.,syntax,argument_structure,transitive,True,False,True,False,8,0.36497943319502824,0.6479175975818343,-0.2829381643868061,0,-45.27870845794678,-45.018638134002686,-47.46858505711695,-48.90614371949369,6,6
Vanessa has gone to a lot of college campuses.,Vanessa has smiled a lot of college campuses.,syntax,argument_structure,transitive,True,False,True,False,9,3.2430486364426994,3.1781557480670672,0.06489288837563212,1,-53.92094999551773,-55.72474205493927,-89.59448499638742,-87.50629953560994,11,10
