sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Steven explains Kayla won't hurt herself.,Kayla explains Steven won't hurt herself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,0,-49.25391387939453,-55.16233825683594,1
Gina explains Alan fires himself.,Alan explains Gina fires himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,1,-52.978675842285156,-46.50179672241211,0
Paul did think Alice hugs herself.,Alice did think Paul hugs herself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,2,-50.05998229980469,-51.40098190307617,1
Beverly imagines Carla's ex-boyfriend hates himself.,Carla's ex-boyfriend imagines Beverly hates himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,3,-88.3922348022461,-80.05546569824219,0
Randolf imagines Kayla sounds like herself.,Kayla imagines Randolf sounds like herself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,4,-63.109928131103516,-72.53463745117188,1
Tonya explains Kevin would boast about himself.,Kevin explains Tonya would boast about himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,5,-54.32101821899414,-54.77577209472656,1
Adam can explain Katherine will describe herself.,Katherine can explain Adam will describe herself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,6,-46.884681701660156,-60.152530670166016,1
Nancy could say every guy hides himself.,Every guy could say Nancy hides himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,7,-53.9061393737793,-50.62165451049805,0
Claire says Lawrence attacks himself.,Lawrence says Claire attacks himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,8,-48.45317840576172,-46.26115798950195,0
Donna explains Gerald could boast about himself.,Gerald explains Donna could boast about himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,9,-58.388790130615234,-61.05021667480469,1
Rachel did explain Steve couldn't praise himself.,Steve did explain Rachel couldn't praise himself.,syntax_semantics,binding,principle_A_domain_3,True,False,True,True,10,-52.72023391723633,-55.211830139160156,1
