sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
There is soon to be a cat existing.,There is willing to be a cat existing.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,0,-46.28135681152344,-43.87016296386719,0
There was bound to be a fish escaping.,There was unable to be a fish escaping.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,1,-45.410057067871094,-43.46553039550781,0
There weren't about to be few prints of this eggplant scaring Paula.,There weren't unwilling to be few prints of this eggplant scaring Paula.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,2,-103.880615234375,-105.8252944946289,1
There were looking to be a lot of children assembling.,There were hoping to be a lot of children assembling.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,3,-50.69476318359375,-50.26863479614258,0
There were likely to be some books about the Borgias disturbing this senator.,There were ready to be some books about the Borgias disturbing this senator.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,4,-88.30349731445312,-87.49122619628906,0
There can't threaten to be hair confusing Travis.,There can't want to be hair confusing Travis.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,5,-60.094337463378906,-52.58228302001953,0
There wasn't about to be a light fading.,There wasn't willing to be a light fading.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,6,-47.9285888671875,-47.55160903930664,0
There are appearing to be many pedestrians falling asleep.,There are neglecting to be many pedestrians falling asleep.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,7,-60.07392501831055,-64.45848846435547,1
There looked to be plates chipping.,There proposed to be plates chipping.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,8,-46.820335388183594,-48.78060531616211,1
There is sure to be chicken falling.,There is eager to be chicken falling.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,9,-41.29847717285156,-43.9851188659668,1
There aren't appearing to be screens disgusting that guy.,There aren't wishing to be screens disgusting that guy.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,10,-69.40445709228516,-68.55976867675781,0
There turned out to be more than three college campuses falling.,There try to be more than three college campuses falling.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,11,-71.98023986816406,-67.98875427246094,0
There appear to be few bananas blackening.,There proposed to be few bananas blackening.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,12,-58.37808609008789,-57.894927978515625,0
There didn't prove to be more than three commentaries confusing Frank.,There didn't bother to be more than three commentaries confusing Frank.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,13,-86.88496398925781,-85.94559478759766,0
There might look to be few associations answering.,There might try to be few associations answering.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,14,-57.632415771484375,-54.83266067504883,0
There were soon to be documentaries astounding Dana.,There were overjoyed to be documentaries astounding Dana.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,15,-61.243865966796875,-75.92683410644531,1
There looked to be no cars distracting Samuel.,There attempt to be no cars distracting Samuel.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,16,-58.5641975402832,-59.620365142822266,1
There weren't unlikely to be a lot of peppers bothering most women.,There weren't unable to be a lot of peppers bothering most women.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,17,-79.13064575195312,-78.38699340820312,0
There is sure to be a screen dropping.,There is unwilling to be a screen dropping.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,18,-46.075557708740234,-48.44117736816406,1
There threaten to be few nephews of Donald waking up.,There wished to be few nephews of Donald waking up.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,19,-74.40425109863281,-71.32929992675781,0
There looked to be a college campus irritating Jennifer.,There attempted to be a college campus irritating Jennifer.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,20,-68.52507781982422,-69.54971313476562,1
There happens to be a pedestrian curing Stephanie.,There continues to be a pedestrian curing Stephanie.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,21,-56.3433952331543,-58.57843780517578,1
There can fail to be a committee forfeiting.,There can like to be a committee forfeiting.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,22,-54.24321746826172,-53.89918899536133,0
There was unlikely to be a committee convincing Caroline to slump over.,There was able to be a committee convincing Caroline to slump over.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,23,-84.80465698242188,-80.26182556152344,0
There were certain to be more than three pictures hurting Sonia.,There were overjoyed to be more than three pictures hurting Sonia.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,24,-68.90121459960938,-81.63938903808594,1
There is turning out to be a doctor yawning.,There is neglecting to be a doctor yawning.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,25,-48.61000061035156,-49.99607467651367,1
There had appeared to be a girl upsetting Rachel.,There had needed to be a girl upsetting Rachel.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,26,-55.04414749145508,-54.672203063964844,0
There weren't likely to be many coats looking like most drawings.,There weren't pleased to be many coats looking like most drawings.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,27,-75.77615356445312,-77.15062713623047,1
There hadn't proven to be a shirt embarrassing Winston Churchill.,There hadn't intended to be a shirt embarrassing Winston Churchill.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,28,-78.23384094238281,-76.62830352783203,0
There aren't sure to be few bicycles boring Homer.,There aren't unwilling to be few bicycles boring Homer.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,29,-72.90171813964844,-73.95184326171875,1
There is soon to be a slope bothering the associations.,There is pleased to be a slope bothering the associations.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,30,-62.281028747558594,-61.6225471496582,0
There would prove to be a print of Richard vanishing.,There would manage to be a print of Richard vanishing.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,31,-58.943199157714844,-58.78651428222656,0
There wouldn't fail to be a bike tipping over.,There wouldn't hope to be a bike tipping over.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,32,-55.77934265136719,-56.250343322753906,1
There have seemed to be fewer than three spotlights shocking Tammy.,There have tried to be fewer than three spotlights shocking Tammy.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,33,-91.29388427734375,-90.07734680175781,0
There were unlikely to be some daughters of a lot of ladies climbing up the slope.,There were unhappy to be some daughters of a lot of ladies climbing up the slope.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,34,-81.18357849121094,-82.09342193603516,1
There were likely to be more than three hats annoying Andrea.,There were ready to be more than three hats annoying Andrea.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,35,-70.50775909423828,-69.2943115234375,0
There weren't turning out to be more than three skirts looking like a print.,There weren't managing to be more than three skirts looking like a print.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,36,-83.83094787597656,-80.95697784423828,0
There are about to be few paintings of some mushroom bothering this guest.,There are anxious to be few paintings of some mushroom bothering this guest.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,37,-86.90745544433594,-89.34835815429688,1
There isn't unlikely to be a guest expecting all companies to work hard.,There isn't happy to be a guest expecting all companies to work hard.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,38,-83.54946899414062,-81.36708068847656,0
There wasn't unlikely to be a teacher forcing Curtis to clean a chair.,There wasn't ready to be a teacher forcing Curtis to clean a chair.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,39,-88.34451293945312,-84.01400756835938,0
There are about to be some paintings of Tara embarrassing Charles.,There are anxious to be some paintings of Tara embarrassing Charles.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,40,-74.37885284423828,-76.65974426269531,1
There aren't unlikely to be few public parks annoying Florence.,There aren't willing to be few public parks annoying Florence.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,41,-82.84248352050781,-80.25489807128906,0
There happened to be some coats warping.,There bother to be some coats warping.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,42,-55.88816833496094,-59.81657791137695,1
There were unlikely to be a lot of teachers needing many women to succeed.,There were unhappy to be a lot of teachers needing many women to succeed.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,43,-74.299072265625,-75.18391418457031,1
There could fail to be fish burning.,There could intend to be fish burning.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,44,-43.252845764160156,-43.390846252441406,1
There wasn't seeming to be a girl disgusting Carolyn.,There wasn't neglecting to be a girl disgusting Carolyn.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,45,-61.982139587402344,-66.59114074707031,1
There isn't unlikely to be an apple impressing Erin.,There isn't able to be an apple impressing Erin.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,46,-67.77095031738281,-63.015560150146484,0
There wasn't unlikely to be broccoli blackening.,There wasn't willing to be broccoli blackening.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,47,-58.978572845458984,-56.018150329589844,0
There fails to be a glove wrinkling.,There manages to be a glove wrinkling.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,48,-48.17338180541992,-49.20880889892578,1
There are proving to be a lot of sweaters scaring Anna.,There are hoping to be a lot of sweaters scaring Anna.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,49,-74.67637634277344,-70.95413208007812,0
There aren't apt to be many birds hurting Lisa.,There aren't unhappy to be many birds hurting Lisa.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,50,-65.14857482910156,-67.2437973022461,1
There is apt to be a cat confusing Kimberley.,There is eager to be a cat confusing Kimberley.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,51,-64.3345947265625,-66.81517028808594,1
There isn't about to be a shoe aggravating some libraries.,There isn't overjoyed to be a shoe aggravating some libraries.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,52,-72.40384674072266,-86.98125457763672,1
There aren't turning out to be more than three plates dropping.,There aren't intending to be more than three plates dropping.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,53,-67.73283386230469,-63.493896484375,0
There should threaten to be few prints bothering a lot of women.,There should yearn to be few prints bothering a lot of women.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,54,-73.53467559814453,-86.44900512695312,1
There seems to be a friend of Jacqueline stunning Chad.,There yearned to be a friend of Jacqueline stunning Chad.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,55,-69.49503326416016,-86.74978637695312,1
There isn't bound to be an adult attempting to forfeit.,There isn't unable to be an adult attempting to forfeit.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,56,-62.76983642578125,-61.745079040527344,0
There are unlikely to be no stories about the Clintons winning.,There are eager to be no stories about the Clintons winning.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,57,-67.13798522949219,-67.93510437011719,1
There weren't unlikely to be more than three glaciers stunning Cynthia.,There weren't unhappy to be more than three glaciers stunning Cynthia.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,58,-82.92031860351562,-85.59200286865234,1
There appears to be an eggplant annoying Patricia.,There needs to be an eggplant annoying Patricia.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,59,-68.20516967773438,-67.33555603027344,0
There hasn't proven to be a woman alarming Jessica.,There hasn't yearned to be a woman alarming Jessica.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,60,-65.54083251953125,-77.82270050048828,1
There is appearing to be a woman leaving Ruth.,There is planning to be a woman leaving Ruth.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,61,-51.18071365356445,-49.93805694580078,0
There could fail to be a convertible upsetting Sally.,There could long to be a convertible upsetting Sally.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,62,-60.332847595214844,-61.35011672973633,1
There wasn't happening to be a cake appearing.,There wasn't needing to be a cake appearing.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,63,-51.262596130371094,-54.41984176635742,1
There would happen to be no stories worrying Carrie.,There would neglect to be no stories worrying Carrie.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,64,-56.456520080566406,-63.7973747253418,1
There can happen to be grandsons of Adam playing.,There can continue to be grandsons of Adam playing.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,65,-67.56034851074219,-69.6561050415039,1
There isn't unlikely to be an art gallery aggravating the university.,There isn't ready to be an art gallery aggravating the university.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,66,-79.35408020019531,-75.96577453613281,0
There could fail to be few socks drying.,There could wish to be few socks drying.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,67,-54.042572021484375,-52.50720977783203,0
There weren't failing to be few dancers driving to many museums.,There weren't continuing to be few dancers driving to many museums.,syntax_semantics,control_raising,existential_there_subject_raising,True,False,False,False,68,-82.29924774169922,-83.0899887084961,1
