sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Patricia had changed.,Patricia had forgotten.,syntax,argument_structure,inchoative,True,False,False,False,0,-29.511096954345703,-30.901769638061523,1
A lot of closets could fling open.,A lot of closets could buy.,syntax,argument_structure,inchoative,True,False,False,False,1,-61.917320251464844,-41.92237091064453,0
All pants loosen.,All pants brought.,syntax,argument_structure,inchoative,True,False,False,False,2,-29.668746948242188,-27.105636596679688,0
Many glasses aren't warping.,Many glasses aren't messing up.,syntax,argument_structure,inchoative,True,False,False,False,3,-47.043033599853516,-40.137237548828125,0
A screen was fading.,A screen was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,4,-28.137752532958984,-26.932113647460938,0
Every mountain sells.,Every mountain climbs down.,syntax,argument_structure,inchoative,True,False,False,False,5,-25.62616729736328,-29.55938720703125,1
All rivers can't melt.,All rivers can't reveal.,syntax,argument_structure,inchoative,True,False,False,False,6,-37.48203659057617,-37.61048889160156,1
That skirt isn't unfolding.,That skirt isn't cleaning.,syntax,argument_structure,inchoative,True,False,False,False,7,-38.030242919921875,-35.31270217895508,0
That shawl shrank.,That shawl reveals.,syntax,argument_structure,inchoative,True,False,False,False,8,-44.70356369018555,-37.32310485839844,0
Those bananas are ripening.,Those bananas are cleaning.,syntax,argument_structure,inchoative,True,False,False,False,9,-39.810203552246094,-31.322494506835938,0
A lot of chairs shattered.,A lot of chairs found.,syntax,argument_structure,inchoative,True,False,False,False,10,-35.58006286621094,-32.83639144897461,0
These carriages have maneuvered.,These carriages have looked like.,syntax,argument_structure,inchoative,True,False,False,False,11,-52.78429412841797,-42.29802703857422,0
Clyde's oncologists weren't reuniting.,Clyde's oncologists weren't boring.,syntax,argument_structure,inchoative,True,False,False,False,12,-78.52766418457031,-70.77061462402344,0
Benjamin's tutors spin around.,Benjamin's tutors respect.,syntax,argument_structure,inchoative,True,False,False,False,13,-53.937477111816406,-45.94159698486328,0
The sock isn't flattening.,The sock isn't wearing.,syntax,argument_structure,inchoative,True,False,False,False,14,-41.1475944519043,-34.2852897644043,0
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,True,False,False,False,15,-35.122562408447266,-32.93703842163086,0
Rivers vaporized.,Rivers pass.,syntax,argument_structure,inchoative,True,False,False,False,16,-31.414825439453125,-24.445369720458984,0
Boys weren't assembling.,Boys weren't leaving.,syntax,argument_structure,inchoative,True,False,False,False,17,-38.07536315917969,-35.63085174560547,0
Planes accelerate.,Planes had.,syntax,argument_structure,inchoative,True,False,False,False,18,-28.158042907714844,-24.329309463500977,0
Many carriages slow.,Many carriages admire.,syntax,argument_structure,inchoative,True,False,False,False,19,-34.68579864501953,-36.929603576660156,1
Diane's granddaughters weren't worrying.,Diane's granddaughters weren't looking like.,syntax,argument_structure,inchoative,True,False,False,False,20,-63.732765197753906,-64.75822448730469,1
Some feet chip.,Some feet have.,syntax,argument_structure,inchoative,True,False,False,False,21,-25.218883514404297,-22.451580047607422,0
A lot of bananas baked.,A lot of bananas brought.,syntax,argument_structure,inchoative,True,False,False,False,22,-37.22154998779297,-37.690528869628906,1
Dennis didn't sit down.,Dennis didn't kiss.,syntax,argument_structure,inchoative,True,False,False,False,23,-33.29119873046875,-34.66868591308594,1
Most glaciers freeze.,Most glaciers look like.,syntax,argument_structure,inchoative,True,False,False,False,24,-28.28418731689453,-31.5935115814209,1
The bicycle wasn't slowing.,The bicycle wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,25,-37.203636169433594,-37.027076721191406,0
Most children move.,Most children looked like.,syntax,argument_structure,inchoative,True,False,False,False,26,-19.240394592285156,-24.488454818725586,1
Ella's grandfathers hurt.,Ella's grandfathers reference.,syntax,argument_structure,inchoative,True,False,False,False,27,-46.477264404296875,-45.82244110107422,0
That sweater twirls.,That sweater took.,syntax,argument_structure,inchoative,True,False,False,False,28,-41.47325897216797,-24.327129364013672,0
A hat folds.,A hat saw.,syntax,argument_structure,inchoative,True,False,False,False,29,-26.96847915649414,-24.87943458557129,0
Some bicycle maneuvers.,Some bicycle had.,syntax,argument_structure,inchoative,True,False,False,False,30,-26.402286529541016,-26.782489776611328,1
A bicycle stopped.,A bicycle liked.,syntax,argument_structure,inchoative,True,False,False,False,31,-26.736433029174805,-27.242897033691406,1
What wrinkles.,What arrives at.,syntax,argument_structure,inchoative,True,False,False,False,32,-16.0317325592041,-21.76025390625,1
All scarves fold.,All scarves admired.,syntax,argument_structure,inchoative,True,False,False,False,33,-33.452327728271484,-34.74945068359375,1
Many gloves twirl.,Many gloves revealed.,syntax,argument_structure,inchoative,True,False,False,False,34,-37.6805534362793,-27.166248321533203,0
Some river vaporizes.,Some river cleaned.,syntax,argument_structure,inchoative,True,False,False,False,35,-34.182151794433594,-25.239484786987305,0
Every father of Randolf hides.,Every father of Randolf aggravated.,syntax,argument_structure,inchoative,True,False,False,False,36,-52.42035675048828,-52.45271301269531,1
A lot of carts had slowed.,A lot of carts had looked like.,syntax,argument_structure,inchoative,True,False,False,False,37,-43.390235900878906,-46.50458526611328,1
This truck slowed.,This truck cleans.,syntax,argument_structure,inchoative,True,False,False,False,38,-25.461135864257812,-22.542186737060547,0
Some windows have flung open.,Some windows have seen.,syntax,argument_structure,inchoative,True,False,False,False,39,-39.357444763183594,-24.085386276245117,0
A coat hadn't shrunk.,A coat hadn't worn.,syntax,argument_structure,inchoative,True,False,False,False,40,-42.66424560546875,-38.11445999145508,0
Danielle's supervisor worries.,Danielle's supervisor astounded.,syntax,argument_structure,inchoative,True,False,False,False,41,-39.24705505371094,-48.44230651855469,1
The sock soaked.,The sock cleaned.,syntax,argument_structure,inchoative,True,False,False,False,42,-28.473501205444336,-26.700401306152344,0
Every candle dims.,Every candle lifted.,syntax,argument_structure,inchoative,True,False,False,False,43,-32.947059631347656,-26.076885223388672,0
The cashier's bosses worried.,The cashier's bosses aggravated.,syntax,argument_structure,inchoative,True,False,False,False,44,-51.03431701660156,-54.735511779785156,1
Those gloves had flattened.,Those gloves had looked like.,syntax,argument_structure,inchoative,True,False,False,False,45,-34.100257873535156,-34.22883224487305,1
A jacket shrank.,A jacket cleaned.,syntax,argument_structure,inchoative,True,False,False,False,46,-33.072044372558594,-24.78517723083496,0
Adam isn't healing.,Adam isn't concealing.,syntax,argument_structure,inchoative,True,False,False,False,47,-26.200607299804688,-34.39533233642578,1
That carriage chipped.,That carriage looked like.,syntax,argument_structure,inchoative,True,False,False,False,48,-32.72331237792969,-32.28438186645508,0
That vase couldn't chip.,That vase couldn't buy.,syntax,argument_structure,inchoative,True,False,False,False,49,-44.525917053222656,-37.867591857910156,0
Most coats didn't tighten.,Most coats didn't reveal.,syntax,argument_structure,inchoative,True,False,False,False,50,-38.27382278442383,-36.667327880859375,0
Those nephews of Alan marry.,Those nephews of Alan disturbed.,syntax,argument_structure,inchoative,True,False,False,False,51,-48.37625503540039,-50.97022247314453,1
That bicycle turned.,That bicycle brought.,syntax,argument_structure,inchoative,True,False,False,False,52,-25.125137329101562,-25.98470687866211,1
A shirt wrinkled.,A shirt has.,syntax,argument_structure,inchoative,True,False,False,False,53,-33.2951774597168,-21.865991592407227,0
These legislatures don't benefit.,These legislatures don't irritate.,syntax,argument_structure,inchoative,True,False,False,False,54,-36.692020416259766,-40.33552169799805,1
All windows closed.,All windows saw.,syntax,argument_structure,inchoative,True,False,False,False,55,-23.356067657470703,-25.72547721862793,1
Some plane crashed.,Some plane lifted.,syntax,argument_structure,inchoative,True,False,False,False,56,-24.105194091796875,-26.853260040283203,1
That unicycle shattered.,That unicycle had.,syntax,argument_structure,inchoative,True,False,False,False,57,-37.32278060913086,-34.53443145751953,0
The glasses are breaking.,The glasses are taking.,syntax,argument_structure,inchoative,True,False,False,False,58,-26.459381103515625,-25.09134864807129,0
Susan's grandsons assemble.,Susan's grandsons complain about.,syntax,argument_structure,inchoative,True,False,False,False,59,-44.952606201171875,-47.324913024902344,1
All candles darken.,All candles admired.,syntax,argument_structure,inchoative,True,False,False,False,60,-35.13577651977539,-28.604915618896484,0
Some lamp wasn't dimming.,Some lamp wasn't lifting.,syntax,argument_structure,inchoative,True,False,False,False,61,-42.50788116455078,-39.448646545410156,0
Stephanie hadn't trained.,Stephanie hadn't escaped from.,syntax,argument_structure,inchoative,True,False,False,False,62,-40.19285202026367,-48.69871139526367,1
Most cucumbers ripened.,Most cucumbers bought.,syntax,argument_structure,inchoative,True,False,False,False,63,-41.26485061645508,-33.63055419921875,0
Jason moves.,Jason talks to.,syntax,argument_structure,inchoative,True,False,False,False,64,-13.854031562805176,-18.791000366210938,1
All bikes won't stop.,All bikes won't like.,syntax,argument_structure,inchoative,True,False,False,False,65,-31.91135597229004,-32.88888931274414,1
Adam hadn't hidden.,Adam hadn't astounded.,syntax,argument_structure,inchoative,True,False,False,False,66,-27.805892944335938,-36.60508728027344,1
Some skirt couldn't soak.,Some skirt couldn't reveal.,syntax,argument_structure,inchoative,True,False,False,False,67,-37.23844909667969,-37.11076354980469,0
Some skirts shrank.,Some skirts liked.,syntax,argument_structure,inchoative,True,False,False,False,68,-36.759033203125,-28.36858367919922,0
These customers weren't spinning around.,These customers weren't describing.,syntax,argument_structure,inchoative,True,False,False,False,69,-40.553218841552734,-36.93873977661133,0
Kenneth's best friends reunited.,Kenneth's best friends dislike.,syntax,argument_structure,inchoative,True,False,False,False,70,-43.858001708984375,-42.912391662597656,0
A lot of apples had blackened.,A lot of apples had concealed.,syntax,argument_structure,inchoative,True,False,False,False,71,-45.94670867919922,-42.28355026245117,0
A lot of peppers grow.,A lot of peppers had.,syntax,argument_structure,inchoative,True,False,False,False,72,-34.27312088012695,-36.110530853271484,1
Some books about the Great Lakes sell.,Some books about the Great Lakes bought.,syntax,argument_structure,inchoative,True,False,False,False,73,-45.60305404663086,-45.138057708740234,0
All trucks can crash.,All trucks can admire.,syntax,argument_structure,inchoative,True,False,False,False,74,-30.915239334106445,-32.12434387207031,1
Those eggplants grow.,Those eggplants brought.,syntax,argument_structure,inchoative,True,False,False,False,75,-40.137943267822266,-41.760780334472656,1
A lot of eyes have shut.,A lot of eyes have found.,syntax,argument_structure,inchoative,True,False,False,False,76,-40.58518981933594,-35.464576721191406,0
Patrick would wash.,Patrick would fire.,syntax,argument_structure,inchoative,True,False,False,False,77,-19.381336212158203,-18.658340454101562,0
That unicycle accelerated.,That unicycle liked.,syntax,argument_structure,inchoative,True,False,False,False,78,-38.39478302001953,-36.645118713378906,0
Carlos isn't waking up.,Carlos isn't hiring.,syntax,argument_structure,inchoative,True,False,False,False,79,-31.89377212524414,-32.13752746582031,1
This casserole wasn't burning.,This casserole wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,80,-49.903812408447266,-51.24016571044922,1
Most coats stretch.,Most coats clean.,syntax,argument_structure,inchoative,True,False,False,False,81,-27.056472778320312,-25.4049129486084,0
Spinach was blackening.,Spinach was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,82,-38.030731201171875,-33.16422653198242,0
Some screen hadn't faded.,Some screen hadn't concealed.,syntax,argument_structure,inchoative,True,False,False,False,83,-38.04773712158203,-38.86585235595703,1
That banana has ripened.,That banana has bought.,syntax,argument_structure,inchoative,True,False,False,False,84,-40.37961196899414,-29.73619842529297,0
Those boxes won't fling open.,Those boxes won't look like.,syntax,argument_structure,inchoative,True,False,False,False,85,-48.205379486083984,-33.407318115234375,0
Those icicles vaporize.,Those icicles revealed.,syntax,argument_structure,inchoative,True,False,False,False,86,-46.344364166259766,-38.586822509765625,0
This lamp has dimmed.,This lamp has found.,syntax,argument_structure,inchoative,True,False,False,False,87,-40.06232833862305,-27.393463134765625,0
A lot of wheelbarrows should stop.,A lot of wheelbarrows should bring.,syntax,argument_structure,inchoative,True,False,False,False,88,-59.74974060058594,-60.751407623291016,1
Mouths haven't closed.,Mouths haven't bought.,syntax,argument_structure,inchoative,True,False,False,False,89,-42.980491638183594,-43.13533401489258,1
Every truck accelerates.,Every truck admired.,syntax,argument_structure,inchoative,True,False,False,False,90,-28.268552780151367,-25.994674682617188,0
Some pants sell.,Some pants have.,syntax,argument_structure,inchoative,True,False,False,False,91,-27.702463150024414,-24.987258911132812,0
Skateboards are crashing.,Skateboards are concealing.,syntax,argument_structure,inchoative,True,False,False,False,92,-36.07544708251953,-44.39238739013672,1
This shirt was stretching.,This shirt was looking like.,syntax,argument_structure,inchoative,True,False,False,False,93,-28.740230560302734,-30.447946548461914,1
Some museums benefit.,Some museums dislike.,syntax,argument_structure,inchoative,True,False,False,False,94,-25.572357177734375,-29.156814575195312,1
The box shut.,The box reveals.,syntax,argument_structure,inchoative,True,False,False,False,95,-22.234357833862305,-21.689599990844727,0
Most gloves crumpled.,Most gloves conceal.,syntax,argument_structure,inchoative,True,False,False,False,96,-41.363121032714844,-28.262020111083984,0
Books sold.,Books brought.,syntax,argument_structure,inchoative,True,False,False,False,97,-13.709524154663086,-15.655303001403809,1
