sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
The women meet.,The woman meet.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,0,1.583996683397892,1.0002031679964922,0.5837935154013998,1,-21.918626070022583,-23.889923095703125,-28.25461280361415,-27.890735767689094,4,4
The child isn't attacking Becky.,The children isn't attacking Becky.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,1,1.8720618375307236,1.8724775922053192,-0.0004157546745955365,0,-41.69280321151018,-41.81328902952373,-54.797236074225246,-54.920632174960964,7,7
The woman cleans every public park.,The women cleans every public park.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,2,1.7499498163848182,1.683424847804593,0.06652496858022516,1,-48.06525540351868,-48.89480721950531,-60.314904118212404,-60.67878115413746,7,7
The man works with some pedestrian.,The men works with some pedestrian.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,3,1.6528423146621591,1.2067269117073525,0.4461154029548067,1,-41.96577334403992,-45.959802865982056,-53.53566954667503,-54.40689124793352,7,7
The men have revealed Christina.,The man have revealed Christina.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,4,1.8569429364528993,1.4725520789758981,0.3843908574770012,1,-37.66852807998657,-39.10365152359009,-48.81018569870397,-47.93896399744548,6,6
The men weren't benefiting.,The man weren't benefiting.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,5,2.6764644438709126,2.355745125000196,0.3207193188707165,1,-32.41334256157279,-33.46643677353859,-48.472129224798266,-47.60090752353977,6,6
The children haven't loved Julie.,The child haven't loved Julie.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,6,2.5088453555575794,1.9438729269155712,0.5649724286420081,1,-36.66261751204729,-40.49402841180563,-54.22453500095035,-54.10113890021463,7,7
The woman is skated around every art gallery.,The women is skated around every art gallery.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,7,2.2406529956772006,2.1308031113409327,0.10984988433626786,1,-60.683810114860535,-62.146185994148254,-83.09034007163254,-83.45421710755758,10,10
The child is breaking most plates.,The children is breaking most plates.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,8,1.3979712768857786,1.0834684334002265,0.31450284348555213,1,-43.86479210853577,-46.18970811367035,-53.65059104673622,-53.773987147471935,7,7
The person was leaving.,The people was leaving.,morphology,subject_verb_agreement,irregular_plural_subject_verb_agreement_2,True,False,True,False,9,1.9166758080445276,1.8070389906548485,0.10963681738967912,1,-24.114677667617798,-23.107823491096497,-33.698056707840436,-32.14301844437074,5,5
