sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Irene had messed up whose rug?,Whose had Irene messed up rug?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,0,1.910864834803343,2.477846602723255,-0.5669817679199118,0,-51.4976492524147,-60.171572640538216,-66.78456793084145,-82.47219206504751,8,9
Edward has returned to which customers?,Which has Edward returned to customers?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,1,0.883992405282406,1.0459174494870231,-0.16192504420461717,0,-50.89206099510193,-51.40066182613373,-57.08000783207877,-58.72208397254289,7,7
Holly is taking which blouse?,Which is Holly taking blouse?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,2,2.022483167800196,1.9935508144360807,0.028932353364115482,1,-49.41841650009155,-48.93225705623627,-65.59828184249312,-62.88711275728883,8,7
All women had known what teachers?,What had all women known teachers?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,3,0.9693851936134225,0.6709915579424462,0.2983936356709762,1,-47.67419481277466,-48.34919762611389,-54.459891168068616,-53.046138531711016,7,7
That truck will hurt which senator?,Which will that truck hurt senator?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,4,0.4948932255424359,0.4925374176276967,0.0023558079147392164,1,-53.85931587219238,-54.64563047885895,-57.323568450989434,-58.093392402252825,7,7
Helen did drive to whose glacier?,Whose did Helen drive to glacier?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,5,0.9976278695940533,1.4327397699451492,-0.4351119003510959,0,-59.94227612018585,-58.17827785015106,-67.92329907693828,-69.64019600971226,8,8
Some documentary has disagreed with what commentaries?,What has some documentary disagreed with commentaries?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,6,1.6401400400745763,1.619117157521482,0.021022882553094258,1,-67.83018603920937,-65.95596444606781,-82.59144639988055,-80.52801886376115,9,9
Cheryl is selling what malls?,What is Cheryl selling malls?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,7,1.3897065783018423,2.417956134675169,-1.0282495563733267,0,-59.13079643249512,-42.419129848480225,-70.24844905890986,-56.92686665653124,8,6
David would cure what snake?,What would David cure snake?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,8,0.6904255467919936,1.2450943533267669,-0.5546688065347732,0,-46.48258113861084,-43.07761836051941,-50.6251344193628,-50.54818448048001,6,6
Theresa did scare which men?,Which did Theresa scare men?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,9,0.750175346904668,1.1615374202568904,-0.4113620733522224,0,-53.0255765914917,-47.72513210773468,-58.276804019824375,-54.69435662927602,7,6
Some chairs should embarrass what guys?,What should some chairs embarrass guys?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,10,0.7321647943907905,0.9486882588506264,-0.21652346445983583,0,-56.68114423751831,-53.102052450180054,-61.806297798253844,-59.74287026213444,7,7
This committee can shock which student?,Which can this committee shock student?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,11,0.5124067176842867,0.47746074639013003,0.034945971294156664,1,-55.720341205596924,-57.058964014053345,-59.30718822938693,-60.401189238784255,7,7
Jane can discover whose dogs?,Whose can Jane discover dogs?,syntax,island_effects,left_branch_island_echo_question,True,False,True,True,12,0.9538299830175809,1.4256598029152983,-0.47182981989771733,0,-48.61800765991211,-53.37586736679077,-54.340987558017595,-63.35548598719786,6,7
