sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Who had the patients' cleaning those banks upset.,Who had the patients' cleaning upset those banks.,syntax,island_effects,sentential_subject_island,True,False,False,True,0,-80.73439025878906,-79.1873550415039,0
Who has the waitress's observing Christine bothered.,Who has the waitress's observing bothered Christine.,syntax,island_effects,sentential_subject_island,True,False,False,True,1,-82.0802001953125,-76.40684509277344,0
Who have a lot of adults' scanning this play disagreed with.,Who have a lot of adults' scanning disagreed with this play.,syntax,island_effects,sentential_subject_island,True,False,False,True,2,-96.48185729980469,-88.93171691894531,0
Who have many women's touring Spain embarrassed.,Who have many women's touring embarrassed Spain.,syntax,island_effects,sentential_subject_island,True,False,False,True,3,-76.58671569824219,-78.46431732177734,1
Who should pedestrians' curing Deanna scare.,Who should pedestrians' curing scare Deanna.,syntax,island_effects,sentential_subject_island,True,False,False,True,4,-84.76078796386719,-83.40834045410156,0
Who are a lot of guys' kissing Heather aggravating.,Who are a lot of guys' kissing aggravating Heather.,syntax,island_effects,sentential_subject_island,True,False,False,True,5,-79.57937622070312,-78.90315246582031,0
Who should a woman's selling the bank distract.,Who should a woman's selling distract the bank.,syntax,island_effects,sentential_subject_island,True,False,False,True,6,-73.93526458740234,-72.04903411865234,0
Who will a lot of waiters' attacking Claire irritate.,Who will a lot of waiters' attacking irritate Claire.,syntax,island_effects,sentential_subject_island,True,False,False,True,7,-90.98706817626953,-92.05081176757812,1
Who have these girls' complaining about Phillip aggravated.,Who have these girls' complaining about aggravated Phillip.,syntax,island_effects,sentential_subject_island,True,False,False,True,8,-73.08096313476562,-78.16275024414062,1
Who had most girls' kissing a lady annoyed.,Who had most girls' kissing annoyed a lady.,syntax,island_effects,sentential_subject_island,True,False,False,True,9,-74.71208953857422,-74.3853530883789,0
Who would those carriages' shocking Sara worry.,Who would those carriages' shocking worry Sara.,syntax,island_effects,sentential_subject_island,True,False,False,True,10,-89.90219116210938,-89.60567474365234,0
Who should all shoes' boring Judy impress.,Who should all shoes' boring impress Judy.,syntax,island_effects,sentential_subject_island,True,False,False,True,11,-83.12103271484375,-81.93547058105469,0
Who have all senators' admiring William distracted.,Who have all senators' admiring distracted William.,syntax,island_effects,sentential_subject_island,True,False,False,True,12,-92.39334106445312,-92.67451477050781,1
Who should many guests' thinking about Leslie scare.,Who should many guests' thinking about scare Leslie.,syntax,island_effects,sentential_subject_island,True,False,False,True,13,-82.11187744140625,-83.04576110839844,1
Who had every museum's boasting about Dana impressed.,Who had every museum's boasting about impressed Dana.,syntax,island_effects,sentential_subject_island,True,False,False,True,14,-89.20604705810547,-91.59446716308594,1
Who have governments' selling the hospital confused.,Who have governments' selling confused the hospital.,syntax,island_effects,sentential_subject_island,True,False,False,True,15,-78.59141540527344,-77.25811767578125,0
Who were a lot of students' embarrassing Becky disgusting.,Who were a lot of students' embarrassing disgusting Becky.,syntax,island_effects,sentential_subject_island,True,False,False,True,16,-83.84750366210938,-80.88601684570312,0
Who will all ladders' irritating most boys embarrass.,Who will all ladders' irritating embarrass most boys.,syntax,island_effects,sentential_subject_island,True,False,False,True,17,-94.61061096191406,-95.62960052490234,1
Who had all ladies' running around Harvard University astounded.,Who had all ladies' running around astounded Harvard University.,syntax,island_effects,sentential_subject_island,True,False,False,True,18,-84.21054077148438,-81.91619873046875,0
Who are many mushrooms' distracting those girls alarming.,Who are many mushrooms' distracting alarming those girls.,syntax,island_effects,sentential_subject_island,True,False,False,True,19,-89.5842514038086,-88.87409973144531,0
Who have the people's walking through Harvard University embarrassed.,Who have the people's walking through embarrassed Harvard University.,syntax,island_effects,sentential_subject_island,True,False,False,True,20,-81.22261047363281,-80.89962768554688,0
Who were these guests' escaping from Tanya shocking.,Who were these guests' escaping from shocking Tanya.,syntax,island_effects,sentential_subject_island,True,False,False,True,21,-79.3316650390625,-77.87750244140625,0
Who had all rabbits' finding Carrie annoyed.,Who had all rabbits' finding annoyed Carrie.,syntax,island_effects,sentential_subject_island,True,False,False,True,22,-90.18061065673828,-86.2075424194336,0
Who have children' investigating Joel alarmed.,Who have children' investigating alarmed Joel.,syntax,island_effects,sentential_subject_island,True,False,False,True,23,-79.11432647705078,-77.70597076416016,0
Who did the man's healing Melinda hurt.,Who did the man's healing hurt Melinda.,syntax,island_effects,sentential_subject_island,True,False,False,True,24,-74.11022186279297,-70.23786163330078,0
Who did students' leaving Jennifer astound.,Who did students' leaving astound Jennifer.,syntax,island_effects,sentential_subject_island,True,False,False,True,25,-77.63197326660156,-77.19232177734375,0
Who would the waiters' questioning Joel upset.,Who would the waiters' questioning upset Joel.,syntax,island_effects,sentential_subject_island,True,False,False,True,26,-78.5328598022461,-77.99755096435547,0
Who is some waitress's researching some universities disturbing.,Who is some waitress's researching disturbing some universities.,syntax,island_effects,sentential_subject_island,True,False,False,True,27,-87.29582977294922,-88.63186645507812,1
Who has a girl's lifting that report sounded like.,Who has a girl's lifting sounded like that report.,syntax,island_effects,sentential_subject_island,True,False,False,True,28,-80.1385726928711,-82.185302734375,1
Who had some lady's passing this school worried.,Who had some lady's passing worried this school.,syntax,island_effects,sentential_subject_island,True,False,False,True,29,-72.45323944091797,-74.03431701660156,1
Who was this dancer's exploring those hospitals disturbing.,Who was this dancer's exploring disturbing those hospitals.,syntax,island_effects,sentential_subject_island,True,False,False,True,30,-89.29841613769531,-89.2501220703125,0
Who were these pedestrians' cleaning many libraries astounding.,Who were these pedestrians' cleaning astounding many libraries.,syntax,island_effects,sentential_subject_island,True,False,False,True,31,-91.88858032226562,-85.6642074584961,0
Who were those governments' talking about Jason astounding.,Who were those governments' talking about astounding Jason.,syntax,island_effects,sentential_subject_island,True,False,False,True,32,-80.44158935546875,-77.35392761230469,0
Who had many teenagers' lifting that school disturbed.,Who had many teenagers' lifting disturbed that school.,syntax,island_effects,sentential_subject_island,True,False,False,True,33,-85.77439880371094,-85.56966400146484,0
Who should this boy's aggravating Curtis worry.,Who should this boy's aggravating worry Curtis.,syntax,island_effects,sentential_subject_island,True,False,False,True,34,-81.7911376953125,-79.76048278808594,0
Who were those teachers' hugging Brett bothering.,Who were those teachers' hugging bothering Brett.,syntax,island_effects,sentential_subject_island,True,False,False,True,35,-83.54354858398438,-85.2571792602539,1
Who have those guests' walking through some libraries astounded.,Who have those guests' walking through astounded some libraries.,syntax,island_effects,sentential_subject_island,True,False,False,True,36,-92.65753936767578,-92.41537475585938,0
Who had the projector's confusing Sandra worried.,Who had the projector's confusing worried Sandra.,syntax,island_effects,sentential_subject_island,True,False,False,True,37,-84.4708023071289,-82.79144287109375,0
Who was some committee's taking the hospitals upsetting.,Who was some committee's taking upsetting the hospitals.,syntax,island_effects,sentential_subject_island,True,False,False,True,38,-88.45889282226562,-81.95311737060547,0
Who were most patients' revealing Douglas impressing.,Who were most patients' revealing impressing Douglas.,syntax,island_effects,sentential_subject_island,True,False,False,True,39,-88.23723602294922,-87.00061798095703,0
Who has this actress's cleaning those schools worried.,Who has this actress's cleaning worried those schools.,syntax,island_effects,sentential_subject_island,True,False,False,True,40,-84.66130828857422,-84.8299789428711,1
Who are many customers' concealing Sonia worrying.,Who are many customers' concealing worrying Sonia.,syntax,island_effects,sentential_subject_island,True,False,False,True,41,-85.65483093261719,-84.00311279296875,0
Who have all senators' complaining about Mary irritated.,Who have all senators' complaining about irritated Mary.,syntax,island_effects,sentential_subject_island,True,False,False,True,42,-86.90721130371094,-82.93705749511719,0
