sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lot of nieces of some actor aren't scared.,A lot of nieces of some actor aren't wept.,syntax,argument_structure,passive_2,True,False,False,False,0,-80.4073486328125,-93.51276397705078,1
Mitchell's grandfathers are forgotten.,Mitchell's grandfathers are concurred.,syntax,argument_structure,passive_2,True,False,False,False,1,-51.26465606689453,-63.300079345703125,1
The Clintons were attacked.,The Clintons were replied.,syntax,argument_structure,passive_2,True,False,False,False,2,-32.43436813354492,-34.51811218261719,1
Most cashiers are disliked.,Most cashiers are flirted.,syntax,argument_structure,passive_2,True,False,False,False,3,-42.49024963378906,-48.92140197753906,1
A lot of libraries were distracted.,A lot of libraries were communicated.,syntax,argument_structure,passive_2,True,False,False,False,4,-42.70451354980469,-41.93840026855469,0
Kristen wasn't visited.,Kristen wasn't muttered.,syntax,argument_structure,passive_2,True,False,False,False,5,-34.10220718383789,-36.67420959472656,1
Stephen was disliked.,Stephen was laughed.,syntax,argument_structure,passive_2,True,False,False,False,6,-25.166133880615234,-21.389535903930664,0
Steve isn't disliked.,Steve isn't lied.,syntax,argument_structure,passive_2,True,False,False,False,7,-27.88864517211914,-25.097347259521484,0
The actresses weren't bored.,The actresses weren't retaliated.,syntax,argument_structure,passive_2,True,False,False,False,8,-36.776702880859375,-45.31536865234375,1
Mary wasn't known.,Mary wasn't cried.,syntax,argument_structure,passive_2,True,False,False,False,9,-26.54248809814453,-26.042865753173828,0
Many teachers aren't visited.,Many teachers aren't conspired.,syntax,argument_structure,passive_2,True,False,False,False,10,-35.28044509887695,-44.319847106933594,1
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,True,False,False,False,11,-57.939125061035156,-68.31187438964844,1
Most actors are described.,Most actors are corresponded.,syntax,argument_structure,passive_2,True,False,False,False,12,-26.905811309814453,-33.352088928222656,1
Some guy's granddaughter was investigated.,Some guy's granddaughter was screamed.,syntax,argument_structure,passive_2,True,False,False,False,13,-43.711021423339844,-44.66743850708008,1
Edward was hurt.,Edward was spoken up.,syntax,argument_structure,passive_2,True,False,False,False,14,-17.577564239501953,-23.09075164794922,1
All companies are bothered.,All companies are argued.,syntax,argument_structure,passive_2,True,False,False,False,15,-27.639495849609375,-27.58527946472168,0
Winston Churchill's French teachers aren't loved.,Winston Churchill's French teachers aren't clashed.,syntax,argument_structure,passive_2,True,False,False,False,16,-66.51667785644531,-71.43882751464844,1
Vincent's partners aren't astounded.,Vincent's partners aren't waved.,syntax,argument_structure,passive_2,True,False,False,False,17,-64.81745910644531,-57.70398712158203,0
Bill was disturbed.,Bill was left.,syntax,argument_structure,passive_2,True,False,False,False,18,-20.257827758789062,-14.823721885681152,0
Cindy was insulted.,Cindy was lied.,syntax,argument_structure,passive_2,True,False,False,False,19,-35.909732818603516,-36.78352355957031,1
Jodi's lawyers were praised.,Jodi's lawyers were struggled.,syntax,argument_structure,passive_2,True,False,False,False,20,-50.575252532958984,-50.99230194091797,1
Most adults' mentees aren't admired.,Most adults' mentees aren't gone fishing.,syntax,argument_structure,passive_2,True,False,False,False,21,-61.793392181396484,-69.10262298583984,1
Paul was kissed.,Paul was screamed.,syntax,argument_structure,passive_2,True,False,False,False,22,-24.267086029052734,-22.553665161132812,0
Many patients were impressed.,Many patients were chatted.,syntax,argument_structure,passive_2,True,False,False,False,23,-25.057432174682617,-35.36697006225586,1
Carl's daughter is fired.,Carl's daughter is shouted.,syntax,argument_structure,passive_2,True,False,False,False,24,-34.373592376708984,-36.523765563964844,1
The mother of Steve is annoyed.,The mother of Steve is sighed.,syntax,argument_structure,passive_2,True,False,False,False,25,-41.424034118652344,-44.18931198120117,1
Kristin's brothers are astounded.,Kristin's brothers are corresponded.,syntax,argument_structure,passive_2,True,False,False,False,26,-50.235626220703125,-46.135047912597656,0
Eric isn't described.,Eric isn't concurred.,syntax,argument_structure,passive_2,True,False,False,False,27,-24.31056785583496,-35.622711181640625,1
Many dancers weren't disagreed with.,Many dancers weren't worked hard.,syntax,argument_structure,passive_2,True,False,False,False,28,-42.698951721191406,-39.138301849365234,0
Homer's teachers weren't scanned.,Homer's teachers weren't clashed.,syntax,argument_structure,passive_2,True,False,False,False,29,-55.276458740234375,-57.05287170410156,1
Carlos wasn't scared.,Carlos wasn't trained.,syntax,argument_structure,passive_2,True,False,False,False,30,-32.283538818359375,-34.22383117675781,1
Those guests weren't discussed.,Those guests weren't flirted.,syntax,argument_structure,passive_2,True,False,False,False,31,-36.84119415283203,-48.974815368652344,1
These people aren't admired.,These people aren't corresponded.,syntax,argument_structure,passive_2,True,False,False,False,32,-30.517044067382812,-35.336647033691406,1
Carla isn't hugged.,Carla isn't wept.,syntax,argument_structure,passive_2,True,False,False,False,33,-34.46352767944336,-41.030792236328125,1
Some government isn't bothered.,Some government isn't communicated.,syntax,argument_structure,passive_2,True,False,False,False,34,-32.3145751953125,-33.61199951171875,1
Craig wasn't bothered.,Craig wasn't grinned.,syntax,argument_structure,passive_2,True,False,False,False,35,-28.306751251220703,-29.339698791503906,1
Guy's nieces aren't distracted.,Guy's nieces aren't nodded.,syntax,argument_structure,passive_2,True,False,False,False,36,-57.14002990722656,-59.75324630737305,1
Those guys were visited.,Those guys were waved.,syntax,argument_structure,passive_2,True,False,False,False,37,-26.078601837158203,-27.88344383239746,1
Derek is hated.,Derek is shrugged.,syntax,argument_structure,passive_2,True,False,False,False,38,-33.59003448486328,-34.39201354980469,1
Frank was hired.,Frank was screamed.,syntax,argument_structure,passive_2,True,False,False,False,39,-18.217771530151367,-20.76241683959961,1
All pedestrians are cared for.,All pedestrians are competed.,syntax,argument_structure,passive_2,True,False,False,False,40,-34.54133224487305,-32.218597412109375,0
This student wasn't helped.,This student wasn't littered.,syntax,argument_structure,passive_2,True,False,False,False,41,-34.55590057373047,-37.67631530761719,1
A lot of guys are loved.,A lot of guys are responded.,syntax,argument_structure,passive_2,True,False,False,False,42,-35.50614929199219,-37.292449951171875,1
Kenneth's doctor isn't talked about.,Kenneth's doctor isn't compromised.,syntax,argument_structure,passive_2,True,False,False,False,43,-45.707763671875,-43.96954345703125,0
The cucumber is admired.,The cucumber is rotted.,syntax,argument_structure,passive_2,True,False,False,False,44,-36.33974075317383,-45.33660888671875,1
Ronald's hairdressers were escaped from.,Ronald's hairdressers were communicated.,syntax,argument_structure,passive_2,True,False,False,False,45,-69.2232666015625,-61.42914581298828,0
Lisa isn't disgusted.,Lisa isn't murmured.,syntax,argument_structure,passive_2,True,False,False,False,46,-26.30836296081543,-33.72566604614258,1
A girl's ex-wife is hurt.,A girl's ex-wife is disagreed.,syntax,argument_structure,passive_2,True,False,False,False,47,-54.98756408691406,-58.94059371948242,1
Vanessa is upset.,Vanessa is cried.,syntax,argument_structure,passive_2,True,False,False,False,48,-27.471681594848633,-30.223983764648438,1
Ellen's mentors aren't upset.,Ellen's mentors aren't retaliated.,syntax,argument_structure,passive_2,True,False,False,False,49,-46.357994079589844,-54.12665557861328,1
Kimberley's nieces weren't helped.,Kimberley's nieces weren't disagreed.,syntax,argument_structure,passive_2,True,False,False,False,50,-67.98933410644531,-69.96284484863281,1
That mushroom is cleaned.,That mushroom is rotted.,syntax,argument_structure,passive_2,True,False,False,False,51,-29.710628509521484,-40.831790924072266,1
This mother of Stephanie isn't aggravated.,This mother of Stephanie isn't fallen asleep.,syntax,argument_structure,passive_2,True,False,False,False,52,-51.450592041015625,-56.07697296142578,1
Every cashier is alarmed.,Every cashier is fallen asleep.,syntax,argument_structure,passive_2,True,False,False,False,53,-36.40200424194336,-44.97538757324219,1
Kevin was irritated.,Kevin was waved.,syntax,argument_structure,passive_2,True,False,False,False,54,-19.485322952270508,-20.378860473632812,1
Jodi's piano teachers are discussed.,Jodi's piano teachers are answered.,syntax,argument_structure,passive_2,True,False,False,False,55,-56.42125701904297,-57.316978454589844,1
Brothers of Sally are left.,Brothers of Sally are negotiated.,syntax,argument_structure,passive_2,True,False,False,False,56,-36.42864227294922,-41.243438720703125,1
Most boys are appreciated.,Most boys are fallen asleep.,syntax,argument_structure,passive_2,True,False,False,False,57,-23.819747924804688,-34.09513854980469,1
Elaine is embarrassed.,Elaine is complained.,syntax,argument_structure,passive_2,True,False,False,False,58,-28.581470489501953,-31.218505859375,1
Danielle's classmates aren't discussed.,Danielle's classmates aren't collaborated.,syntax,argument_structure,passive_2,True,False,False,False,59,-48.735450744628906,-52.32334899902344,1
Renee wasn't seen.,Renee wasn't fallen asleep.,syntax,argument_structure,passive_2,True,False,False,False,60,-31.270296096801758,-42.83667755126953,1
The actress was forgotten.,The actress was left.,syntax,argument_structure,passive_2,True,False,False,False,61,-25.98908042907715,-25.480915069580078,0
Dennis's electrician isn't kissed.,Dennis's electrician isn't murmured.,syntax,argument_structure,passive_2,True,False,False,False,62,-61.88576889038086,-64.88607788085938,1
Rachel's colleague isn't admired.,Rachel's colleague isn't come here.,syntax,argument_structure,passive_2,True,False,False,False,63,-40.491416931152344,-40.296207427978516,0
Omar's daughters are cared for.,Omar's daughters are chatted.,syntax,argument_structure,passive_2,True,False,False,False,64,-49.10997009277344,-51.49288558959961,1
Most guys are described.,Most guys are coped.,syntax,argument_structure,passive_2,True,False,False,False,65,-26.008663177490234,-33.79976272583008,1
A lot of legislatures are shocked.,A lot of legislatures are retaliated.,syntax,argument_structure,passive_2,True,False,False,False,66,-43.19483184814453,-49.325767517089844,1
