sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Some waiters broke this lost foot.,Some waiters broke this lost feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,0,-53.795204162597656,-53.849674224853516,1
The company talks about those big women.,The company talks about those big woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,1,-46.47852325439453,-44.571571350097656,0
This blouse astounds this lost woman.,This blouse astounds this lost women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,2,-66.99207305908203,-65.95752716064453,0
David wasn't kissing these standing children.,David wasn't kissing these standing child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,3,-46.31590270996094,-47.21499252319336,1
This person shouldn't criticize this upset child.,This person shouldn't criticize this upset children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,4,-59.967681884765625,-58.30120086669922,0
These tomatoes astound that concealed person.,These tomatoes astound that concealed people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,5,-60.871192932128906,-58.96924591064453,0
Sally hasn't cleaned these white oxen.,Sally hasn't cleaned these white ox.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,6,-60.947914123535156,-58.62886047363281,0
These doors would astound those happy children.,These doors would astound those happy child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,7,-59.78376007080078,-59.694664001464844,0
Katherine is biking to these red oases.,Katherine is biking to these red oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,8,-66.00283813476562,-65.55146026611328,0
Katherine hadn't praised this lost man.,Katherine hadn't praised this lost men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,9,-59.145755767822266,-58.87176513671875,0
The driver sees that unlucky person.,The driver sees that unlucky people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,10,-45.899200439453125,-45.91297149658203,1
Edward hadn't described this nice woman.,Edward hadn't described this nice women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,11,-44.870384216308594,-46.4169921875,1
Heidi returns to that big woman.,Heidi returns to that big women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,12,-44.82306671142578,-46.904457092285156,1
Sara listened to that unconvinced person.,Sara listened to that unconvinced people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,13,-69.69183349609375,-67.82847595214844,0
Samuel had listened to these concealed people.,Samuel had listened to these concealed person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,14,-54.93999099731445,-57.123207092285156,1
Richard flees from those unconvinced men.,Richard flees from those unconvinced man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,15,-70.43213653564453,-69.70965576171875,0
Monica is cleaning that hidden axis.,Monica is cleaning that hidden axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,16,-52.415977478027344,-51.69544982910156,0
Veronica does break those hard teeth.,Veronica does break those hard tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,17,-55.1822509765625,-57.54994201660156,1
Rachel drove to those blue oases.,Rachel drove to those blue oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,18,-44.716827392578125,-46.18153381347656,1
These cashiers do break this whole tooth.,These cashiers do break this whole teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,19,-62.674537658691406,-61.26564025878906,0
Rose dislikes this bad synopsis.,Rose dislikes this bad synopses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,20,-55.155921936035156,-68.0089111328125,1
Becky had fixed this hard foot.,Becky had fixed this hard feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,21,-41.672000885009766,-41.07080841064453,0
Gerald questioned those unconvinced men.,Gerald questioned those unconvinced man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,22,-73.07369995117188,-71.94296264648438,0
Stacy doesn't impress this determined person.,Stacy doesn't impress this determined people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,23,-59.614837646484375,-57.544349670410156,0
Nina won't run around this smooth oasis.,Nina won't run around this smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,24,-61.52190017700195,-61.61236572265625,1
That committee works with those out in the open women.,That committee works with those out in the open woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,25,-60.62466812133789,-61.834415435791016,1
Most teenagers had complained about these scared men.,Most teenagers had complained about these scared man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,26,-58.47700881958008,-59.48500061035156,1
Bill cures those unsure alumni.,Bill cures those unsure alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,27,-50.37235641479492,-61.24224853515625,1
Derek walked through this smooth oasis.,Derek walked through this smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,28,-60.64875793457031,-60.552337646484375,0
Some waiters work with this hidden person.,Some waiters work with this hidden people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,29,-55.23223876953125,-54.706050872802734,0
Dennis hasn't healed these unconvinced women.,Dennis hasn't healed these unconvinced woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,30,-82.16096496582031,-82.1410903930664,0
Kathleen has this exposed thesis.,Kathleen has this exposed theses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,31,-56.884788513183594,-58.39320373535156,1
Sheila loved those determined people.,Sheila loved those determined person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,32,-49.15657424926758,-51.27199172973633,1
Guy has toured this green oasis.,Guy has toured this green oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,33,-52.913536071777344,-52.40363693237305,0
Some senators go to that purple oasis.,Some senators go to that purple oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,34,-57.26690673828125,-56.78269577026367,0
Anna should scan that bad analysis.,Anna should scan that bad analyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,35,-42.72760772705078,-46.66190719604492,1
Most waitresses notice that red stimulus.,Most waitresses notice that red stimuli.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,36,-60.836875915527344,-61.13165283203125,1
Diana cured those standing alumni.,Diana cured those standing alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,37,-56.5051383972168,-67.75675964355469,1
Ronald discussed that nice man.,Ronald discussed that nice men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,38,-42.47058868408203,-44.60987854003906,1
Tonya won't buy that brown oasis.,Tonya won't buy that brown oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,39,-53.6038703918457,-54.54300308227539,1
Marie argued about that good synopsis.,Marie argued about that good synopses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,40,-43.57391357421875,-59.08283996582031,1
Bradley wasn't skated around that out in the open oasis.,Bradley wasn't skated around that out in the open oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,41,-81.83749389648438,-81.80684661865234,0
Jacqueline wasn't finding that hidden man.,Jacqueline wasn't finding that hidden men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,42,-58.97951126098633,-59.37553024291992,1
Most commentaries hadn't impressed those clever men.,Most commentaries hadn't impressed those clever man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,43,-72.03048706054688,-70.94890594482422,0
Bruce has worked with this lost child.,Bruce has worked with this lost children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,44,-41.676849365234375,-41.05372619628906,0
Karla exits these orange oases.,Karla exits these orange oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,45,-58.075645446777344,-57.75390625,0
Joseph doesn't sound like these hard theses.,Joseph doesn't sound like these hard thesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,46,-53.90571975708008,-48.82982635498047,0
Martha had talked to that out in the open person.,Martha had talked to that out in the open people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,47,-59.62862777709961,-58.34170150756836,0
The vase impresses that excited woman.,The vase impresses that excited women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,48,-63.07203674316406,-64.06732940673828,1
Kevin cleans this purple foot.,Kevin cleans this purple feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,49,-37.23954772949219,-36.124351501464844,0
Sheila could observe this big woman.,Sheila could observe this big women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,50,-46.504234313964844,-48.28590393066406,1
Lisa hugs that young man.,Lisa hugs that young men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,51,-30.416736602783203,-33.732852935791016,1
This waitress explores these black oases.,This waitress explores these black oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,52,-60.120059967041016,-60.69049072265625,1
Janet boasts about that fast person.,Janet boasts about that fast people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,53,-50.79346466064453,-49.534873962402344,0
Scott won't confuse these big people.,Scott won't confuse these big person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,54,-41.4373893737793,-41.008094787597656,0
The movie theater was impressing that sick woman.,The movie theater was impressing that sick women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,55,-65.8236083984375,-66.99095153808594,1
Every carriage hadn't annoyed this sick alumnus.,Every carriage hadn't annoyed this sick alumni.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,56,-75.26678466796875,-66.06497192382812,0
Ronald hadn't discussed those scared people.,Ronald hadn't discussed those scared person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,57,-58.963623046875,-61.58802795410156,1
This hair upsets this determined alumnus.,This hair upsets this determined alumni.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,58,-76.23052978515625,-65.5942153930664,0
Some men have lifted those exposed lice.,Some men have lifted those exposed louse.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,59,-57.83344268798828,-58.74272155761719,1
Matt was criticizing that smart man.,Matt was criticizing that smart men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,60,-41.3806037902832,-42.82354736328125,1
Karen didn't buy this blue nucleus.,Karen didn't buy this blue nuclei.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,61,-50.9252815246582,-54.1170654296875,1
Deanna might dislike this good analysis.,Deanna might dislike this good analyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,62,-53.505210876464844,-57.42177963256836,1
Helen approached this busy woman.,Helen approached this busy women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,63,-46.49498748779297,-48.04124069213867,1
Florence wasn't approaching this unconvinced woman.,Florence wasn't approaching this unconvinced women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,64,-87.09383392333984,-87.10162353515625,1
Rachelle can't appreciate those good synopses.,Rachelle can't appreciate those good synopsis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,65,-68.7210464477539,-54.238853454589844,0
