sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Only the grandsons of the Impressionists who Colleen is appreciating ever encourage Phillip to stretch.,The grandsons of the Impressionists who only Colleen is appreciating ever encourage Phillip to stretch.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,0,-120.29045104980469,-123.61897277832031,1
Only that story about Monet that Mark would research does ever worry Richard.,That story about Monet that only Mark would research does ever worry Richard.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,1,-104.59223175048828,-102.112548828125,0
Only a popsicle that Danielle admires ever freezes.,A popsicle that only Danielle admires ever freezes.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,2,-77.55669403076172,-76.00650024414062,0
Only Naomi's sisters that Martin had questioned ever seem to look like a light.,Naomi's sisters that only Martin had questioned ever seem to look like a light.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,3,-100.37725830078125,-102.29336547851562,1
Only those companies that these associations stun had ever enticed Benjamin's ex-husband to write.,Those companies that only these associations stun had ever enticed Benjamin's ex-husband to write.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,4,-122.26689147949219,-123.47453308105469,1
Only many people who George likes ever clashed.,Many people who only George likes ever clashed.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,5,-78.59638977050781,-76.12187957763672,0
Only Tammy's plumber who a pedestrian has respected ever knows some actors.,Tammy's plumber who only a pedestrian has respected ever knows some actors.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,6,-112.97468566894531,-113.01597595214844,1
Only Douglas's ex-husbands who all photographs looked like ever hurts Peter.,Douglas's ex-husbands who only all photographs looked like ever hurts Peter.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,7,-115.668212890625,-117.43096160888672,1
Only those doctors who Karla respects ever conceal many snakes.,Those doctors who only Karla respects ever conceal many snakes.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,8,-99.06925201416016,-102.1099853515625,1
Only a cousin of Lucille that a lot of rivers have hurt ever learned who have married.,A cousin of Lucille that only a lot of rivers have hurt ever learned who have married.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,9,-122.29742431640625,-120.80266571044922,0
Only Katherine's podiatrist who Sheila discusses ever conceals Mary.,Katherine's podiatrist who only Sheila discusses ever conceals Mary.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,10,-106.51583862304688,-109.06917572021484,1
Only every government that Lawrence confused has ever respected Dana.,Every government that only Lawrence confused has ever respected Dana.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,11,-96.3888168334961,-100.47525024414062,1
Only cashiers' piano teachers that Judy does attack ever disturbed patients.,Cashiers' piano teachers that only Judy does attack ever disturbed patients.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,12,-121.17300415039062,-120.23774719238281,0
Only these shirts that paintings have looked like could ever soak.,These shirts that only paintings have looked like could ever soak.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,13,-84.05136108398438,-87.42910766601562,1
Only cashiers that broccoli was distracting had ever thought about a face.,Cashiers that only broccoli was distracting had ever thought about a face.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,14,-98.72953796386719,-100.95513916015625,1
Only many bicycles that the Impressionists break ever worried the patients.,Many bicycles that only the Impressionists break ever worried the patients.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,15,-107.12822723388672,-101.73921966552734,0
Only Kayla's contractors that these universities have listened to ever die.,Kayla's contractors that only these universities have listened to ever die.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,16,-97.23748779296875,-97.84272003173828,1
Only most grandsons of Wendy who many books disagree with did ever train.,Most grandsons of Wendy who only many books disagree with did ever train.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,17,-108.9898910522461,-111.3175048828125,1
Only every grandson of Adam who many paintings should look like ever climbed up hills.,Every grandson of Adam who only many paintings should look like ever climbed up hills.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,18,-113.37678527832031,-110.7365493774414,0
Only many plays that Craig had discovered ever bothered Monet.,Many plays that only Craig had discovered ever bothered Monet.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,19,-87.33187866210938,-90.67454528808594,1
Only John's teacher that Natalie examines might ever hide away.,John's teacher that only Natalie examines might ever hide away.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,20,-93.33379364013672,-91.29702758789062,0
Only these scarves that Brad has have ever loosened.,These scarves that only Brad has have ever loosened.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,21,-75.62773132324219,-77.27259063720703,1
Only this hat that those pictures looked like ever unfolds.,This hat that only those pictures looked like ever unfolds.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,22,-81.31617736816406,-80.6280746459961,0
Only Martha's student that the boy questioned ever descends most hills.,Martha's student that only the boy questioned ever descends most hills.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,23,-106.7518310546875,-100.9349365234375,0
Only some mirrors that Galileo discovers ever chip.,Some mirrors that only Galileo discovers ever chip.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,24,-74.16893005371094,-77.05170440673828,1
Only some waiters who every guy has approached ever tried to wake up.,Some waiters who only every guy has approached ever tried to wake up.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,25,-86.86834716796875,-91.02801513671875,1
Only most ladies' supervisor who Amy has kissed ever studies.,Most ladies' supervisor who only Amy has kissed ever studies.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,26,-106.76681518554688,-103.93006896972656,0
Only Kendra's French teacher who Brenda fired might ever admire Valerie.,Kendra's French teacher who only Brenda fired might ever admire Valerie.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,27,-104.7264404296875,-107.85459899902344,1
Only steak that Irene notices ever scorched.,Steak that only Irene notices ever scorched.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,28,-79.59562683105469,-80.13187408447266,1
Only this grandson of Sarah who all waitresses are investigating had ever discovered Walter to remember a lot of guys.,This grandson of Sarah who only all waitresses are investigating had ever discovered Walter to remember a lot of guys.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,29,-149.6575927734375,-155.64031982421875,1
Only that actress's senator that Regina was alarming ever concurs.,That actress's senator that only Regina was alarming ever concurs.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,30,-107.10833740234375,-111.8363265991211,1
Only those guys that Edward had listened to had ever brought the coat.,Those guys that only Edward had listened to had ever brought the coat.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,31,-84.85171508789062,-90.92012786865234,1
Only the sock that Larry admires ever warped.,The sock that only Larry admires ever warped.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,32,-81.64949035644531,-82.57489776611328,1
Only that teenager who that hospital has forgotten ever cleaned these art galleries.,That teenager who only that hospital has forgotten ever cleaned these art galleries.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,33,-101.98878479003906,-100.51286315917969,0
Only Frank's teacher that Monet hates had ever ascended the mountains.,Frank's teacher that only Monet hates had ever ascended the mountains.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,34,-98.31260681152344,-96.83968353271484,0
Only Heather's sons that Jerry aggravated had ever struggled.,Heather's sons that only Jerry aggravated had ever struggled.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,35,-88.50396728515625,-88.46537780761719,0
Only Alan's associate who a guest remembers ever resembles a painting.,Alan's associate who only a guest remembers ever resembles a painting.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,36,-101.97792053222656,-97.27323913574219,0
Only many actresses who Melinda fled from had ever needed Vincent to litter.,Many actresses who only Melinda fled from had ever needed Vincent to litter.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,37,-122.64192962646484,-124.5661849975586,1
Only Randolf's grandmother who a lot of guys can aggravate had ever needed to discuss Brad.,Randolf's grandmother who only a lot of guys can aggravate had ever needed to discuss Brad.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,38,-126.55781555175781,-125.0128402709961,0
Only every grandmother of Connie that all waiters are boring had ever known who will regret most shirts were folding.,Every grandmother of Connie that only all waiters are boring had ever known who will regret most shirts were folding.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,39,-160.29913330078125,-163.50611877441406,1
Only these glaciers that Carl arrives at ever appear.,These glaciers that only Carl arrives at ever appear.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,40,-79.15058898925781,-79.3902587890625,1
Only the actor that Adam works with ever thinks about Grace.,The actor that only Adam works with ever thinks about Grace.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,41,-70.85487365722656,-70.92520141601562,1
Only most dresses that Douglas buys can ever flatten.,Most dresses that only Douglas buys can ever flatten.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,42,-80.51924133300781,-80.41392517089844,0
Only a lot of associations that Catherine questions had ever conferred.,A lot of associations that only Catherine questions had ever conferred.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,43,-85.78800964355469,-83.89469146728516,0
Only Christine's ex-boyfriend who some teenagers work with ever obliges Eva to pass some hospital.,Christine's ex-boyfriend who only some teenagers work with ever obliges Eva to pass some hospital.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,44,-131.86154174804688,-132.2635040283203,1
Only glasses that Tammy was messing up can ever soak.,Glasses that only Tammy was messing up can ever soak.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,45,-99.63011932373047,-85.93323516845703,0
Only the granddaughter of Sabrina who Randolf sounds like does ever hope to see.,The granddaughter of Sabrina who only Randolf sounds like does ever hope to see.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,46,-103.96913146972656,-104.50352478027344,1
Only some patient's tutors that that committee works with should ever hide.,Some patient's tutors that only that committee works with should ever hide.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,47,-98.85671997070312,-104.77723693847656,1
Only Elizabeth's doctor who Homer kissed ever remembers Rachel.,Elizabeth's doctor who only Homer kissed ever remembers Rachel.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,48,-84.87113952636719,-90.44631958007812,1
Only the cup that Marcus admired can ever slip.,The cup that only Marcus admired can ever slip.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,49,-75.56634521484375,-80.2445068359375,1
Only the woman who those guests conceal ever went to a lot of libraries.,The woman who only those guests conceal ever went to a lot of libraries.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,50,-88.73162841796875,-93.9470443725586,1
Only the grandson of Christina who most teachers hate ever weeps.,The grandson of Christina who only most teachers hate ever weeps.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,51,-89.06423950195312,-93.38065338134766,1
Only this student that Omar has talked to could ever believe Sherry to mutter.,This student that only Omar has talked to could ever believe Sherry to mutter.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,52,-111.09894561767578,-113.52979278564453,1
Only the carriages that Dennis has ever slip.,The carriages that only Dennis has ever slip.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,53,-70.78994750976562,-70.16203308105469,0
Only those daughters of Patrick that the men find ever come here.,Those daughters of Patrick that only the men find ever come here.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,54,-87.9039306640625,-90.26586151123047,1
Only Derek's podiatrist that a lot of pedestrians know had ever prevented women from going fishing.,Derek's podiatrist that only a lot of pedestrians know had ever prevented women from going fishing.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,55,-121.64884948730469,-119.09715270996094,0
Only Bill's French teacher who that icicle stunned ever hunts.,Bill's French teacher who only that icicle stunned ever hunts.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,56,-110.14373779296875,-103.756103515625,0
Only Becca's piano teacher that Samuel aggravated ever listens to the men.,Becca's piano teacher that only Samuel aggravated ever listens to the men.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,57,-109.91850280761719,-105.93038940429688,0
Only friends of Katherine who some movie has annoyed had ever motivated David to flee from Rose.,Friends of Katherine who only some movie has annoyed had ever motivated David to flee from Rose.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,58,-131.7801971435547,-135.05059814453125,1
Only that grandson of Alan who Kenneth was observing ever praises most actors.,That grandson of Alan who only Kenneth was observing ever praises most actors.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,59,-116.05526733398438,-116.02510833740234,0
Only that dress that that waiter messes up ever dried.,That dress that only that waiter messes up ever dried.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,60,-87.33499908447266,-85.699462890625,0
Only Marcus's best friend who George researched ever changed.,Marcus's best friend who only George researched ever changed.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,61,-83.17564392089844,-78.1855697631836,0
Only Karen's lawyers who that senator forgot should ever ascend these mountains.,Karen's lawyers who only that senator forgot should ever ascend these mountains.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,62,-108.7656021118164,-117.20549011230469,1
Only Ronald's grandfather that every doctor will leave ever wished to spin around.,Ronald's grandfather that only every doctor will leave ever wished to spin around.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,63,-110.91543579101562,-109.12983703613281,0
Only some glass that Carolyn would find ever chipped.,Some glass that only Carolyn would find ever chipped.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,64,-72.27201843261719,-75.63540649414062,1
Only Debra's mentee that a newspaper article upsets ever remembers Cynthia.,Debra's mentee that only a newspaper article upsets ever remembers Cynthia.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,65,-113.62044525146484,-113.15603637695312,0
Only most schools that some actors were passing ever insult Vanessa.,Most schools that only some actors were passing ever insult Vanessa.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,66,-99.78602600097656,-97.95018005371094,0
Only this student who Rachel left could ever spur the children to know Sherry.,This student who only Rachel left could ever spur the children to know Sherry.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,67,-106.85194396972656,-108.05661010742188,1
Only waitresses who Pamela could approach ever pressure Russell to fall asleep.,Waitresses who only Pamela could approach ever pressure Russell to fall asleep.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,68,-101.27340698242188,-96.94835662841797,0
