sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Patricia had changed.,Patricia had forgotten.,syntax,argument_structure,inchoative,True,False,False,False,0,-27.5438175201416,-27.74750518798828,1
A lot of closets could fling open.,A lot of closets could buy.,syntax,argument_structure,inchoative,True,False,False,False,1,-57.083763122558594,-40.24818801879883,0
All pants loosen.,All pants brought.,syntax,argument_structure,inchoative,True,False,False,False,2,-29.439517974853516,-25.186031341552734,0
Many glasses aren't warping.,Many glasses aren't messing up.,syntax,argument_structure,inchoative,True,False,False,False,3,-34.82023239135742,-33.607696533203125,0
A screen was fading.,A screen was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,4,-29.116592407226562,-32.527587890625,1
Every mountain sells.,Every mountain climbs down.,syntax,argument_structure,inchoative,True,False,False,False,5,-27.115745544433594,-26.917606353759766,0
All rivers can't melt.,All rivers can't reveal.,syntax,argument_structure,inchoative,True,False,False,False,6,-34.32976150512695,-35.56306838989258,1
That skirt isn't unfolding.,That skirt isn't cleaning.,syntax,argument_structure,inchoative,True,False,False,False,7,-33.27733612060547,-33.84117126464844,1
That shawl shrank.,That shawl reveals.,syntax,argument_structure,inchoative,True,False,False,False,8,-34.4026985168457,-31.82245635986328,0
Those bananas are ripening.,Those bananas are cleaning.,syntax,argument_structure,inchoative,True,False,False,False,9,-32.5908203125,-27.20073699951172,0
A lot of chairs shattered.,A lot of chairs found.,syntax,argument_structure,inchoative,True,False,False,False,10,-37.569488525390625,-32.716705322265625,0
These carriages have maneuvered.,These carriages have looked like.,syntax,argument_structure,inchoative,True,False,False,False,11,-35.92702102661133,-33.365108489990234,0
Clyde's oncologists weren't reuniting.,Clyde's oncologists weren't boring.,syntax,argument_structure,inchoative,True,False,False,False,12,-69.40693664550781,-62.97370147705078,0
Benjamin's tutors spin around.,Benjamin's tutors respect.,syntax,argument_structure,inchoative,True,False,False,False,13,-51.78703308105469,-45.09428024291992,0
The sock isn't flattening.,The sock isn't wearing.,syntax,argument_structure,inchoative,True,False,False,False,14,-36.00718688964844,-30.564437866210938,0
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,True,False,False,False,15,-38.89320373535156,-34.974971771240234,0
Rivers vaporized.,Rivers pass.,syntax,argument_structure,inchoative,True,False,False,False,16,-32.72417449951172,-25.545970916748047,0
Boys weren't assembling.,Boys weren't leaving.,syntax,argument_structure,inchoative,True,False,False,False,17,-35.82572937011719,-33.1732177734375,0
Planes accelerate.,Planes had.,syntax,argument_structure,inchoative,True,False,False,False,18,-26.810880661010742,-25.312870025634766,0
Many carriages slow.,Many carriages admire.,syntax,argument_structure,inchoative,True,False,False,False,19,-29.202625274658203,-31.597728729248047,1
Diane's granddaughters weren't worrying.,Diane's granddaughters weren't looking like.,syntax,argument_structure,inchoative,True,False,False,False,20,-55.25075912475586,-57.25507736206055,1
Some feet chip.,Some feet have.,syntax,argument_structure,inchoative,True,False,False,False,21,-26.36717414855957,-22.464576721191406,0
A lot of bananas baked.,A lot of bananas brought.,syntax,argument_structure,inchoative,True,False,False,False,22,-34.275604248046875,-35.49811553955078,1
Dennis didn't sit down.,Dennis didn't kiss.,syntax,argument_structure,inchoative,True,False,False,False,23,-32.33147430419922,-34.738826751708984,1
Most glaciers freeze.,Most glaciers look like.,syntax,argument_structure,inchoative,True,False,False,False,24,-26.380779266357422,-27.452482223510742,1
The bicycle wasn't slowing.,The bicycle wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,25,-33.20842742919922,-35.557647705078125,1
Most children move.,Most children looked like.,syntax,argument_structure,inchoative,True,False,False,False,26,-20.963314056396484,-27.7811279296875,1
Ella's grandfathers hurt.,Ella's grandfathers reference.,syntax,argument_structure,inchoative,True,False,False,False,27,-48.435203552246094,-47.03834533691406,0
That sweater twirls.,That sweater took.,syntax,argument_structure,inchoative,True,False,False,False,28,-29.512676239013672,-26.34918975830078,0
A hat folds.,A hat saw.,syntax,argument_structure,inchoative,True,False,False,False,29,-27.416921615600586,-25.594539642333984,0
Some bicycle maneuvers.,Some bicycle had.,syntax,argument_structure,inchoative,True,False,False,False,30,-25.162078857421875,-27.248987197875977,1
A bicycle stopped.,A bicycle liked.,syntax,argument_structure,inchoative,True,False,False,False,31,-25.529752731323242,-31.766260147094727,1
What wrinkles.,What arrives at.,syntax,argument_structure,inchoative,True,False,False,False,32,-17.06928825378418,-20.290874481201172,1
All scarves fold.,All scarves admired.,syntax,argument_structure,inchoative,True,False,False,False,33,-30.273685455322266,-32.98499298095703,1
Many gloves twirl.,Many gloves revealed.,syntax,argument_structure,inchoative,True,False,False,False,34,-30.684646606445312,-29.903846740722656,0
Some river vaporizes.,Some river cleaned.,syntax,argument_structure,inchoative,True,False,False,False,35,-31.174503326416016,-29.087480545043945,0
Every father of Randolf hides.,Every father of Randolf aggravated.,syntax,argument_structure,inchoative,True,False,False,False,36,-48.089324951171875,-52.738712310791016,1
A lot of carts had slowed.,A lot of carts had looked like.,syntax,argument_structure,inchoative,True,False,False,False,37,-40.3624267578125,-43.245643615722656,1
This truck slowed.,This truck cleans.,syntax,argument_structure,inchoative,True,False,False,False,38,-26.735748291015625,-27.98305892944336,1
Some windows have flung open.,Some windows have seen.,syntax,argument_structure,inchoative,True,False,False,False,39,-37.99462890625,-25.63524627685547,0
A coat hadn't shrunk.,A coat hadn't worn.,syntax,argument_structure,inchoative,True,False,False,False,40,-37.10765075683594,-33.5074348449707,0
Danielle's supervisor worries.,Danielle's supervisor astounded.,syntax,argument_structure,inchoative,True,False,False,False,41,-36.82768249511719,-43.62480163574219,1
The sock soaked.,The sock cleaned.,syntax,argument_structure,inchoative,True,False,False,False,42,-28.307151794433594,-26.563331604003906,0
Every candle dims.,Every candle lifted.,syntax,argument_structure,inchoative,True,False,False,False,43,-29.633525848388672,-25.804908752441406,0
The cashier's bosses worried.,The cashier's bosses aggravated.,syntax,argument_structure,inchoative,True,False,False,False,44,-47.65666580200195,-51.14397430419922,1
