sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Only the grandsons of the Impressionists who Colleen is appreciating ever encourage Phillip to stretch.,The grandsons of the Impressionists who only Colleen is appreciating ever encourage Phillip to stretch.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,0,-161.0567626953125,-162.0614013671875,1
Only that story about Monet that Mark would research does ever worry Richard.,That story about Monet that only Mark would research does ever worry Richard.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,1,-103.4123306274414,-110.63102722167969,1
Only a popsicle that Danielle admires ever freezes.,A popsicle that only Danielle admires ever freezes.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,2,-86.45623779296875,-94.55455017089844,1
Only Naomi's sisters that Martin had questioned ever seem to look like a light.,Naomi's sisters that only Martin had questioned ever seem to look like a light.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,3,-92.34658813476562,-103.48141479492188,1
Only those companies that these associations stun had ever enticed Benjamin's ex-husband to write.,Those companies that only these associations stun had ever enticed Benjamin's ex-husband to write.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,4,-130.86801147460938,-134.57391357421875,1
Only many people who George likes ever clashed.,Many people who only George likes ever clashed.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,5,-56.63155746459961,-60.295249938964844,1
Only Tammy's plumber who a pedestrian has respected ever knows some actors.,Tammy's plumber who only a pedestrian has respected ever knows some actors.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,6,-114.38980865478516,-113.19786071777344,0
Only Douglas's ex-husbands who all photographs looked like ever hurts Peter.,Douglas's ex-husbands who only all photographs looked like ever hurts Peter.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,7,-119.98823547363281,-127.40359497070312,1
Only those doctors who Karla respects ever conceal many snakes.,Those doctors who only Karla respects ever conceal many snakes.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,8,-92.66106414794922,-94.96891784667969,1
Only a cousin of Lucille that a lot of rivers have hurt ever learned who have married.,A cousin of Lucille that only a lot of rivers have hurt ever learned who have married.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,9,-106.3875732421875,-112.43646240234375,1
Only Katherine's podiatrist who Sheila discusses ever conceals Mary.,Katherine's podiatrist who only Sheila discusses ever conceals Mary.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,10,-128.43212890625,-134.34820556640625,1
Only every government that Lawrence confused has ever respected Dana.,Every government that only Lawrence confused has ever respected Dana.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,11,-81.95455932617188,-86.49142456054688,1
Only cashiers' piano teachers that Judy does attack ever disturbed patients.,Cashiers' piano teachers that only Judy does attack ever disturbed patients.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,12,-114.22435760498047,-113.52102661132812,0
Only these shirts that paintings have looked like could ever soak.,These shirts that only paintings have looked like could ever soak.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,13,-81.78651428222656,-83.50878143310547,1
Only cashiers that broccoli was distracting had ever thought about a face.,Cashiers that only broccoli was distracting had ever thought about a face.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,14,-92.849365234375,-90.86460876464844,0
Only many bicycles that the Impressionists break ever worried the patients.,Many bicycles that only the Impressionists break ever worried the patients.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,15,-94.95417785644531,-96.82006072998047,1
Only Kayla's contractors that these universities have listened to ever die.,Kayla's contractors that only these universities have listened to ever die.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,16,-90.8792495727539,-88.96440124511719,0
Only most grandsons of Wendy who many books disagree with did ever train.,Most grandsons of Wendy who only many books disagree with did ever train.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,17,-112.06405639648438,-110.68653106689453,0
Only every grandson of Adam who many paintings should look like ever climbed up hills.,Every grandson of Adam who only many paintings should look like ever climbed up hills.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,18,-103.01084899902344,-102.90528869628906,0
Only many plays that Craig had discovered ever bothered Monet.,Many plays that only Craig had discovered ever bothered Monet.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,19,-82.122314453125,-82.35197448730469,1
Only John's teacher that Natalie examines might ever hide away.,John's teacher that only Natalie examines might ever hide away.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,20,-85.49970245361328,-85.95948791503906,1
Only these scarves that Brad has have ever loosened.,These scarves that only Brad has have ever loosened.,syntax_semantics,npi_licensing,only_npi_scope,True,False,True,True,21,-80.20204162597656,-82.1186294555664,1
