sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Every hospital isn't about to tempt Tiffany to reference Matt.,Every hospital isn't fun to tempt Tiffany to reference Matt.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,0,-108.63166809082031,-115.8982925415039,1
Rachel was apt to talk to Alicia.,Rachel was exciting to talk to Alicia.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,1,-65.83432006835938,-65.51483154296875,0
This doctor's cousins aren't soon to question Kirsten.,This doctor's cousins aren't interesting to question Kirsten.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,2,-95.83358001708984,-89.8803482055664,0
Sheila is certain to find Stephen to describe this customer.,Sheila is difficult to find Stephen to describe this customer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,3,-85.9525375366211,-92.26695251464844,1
Liam's French teachers were sure to want to aggravate many people.,Liam's French teachers were irritating to want to aggravate many people.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,4,-94.35414123535156,-97.61653900146484,1
Thomas isn't sure to hug Margaret.,Thomas isn't annoying to hug Margaret.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,5,-57.99685287475586,-71.81649017333984,1
Carrie is bound to explore some public park.,Carrie is pleasant to explore some public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,6,-70.44483947753906,-77.99960327148438,1
Timothy is about to respect most guys.,Timothy is annoying to respect most guys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,7,-69.76824951171875,-73.44001770019531,1
Derek's guest is likely to like to forfeit.,Derek's guest is difficult to like to forfeit.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,8,-79.28795623779297,-84.97611999511719,1
Melinda's guests aren't about to yearn to sit down.,Melinda's guests aren't unpleasant to yearn to sit down.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,9,-79.25916290283203,-91.78113555908203,1
Mark wasn't certain to climb down the ladder.,Mark wasn't fun to climb down the ladder.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,10,-60.97357940673828,-66.76665496826172,1
Jesus's tutor wasn't soon to remember Dawn.,Jesus's tutor wasn't tough to remember Dawn.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,11,-90.39649963378906,-95.78668212890625,1
Those organizations were certain to respond.,Those organizations were tough to respond.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,12,-49.03425216674805,-58.63928985595703,1
Bradley isn't soon to encourage Stephanie to scream.,Bradley isn't hard work to encourage Stephanie to scream.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,13,-83.3034896850586,-89.84650421142578,1
Tina wasn't sure to conceal what are profiting.,Tina wasn't exciting to conceal what are profiting.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,14,-94.78788757324219,-100.50447082519531,1
The legislature wasn't unlikely to continue to hug a lot of boys.,The legislature wasn't hard to continue to hug a lot of boys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,15,-85.74498748779297,-86.38495635986328,1
Bruce was sure to remember Gerald.,Bruce was annoying to remember Gerald.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,16,-57.827842712402344,-71.47760772705078,1
Brad's employees aren't likely to retaliate.,Brad's employees aren't irritating to retaliate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,17,-60.80992889404297,-82.5308609008789,1
Jennifer isn't apt to walk through a cafe.,Jennifer isn't difficult to walk through a cafe.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,18,-62.50377655029297,-61.98802947998047,0
Andrea was soon to ascertain Winston Churchill to explore a lot of movie theaters.,Andrea was interesting to ascertain Winston Churchill to explore a lot of movie theaters.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,19,-115.14219665527344,-110.13748168945312,0
Cheryl's daughter isn't sure to find out who work hard.,Cheryl's daughter isn't irritating to find out who work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,20,-86.30047607421875,-96.11100769042969,1
Douglas's cousin isn't sure to entreat Danielle to stand up.,Douglas's cousin isn't irritating to entreat Danielle to stand up.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,21,-103.51617431640625,-109.91731262207031,1
Margaret's nieces aren't unlikely to describe Diana.,Margaret's nieces aren't pleasant to describe Diana.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,22,-91.19898223876953,-91.55349731445312,1
Brian is about to walk through that high school.,Brian is pleasant to walk through that high school.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,23,-58.57500076293945,-72.98313903808594,1
Heidi wasn't certain to like to hate Joseph.,Heidi wasn't easy to like to hate Joseph.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,24,-82.49085998535156,-87.20936584472656,1
Many adults' boss was certain to hide a lot of spotlights.,Many adults' boss was interesting to hide a lot of spotlights.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,25,-103.42291259765625,-103.13883972167969,0
Bradley was apt to clean that hat.,Bradley was tough to clean that hat.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,26,-75.23713684082031,-74.85342407226562,0
Every granddaughter of Renee isn't certain to entice Anne to bike to high schools.,Every granddaughter of Renee isn't irritating to entice Anne to bike to high schools.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,27,-127.94111633300781,-134.90538024902344,1
These plates were certain to scare Andrew.,These plates were exciting to scare Andrew.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,28,-66.55384826660156,-69.55528259277344,1
Andrew wasn't sure to oblige Vanessa's guests to work hard.,Andrew wasn't exciting to oblige Vanessa's guests to work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,29,-101.23994445800781,-107.35737609863281,1
Harvard University was soon to praise Valerie.,Harvard University was hard to praise Valerie.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,30,-81.29019165039062,-90.5113525390625,1
The association isn't apt to cope.,The association isn't hard to cope.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,31,-51.95771789550781,-53.114044189453125,1
The mothers of Alice were certain to figure out who continued to describe these customers.,The mothers of Alice were boring to figure out who continued to describe these customers.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,32,-110.59437561035156,-111.80830383300781,1
Timothy wasn't likely to beg Donna to astound that university.,Timothy wasn't exciting to beg Donna to astound that university.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,33,-105.35531616210938,-116.19790649414062,1
Florence wasn't unlikely to concur.,Florence wasn't hard to concur.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,34,-61.310386657714844,-57.08643341064453,0
These grandfathers of Janice are likely to compete.,These grandfathers of Janice are unpleasant to compete.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,35,-71.07205963134766,-89.39787292480469,1
Irene is likely to appreciate Nina.,Irene is unpleasant to appreciate Nina.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,36,-55.165611267089844,-70.6314697265625,1
Matt wasn't certain to criticize Nancy.,Matt wasn't easy to criticize Nancy.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,37,-66.63398742675781,-69.3521728515625,1
Janice's supervisors weren't about to yearn to exit every college campus.,Janice's supervisors weren't hard to yearn to exit every college campus.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,38,-120.19132995605469,-116.51155090332031,0
Becky isn't apt to respect Jason.,Becky isn't pleasant to respect Jason.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,39,-68.72834777832031,-75.79694366455078,1
Maria was soon to approach Carlos.,Maria was hard to approach Carlos.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,40,-62.487735748291016,-68.3516616821289,1
The people are bound to seem to hide.,The people are fun to seem to hide.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,41,-57.72101593017578,-57.995819091796875,1
Diane's mentor is bound to tempt grandfathers of Carl to blink.,Diane's mentor is unpleasant to tempt grandfathers of Carl to blink.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,42,-129.57131958007812,-133.91790771484375,1
Nancy's electrician wasn't soon to fail to astound Karen.,Nancy's electrician wasn't enjoyable to fail to astound Karen.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,43,-97.35972595214844,-107.36763000488281,1
Frank is likely to laugh.,Frank is hard to laugh.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,44,-43.95899200439453,-50.42386245727539,1
Tina isn't bound to exit every movie theater.,Tina isn't hard to exit every movie theater.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,45,-78.34898376464844,-76.31532287597656,0
Becky was sure to scan those books.,Becky was hard work to scan those books.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,46,-64.18692016601562,-76.50202941894531,1
Leslie wasn't likely to discover the dog to climb down this slope.,Leslie wasn't enjoyable to discover the dog to climb down this slope.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,47,-94.56571197509766,-104.58673095703125,1
All legislatures were soon to stun Steven.,All legislatures were unpleasant to stun Steven.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,48,-76.04379272460938,-80.72966003417969,1
Donald's supervisor wasn't sure to mutter.,Donald's supervisor wasn't difficult to mutter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,49,-74.2391357421875,-77.0048828125,1
Angela wasn't soon to litter.,Angela wasn't annoying to litter.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,50,-61.558677673339844,-68.56672668457031,1
A man wasn't certain to wish to shout.,A man wasn't interesting to wish to shout.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,51,-65.2717514038086,-73.34284210205078,1
Laurie was soon to grin.,Laurie was fun to grin.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,52,-59.118988037109375,-62.92753219604492,1
These boys aren't likely to confer.,These boys aren't annoying to confer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,53,-53.27520751953125,-68.29219055175781,1
Danielle is about to nod.,Danielle is tough to nod.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,54,-56.00836944580078,-61.80448532104492,1
Samuel isn't apt to turn out to change.,Samuel isn't unpleasant to turn out to change.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,55,-65.43453979492188,-75.79664611816406,1
