sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Every hospital isn't about to tempt Tiffany to reference Matt.,Every hospital isn't fun to tempt Tiffany to reference Matt.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,0,1.283737111352771,1.1702398070048143,0.11349730434795657,1,-86.11461442708969,-90.1378225684166,-101.51945976332294,-104.18070025247437,12,12
Rachel was apt to talk to Alicia.,Rachel was exciting to talk to Alicia.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,1,2.750904131047194,2.5098665696923472,0.24103756135484655,1,-41.395462810993195,-42.28647863864899,-63.402695859370745,-62.365411196187765,8,8
This doctor's cousins aren't soon to question Kirsten.,This doctor's cousins aren't interesting to question Kirsten.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,2,2.0275755111079214,2.1939861400878917,-0.16641062897997028,0,-71.3751637134701,-70.80915311910212,-95.70606984676516,-97.13698680015682,12,12
Sheila is certain to find Stephen to describe this customer.,Sheila is difficult to find Stephen to describe this customer.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,3,1.8991100012767816,2.3921312401582093,-0.4930212388814277,0,-71.92650830745697,-66.37687319517136,-94.71582832277835,-95.08244807706987,12,12
Liam's French teachers were sure to want to aggravate many people.,Liam's French teachers were irritating to want to aggravate many people.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,4,2.1252836358424587,2.4154859573880247,-0.290202321545566,0,-85.54843330383301,-86.5556892156601,-117.42768784146989,-122.78797857648047,15,15
Thomas isn't sure to hug Margaret.,Thomas isn't annoying to hug Margaret.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,5,1.8087296963287107,1.8204911033570106,-0.011761407028299864,0,-47.11034672986716,-50.843014056794345,-61.580184300496846,-65.40694288365043,8,8
Carrie is bound to explore some public park.,Carrie is pleasant to explore some public park.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,6,2.9499784802225406,2.8315834843547094,0.1183949958678312,1,-55.210872173309326,-56.25524365901947,-84.71065697553473,-84.57107850256656,10,10
Timothy is about to respect most guys.,Timothy is annoying to respect most guys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,7,1.9907196372483769,2.103150715171097,-0.11243107792272,0,-53.774397015571594,-58.20839035511017,-71.69087375080699,-77.13674679165004,9,9
Derek's guest is likely to like to forfeit.,Derek's guest is difficult to like to forfeit.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,8,1.9345343544375273,1.997340020085266,-0.0628056656477387,0,-63.298452973365784,-62.42286866903305,-84.57833087217858,-84.39360888997098,11,11
Melinda's guests aren't about to yearn to sit down.,Melinda's guests aren't unpleasant to yearn to sit down.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,9,1.6586033503688071,1.691105950147007,-0.0325025997781998,0,-80.62233534175903,-85.58936133701354,-103.84278224692233,-109.26484463907164,14,14
Mark wasn't certain to climb down the ladder.,Mark wasn't fun to climb down the ladder.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,10,2.6609792921372986,2.4849998259708372,0.17597946616646132,1,-47.725824585184455,-49.129089226946235,-74.33561750655744,-73.9790874866546,10,10
Jesus's tutor wasn't soon to remember Dawn.,Jesus's tutor wasn't tough to remember Dawn.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,11,1.105476058882394,1.4523081393355852,-0.34683208045319125,0,-69.34159042825922,-68.18823292246088,-80.39635101708316,-82.71131431581674,10,10
Those organizations were certain to respond.,Those organizations were tough to respond.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,12,2.1812768286676123,2.165738780571193,0.015538048096419121,1,-43.24897789955139,-44.670220494270325,-58.51791570022468,-59.83039195826868,7,7
Bradley isn't soon to encourage Stephanie to scream.,Bradley isn't hard work to encourage Stephanie to scream.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,13,2.1924608109740817,2.5066714726145656,-0.31421066164048383,0,-68.72843612730503,-70.6341058164835,-92.84550504801993,-100.71416348785829,11,12
Tina wasn't sure to conceal what are profiting.,Tina wasn't exciting to conceal what are profiting.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,14,1.9970220162102852,1.5982974188200008,0.39872459739028443,1,-71.68751335144043,-79.25513219833374,-95.65177754596385,-98.43470122417375,12,12
The legislature wasn't unlikely to continue to hug a lot of boys.,The legislature wasn't hard to continue to hug a lot of boys.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,15,2.400291661485643,2.2769201901064804,0.12337147137916249,1,-72.1967819519341,-69.95765580609441,-105.8008652127331,-101.83453846758513,14,14
Bruce was sure to remember Gerald.,Bruce was annoying to remember Gerald.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,16,1.8422389008894342,1.8712220624190923,-0.028983161529658075,0,-41.72478210926056,-45.34865856170654,-54.6204544154866,-58.44721299864019,7,7
Brad's employees aren't likely to retaliate.,Brad's employees aren't irritating to retaliate.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,17,2.737806546567362,2.6583548888850745,0.07945165768228746,1,-51.751202661544085,-55.876560527831316,-76.39146158065034,-79.80175452779699,9,9
Jennifer isn't apt to walk through a cafe.,Jennifer isn't difficult to walk through a cafe.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,18,2.6524339516435673,2.6614263612454976,-0.008992409601930262,0,-53.76101789274253,-51.6161612609867,-80.2853574091782,-78.23042487344168,10,10
Andrea was soon to ascertain Winston Churchill to explore a lot of movie theaters.,Andrea was interesting to ascertain Winston Churchill to explore a lot of movie theaters.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,19,2.762350411284883,2.776434511282142,-0.014084099997258903,0,-93.11366337537766,-94.31923472881317,-137.31126995593578,-138.74218690932744,16,16
Cheryl's daughter isn't sure to find out who work hard.,Cheryl's daughter isn't irritating to find out who work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,20,2.0655816371893914,2.0529718354363107,0.012609801753080685,1,-78.24868543539196,-83.79812319669873,-109.23240999323284,-114.59270072824339,15,15
Douglas's cousin isn't sure to entreat Danielle to stand up.,Douglas's cousin isn't irritating to entreat Danielle to stand up.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,21,3.241582740092919,3.3213864591528286,-0.07980371905990946,0,-78.1225090995431,-82.28574404865503,-126.74625020093688,-132.10654093594746,15,15
Margaret's nieces aren't unlikely to describe Diana.,Margaret's nieces aren't pleasant to describe Diana.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,22,2.627182338526305,2.618641778816335,0.00854055970996992,1,-80.27573439758271,-78.28693017642945,-114.42910479842467,-112.32927330104181,13,13
Brian is about to walk through that high school.,Brian is pleasant to walk through that high school.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,23,2.568607092857954,2.3288137114504535,0.2397933814075004,1,-44.89385986328125,-51.17417526245117,-70.57993079186079,-74.46231237695571,10,10
Heidi wasn't certain to like to hate Joseph.,Heidi wasn't easy to like to hate Joseph.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,24,1.837502247958019,1.9587135380410141,-0.12121129008299514,0,-62.709976023063064,-61.290703719481826,-82.92250075060127,-82.83655263793298,11,11
Many adults' boss was certain to hide a lot of spotlights.,Many adults' boss was interesting to hide a lot of spotlights.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,25,1.7837030731753438,1.9217286004578864,-0.13802552728254258,0,-87.89440608024597,-86.39047861099243,-112.86624910470078,-113.29467901740284,14,14
Bradley was apt to clean that hat.,Bradley was tough to clean that hat.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,26,2.3573267467175025,2.3046100004599612,0.0527167462575413,1,-49.79957664012909,-49.16495132446289,-71.01551736058661,-69.90644132860254,9,9
Every granddaughter of Renee isn't certain to entice Anne to bike to high schools.,Every granddaughter of Renee isn't irritating to entice Anne to bike to high schools.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,27,1.7016690214571228,1.7845336265150802,-0.08286460505795734,0,-119.90978563576937,-122.3798574283719,-150.53982802199758,-154.50146270564335,18,18
These plates were certain to scare Andrew.,These plates were exciting to scare Andrew.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,28,1.2782418301811624,1.4516547267054385,-0.17341289652427605,0,-57.294097900390625,-57.291062355041504,-67.52003254183992,-68.90430016868501,8,8
Andrew wasn't sure to oblige Vanessa's guests to work hard.,Andrew wasn't exciting to oblige Vanessa's guests to work hard.,syntax_semantics,control_raising,tough_vs_raising_2,True,False,False,False,29,2.4106881877919437,2.2306114935624515,0.18007669422949224,1,-79.6854235380888,-84.98942093551159,-113.43505816717601,-116.2179818453859,14,14
