sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lady has remembered who the actors conceal.,A lady has remembered that the actors conceal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,0,-69.11724853515625,-59.890480041503906,0
Teenagers know what all ladies haven't examined.,Teenagers know that all ladies haven't examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,1,-62.46906280517578,-61.80279541015625,0
Dancers hadn't figured out who the actress didn't reveal.,Dancers hadn't figured out that the actress didn't reveal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,2,-78.57659912109375,-70.71160125732422,0
All guys find out who some patient was scaring.,All guys find out that some patient was scaring.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,3,-68.64492797851562,-61.90727233886719,0
Nina has learned who most men sound like.,Nina has learned that most men sound like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,4,-65.13590240478516,-57.48743438720703,0
Kirsten doesn't conceal what that man wasn't driving to.,Kirsten doesn't conceal that that man wasn't driving to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,5,-84.04476928710938,-83.19351959228516,0
The boy was figuring out who some women shouldn't listen to.,The boy was figuring out that some women shouldn't listen to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,6,-73.49009704589844,-68.15196228027344,0
Sarah discovers what some pedestrian had examined.,Sarah discovers that some pedestrian had examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,7,-56.26787567138672,-53.04606246948242,0
Sarah should forget who some waiter dislikes.,Sarah should forget that some waiter dislikes.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,8,-66.177001953125,-57.52598571777344,0
Janice hasn't learned what this offspring didn't examine.,Janice hasn't learned that this offspring didn't examine.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,9,-71.4298095703125,-69.37223052978516,0
Wayne has revealed who most hospitals admired.,Wayne has revealed that most hospitals admired.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,10,-64.38955688476562,-55.13985824584961,0
Those teenagers realize who all guests flee from.,Those teenagers realize that all guests flee from.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,11,-68.45024108886719,-60.99397277832031,0
George forgets what some car has looked like.,George forgets that some car has looked like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,12,-56.853126525878906,-53.198917388916016,0
Some child would conceal who most guys are listening to.,Some child would conceal that most guys are listening to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,13,-70.395263671875,-63.00823974609375,0
The cashier wouldn't figure out what a person hasn't arrived at.,The cashier wouldn't figure out that a person hasn't arrived at.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,14,-81.09529876708984,-80.45636749267578,0
Valerie discovers what most dancers referenced.,Valerie discovers that most dancers referenced.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,15,-62.314491271972656,-60.32096481323242,0
Some dancers discover who that guy works with.,Some dancers discover that that guy works with.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,16,-63.97554016113281,-58.059898376464844,0
Some children did figure out what these dogs resemble.,Some children did figure out that these dogs resemble.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,17,-59.487762451171875,-58.470703125,0
Becca figures out what the waiter has dropped by.,Becca figures out that the waiter has dropped by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,18,-62.891334533691406,-62.20297622680664,0
That doctor had remembered who the actors revealed.,That doctor had remembered that the actors revealed.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,19,-61.76369094848633,-53.51188659667969,0
