sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Todd can't yawn.,Todd can't walk through.,syntax,argument_structure,intransitive,True,False,False,False,0,-33.72420883178711,-31.2452392578125,0
Some guests hadn't left.,Some guests hadn't boasted about.,syntax,argument_structure,intransitive,True,False,False,False,1,-31.173656463623047,-41.65904998779297,1
This niece of Elizabeth protests.,This niece of Elizabeth walks through.,syntax,argument_structure,intransitive,True,False,False,False,2,-41.60194396972656,-48.11581039428711,1
Regina is shouting.,Regina is boasting about.,syntax,argument_structure,intransitive,True,False,False,False,3,-30.125579833984375,-37.20390701293945,1
This guest's plumber complains.,This guest's plumber wore.,syntax,argument_structure,intransitive,True,False,False,False,4,-50.27110290527344,-47.70061492919922,0
Anna's grandmothers aren't benefiting.,Anna's grandmothers aren't arguing about.,syntax,argument_structure,intransitive,True,False,False,False,5,-50.422691345214844,-52.57196807861328,1
Some glaciers are vaporizing.,Some glaciers are scaring.,syntax,argument_structure,intransitive,True,False,False,False,6,-37.100341796875,-36.49620056152344,0
Stephanie succeeds.,Stephanie boasts about.,syntax,argument_structure,intransitive,True,False,False,False,7,-31.86933135986328,-42.37451934814453,1
Tara's contractors scream.,Tara's contractors drive to.,syntax,argument_structure,intransitive,True,False,False,False,8,-44.05781936645508,-46.588783264160156,1
All gloves weren't crumpling.,All gloves weren't looking like.,syntax,argument_structure,intransitive,True,False,False,False,9,-48.52980041503906,-42.819278717041016,0
Patricia's hairdressers hadn't cooked.,Patricia's hairdressers hadn't gone to.,syntax,argument_structure,intransitive,True,False,False,False,10,-55.30568313598633,-55.86669921875,1
The spotlights faded.,The spotlights scared.,syntax,argument_structure,intransitive,True,False,False,False,11,-32.74336624145508,-32.59605407714844,0
The muffins were scorching.,The muffins were scaring.,syntax,argument_structure,intransitive,True,False,False,False,12,-32.5048713684082,-34.2134895324707,1
Those friends of Sally were painting.,Those friends of Sally were walking through.,syntax,argument_structure,intransitive,True,False,False,False,13,-44.317962646484375,-48.165775299072266,1
This screen does brighten.,This screen does resemble.,syntax,argument_structure,intransitive,True,False,False,False,14,-39.79224395751953,-38.45427322387695,0
Danielle's podiatrists were succeeding.,Danielle's podiatrists were scaring.,syntax,argument_structure,intransitive,True,False,False,False,15,-75.49797058105469,-73.68064880371094,0
A lot of cashiers should collaborate.,A lot of cashiers should go to.,syntax,argument_structure,intransitive,True,False,False,False,16,-44.632205963134766,-41.656707763671875,0
The pepper blackened.,The pepper resembles.,syntax,argument_structure,intransitive,True,False,False,False,17,-35.259681701660156,-34.373966217041016,0
Some skirts haven't unfolded.,Some skirts haven't scared.,syntax,argument_structure,intransitive,True,False,False,False,18,-41.17868423461914,-38.042598724365234,0
Guy's French teachers die.,Guy's French teachers arrived at.,syntax,argument_structure,intransitive,True,False,False,False,19,-44.649681091308594,-53.02187728881836,1
This shirt crumples.,This shirt scares.,syntax,argument_structure,intransitive,True,False,False,False,20,-40.065364837646484,-28.54814910888672,0
Some cup falls apart.,Some cup resembles.,syntax,argument_structure,intransitive,True,False,False,False,21,-32.18724060058594,-37.62360382080078,1
All grandmothers of Bill hadn't clashed.,All grandmothers of Bill hadn't arrived at.,syntax,argument_structure,intransitive,True,False,False,False,22,-65.38121795654297,-65.26277923583984,0
Some convertible is chipping.,Some convertible is scaring.,syntax,argument_structure,intransitive,True,False,False,False,23,-41.78284454345703,-39.54871368408203,0
Rachelle's partner chuckled.,Rachelle's partner dislikes.,syntax,argument_structure,intransitive,True,False,False,False,24,-50.867958068847656,-54.088294982910156,1
These grandfathers of Ella cooperated.,These grandfathers of Ella boast about.,syntax,argument_structure,intransitive,True,False,False,False,25,-57.449378967285156,-63.37738800048828,1
Most spotlights had dimmed.,Most spotlights had looked like.,syntax,argument_structure,intransitive,True,False,False,False,26,-48.267845153808594,-48.33883285522461,1
Keith learns.,Keith disliked.,syntax,argument_structure,intransitive,True,False,False,False,27,-23.416759490966797,-26.50394630432129,1
Andrea has donated.,Andrea has concealed.,syntax,argument_structure,intransitive,True,False,False,False,28,-31.47654151916504,-32.983821868896484,1
Some sisters of Laurie weren't hunting.,Some sisters of Laurie weren't examining.,syntax,argument_structure,intransitive,True,False,False,False,29,-50.232421875,-53.57216262817383,1
Brian argued.,Brian looked like.,syntax,argument_structure,intransitive,True,False,False,False,30,-21.43187141418457,-25.934707641601562,1
Many teachers embrace.,Many teachers respected.,syntax,argument_structure,intransitive,True,False,False,False,31,-32.957176208496094,-30.09486198425293,0
Larry departs.,Larry cured.,syntax,argument_structure,intransitive,True,False,False,False,32,-33.779212951660156,-25.919204711914062,0
That fish chars.,That fish resembles.,syntax,argument_structure,intransitive,True,False,False,False,33,-30.361446380615234,-31.260356903076172,1
Julia's colleagues wave.,Julia's colleagues fled from.,syntax,argument_structure,intransitive,True,False,False,False,34,-38.64748764038086,-45.39268493652344,1
The waitresses haven't fallen asleep.,The waitresses haven't concealed.,syntax,argument_structure,intransitive,True,False,False,False,35,-43.69856262207031,-45.223167419433594,1
Bethany murmured.,Bethany goes to.,syntax,argument_structure,intransitive,True,False,False,False,36,-36.11680603027344,-35.974159240722656,0
Every shawl tightens.,Every shawl scared.,syntax,argument_structure,intransitive,True,False,False,False,37,-45.89942932128906,-37.41530990600586,0
Some wheelbarrow shattered.,Some wheelbarrow looked like.,syntax,argument_structure,intransitive,True,False,False,False,38,-37.47974395751953,-40.34600830078125,1
