sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Travis is touring.,Travis is revealing.,syntax,argument_structure,drop_argument,True,False,False,False,0,2.6984947992051374,2.353700449066321,0.34479435013881643,1,-30.129170894622803,-31.91074013710022,-43.62164489064849,-43.67924238243182,5,5
Noah approached.,Noah works with.,syntax,argument_structure,drop_argument,True,False,False,False,1,-1.3656753835513582,-0.6461516386452161,-0.7195237449061421,0,-35.05165147781372,-36.99159049987793,-29.588949943608288,-33.76083230665185,4,5
The Lutherans couldn't skate around.,The Lutherans couldn't disagree with.,syntax,argument_structure,drop_argument,True,False,False,False,2,2.1105722903957407,1.8235169693794333,0.2870553210163074,1,-50.1292123273015,-49.63756198436022,-67.01379065046743,-64.22569773939568,8,8
A lot of teenagers haven't left.,A lot of teenagers haven't arrived at.,syntax,argument_structure,drop_argument,True,False,False,False,3,2.808168488943366,2.535130197735558,0.2730382912078082,1,-35.4041209705174,-43.04864697903395,-57.869468882064325,-65.86481875865397,8,9
Rhonda's employees hadn't run around.,Rhonda's employees hadn't boasted about.,syntax,argument_structure,drop_argument,True,False,False,False,4,2.068009718136011,1.5070756077675438,0.5609341103684673,1,-59.06962813716382,-67.4493502555415,-77.68171560038792,-81.0130307254494,9,9
Renee could descend.,Renee could flee from.,syntax,argument_structure,drop_argument,True,False,False,False,5,1.9426473585152522,1.2775156381061794,0.6651317204090728,1,-35.167433738708496,-43.40867233276367,-44.88067053128476,-51.07376616140075,5,6
This student's supervisors descended.,This student's supervisors admired.,syntax,argument_structure,drop_argument,True,False,False,False,6,0.8876340428820614,0.9143075507409636,-0.026673507858902212,0,-48.56039762496948,-48.95635223388672,-53.88620188226185,-54.4421975383325,6,6
Karen's dentists buy.,Karen's dentists found.,syntax,argument_structure,drop_argument,True,False,False,False,7,2.0447550380506345,2.2433540253444235,-0.198598987293789,0,-45.85299825668335,-43.239248275756836,-60.16628352303779,-58.9427264531678,7,7
A lot of mothers of Steve observe.,A lot of mothers of Steve talk to.,syntax,argument_structure,drop_argument,True,False,False,False,8,1.0169896834599568,1.1077199075950144,-0.0907302241350576,0,-53.650312066078186,-52.43113088607788,-61.78622953375784,-62.40061005443301,8,9
Bill's wife saw.,Bill's wife returns to.,syntax,argument_structure,drop_argument,True,False,False,False,9,0.5883839579902812,0.9795232996309883,-0.39113934164070707,0,-33.28844690322876,-37.86864173412323,-36.230366693180166,-43.74578153190916,5,6
Tara's doctors have watched.,Tara's doctors have examined.,syntax,argument_structure,drop_argument,True,False,False,False,10,1.114909096792709,1.1949743853530015,-0.08006528856029238,0,-45.619900941848755,-46.74936580657959,-53.42426461939772,-55.1141865040506,7,7
William wasn't helping.,William wasn't boasting about.,syntax,argument_structure,drop_argument,True,False,False,False,11,2.138844715339944,1.8698230029493768,0.26902171239056716,1,-28.93581886962056,-38.415206991136074,-39.63004244632028,-49.634145008832334,5,6
Christopher climbed up.,Christopher walks through.,syntax,argument_structure,drop_argument,True,False,False,False,12,1.520907115841398,0.5090157422128669,1.011891373628531,1,-26.68195343017578,-31.77488899230957,-32.76558189354137,-33.81095196116104,4,4
That guy remembers.,That guy looked like.,syntax,argument_structure,drop_argument,True,False,False,False,13,2.2534661274501655,1.4174037946334976,0.8360623328166679,1,-23.356688499450684,-27.48095178604126,-32.370553009251346,-34.56797075920875,4,5
Nancy sold.,Nancy argued about.,syntax,argument_structure,drop_argument,True,False,False,False,14,1.6499776068711327,1.346856901180368,0.30312070569076477,1,-26.43176555633545,-34.89935779571533,-33.03167598381998,-41.63364230161717,4,5
Jodi has run around.,Jodi has biked to.,syntax,argument_structure,drop_argument,True,False,False,False,15,2.3252832974239035,1.4511972082420104,0.8740860891818931,1,-34.845006465911865,-48.54755258560181,-48.79670625045529,-58.70593304329588,6,7
Anne hasn't climbed down.,Anne hasn't found.,syntax,argument_structure,drop_argument,True,False,False,False,16,2.0918082414758175,1.688094524779548,0.40371371669626943,1,-35.15719764586538,-29.29666869994253,-47.708047094720285,-37.73714132384027,6,5
Kathleen helped.,Kathleen resembles.,syntax,argument_structure,drop_argument,True,False,False,False,17,2.107881908784722,2.3450461297955725,-0.23716422101085044,0,-34.012513637542725,-36.181772232055664,-44.551923181466336,-47.90700288103353,5,5
Marie isn't climbing down.,Marie isn't lifting.,syntax,argument_structure,drop_argument,True,False,False,False,18,1.644737328585509,0.9635873666938395,0.6811499618916694,1,-37.04604987800121,-35.94834427535534,-46.914473849514266,-40.766281108824536,6,5
The brothers of April ascend.,The brothers of April look like.,syntax,argument_structure,drop_argument,True,False,False,False,19,0.7073522355598989,0.23178739853772815,0.4755648370221708,1,-43.616886615753174,-46.49574112892151,-47.86100002911257,-48.118252918685606,6,7
Kathleen wouldn't approach.,Kathleen wouldn't drop by.,syntax,argument_structure,drop_argument,True,False,False,False,20,2.235275271247808,2.4217809792784735,-0.18650570803066557,0,-44.03032201901078,-45.83890813961625,-59.67724891774544,-65.21315597384404,7,8
Holly's plumbers sold.,Holly's plumbers admired.,syntax,argument_structure,drop_argument,True,False,False,False,21,1.6714208437028688,1.6753778331459404,-0.003956989443071546,0,-47.46553587913513,-49.596867084503174,-59.16548178505521,-61.324511916524756,7,7
Some boy watches.,Some boy fired.,syntax,argument_structure,drop_argument,True,False,False,False,22,1.1092873165745498,1.2153892547242213,-0.1061019381496715,0,-26.81807053089142,-26.69446849822998,-31.255219797189618,-31.556025517126866,4,4
Diana hadn't watched.,Diana hadn't talked to.,syntax,argument_structure,drop_argument,True,False,False,False,23,2.366090585221882,2.6011593792363237,-0.2350687940144418,0,-34.521548956632614,-34.784514371305704,-48.718092467963906,-52.99263002595997,6,7
