sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Alexander didn't walk through that new oasis.,Alexander didn't walk through those new oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,0,-49.990753173828125,-51.618247985839844,1
This hair irritates these old alumni.,This hair irritates this old alumni.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,1,-56.66131591796875,-55.256988525390625,0
Winston Churchill was escaping from this serious person.,Winston Churchill was escaping from these serious person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,2,-61.76690673828125,-63.8819580078125,1
Anna walks through these purple oases.,Anna walks through this purple oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,3,-48.82707214355469,-48.401126861572266,0
Alicia sounded like this good analysis.,Alicia sounded like these good analysis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,4,-52.18791198730469,-55.03399658203125,1
Jeffrey might complain about this gray thesis.,Jeffrey might complain about these gray thesis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,5,-57.94590759277344,-59.66067886352539,1
Meredith approaches these concealed women.,Meredith approaches this concealed women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,6,-55.00878143310547,-54.37339401245117,0
Julia questioned those small children.,Julia questioned that small children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,7,-41.35126495361328,-39.357139587402344,0
That adult has brought that purple octopus.,That adult has brought those purple octopus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,8,-51.880836486816406,-53.74395751953125,1
The people hug this displeased woman.,The people hug these displeased woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,9,-54.585147857666016,-53.98716735839844,0
That beef did bore these displeased people.,That beef did bore this displeased people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,10,-66.74767303466797,-65.37884521484375,0
These libraries talk about these long synopses.,These libraries talk about this long synopses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,11,-65.51919555664062,-63.6183967590332,0
Lori wasn't hiring those delighted men.,Lori wasn't hiring that delighted men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,12,-59.6142692565918,-58.19242858886719,0
The teachers are running around this concealed oasis.,The teachers are running around these concealed oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,13,-61.3343391418457,-60.952110290527344,0
Those bananas embarrass these delighted people.,Those bananas embarrass this delighted people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,14,-54.047821044921875,-54.593040466308594,1
Mitchell brought those green oases.,Mitchell brought that green oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_2,True,False,True,True,15,-51.058197021484375,-50.176883697509766,0
