sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
The teenager does tour at most nine restaurants.,No teenager does tour at most nine restaurants.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,0,-63.06809616088867,-64.71348571777344,1
That car looks like at least seven prints.,No car looks like at least seven prints.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,1,-51.74168395996094,-51.192832946777344,0
The doctor brought at most eight gates.,No doctor brought at most eight gates.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,2,-51.98090362548828,-53.34292984008789,1
An actor arrived at at most six lakes.,No actor arrived at at most six lakes.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,3,-57.18089294433594,-59.35321044921875,1
Every senator notices at most four windows.,No senator notices at most four windows.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,4,-55.74920654296875,-56.53266143798828,1
The hospital had fired at most four people.,No hospital had fired at most four people.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,5,-50.43431854248047,-51.433921813964844,1
Each customer has watched at least six teenagers.,No customer has watched at least six teenagers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,6,-53.63104248046875,-53.512516021728516,0
Every girl climbed up at most ten hills.,No girl climbed up at most ten hills.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,7,-56.828086853027344,-57.65961837768555,1
Each actor has revealed at most four shawls.,No actor has revealed at most four shawls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,8,-69.07980346679688,-69.99964904785156,1
A banana has disgusted at least ten women.,No banana has disgusted at least ten women.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,9,-57.259098052978516,-57.9832649230957,1
Each dancer would return to at least seven schools.,No dancer would return to at least seven schools.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,10,-54.26237487792969,-55.64935302734375,1
The waiter noticed at most six mountains.,No waiter noticed at most six mountains.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,11,-56.709285736083984,-59.001930236816406,1
This man is talking to at most three pedestrians.,No man is talking to at most three pedestrians.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,12,-57.523094177246094,-57.13937759399414,0
That person can lift at most nine turtles.,No person can lift at most nine turtles.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,13,-54.711280822753906,-53.818695068359375,0
The customer could kiss at most three girls.,No customer could kiss at most three girls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,14,-56.1965446472168,-56.6523551940918,1
Every university bought at most ten scarves.,No university bought at most ten scarves.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,15,-61.5469970703125,-63.601951599121094,1
Every person has exited at most four libraries.,No person has exited at most four libraries.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,16,-53.85499572753906,-54.00947570800781,1
Some car had resembled at least seven pictures.,No car had resembled at least seven pictures.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,17,-58.728416442871094,-58.12298583984375,0
This actress was driving to at least nine malls.,No actress was driving to at least nine malls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,18,-59.95882797241211,-62.202484130859375,1
Every man walked through at least nine hospitals.,No man walked through at least nine hospitals.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,19,-52.07648468017578,-52.91587448120117,1
