sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Donald can imagine those college campuses are boring themselves.,Donald can imagine those college campuses are boring himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,0,1.628391137411154,1.2126508511097485,0.41574028630140547,1,-75.2412976026535,-78.4882584810257,-91.52520897676504,-90.61476699212318,10,10
Gerald was explaining Patricia was revealing herself.,Gerald was explaining Patricia was revealing himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,1,2.337033898270031,2.0115799978648,0.32545390040523126,1,-61.14763164520264,-63.342058539390564,-82.18093672963292,-81.44627852017376,9,9
Mark imagines Erin might admire herself.,Mark imagines Erin might admire himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,2,1.942373053520516,1.798999702227686,0.1433733512928299,1,-64.1437714099884,-64.55610001087189,-79.68275583815253,-78.94809762869338,8,8
Gary imagined most reports upset themselves.,Gary imagined most reports upset himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,3,0.9498629012184949,1.0203197991601118,-0.07045689794161691,0,-60.80781078338623,-59.404170513153076,-67.4568510919157,-66.54640910727386,7,7
A lot of doctors hadn't imagined Denise notices herself.,A lot of doctors hadn't imagined Denise notices themselves.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,4,2.6469161810608015,2.558073633934201,0.08884254712660056,1,-67.25848593562841,-68.4115377292037,-96.37456392729723,-96.55034770247991,11,11
Edward didn't think some teachers weren't discussing themselves.,Edward didn't think some teachers weren't discussing himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,5,2.621654795604681,2.5839052676311742,0.03774952797350695,1,-61.387388249859214,-60.892191072925925,-90.22559100151071,-89.31514901686884,11,11
The Borgias explain Scott had talked to himself.,The Borgias explain Scott had talked to themselves.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,6,2.0006157031198795,1.7292801360735068,0.2713355670463726,1,-65.26098895072937,-68.88478660583496,-85.26714598192817,-86.17758796657003,10,10
Valerie doesn't think Russell sounds like himself.,Valerie doesn't think Russell sounds like herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,7,2.222957060534989,2.0779328173367704,0.14502424319821872,1,-62.778364073485136,-64.96326471492648,-85.00793467883503,-85.74259288829418,10,10
Craig hasn't thought Jessica praised herself.,Craig hasn't thought Jessica praised himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,8,2.676981882019792,2.4740261482863914,0.20295573373340048,1,-52.35068377107382,-53.23967143148184,-73.76653882723215,-73.03188061777297,8,8
Holly would say some slope didn't irritate itself.,Holly would say some slope didn't irritate herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,9,2.328046338497302,2.2224686290005713,0.10557770949673051,1,-71.52347033470869,-72.09878312796354,-99.46002639667631,-98.7684066759704,12,12
Sally wouldn't explain Rodney confused himself.,Sally wouldn't explain Rodney confused herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,10,2.5652492263639,2.295805876434713,0.2694433499291873,1,-55.347161408513784,-58.50680976733565,-78.43440444578889,-79.16906265524807,9,9
The dancer said Jeffrey doesn't find himself.,The dancer said Jeffrey doesn't find herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,11,2.15028480995859,2.206847918894675,-0.05656310893608474,0,-52.358943758532405,-52.58453398756683,-71.71150704815972,-72.4461652576189,9,9
Beverly had said Homer was concealing himself.,Beverly had said Homer was concealing herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,12,3.1677711599454907,2.976093066524408,0.19167809342108288,1,-58.227163195610046,-61.07028043270111,-93.07264595501044,-93.8073041644696,11,11
The Impressionists think that window distracted itself.,The Impressionists think that window distracted themselves.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,13,2.5569512379963926,2.4135629483146745,0.14338828968171802,1,-64.7978720664978,-65.71591901779175,-90.36738444646173,-89.85154850093849,10,10
Those waitresses say Curtis hadn't alarmed himself.,Those waitresses say Curtis hadn't alarmed themselves.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,14,1.5459808326637898,1.5268585768127907,0.019122255850999137,1,-76.07484509050846,-77.17650963366032,-91.53465341714636,-92.44509540178822,10,10
Guy does explain Judy argued about herself.,Guy does explain Judy argued about himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,15,2.1481852679169613,2.031127561007562,0.11705770690939943,1,-57.279491543769836,-57.48129498958588,-74.46497368710553,-73.73031547764637,8,8
James says Kayla helped herself.,James says Kayla helped himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,16,2.1021685233337286,1.9712115715599705,0.1309569517737581,1,-49.96893119812012,-50.15097165107727,-64.68411086145622,-63.94945265199706,7,7
Joel can't explain some girl can't visit herself.,Joel can't explain some girl can't visit himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,17,2.2078776443830725,2.001127681286943,0.20674996309612936,1,-64.86259835958481,-66.6089397072792,-91.35713009218168,-90.62247188272252,12,12
Victoria thinks Harvard University isn't firing itself.,Victoria thinks Harvard University isn't firing herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,18,1.9289733091620493,1.9999417950727907,-0.07096848591074134,0,-66.33374204859138,-65.00340595468879,-83.69450183104982,-83.0028821103439,9,9
Alice has said Craig did upset himself.,Alice has said Craig did upset herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,19,1.6040846678529732,1.634141051062425,-0.03005638320945181,0,-54.32967472076416,-54.82388186454773,-67.16235206358795,-67.89701027304713,8,8
Allison has imagined Christopher had concealed himself.,Allison has imagined Christopher had concealed herself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,20,2.32859917846676,2.2027800879034993,0.1258190905632608,1,-59.350051283836365,-61.21708130836487,-80.3074438900372,-81.04210209949636,9,9
Jerry said the rabbit had annoyed itself.,Jerry said the rabbit had annoyed himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,21,1.8954632951754533,2.273002520765588,-0.37753922559013464,0,-49.66845452785492,-45.22186279296875,-64.83216088925855,-63.405882959093454,8,8
Rodney is saying Renee hadn't fled from herself.,Rodney is saying Renee hadn't fled from himself.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,22,2.712989521757161,2.777056292100793,-0.06406677034363195,0,-71.64679676294327,-70.1433373093605,-104.2026710240292,-103.46801281457002,12,12
Many patients aren't saying Roger kisses himself.,Many patients aren't saying Roger kisses themselves.,syntax_semantics,binding,principle_A_domain_2,True,True,False,False,23,2.282435738901986,2.135435862083625,0.1469998768183607,1,-59.44223689287901,-61.67567776888609,-79.98415854299688,-80.89460052763872,9,9
