sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
James is pleasant to flee from.,James is apt to flee from.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,0,-32.866432189941406,-31.72692108154297,0
Samuel's lawyer was easy to reference.,Samuel's lawyer was certain to reference.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,1,-48.49031066894531,-53.750362396240234,1
Benjamin's tutor was easy to boast about.,Benjamin's tutor was certain to boast about.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,2,-54.715972900390625,-59.88740158081055,1
Laura isn't interesting to cure.,Laura isn't soon to cure.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,3,-33.1279182434082,-31.309112548828125,0
Some jacket wasn't ready to wear.,Some jacket wasn't bound to wear.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,4,-41.11371612548828,-43.42839431762695,1
Many drivers aren't difficult to reference.,Many drivers aren't likely to reference.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,5,-44.271297454833984,-44.08733367919922,0
Julia wasn't fun to talk to.,Julia wasn't unlikely to talk to.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,6,-37.79606628417969,-43.16556930541992,1
Valerie's colleagues aren't pleasant to respect.,Valerie's colleagues aren't likely to respect.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,7,-57.74378967285156,-55.2741813659668,0
Veronica isn't boring to conceal.,Veronica isn't unlikely to conceal.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,8,-50.898780822753906,-50.55274963378906,0
Stacey wasn't interesting to listen to.,Stacey wasn't soon to listen to.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,9,-46.907588958740234,-46.51752471923828,0
Those glasses aren't hard work to wear.,Those glasses aren't soon to wear.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,10,-46.74170684814453,-41.959991455078125,0
Linda was interesting to reference.,Linda was soon to reference.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,11,-36.89365768432617,-36.71526336669922,0
This waitress is exciting to conceal.,This waitress is unlikely to conceal.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,12,-42.286216735839844,-41.74461364746094,0
Some drivers are tough to listen to.,Some drivers are apt to listen to.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,13,-39.41157531738281,-37.969871520996094,0
Omar wasn't interesting to reference.,Omar wasn't soon to reference.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,14,-46.514732360839844,-46.54102325439453,1
Every dress isn't unpleasant to wear.,Every dress isn't likely to wear.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,15,-40.61334991455078,-37.81668472290039,0
Raymond wasn't hard to argue about.,Raymond wasn't soon to argue about.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,16,-42.925811767578125,-45.610591888427734,1
Robert wasn't pleasant to respect.,Robert wasn't soon to respect.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,17,-32.13121795654297,-31.789155960083008,0
Clyde's partners are annoying to respect.,Clyde's partners are apt to respect.,syntax_semantics,control_raising,tough_vs_raising_1,True,False,False,False,18,-61.35500717163086,-57.479591369628906,0
