sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A niece of most senators hasn't descended most slopes.,A niece of most senators haven't descended most slopes.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,0,-86.14798736572266,-83.32848358154297,0
The sketch of those trucks hasn't hurt Alan.,The sketch of those trucks haven't hurt Alan.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,1,-62.23002243041992,-61.11235427856445,0
A newspaper article about the Borgias has disagreed with Marcus.,A newspaper article about the Borgias have disagreed with Marcus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,2,-83.00042724609375,-83.25106048583984,1
The niece of most guests has cleaned every college campus.,The niece of most guests have cleaned every college campus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,3,-76.90277099609375,-73.87472534179688,0
A sketch of lights doesn't appear.,A sketch of lights don't appear.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,4,-43.513885498046875,-43.971954345703125,1
The movies about Galileo were astounding Melanie.,The movies about Galileo was astounding Melanie.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,5,-70.26309967041016,-67.86073303222656,0
A cousin of a lot of dancers anticipates Naomi to aggravate Angela.,A cousin of a lot of dancers anticipate Naomi to aggravate Angela.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,6,-95.19810485839844,-90.85563659667969,0
A movie about the Impressionists hasn't scared Harvard University.,A movie about the Impressionists haven't scared Harvard University.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,7,-81.71546936035156,-79.7764892578125,0
The pamphlets about Galileo are winning.,The pamphlets about Galileo is winning.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,8,-60.47447967529297,-59.11334228515625,0
The daughter of those senators works with Patrick.,The daughter of those senators work with Patrick.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,9,-58.84634780883789,-56.321495056152344,0
A story about the Balkans doesn't irritate a person.,A story about the Balkans don't irritate a person.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,10,-57.486778259277344,-58.303688049316406,1
The sisters of Timothy judge Randolf to weep.,The sisters of Timothy judges Randolf to weep.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,11,-80.64193725585938,-83.83570861816406,1
The daughter of the Lutherans hasn't argued about that waitress.,The daughter of the Lutherans haven't argued about that waitress.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,12,-77.26192474365234,-77.74020385742188,1
A nephew of senators is wanting to murmur.,A nephew of senators were wanting to murmur.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,13,-60.5949592590332,-58.56243896484375,0
The prints of that high school are impressing Helen.,The prints of that high school was impressing Helen.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,14,-72.43511962890625,-67.62913513183594,0
A report about the Impressionists has won.,A report about the Impressionists have won.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,15,-59.65746307373047,-56.060272216796875,0
The grandsons of Douglas chuckle.,The grandsons of Douglas chuckles.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,16,-58.911102294921875,-57.545860290527344,0
The mothers of Mary seem to shrink.,The mothers of Mary seems to shrink.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,17,-51.553470611572266,-50.029632568359375,0
