sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lady has remembered who the actors conceal.,A lady has remembered that the actors conceal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,0,-65.322998046875,-58.5626220703125,0
Teenagers know what all ladies haven't examined.,Teenagers know that all ladies haven't examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,1,-65.06558227539062,-62.90586853027344,0
Dancers hadn't figured out who the actress didn't reveal.,Dancers hadn't figured out that the actress didn't reveal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,2,-84.37609100341797,-80.07954406738281,0
All guys find out who some patient was scaring.,All guys find out that some patient was scaring.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,3,-67.76372528076172,-65.17864227294922,0
Nina has learned who most men sound like.,Nina has learned that most men sound like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,4,-62.52747344970703,-55.727752685546875,0
Kirsten doesn't conceal what that man wasn't driving to.,Kirsten doesn't conceal that that man wasn't driving to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,5,-78.8483657836914,-77.4217529296875,0
The boy was figuring out who some women shouldn't listen to.,The boy was figuring out that some women shouldn't listen to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,6,-73.05326080322266,-70.10856628417969,0
Sarah discovers what some pedestrian had examined.,Sarah discovers that some pedestrian had examined.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,7,-57.0412483215332,-54.317073822021484,0
Sarah should forget who some waiter dislikes.,Sarah should forget that some waiter dislikes.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,8,-62.430381774902344,-57.7889404296875,0
Janice hasn't learned what this offspring didn't examine.,Janice hasn't learned that this offspring didn't examine.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,9,-72.3726806640625,-71.95994567871094,0
Wayne has revealed who most hospitals admired.,Wayne has revealed that most hospitals admired.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,10,-68.2537841796875,-59.89427947998047,0
Those teenagers realize who all guests flee from.,Those teenagers realize that all guests flee from.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,11,-70.402099609375,-63.57814025878906,0
George forgets what some car has looked like.,George forgets that some car has looked like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,12,-58.341651916503906,-56.541168212890625,0
Some child would conceal who most guys are listening to.,Some child would conceal that most guys are listening to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,13,-73.6004638671875,-65.39219665527344,0
The cashier wouldn't figure out what a person hasn't arrived at.,The cashier wouldn't figure out that a person hasn't arrived at.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,14,-81.30433654785156,-81.87805938720703,1
Valerie discovers what most dancers referenced.,Valerie discovers that most dancers referenced.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,15,-64.6910400390625,-61.33136749267578,0
Some dancers discover who that guy works with.,Some dancers discover that that guy works with.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,16,-64.60672760009766,-58.0745849609375,0
Some children did figure out what these dogs resemble.,Some children did figure out that these dogs resemble.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,17,-62.944610595703125,-64.04057312011719,1
Becca figures out what the waiter has dropped by.,Becca figures out that the waiter has dropped by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,18,-69.33943176269531,-67.72607421875,0
That doctor had remembered who the actors revealed.,That doctor had remembered that the actors revealed.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,19,-59.471439361572266,-52.78607177734375,0
A lot of women remember what all adults drop by.,A lot of women remember that all adults drop by.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,20,-69.56993103027344,-68.43777465820312,0
Amanda remembered who that driver returned to.,Amanda remembered that that driver returned to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,21,-56.25737762451172,-51.478179931640625,0
Steve wasn't concealing what some popsicle resembled.,Steve wasn't concealing that some popsicle resembled.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,22,-79.92916870117188,-78.63458251953125,0
The Clintons discovered what a girl can wear.,The Clintons discovered that a girl can wear.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,23,-59.650657653808594,-58.12662887573242,0
Connie hadn't investigated what a lot of women examine.,Connie hadn't investigated that a lot of women examine.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,24,-70.38975524902344,-70.31986999511719,0
That government remembers who a man wouldn't complain about.,That government remembers that a man wouldn't complain about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,25,-66.39189910888672,-60.69416427612305,0
Most people forgot who most teenagers wouldn't complain about.,Most people forgot that most teenagers wouldn't complain about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,26,-68.23660278320312,-60.25627899169922,0
Marcus had remembered who some lady disliked.,Marcus had remembered that some lady disliked.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,27,-50.62596130371094,-44.381813049316406,0
Alexander discovers who this organization can conceal.,Alexander discovers that this organization can conceal.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,28,-56.54359436035156,-47.599151611328125,0
A library is concealing who these teenagers sound like.,A library is concealing that these teenagers sound like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,29,-80.59832763671875,-76.92943572998047,0
Kathleen did learn who some boys will talk about.,Kathleen did learn that some boys will talk about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,30,-71.43814086914062,-68.07809448242188,0
A waitress could learn what some woman is concealing.,A waitress could learn that some woman is concealing.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,31,-72.8178939819336,-72.7347640991211,0
Elaine had remembered who this girl does care for.,Elaine had remembered that this girl does care for.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,32,-68.46177673339844,-60.98369598388672,0
Sherry is remembering who that drawing looks like.,Sherry is remembering that that drawing looks like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,33,-61.73693084716797,-56.86566162109375,0
Diane finds out who a lot of photographs look like.,Diane finds out that a lot of photographs look like.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,34,-69.16124725341797,-64.65922546386719,0
Governments investigate who those patients find.,Governments investigate that those patients find.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,35,-59.80561065673828,-54.84562683105469,0
That customer was concealing who that teacher reveals.,That customer was concealing that that teacher reveals.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,36,-80.10790252685547,-77.18656921386719,0
Kendra knows who that legislature respects.,Kendra knows that that legislature respects.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,37,-61.23984909057617,-56.970237731933594,0
Diana will remember who these dancers respected.,Diana will remember that these dancers respected.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,38,-65.6632308959961,-59.76716613769531,0
Rebecca discovers who all skateboards aren't scaring.,Rebecca discovers that all skateboards aren't scaring.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,39,-82.61288452148438,-75.85652160644531,0
Patricia would realize who many hospitals might fire.,Patricia would realize that many hospitals might fire.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,40,-70.27813720703125,-61.01656723022461,0
Regina won't learn who all children argue about.,Regina won't learn that all children argue about.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,41,-64.48147583007812,-59.217628479003906,0
Rodney investigates what some customers go to.,Rodney investigates that some customers go to.,syntax,filler_gap_dependency,wh_vs_that_with_gap,True,False,False,False,42,-58.82954406738281,-57.640235900878906,0
