sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
A lot of patients who can sell some couch didn't investigate themselves.,A lot of patients who can sell some couch didn't investigate itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,0,2.324210466955713,2.244642426067947,0.07956804088776614,1,-77.29182663559914,-78.9216151535511,-109.83077317297912,-110.34660911850236,14,14
A lot of actresses that thought about Alice healed themselves.,A lot of actresses that thought about Alice healed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,1,1.579026968859231,1.8997518334855128,-0.3207248646262817,0,-71.57877838611603,-67.87502110004425,-88.94807504356757,-88.77229126838489,11,11
A guy that has seen the wheelbarrow notices himself.,A guy that has seen the wheelbarrow notices itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,2,2.305769100266744,2.446895717611028,-0.141126617344284,0,-68.42691159248352,-68.15967011451721,-96.09614079568445,-97.52241872584955,12,12
The children that were complaining about Gregory hated themselves.,The children that were complaining about Gregory hated himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,3,2.4416832412772633,2.4949962472503358,-0.053313005973072425,0,-57.7863963842392,-56.34282433986664,-82.20322879701183,-81.29278681237,10,10
Every boy that isn't selling the grocery stores isn't healing himself.,Every boy that isn't selling the grocery stores isn't healing themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,4,2.6098521029512693,2.8778612965411474,-0.26800919358987807,0,-76.94266406446695,-74.1009773388505,-113.48059350578473,-114.39103549042656,14,14
The hospitals that talk to Ann talked to themselves.,The hospitals that talk to Ann talked to herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,5,1.4801436838048374,1.6611355458304842,-0.18099186202564677,0,-59.39403009414673,-57.40832769870758,-74.1954669321951,-74.01968315701242,10,10
Many skirts that stun some waitress are boring themselves.,Many skirts that stun some waitress are boring herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,6,0.9526130550164368,0.7984329671786498,0.15418008783778703,1,-83.18551790714264,-84.55153501033783,-92.711648457307,-92.53586468212433,10,10
All men that might fire Tiffany have worked with themselves.,All men that might fire Tiffany have worked with herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,7,1.3182234694451334,1.1947229794432856,0.12350049000184771,1,-70.846843957901,-72.02956557273865,-85.34730212179747,-85.17151834661479,11,11
That actress who admired the cup praises herself.,That actress who admired the cup praises itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,8,0.5790564897091315,0.4181719864779691,0.16088450323116238,1,-71.14633822441101,-73.28591847419739,-76.3578466317932,-77.04946635249911,9,9
This lady who is healing Charles wasn't hiding herself.,This lady who is healing Charles wasn't hiding himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,9,1.6263532840079051,1.731781722485695,-0.10542843847778993,0,-71.51296222954988,-69.61859119683504,-89.40284835363684,-88.66819014417769,11,11
Every woman that was hiring the Borgias argued about herself.,Every woman that was hiring the Borgias argued about themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,10,1.9758208558638468,2.0641807202454743,-0.08835986438162746,0,-79.65709984302521,-78.77256524562836,-103.36695011339137,-103.54273388857405,12,12
Every lady who does walk through a lot of movie theaters hadn't hugged herself.,Every lady who does walk through a lot of movie theaters hadn't hugged themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,11,2.5144326469906755,2.405261131159083,0.10917151583159246,1,-92.24165131896734,-94.1641793474555,-132.47257367081815,-132.64835744600083,16,16
These doctors who do leave Melissa fled from themselves.,These doctors who do leave Melissa fled from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,12,1.4789727899351561,1.6174046706146725,-0.1384318806795164,0,-70.55309569835663,-68.99299311637878,-85.34282359770819,-85.16703982252551,10,10
These ladies that hadn't forgotten Victoria fled from themselves.,These ladies that hadn't forgotten Victoria fled from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,13,1.9185145383321573,2.0273575432224296,-0.10884300489027221,0,-72.7090328708291,-71.33597604185343,-93.81269279248284,-93.63690901730016,11,11
The customers who embarrass Kevin are discussing themselves.,The customers who embarrass Kevin are discussing himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,14,2.0825352555901495,1.903249054909117,0.17928620068103251,1,-62.66129183769226,-63.36442565917969,-81.4041091380036,-80.49366715336174,9,9
Some steak that scares Stacy doesn't shock itself.,Some steak that scares Stacy doesn't shock herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,15,2.582149009118763,2.6444364205454094,-0.06228741142664651,0,-65.80363193899393,-64.48913810402155,-91.62512203018156,-90.93350230947564,10,10
All ladies who were bothering Dan observed themselves.,All ladies who were bothering Dan observed himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,16,1.2780416976395246,1.368114224625559,-0.09007252698603452,0,-67.42806589603424,-65.70697116851807,-78.93044117478996,-78.0199991901481,9,9
The woman who hadn't taken a screen should respect herself.,The woman who hadn't taken a screen should respect itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,17,2.351501388615617,2.242907355712814,0.10859403290280278,1,-65.2698509208858,-67.26459903642535,-93.4878675842732,-94.17948730497912,12,12
Most women who were arriving at every hospital fired themselves.,Most women who were arriving at every hospital fired itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,18,2.6428612575160715,2.5034244277681754,0.13943682974789606,1,-64.61418449878693,-66.66382557153702,-93.68565833146371,-94.20149427698695,11,11
Some hill that could distract Barbara is alarming itself.,Some hill that could distract Barbara is alarming herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,19,0.8493169720826756,0.9275550573279105,-0.0782380852452349,0,-79.99404013156891,-78.52003955841064,-88.48720985239567,-87.79559013168975,10,10
A lot of senators who climbed down the hill hired themselves.,A lot of senators who climbed down the hill hired itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,20,1.996183654970828,2.0006876455743523,-0.004503990603524244,0,-71.92914998531342,-72.39093804359436,-95.88335384496335,-96.39918979048659,12,12
The dancers who haven't shocked Candice aren't appreciating themselves.,The dancers who haven't shocked Candice aren't appreciating herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,21,3.063423613805402,3.0453728394459745,0.01805077435942737,1,-82.05877268314362,-82.13569974899292,-124.94670327641924,-124.77091950123656,14,14
A legislature that wouldn't criticize Patrick hasn't helped itself.,A legislature that wouldn't criticize Patrick hasn't helped himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,22,2.0566556282819612,2.300545939054158,-0.2438903107721968,0,-77.61630752496421,-73.26334586553276,-102.29617506434775,-100.86989713418265,12,12
Most guests who were revealing Colleen weren't complaining about themselves.,Most guests who were revealing Colleen weren't complaining about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,23,2.8029186277726783,2.7879474844649224,0.014971143307755952,1,-82.87084192037582,-82.88968300819397,-119.30878408142064,-119.13300030623796,13,13
A guy who hasn't annoyed Laura argued about himself.,A guy who hasn't annoyed Laura argued about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,24,1.8850801706664853,1.9719885786703655,-0.08690840800388022,0,-70.5240204706788,-70.30268619209528,-91.25990234801014,-91.9945605574693,11,11
That company that had known Sandra annoyed itself.,That company that had known Sandra annoyed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,25,0.942903118934437,1.3820713241682308,-0.43916820523379374,0,-66.12351548671722,-61.479381918907166,-74.60964355712716,-73.91802383642124,9,9
Those senators who had a slope have cared for themselves.,Those senators who had a slope have cared for itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,26,1.54509417717655,1.4336264693616376,0.11146770781491244,1,-72.27153587341309,-74.01351660490036,-89.26757182235514,-89.78340776787837,11,11
A cat that hasn't impressed Joseph couldn't distract itself.,A cat that hasn't impressed Joseph couldn't distract himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,27,1.8675360604184494,2.1368432520366696,-0.26930719161822014,0,-76.59871849510819,-71.94075426552445,-99.00915122012958,-97.58287328996448,12,12
Some association that had forgotten Claire insults itself.,Some association that had forgotten Claire insults herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,28,1.1644926384487317,1.574244169969265,-0.40975153152053334,0,-71.8708330988884,-67.49144959449768,-82.35126684492698,-81.65964712422107,9,9
That plane that was scaring Wendy has disgusted itself.,That plane that was scaring Wendy has disgusted herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,29,1.265379109820042,1.2860025745986883,-0.020623464778646294,0,-79.97262418270111,-79.05414634943008,-93.89179439072157,-93.20017467001566,11,11
The dancer who has brought those fish could care for herself.,The dancer who has brought those fish could care for themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,30,1.8472442530924387,1.97057926372797,-0.12333501063553132,0,-70.4873988032341,-69.1831624507904,-92.65432984034337,-92.83011361552605,12,12
Some boy that disturbed Jill could argue about himself.,Some boy that disturbed Jill could argue about herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,31,1.7274360341184773,1.4901635835895548,0.23727245052892254,1,-66.62075608968735,-69.72813880443573,-83.89511643087212,-84.62977464033128,10,10
Some woman that was exploring some hill can't think about herself.,Some woman that was exploring some hill can't think about itself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,32,1.5340981756699228,1.4991442396255912,0.03495393604433161,1,-76.02492934465408,-77.17095023393631,-95.96820562836308,-96.659825349069,13,13
All actors that disgust Veronica escaped from themselves.,All actors that disgust Veronica escaped from herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,33,1.057114857733887,1.0903862474995252,-0.03327138976563826,0,-71.73651814460754,-71.26129186153412,-81.25055186421253,-81.07476808902985,9,9
Some museum that doesn't like a waitress was praising itself.,Some museum that doesn't like a waitress was praising herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,34,1.961079961872483,1.9312544212695666,0.029825540602916423,1,-72.46144529804587,-72.12773206457496,-95.99440484051567,-95.30278511980976,12,12
These pies that were embarrassing Jennifer are annoying themselves.,These pies that were embarrassing Jennifer are annoying herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,35,1.2046274783095527,1.231640640889475,-0.027013162579922145,0,-77.12131416797638,-76.67539876699448,-89.1675889510719,-88.99180517588923,10,10
The book that is disgusting dancers would irritate itself.,The book that is disgusting dancers would irritate themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,36,2.1693019533472038,2.235286976896633,-0.06598502354942903,0,-68.17625832557678,-66.93458712100983,-92.03857981239602,-91.52274386687279,11,11
The drivers who attack Jodi haven't revealed themselves.,The drivers who attack Jodi haven't revealed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,37,2.2414066332775557,2.008883471749579,0.2325231615279768,1,-71.2799624055624,-73.66193340718746,-95.93543537161551,-95.75965159643283,11,11
A lot of adults that scared Stacey talked to themselves.,A lot of adults that scared Stacey talked to herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,38,2.301215890683077,2.3932415165599843,-0.09202562587690721,0,-67.35375261306763,-66.07366132736206,-94.96834330126455,-94.79255952608187,12,12
A girl that wouldn't watch Omar questions herself.,A girl that wouldn't watch Omar questions himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,39,1.089449874691033,0.9224430872343419,0.16700678745669117,1,-67.01214724779129,-67.94755691289902,-77.90664599470162,-77.17198778524244,10,10
The men who weren't confusing Valerie were kissing themselves.,The men who weren't confusing Valerie were kissing herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,40,2.4022628041959964,2.3649828495591665,0.03727995463682987,1,-67.7350048571825,-67.96930058300495,-94.15989570333846,-93.98411192815578,11,11
Some guests who didn't discover Melissa were visiting themselves.,Some guests who didn't discover Melissa were visiting herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,41,2.1596756105919095,2.1843677863837403,-0.024692175791830806,0,-71.35060904547572,-70.9032113365829,-95.10704076198672,-94.93125698680404,11,11
A lot of waiters who weren't boring Joseph would heal themselves.,A lot of waiters who weren't boring Joseph would heal himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,42,1.7032005460209072,1.9050533792587032,-0.20185283323779601,0,-89.66362535208464,-85.92724370211363,-113.50843299637734,-112.59799101173547,14,14
Some organizations that haven't respected Nicole hadn't worked with themselves.,Some organizations that haven't respected Nicole hadn't worked with herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,43,2.534297838714493,2.653297941795979,-0.11900010308148623,0,-75.67563110403717,-73.95284598879516,-108.62150300732557,-108.44571923214289,13,13
Some dancer who isn't admiring mushrooms thinks about herself.,Some dancer who isn't admiring mushrooms thinks about themselves.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,44,2.1790007385399712,2.186662977046126,-0.007662238506154662,0,-80.89076022431254,-80.97459713742137,-107.0387690867922,-107.21455286197488,12,12
These actors who think about Russell won't remember themselves.,These actors who think about Russell won't remember himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,45,1.9174042429724032,1.9125622334724348,0.0048420094999683805,1,-67.66104328632355,-66.80386340618134,-88.75248995901998,-87.84204797437812,11,11
All cashiers who will respect Florence criticized themselves.,All cashiers who will respect Florence criticized herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,46,1.0953567929501589,1.2884214565657715,-0.1930646636156126,0,-80.50985944271088,-78.40342903137207,-91.46342737221246,-91.28764359702978,10,10
This book that hurt Kirsten has disagreed with itself.,This book that hurt Kirsten has disagreed with herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,47,2.1247985125536335,1.9897392347366074,0.1350592778170261,1,-68.54911720752716,-69.34314954280853,-91.92190084561713,-91.23028112491122,11,11
These adults that won't listen to Janice impressed themselves.,These adults that won't listen to Janice impressed herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,48,2.1513411504565383,2.07372475010772,0.07761640034881845,1,-73.61524546146393,-74.37085849046707,-99.43133926694239,-99.25555549175971,12,12
The actors that were escaping from Carrie had cured themselves.,The actors that were escaping from Carrie had cured herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,49,2.5325330095308,2.530526292555852,0.0020067169749480307,1,-65.45295667648315,-65.2992467880249,-93.31081978132195,-93.13503600613927,11,11
Every government that boasted about Amanda wasn't embarrassing itself.,Every government that boasted about Amanda wasn't embarrassing herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,50,1.4353837637848441,1.7099638986743664,-0.27458013488952226,0,-80.94405347108841,-77.23205226659775,-96.7332748727217,-96.04165515201578,11,11
Some cucumbers that can embarrass Amanda disgusted themselves.,Some cucumbers that can embarrass Amanda disgusted herself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,51,2.706840230669053,2.830217217854917,-0.1233769871858641,0,-69.63940000534058,-68.22984635829926,-96.7078023120311,-96.53201853684843,10,10
Some association that would astound Gregory had scared itself.,Some association that would astound Gregory had scared himself.,syntax_semantics,binding,principle_A_c_command,True,True,False,False,52,0.9908021181547714,1.2979216886353955,-0.3071195704806241,0,-87.36905300617218,-82.56445980072021,-98.26787630587467,-96.84159837570957,11,11
