sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Dennis has seen this tooth that Kristin wasn't concealing that is astounding men.,Dennis has seen who this tooth that Kristin wasn't concealing is astounding men.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,0,-114.54768371582031,-121.15616607666016,1
Renee investigates these offspring that some drivers boast about that would heal some dog.,Renee investigates what these offspring that some drivers boast about would heal some dog.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,1,-110.81929016113281,-114.42695617675781,1
The cashiers should notice a lot of cafes that Roger will drop by that resemble all prints.,The cashiers should notice what a lot of cafes that Roger will drop by resemble all prints.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,2,-116.52729797363281,-120.78604125976562,1
All pedestrians research those ellipses that Ellen has appreciated that disgusted this actress.,All pedestrians research who those ellipses that Ellen has appreciated disgusted this actress.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,3,-127.03728485107422,-135.0940399169922,1
Heidi shouldn't think about many pedestrians that every movie could disagree with that messed up this rug.,Heidi shouldn't think about what many pedestrians that every movie could disagree with messed up this rug.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,4,-125.21417236328125,-125.56643676757812,1
The Lutherans know the man that the casserole confuses that impressed the waitresses.,The Lutherans know who the man that the casserole confuses impressed the waitresses.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,5,-110.18278503417969,-115.56143188476562,1
That teenager hasn't seen this tomato that that girl had bought that had stunned some actors.,That teenager hasn't seen who this tomato that that girl had bought had stunned some actors.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,6,-115.20066833496094,-120.11986541748047,1
Holly investigates every cashier that Carol cares for that hasn't argued about all movies.,Holly investigates what every cashier that Carol cares for hasn't argued about all movies.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,7,-121.75794982910156,-123.9353256225586,1
Susan won't discover a car that Jane admired that is aggravating a lot of cashiers.,Susan won't discover who a car that Jane admired is aggravating a lot of cashiers.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,8,-103.64335632324219,-107.58111572265625,1
Most customers notice a lot of mushrooms that this cashier hides that won't aggravate the children.,Most customers notice who a lot of mushrooms that this cashier hides won't aggravate the children.,syntax,filler_gap_dependency,wh_questions_subject_gap_long_distance,True,False,False,False,9,-107.13775634765625,-112.75041961669922,1
