sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lot of nieces of some actor aren't scared.,A lot of nieces of some actor aren't wept.,syntax,argument_structure,passive_2,True,False,False,False,0,-65.08245849609375,-74.87520599365234,1
Mitchell's grandfathers are forgotten.,Mitchell's grandfathers are concurred.,syntax,argument_structure,passive_2,True,False,False,False,1,-55.18830108642578,-59.61150360107422,1
The Clintons were attacked.,The Clintons were replied.,syntax,argument_structure,passive_2,True,False,False,False,2,-33.253082275390625,-41.29490661621094,1
Most cashiers are disliked.,Most cashiers are flirted.,syntax,argument_structure,passive_2,True,False,False,False,3,-35.82576370239258,-45.42009735107422,1
A lot of libraries were distracted.,A lot of libraries were communicated.,syntax,argument_structure,passive_2,True,False,False,False,4,-42.974212646484375,-41.4443359375,0
Kristen wasn't visited.,Kristen wasn't muttered.,syntax,argument_structure,passive_2,True,False,False,False,5,-43.5642204284668,-46.48041534423828,1
Stephen was disliked.,Stephen was laughed.,syntax,argument_structure,passive_2,True,False,False,False,6,-32.78974151611328,-36.48046112060547,1
Steve isn't disliked.,Steve isn't lied.,syntax,argument_structure,passive_2,True,False,False,False,7,-35.474456787109375,-38.36558532714844,1
The actresses weren't bored.,The actresses weren't retaliated.,syntax,argument_structure,passive_2,True,False,False,False,8,-38.861297607421875,-49.04436111450195,1
Mary wasn't known.,Mary wasn't cried.,syntax,argument_structure,passive_2,True,False,False,False,9,-31.885181427001953,-37.22603988647461,1
Many teachers aren't visited.,Many teachers aren't conspired.,syntax,argument_structure,passive_2,True,False,False,False,10,-41.263668060302734,-46.675048828125,1
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,True,False,False,False,11,-47.44072723388672,-61.59676742553711,1
Most actors are described.,Most actors are corresponded.,syntax,argument_structure,passive_2,True,False,False,False,12,-37.57355880737305,-42.10955047607422,1
Some guy's granddaughter was investigated.,Some guy's granddaughter was screamed.,syntax,argument_structure,passive_2,True,False,False,False,13,-53.20472717285156,-56.99119567871094,1
Edward was hurt.,Edward was spoken up.,syntax,argument_structure,passive_2,True,False,False,False,14,-29.896160125732422,-40.96462631225586,1
All companies are bothered.,All companies are argued.,syntax,argument_structure,passive_2,True,False,False,False,15,-36.07254409790039,-37.287532806396484,1
Winston Churchill's French teachers aren't loved.,Winston Churchill's French teachers aren't clashed.,syntax,argument_structure,passive_2,True,False,False,False,16,-59.39302062988281,-65.0081787109375,1
Vincent's partners aren't astounded.,Vincent's partners aren't waved.,syntax,argument_structure,passive_2,True,False,False,False,17,-55.012596130371094,-57.788230895996094,1
Bill was disturbed.,Bill was left.,syntax,argument_structure,passive_2,True,False,False,False,18,-28.97335433959961,-33.694610595703125,1
Cindy was insulted.,Cindy was lied.,syntax,argument_structure,passive_2,True,False,False,False,19,-30.74633026123047,-36.079872131347656,1
Jodi's lawyers were praised.,Jodi's lawyers were struggled.,syntax,argument_structure,passive_2,True,False,False,False,20,-46.78984069824219,-50.389404296875,1
Most adults' mentees aren't admired.,Most adults' mentees aren't gone fishing.,syntax,argument_structure,passive_2,True,False,False,False,21,-59.69552230834961,-63.32975387573242,1
Paul was kissed.,Paul was screamed.,syntax,argument_structure,passive_2,True,False,False,False,22,-30.134605407714844,-33.63389205932617,1
Many patients were impressed.,Many patients were chatted.,syntax,argument_structure,passive_2,True,False,False,False,23,-32.45024108886719,-40.053802490234375,1
Carl's daughter is fired.,Carl's daughter is shouted.,syntax,argument_structure,passive_2,True,False,False,False,24,-42.154075622558594,-47.514564514160156,1
The mother of Steve is annoyed.,The mother of Steve is sighed.,syntax,argument_structure,passive_2,True,False,False,False,25,-45.60847473144531,-50.845489501953125,1
Kristin's brothers are astounded.,Kristin's brothers are corresponded.,syntax,argument_structure,passive_2,True,False,False,False,26,-50.9817008972168,-58.80475997924805,1
Eric isn't described.,Eric isn't concurred.,syntax,argument_structure,passive_2,True,False,False,False,27,-34.89251708984375,-43.5311164855957,1
Many dancers weren't disagreed with.,Many dancers weren't worked hard.,syntax,argument_structure,passive_2,True,False,False,False,28,-51.42182540893555,-48.19301986694336,0
Homer's teachers weren't scanned.,Homer's teachers weren't clashed.,syntax,argument_structure,passive_2,True,False,False,False,29,-48.841217041015625,-52.42200469970703,1
Carlos wasn't scared.,Carlos wasn't trained.,syntax,argument_structure,passive_2,True,False,False,False,30,-30.272205352783203,-34.90327835083008,1
Those guests weren't discussed.,Those guests weren't flirted.,syntax,argument_structure,passive_2,True,False,False,False,31,-42.8746452331543,-48.541839599609375,1
These people aren't admired.,These people aren't corresponded.,syntax,argument_structure,passive_2,True,False,False,False,32,-34.012264251708984,-42.98918533325195,1
Carla isn't hugged.,Carla isn't wept.,syntax,argument_structure,passive_2,True,False,False,False,33,-38.25112533569336,-40.93940353393555,1
