sentence_good,sentence_bad,field,linguistics_term,UID,pair_id,config,picked_for_semantic_plausibility
Who had the adult and Jason boasted about?,Who had the adult boasted about and Jason?,syntax,island_effects,coordinate_structure_constraint_object_extraction,158,coordinate_structure_constraint_object_extraction,TRUE
Who were Peter and Amanda hiding?,Who was Peter hiding and Amanda?,syntax,island_effects,coordinate_structure_constraint_object_extraction,201,coordinate_structure_constraint_object_extraction,TRUE
What had Homer and Marla helped?,What had Homer helped and Marla?,syntax,island_effects,coordinate_structure_constraint_object_extraction,629,coordinate_structure_constraint_object_extraction,TRUE
What have Deanna and some man driven to?,What has Deanna driven to and some man?,syntax,island_effects,coordinate_structure_constraint_object_extraction,578,coordinate_structure_constraint_object_extraction,TRUE
Who should Adam and Liam drop by?,Who should Adam drop by and Liam?,syntax,island_effects,coordinate_structure_constraint_object_extraction,828,coordinate_structure_constraint_object_extraction,TRUE
Who could Noah and the girl forget?,Who should Noah forget and the girl?,syntax,island_effects,coordinate_structure_constraint_object_extraction,604,coordinate_structure_constraint_object_extraction,TRUE
Who had Lissa and Amelia disliked?,Who has Lissa disliked and Amelia?,syntax,island_effects,coordinate_structure_constraint_object_extraction,145,coordinate_structure_constraint_object_extraction,TRUE
Who were Cynthia and Naomi investigating?,Who is Cynthia investigating and Naomi?,syntax,island_effects,coordinate_structure_constraint_object_extraction,840,coordinate_structure_constraint_object_extraction,TRUE
What had Deborah and Omar attacked?,What had Deborah attacked and Omar?,syntax,island_effects,coordinate_structure_constraint_object_extraction,506,coordinate_structure_constraint_object_extraction,TRUE
What are Ellen and Curtis revealing?,What is Ellen revealing and Curtis?,syntax,island_effects,coordinate_structure_constraint_object_extraction,784,coordinate_structure_constraint_object_extraction,TRUE
Who have Katherine and Maria attacked?,Who had Katherine attacked and Maria?,syntax,island_effects,coordinate_structure_constraint_object_extraction,397,coordinate_structure_constraint_object_extraction,TRUE
What have Jason and Victoria walked through?,What had Jason walked through and Victoria?,syntax,island_effects,coordinate_structure_constraint_object_extraction,816,coordinate_structure_constraint_object_extraction,TRUE
What had the ladies and Michelle noticed?,What had the ladies noticed and Michelle?,syntax,island_effects,coordinate_structure_constraint_object_extraction,514,coordinate_structure_constraint_object_extraction,TRUE
