sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Some waiters broke this lost foot.,Some waiters broke this lost feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,0,-51.0239143371582,-52.36708068847656,1
The company talks about those big women.,The company talks about those big woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,1,-39.98273849487305,-43.66091537475586,1
This blouse astounds this lost woman.,This blouse astounds this lost women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,2,-63.94362258911133,-64.66822052001953,1
David wasn't kissing these standing children.,David wasn't kissing these standing child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,3,-46.525047302246094,-48.5528450012207,1
This person shouldn't criticize this upset child.,This person shouldn't criticize this upset children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,4,-50.80454635620117,-51.5898551940918,1
These tomatoes astound that concealed person.,These tomatoes astound that concealed people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,5,-62.18773651123047,-59.552833557128906,0
Sally hasn't cleaned these white oxen.,Sally hasn't cleaned these white ox.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,6,-63.31739044189453,-59.474918365478516,0
These doors would astound those happy children.,These doors would astound those happy child.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,7,-57.284217834472656,-61.104827880859375,1
Katherine is biking to these red oases.,Katherine is biking to these red oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,8,-68.63491821289062,-62.8893928527832,0
Katherine hadn't praised this lost man.,Katherine hadn't praised this lost men.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,9,-57.43903732299805,-59.96443557739258,1
The driver sees that unlucky person.,The driver sees that unlucky people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,10,-45.52813720703125,-46.341461181640625,1
Edward hadn't described this nice woman.,Edward hadn't described this nice women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,11,-43.71434783935547,-48.37520980834961,1
Heidi returns to that big woman.,Heidi returns to that big women.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,12,-44.94203567504883,-45.83946990966797,1
Sara listened to that unconvinced person.,Sara listened to that unconvinced people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,13,-57.21305465698242,-52.39418411254883,0
Samuel had listened to these concealed people.,Samuel had listened to these concealed person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,14,-54.59977722167969,-57.554100036621094,1
Richard flees from those unconvinced men.,Richard flees from those unconvinced man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,15,-53.806278228759766,-55.92023468017578,1
Monica is cleaning that hidden axis.,Monica is cleaning that hidden axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,16,-52.857032775878906,-53.265655517578125,1
Veronica does break those hard teeth.,Veronica does break those hard tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,17,-50.135093688964844,-54.71491622924805,1
Rachel drove to those blue oases.,Rachel drove to those blue oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,18,-48.55284881591797,-43.231563568115234,0
These cashiers do break this whole tooth.,These cashiers do break this whole teeth.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,19,-54.02695846557617,-55.57264709472656,1
Rose dislikes this bad synopsis.,Rose dislikes this bad synopses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,20,-45.699546813964844,-62.639625549316406,1
Becky had fixed this hard foot.,Becky had fixed this hard feet.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,21,-46.864356994628906,-48.05823516845703,1
Gerald questioned those unconvinced men.,Gerald questioned those unconvinced man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,22,-57.605857849121094,-60.013946533203125,1
Stacy doesn't impress this determined person.,Stacy doesn't impress this determined people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,23,-51.92399215698242,-52.61640548706055,1
Nina won't run around this smooth oasis.,Nina won't run around this smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,24,-58.78630447387695,-66.10256958007812,1
That committee works with those out in the open women.,That committee works with those out in the open woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,25,-58.94142150878906,-60.85636901855469,1
Most teenagers had complained about these scared men.,Most teenagers had complained about these scared man.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,26,-48.055660247802734,-50.849517822265625,1
Bill cures those unsure alumni.,Bill cures those unsure alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,27,-46.78407287597656,-48.30486297607422,1
Derek walked through this smooth oasis.,Derek walked through this smooth oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,28,-50.97433853149414,-57.52968215942383,1
Some waiters work with this hidden person.,Some waiters work with this hidden people.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,29,-49.63826370239258,-50.10542297363281,1
Dennis hasn't healed these unconvinced women.,Dennis hasn't healed these unconvinced woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,30,-63.17929458618164,-65.34904479980469,1
Kathleen has this exposed thesis.,Kathleen has this exposed theses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,31,-53.15144729614258,-56.677574157714844,1
Sheila loved those determined people.,Sheila loved those determined person.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,32,-47.62229537963867,-52.266632080078125,1
Guy has toured this green oasis.,Guy has toured this green oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,33,-43.8836669921875,-50.443824768066406,1
Some senators go to that purple oasis.,Some senators go to that purple oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,34,-54.47644805908203,-60.72272491455078,1
Anna should scan that bad analysis.,Anna should scan that bad analyses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_irregular_1,True,True,False,True,35,-44.997535705566406,-47.760711669921875,1
