sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
All boys boast about that child.,All boys boast about those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,0,1.2279264977502404,1.3128340549984898,-0.08490755724824939,0,-44.71089446544647,-46.970335483551025,-53.306379949698155,-56.160173868540454,7,7
Candice has taken that axis.,Candice has taken those axis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,1,2.171479292662165,2.259699028930887,-0.08821973626872204,0,-45.287033438682556,-47.5232892036438,-60.48738848731771,-63.34118240616001,7,7
Those ladies walk through those oases.,Those ladies walk through that oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,2,2.558255356837428,2.01755005600039,0.5407053008370379,1,-48.937211751937866,-50.40906023979187,-69.40325460663729,-66.54946068779499,8,8
The legislatures praise this woman.,The legislatures praise these woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,3,0.7954710264851753,0.5802272774962844,0.21524374898889087,1,-46.73533487319946,-49.73413419723511,-51.508161032110515,-53.215497862212814,6,6
Many icicles do bore that child.,Many icicles do bore those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,4,1.0286841526167443,1.1828730910251153,-0.154188938408371,0,-62.41982293128967,-64.04010534286499,-70.64929615222363,-73.50309007106591,8,8
Actors see this tooth.,Actors see these tooth.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,5,1.7649198092015521,1.6075540379017685,0.15736577129978357,1,-36.84101676940918,-39.49254822731018,-47.43053562461849,-49.13787245472079,6,6
Diane lifts these oxen.,Diane lifts this oxen.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,6,2.443022572798721,2.23346325323971,0.20955931955901086,1,-47.00588756799698,-46.76546597480774,-64.10704557758802,-62.39970874748571,7,7
Sonia hadn't boasted about those men.,Sonia hadn't boasted about that men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,7,2.532408745609214,2.013414593090415,0.5189941525187991,1,-51.601263254880905,-53.41841670870781,-74.39294196536383,-71.53914804652155,9,9
Benjamin wasn't running around this oasis.,Benjamin wasn't running around these oasis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,8,3.6654909729526595,3.6398100899228494,0.025680883029810087,1,-49.12730719521642,-51.09145285561681,-85.78221692474301,-87.4895537548453,10,10
Elaine isn't breaking that foot.,Elaine isn't breaking those foot.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,9,1.9436026003820857,1.976023660258047,-0.03242105987596133,0,-48.61010265350342,-51.20452809333801,-64.1589234565601,-67.01271737540239,8,8
This window hadn't embarrassed those people.,This window hadn't embarrassed that people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,10,1.4560953866894781,1.1514221098783572,0.3046732768111209,1,-51.944280847907066,-51.527873143553734,-63.59304394142289,-60.73925002258059,8,8
A pedestrian lifted this axis.,A pedestrian lifted these axis.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,11,1.130091130697038,1.1725626864007335,-0.04247155570369543,0,-46.8354594707489,-48.28796696662903,-53.61600625493113,-55.32334308503343,6,6
Kathleen wouldn't discuss that alumnus.,Kathleen wouldn't discuss those alumnus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,12,2.514912186360267,2.466537733963874,0.04837445239639315,1,-69.04622410237789,-72.43213699758053,-96.71025815234083,-99.56405207118314,11,11
Candice skated around these oases.,Candice skated around this oases.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,13,2.2384782827766276,2.0677454747735897,0.17073280800303792,1,-62.227842569351196,-62.057101011276245,-82.37414711434084,-80.66681028423855,9,9
Helen argued about these syntheses.,Helen argued about this syntheses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,14,1.24486742371273,1.0838383323591536,0.16102909135357635,1,-60.379964113235474,-59.96086001396179,-70.33890350293731,-68.63156667283502,8,8
Natalie describes this child.,Natalie describes these child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,15,2.7546409813051667,2.059051824194531,0.6955891571106356,1,-34.9284348487854,-40.809306621551514,-51.4562807366164,-53.1636175667187,6,6
Every story disagreed with these people.,Every story disagreed with this people.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,16,1.8795048783283639,1.3075968745265618,0.5719080038018021,1,-43.90144073963165,-46.19745993614197,-57.0579748879302,-55.3506380578279,7,7
Karla helped these men.,Karla helped this men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,17,1.2020565367378058,0.46025000197679944,0.7418065347610063,1,-45.41638803482056,-48.1598904132843,-52.62872725524739,-50.9213904251451,6,6
A government has described that child.,A government has described those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,18,1.5928265382764368,1.3934690371434695,0.19935750113296735,1,-39.2771577835083,-43.52645421028137,-50.42694355144336,-53.28073747028566,7,7
Every customer discusses those theses.,Every customer discusses that theses.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,19,0.8075791034979675,1.0633539676615047,-0.25577486416353723,0,-58.73941421508789,-54.09519624710083,-64.39246793957366,-61.538674020731364,7,7
Marla is attacking that man.,Marla is attacking those man.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,20,1.394391503384801,1.3125520355519609,0.08183946783284002,1,-44.32205593585968,-47.74872612953186,-54.082796459553286,-56.936590378395586,7,7
Some cashiers hide that nucleus.,Some cashiers hide those nucleus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,21,1.2265436057510917,1.3169855564461272,-0.09044195069503558,0,-54.5703649520874,-56.79106521606445,-63.156170192345044,-66.00996411118734,7,7
Robert attacks that child.,Robert attacks those child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,22,0.4762957946755151,0.050163127562017,0.42613266711349806,1,-37.04916715621948,-42.03362441062927,-39.43064612959706,-42.28444004843936,5,5
Ruth couldn't discover that fungus.,Ruth couldn't discover those fungus.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,23,2.5777088405074053,2.695605434584035,-0.11789659407662967,0,-46.82251247763634,-48.733133643865585,-67.44418320169558,-70.29797712053787,8,8
Christine talks about this child.,Christine talks about these child.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,24,3.0372293629199447,2.442601239903771,0.5946281230161738,1,-34.358062624931335,-40.22779631614685,-55.61866816537095,-57.32600499547325,7,7
All books were irritating those men.,All books were irritating that men.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,25,0.8438326282039179,0.6311678452378514,0.2126647829660665,1,-51.32911276817322,-49.963972330093384,-57.23594116560064,-54.38214724675834,7,7
Scott has bought these axes.,Scott has bought this axes.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,26,1.7769928832189095,1.1288744788366252,0.6481184043822843,1,-42.49353361129761,-44.674907207489014,-53.155490910611064,-51.448154080508765,6,6
Those mouths disturb that woman.,Those mouths disturb those woman.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,27,1.4214628065532058,1.5535581136242531,-0.13209530707104733,0,-43.44103956222534,-45.50226163864136,-51.96981640154458,-54.82361032038688,6,6
Carl likes these geese.,Carl likes this geese.,morphology,determiner_noun_agreement,determiner_noun_agreement_irregular_2,True,False,True,True,28,2.2180140009100113,2.150880447252265,0.06713355365774643,1,-39.76960480213165,-38.46506929397583,-53.07768880759172,-51.37035197748942,6,6
