sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Cynthia scans these hard books.,Cynthia scans this hard books.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,0,1.6035081347258249,1.2038956276255597,0.3996125071002652,1,-62.99917817115784,-64.48874139785767,-75.82724324896444,-74.11990641886214,8,8
Donna might hire this serious actress.,Donna might hire these serious actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,1,1.5014392503699021,1.5011296547804243,0.00030959558947785126,1,-56.14949655532837,-57.859310150146484,-68.16101055828759,-69.86834738838988,8,8
Wendy forgot those upset doctors.,Wendy forgot that upset doctors.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,2,1.5996504143633565,1.433108785854314,0.16654162850904264,1,-56.28930914402008,-54.76784825325012,-69.08651245892693,-66.23271854008463,8,8
Carlos hasn't fired those uncertain students.,Carlos hasn't fired that uncertain students.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,3,1.7778034765576871,1.3532054648792036,0.42459801167848354,1,-63.69457484409213,-64.66216303035617,-79.69480613311131,-76.841012214269,9,9
Claire will conceal those hopeful cashiers.,Claire will conceal that hopeful cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,4,2.5078947690356994,2.037494680699603,0.47040008833609637,1,-65.14627647399902,-66.52608335018158,-87.71732939532032,-84.863535476478,9,9
Some actors buy these gray books.,Some actors buy this gray books.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,5,1.6021564628298859,1.271968828912031,0.3301876339178549,1,-50.6616975069046,-51.265674114227295,-61.876792746713804,-60.16945591661151,7,7
Jerry appreciates this lost report.,Jerry appreciates these lost report.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,6,1.4427520655802692,1.5753278140867255,-0.13257574850645626,0,-53.93409711122513,-54.71340370178223,-64.03336157028701,-65.7406984003893,7,7
Deanna reveals these black public parks.,Deanna reveals this black public parks.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,7,1.0149548404943758,0.9448890680847732,0.07006577240960254,1,-68.15333330631256,-67.00652265548706,-76.27297203026757,-74.56563520016525,8,8
Tracy has boasted about those unsure children.,Tracy has boasted about that unsure children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,8,2.3287094890730455,1.8346082230339391,0.4941012660391064,1,-62.763551473617554,-64.3566689491272,-83.72193687527496,-80.86814295643265,9,9
This eggplant distracts this hopeful girl.,This eggplant distracts these hopeful girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,9,1.2417542670734494,1.071427787687368,0.17032647938608148,1,-69.8593738079071,-73.09964895248413,-81.03516221156815,-82.74249904167044,9,9
That sweater had resembled that out in the open drawing.,That sweater had resembled those out in the open drawing.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,10,0.9891806358269161,1.0613229279574703,-0.07214229213055423,0,-69.78193140029907,-71.84216010570526,-80.66291839439515,-83.51671231323743,11,11
Nancy astounded that young pedestrian.,Nancy astounded those young pedestrian.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,11,2.441039065402073,2.5626186304793777,-0.12157956507730461,0,-54.55765151977539,-56.43880891799927,-74.08596404299198,-76.93975796183429,8,8
The documentaries can aggravate those busy actors.,The documentaries can aggravate that busy actors.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,12,1.7352539281687882,1.473246340710075,0.2620075874587131,1,-67.19130742549896,-66.6955817937851,-82.80859277901806,-79.95479886017577,9,9
Most senators aren't exiting this popular restaurant.,Most senators aren't exiting these popular restaurant.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,13,2.4782080957007793,2.2904543308024095,0.1877537648983698,1,-62.22225491888821,-65.61937563307583,-84.52612778019522,-86.23346461029752,9,9
Wayne looked like those bad paintings.,Wayne looked like that bad paintings.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,14,2.604064413368622,2.447921813518448,0.15614259985017398,1,-47.17487299442291,-45.57021987438202,-68.00738830137189,-65.1535943825296,8,8
Christina loves these popular essays.,Christina loves this popular essays.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,15,2.58948093458986,2.160736799147215,0.4287441354426451,1,-47.50155591964722,-48.79542803764343,-65.62792246177624,-63.92058563167394,7,7
Katherine hasn't bothered that delighted waiter.,Katherine hasn't bothered those delighted waiter.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,16,1.8852587725782004,2.0148485884855725,-0.12958981590737206,0,-63.139676462858915,-64.82716203853488,-80.10700541606272,-82.96079933490503,9,9
A lot of pedestrians had complained about this unconvinced teenager.,A lot of pedestrians had complained about these unconvinced teenager.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,17,2.9725106377777615,2.872474487943007,0.10003614983475462,1,-78.09285229444504,-81.10065907239914,-116.73549058555594,-118.44282741565823,13,13
This eggplant hasn't resembled that out in the open print.,This eggplant hasn't resembled those out in the open print.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,18,1.6433992385039482,1.7529692694678458,-0.10957003096389761,0,-81.74803638458252,-83.17741990089417,-103.11222648513385,-105.96602040397616,13,13
Kathleen cleaned that yellow college campus.,Kathleen cleaned those yellow college campus.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,19,0.9900035074798458,1.205229925894915,-0.2152264184150693,0,-74.04744827747345,-74.96420443058014,-82.95747984479206,-85.81127376363438,9,9
Randolf had healed this young boy.,Randolf had healed these young boy.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,20,1.8593423365842234,1.690501904293356,0.16884043229086743,1,-56.148982882499695,-59.207043170928955,-71.02372157517348,-72.7310584052758,8,8
Many governments hadn't respected these excited children.,Many governments hadn't respected this excited children.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,21,2.4165501991425313,2.091446394452346,0.3251038046901855,1,-59.40776139497757,-60.626358807086945,-81.15671318726035,-79.44937635715806,9,9
Cheryl forgot these big waitresses.,Cheryl forgot this big waitresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,22,1.165790783768996,1.146940889143505,0.018849894625491137,1,-67.2308361530304,-65.6931483745575,-77.72295320695136,-76.01561637684904,9,9
Judy wasn't embarrassing these old students.,Judy wasn't embarrassing this old students.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,23,2.2149279831789164,1.898878468412505,0.3160495147664113,1,-55.48938854970038,-56.62649735249579,-75.42374039831063,-73.71640356820834,9,9
The waitresses alarm those content dancers.,The waitresses alarm that content dancers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,24,-0.16472242150312155,-0.3081902128511018,0.14346779134798027,1,-74.41521286964417,-72.7091612815857,-73.09743349761919,-70.24363957877688,8,8
Most people leave those purple cafes.,Most people leave that purple cafes.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,25,2.170396567823098,1.6708688324884318,0.4995277353346663,1,-48.16285312175751,-48.80575335025787,-63.355629096519195,-60.501835177676895,7,7
A ladder won't annoy these popular governments.,A ladder won't annoy this popular governments.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,26,1.455585115429522,1.0595591214506674,0.39602599397885463,1,-63.2889688462019,-65.1458659619093,-76.3892348850676,-74.6818980549653,9,9
Most adults shocks these popular drivers.,Most adults shocks this popular drivers.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,27,1.1459384284665037,0.51066409669774,0.6352743317687637,1,-61.552064418792725,-64.29164791107178,-69.57363341805825,-67.86629658795596,7,7
Some turtle resembled that small photograph.,Some turtle resembled those small photograph.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,28,1.8035268212524056,2.0400243000432323,-0.23649747879082672,0,-50.26616728305817,-51.464478850364685,-62.890855031825005,-65.74464895066731,7,7
A lot of sweaters resemble these yellow pictures.,A lot of sweaters resemble this yellow pictures.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,29,3.0363978557160207,2.59979493671336,0.4366029190026608,1,-56.915642857551575,-59.57433521747589,-87.27962141471178,-85.57228458460949,10,10
Peter resembled these bad photographs.,Peter resembled this bad photographs.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,30,1.2797951305058177,0.7861964628903486,0.4935986676154691,1,-47.06681776046753,-48.321072936058044,-54.745588543502436,-53.038251713400136,6,6
Galileo sounds like this important essay.,Galileo sounds like these important essay.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,31,2.1688022604322756,1.953434259655915,0.21536800077636054,1,-57.48099821805954,-61.12664705514908,-77.00021856195002,-78.70755539205231,9,9
Those ladies work with these lucky actors.,Those ladies work with this lucky actors.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,32,1.9363283118741599,1.6008220158401407,0.33550629603401916,1,-52.22442960739136,-53.20114314556122,-67.71505610238464,-66.00771927228234,8,8
All women reveal that exposed painting.,All women reveal those exposed painting.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,33,1.3530589007350062,1.5202334698981903,-0.16717456916318407,0,-51.354777455329895,-53.03834939002991,-60.82618976047494,-63.67998367931724,7,7
Sandra had stunned that young teacher.,Sandra had stunned those young teacher.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,34,1.5665533381870844,1.6995115938647807,-0.13295825567769626,0,-52.88106679916382,-54.671194672584534,-65.4134935046605,-68.26728742350278,8,8
That plate resembles those big sketches.,That plate resembles that big sketches.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,35,1.512662801382105,1.3747802026081521,0.13788259877395292,1,-52.51424849033356,-50.625632762908936,-63.10288810000829,-60.249094181166,7,7
Sarah has discussed that big waitress.,Sarah has discussed those big waitress.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,36,1.4112378174658713,1.4949766298094664,-0.08373881234359515,0,-49.56682753562927,-51.834449768066406,-59.44549225789037,-62.29928617673267,7,7
Heather hasn't worked with this content adult.,Heather hasn't worked with these content adult.,morphology,determiner_noun_agreement,determiner_noun_agreement_with_adj_2,True,False,True,True,37,1.8063087769767718,1.642328881762819,0.16397989521395284,1,-61.53179149329662,-64.87892727553844,-79.59487926306434,-81.30221609316663,10,10
