sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Joel discovered the vase that Patricia might take.,Joel discovered what Patricia might take the vase.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,0,-68.43023681640625,-66.29067993164062,0
Rodney thought about many paintings that Wendy had thought about.,Rodney thought about what Wendy had thought about many paintings.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,1,-73.22343444824219,-70.40351867675781,0
Susan wasn't thinking about the rivers that Kenneth wasn't bringing.,Susan wasn't thinking about what Kenneth wasn't bringing the rivers.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,2,-82.13912963867188,-78.41651916503906,0
A driver has thought about those deer that many pictures look like.,A driver has thought about what many pictures look like those deer.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,3,-75.21308898925781,-72.12047576904297,0
Amy has seen every skateboard that all guests see.,Amy has seen what all guests see every skateboard.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,4,-62.98906707763672,-65.87428283691406,1
Michelle can see this banana that Maria did sell.,Michelle can see what Maria did sell this banana.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,5,-59.79954528808594,-56.586456298828125,0
Rachelle thought about a screen that Galileo hides.,Rachelle thought about what Galileo hides a screen.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,6,-65.47969055175781,-64.81160736083984,0
These waitresses see some mirrors that Phillip found.,These waitresses see what Phillip found some mirrors.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,7,-76.00437927246094,-73.09613037109375,0
Pamela thought about most students that a lot of libraries haven't praised.,Pamela thought about who a lot of libraries haven't praised most students.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,8,-96.18563842773438,-100.57746124267578,1
Mark discovers most analyses that Randolf remembered.,Mark discovers what Randolf remembered most analyses.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,9,-70.52629089355469,-73.72196960449219,1
Caroline forgets most customers that Michelle has admired.,Caroline forgets who Michelle has admired most customers.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,10,-78.65377807617188,-79.05134582519531,1
Bill wasn't noticing the pedestrian that Joseph wasn't talking to.,Bill wasn't noticing who Joseph wasn't talking to the pedestrian.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,11,-79.73676300048828,-79.5713119506836,0
Teresa knew that man that April remembered.,Teresa knew who April remembered that man.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,12,-62.04090881347656,-67.9868392944336,1
This boy knew a lot of pedestrians that the Clintons watch.,This boy knew who the Clintons watch a lot of pedestrians.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,13,-67.90756225585938,-72.33354187011719,1
Most patients investigate most patients that Sonia was insulting.,Most patients investigate who Sonia was insulting most patients.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,14,-74.0191421508789,-77.56896209716797,1
Carlos noticed a lot of eggplants that these doctors find.,Carlos noticed what these doctors find a lot of eggplants.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,15,-80.7406005859375,-79.97845458984375,0
Lisa hasn't thought about that ox that that print looked like.,Lisa hasn't thought about what that print looked like that ox.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,16,-77.45472717285156,-74.35708618164062,0
Omar hasn't forgotten every woman that Tara is attacking.,Omar hasn't forgotten who Tara is attacking every woman.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,17,-77.39236450195312,-79.6597671508789,1
Mitchell won't notice the fork that Eva admires.,Mitchell won't notice what Eva admires the fork.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,18,-85.66523742675781,-85.11029052734375,0
Holly researched a lot of hypotheses that Emily couldn't discover.,Holly researched what Emily couldn't discover a lot of hypotheses.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,19,-78.75552368164062,-78.3564453125,0
Guy doesn't see the goose that Jane wasn't selling.,Guy doesn't see what Jane wasn't selling the goose.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,20,-64.82877349853516,-60.723487854003906,0
Galileo hadn't seen these alumni that Derek bothered.,Galileo hadn't seen who Derek bothered these alumni.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,21,-83.1886215209961,-84.64818572998047,1
A lot of cashiers question this waitress that Ella had disliked.,A lot of cashiers question who Ella had disliked this waitress.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,22,-102.62367248535156,-105.03923034667969,1
Some teenagers remembered those doctors that a lot of boys distracts.,Some teenagers remembered who a lot of boys distracts those doctors.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,23,-76.5284423828125,-84.08892822265625,1
Linda did notice that couch that Naomi hides.,Linda did notice what Naomi hides that couch.,syntax,filler_gap_dependency,wh_questions_object_gap,True,False,False,False,24,-75.0766830444336,-77.83941650390625,1
