sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A lot of nieces of some actor aren't scared.,A lot of nieces of some actor aren't wept.,syntax,argument_structure,passive_2,True,False,False,False,0,-77.72669982910156,-78.71453857421875,1
Mitchell's grandfathers are forgotten.,Mitchell's grandfathers are concurred.,syntax,argument_structure,passive_2,True,False,False,False,1,-50.09117889404297,-61.32015609741211,1
The Clintons were attacked.,The Clintons were replied.,syntax,argument_structure,passive_2,True,False,False,False,2,-31.429080963134766,-35.18037414550781,1
Most cashiers are disliked.,Most cashiers are flirted.,syntax,argument_structure,passive_2,True,False,False,False,3,-40.62950897216797,-46.66377258300781,1
A lot of libraries were distracted.,A lot of libraries were communicated.,syntax,argument_structure,passive_2,True,False,False,False,4,-40.42964553833008,-42.82441329956055,1
Kristen wasn't visited.,Kristen wasn't muttered.,syntax,argument_structure,passive_2,True,False,False,False,5,-28.5692138671875,-27.851680755615234,0
Stephen was disliked.,Stephen was laughed.,syntax,argument_structure,passive_2,True,False,False,False,6,-20.507944107055664,-18.234943389892578,0
Steve isn't disliked.,Steve isn't lied.,syntax,argument_structure,passive_2,True,False,False,False,7,-24.50333023071289,-22.56243133544922,0
The actresses weren't bored.,The actresses weren't retaliated.,syntax,argument_structure,passive_2,True,False,False,False,8,-33.897186279296875,-42.79354476928711,1
Mary wasn't known.,Mary wasn't cried.,syntax,argument_structure,passive_2,True,False,False,False,9,-22.061351776123047,-21.635196685791016,0
Many teachers aren't visited.,Many teachers aren't conspired.,syntax,argument_structure,passive_2,True,False,False,False,10,-35.73839569091797,-43.52207946777344,1
Leslie's piano teachers were hired.,Leslie's piano teachers were flirted.,syntax,argument_structure,passive_2,True,False,False,False,11,-50.67564392089844,-58.53288650512695,1
Most actors are described.,Most actors are corresponded.,syntax,argument_structure,passive_2,True,False,False,False,12,-24.89105224609375,-32.74964904785156,1
Some guy's granddaughter was investigated.,Some guy's granddaughter was screamed.,syntax,argument_structure,passive_2,True,False,False,False,13,-43.254905700683594,-43.279239654541016,1
Edward was hurt.,Edward was spoken up.,syntax,argument_structure,passive_2,True,False,False,False,14,-14.838994979858398,-22.832115173339844,1
All companies are bothered.,All companies are argued.,syntax,argument_structure,passive_2,True,False,False,False,15,-26.578447341918945,-28.39773178100586,1
Winston Churchill's French teachers aren't loved.,Winston Churchill's French teachers aren't clashed.,syntax,argument_structure,passive_2,True,False,False,False,16,-66.62307739257812,-69.97743225097656,1
