sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Only Bill would ever complain.,Even Bill would ever complain.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,0,-34.29920196533203,-34.26498031616211,0
Only Lori had ever healed Carl.,Even Lori had ever healed Carl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,1,-48.721065521240234,-48.704776763916016,0
Only these pedestrians ever obligate Carl to aggravate Brad.,Even these pedestrians ever obligate Carl to aggravate Brad.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,2,-93.5466079711914,-93.23448944091797,0
Only Alexander ever looked like this drawing.,Even Alexander ever looked like this drawing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,3,-49.180416107177734,-48.12181854248047,0
Only libraries ever sway Sally to salute.,Even libraries ever sway Sally to salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,4,-63.240074157714844,-63.4362907409668,1
Only Meredith should ever wear the shawl.,Even Meredith should ever wear the shawl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,5,-57.67845916748047,-58.26233673095703,1
Only Grace ever reveals Janice.,Even Grace ever reveals Janice.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,6,-50.70868682861328,-52.033565521240234,1
Only Aaron ever messes up some couches.,Even Aaron ever messes up some couches.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,7,-68.34231567382812,-68.68451690673828,1
Only Elizabeth ever doubted Patricia has arrived at the hospital.,Even Elizabeth ever doubted Patricia has arrived at the hospital.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,8,-67.32530975341797,-67.56476593017578,1
Only Chad ever preferred Robert to waste away.,Even Chad ever preferred Robert to waste away.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,9,-68.14749145507812,-67.94703674316406,0
Only the boys ever managed to watch most teenagers.,Even the boys ever managed to watch most teenagers.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,10,-52.653480529785156,-53.12682342529297,1
Only the sweaters ever twirl.,Even the sweaters ever twirl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,11,-50.0822639465332,-49.8804931640625,0
Only Susan ever tries to exercise.,Even Susan ever tries to exercise.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,12,-41.06298828125,-41.211090087890625,1
Only Melanie ever investigates who reunite.,Even Melanie ever investigates who reunite.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,13,-63.127159118652344,-62.707969665527344,0
Only waiters ever cope.,Even waiters ever cope.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,14,-38.766937255859375,-39.823020935058594,1
Only Kendra could ever protest.,Even Kendra could ever protest.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,15,-48.314239501953125,-46.80575942993164,0
Only the Clintons ever disagreed.,Even the Clintons ever disagreed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,16,-40.795806884765625,-41.257850646972656,1
Only some dancers ever cure Debra.,Even some dancers ever cure Debra.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,17,-58.449283599853516,-58.731178283691406,1
Only these actresses ever assembled.,Even these actresses ever assembled.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,18,-40.35163879394531,-40.62306213378906,1
Only that unicycle ever crashed.,Even that unicycle ever crashed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,19,-47.69465255737305,-48.41291046142578,1
Only Connie does ever learn who isn't imagining those mushrooms were growing.,Even Connie does ever learn who isn't imagining those mushrooms were growing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,20,-93.43281555175781,-93.69734191894531,1
Only some cashiers had ever replied.,Even some cashiers had ever replied.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,21,-46.660804748535156,-47.17903137207031,1
Only some children ever marry.,Even some children ever marry.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,22,-31.582693099975586,-32.20011901855469,1
Only Kayla has ever pressed Kenneth to hate Rachel.,Even Kayla has ever pressed Kenneth to hate Rachel.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,23,-79.81147766113281,-80.05441284179688,1
Only Wayne could ever talk.,Even Wayne could ever talk.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,24,-35.708316802978516,-35.48875427246094,0
Only Rebecca would ever observe John.,Even Rebecca would ever observe John.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,25,-44.77053451538086,-44.70198440551758,0
Only Emily ever found Liam.,Even Emily ever found Liam.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,26,-41.192081451416016,-41.19784164428711,1
Only that pedestrian will ever fail to attack Mitchell.,Even that pedestrian will ever fail to attack Mitchell.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,27,-62.74439239501953,-63.137184143066406,1
Only the Clintons ever work with every teenager.,Even the Clintons ever work with every teenager.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,28,-57.251163482666016,-57.636322021484375,1
Only Patricia had ever painted.,Even Patricia had ever painted.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,29,-33.59351348876953,-34.571739196777344,1
Only Wayne ever referenced Randolf.,Even Wayne ever referenced Randolf.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,30,-61.83340835571289,-62.156005859375,1
Only Patricia ever turns out to bring a lot of plates.,Even Patricia ever turns out to bring a lot of plates.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,31,-63.459815979003906,-63.76346969604492,1
Only Nina ever arrives at every high school.,Even Nina ever arrives at every high school.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,32,-55.832130432128906,-54.82331085205078,0
Only Dana has ever painted.,Even Dana has ever painted.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,33,-37.69920349121094,-37.496150970458984,0
Only Andrea could ever sway Walter's French teachers to salute.,Even Andrea could ever sway Walter's French teachers to salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,34,-84.52883911132812,-85.45722961425781,1
Only Janice had ever bought some carriage.,Even Janice had ever bought some carriage.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,35,-54.97688674926758,-57.08780288696289,1
Only Eva ever waves.,Even Eva ever waves.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,36,-33.848846435546875,-34.19403076171875,1
Only Helen ever shrugged.,Even Helen ever shrugged.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,37,-34.47486114501953,-35.231353759765625,1
Only a plane has ever tipped over.,Even a plane has ever tipped over.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,38,-39.95805740356445,-40.51121520996094,1
Only this glacier ever disgusts Nancy.,Even this glacier ever disgusts Nancy.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,39,-60.343780517578125,-60.72871398925781,1
Only those apples had ever grown.,Even those apples had ever grown.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,40,-37.50194549560547,-38.332183837890625,1
Only hospitals ever force Joseph to sing.,Even hospitals ever force Joseph to sing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,41,-58.550262451171875,-59.06007766723633,1
Only these ladies ever competed.,Even these ladies ever competed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,42,-35.965328216552734,-36.563533782958984,1
Only Alan ever proposes to laugh.,Even Alan ever proposes to laugh.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,43,-45.00107192993164,-45.03180694580078,1
