sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Patricia had changed.,Patricia had forgotten.,syntax,argument_structure,inchoative,True,False,False,False,0,-30.288206100463867,-28.479637145996094,0
A lot of closets could fling open.,A lot of closets could buy.,syntax,argument_structure,inchoative,True,False,False,False,1,-58.529293060302734,-44.442169189453125,0
All pants loosen.,All pants brought.,syntax,argument_structure,inchoative,True,False,False,False,2,-38.48685836791992,-33.97294235229492,0
Many glasses aren't warping.,Many glasses aren't messing up.,syntax,argument_structure,inchoative,True,False,False,False,3,-44.033416748046875,-39.49555206298828,0
A screen was fading.,A screen was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,4,-32.314266204833984,-33.45277786254883,1
Every mountain sells.,Every mountain climbs down.,syntax,argument_structure,inchoative,True,False,False,False,5,-30.862703323364258,-37.599342346191406,1
All rivers can't melt.,All rivers can't reveal.,syntax,argument_structure,inchoative,True,False,False,False,6,-40.20289611816406,-41.48257827758789,1
That skirt isn't unfolding.,That skirt isn't cleaning.,syntax,argument_structure,inchoative,True,False,False,False,7,-44.28642654418945,-43.4359245300293,0
That shawl shrank.,That shawl reveals.,syntax,argument_structure,inchoative,True,False,False,False,8,-39.51462173461914,-37.858055114746094,0
Those bananas are ripening.,Those bananas are cleaning.,syntax,argument_structure,inchoative,True,False,False,False,9,-40.05894470214844,-39.24606704711914,0
A lot of chairs shattered.,A lot of chairs found.,syntax,argument_structure,inchoative,True,False,False,False,10,-36.885074615478516,-34.72780227661133,0
These carriages have maneuvered.,These carriages have looked like.,syntax,argument_structure,inchoative,True,False,False,False,11,-42.01549530029297,-39.1741943359375,0
Clyde's oncologists weren't reuniting.,Clyde's oncologists weren't boring.,syntax,argument_structure,inchoative,True,False,False,False,12,-63.14705276489258,-60.766319274902344,0
Benjamin's tutors spin around.,Benjamin's tutors respect.,syntax,argument_structure,inchoative,True,False,False,False,13,-55.783958435058594,-47.28107452392578,0
The sock isn't flattening.,The sock isn't wearing.,syntax,argument_structure,inchoative,True,False,False,False,14,-41.83452606201172,-38.50800323486328,0
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,True,False,False,False,15,-41.13493347167969,-41.77372360229492,1
Rivers vaporized.,Rivers pass.,syntax,argument_structure,inchoative,True,False,False,False,16,-34.73588562011719,-25.916738510131836,0
Boys weren't assembling.,Boys weren't leaving.,syntax,argument_structure,inchoative,True,False,False,False,17,-37.08611297607422,-32.59262466430664,0
Planes accelerate.,Planes had.,syntax,argument_structure,inchoative,True,False,False,False,18,-30.41046905517578,-31.071725845336914,1
Many carriages slow.,Many carriages admire.,syntax,argument_structure,inchoative,True,False,False,False,19,-37.4039306640625,-39.35681915283203,1
Diane's granddaughters weren't worrying.,Diane's granddaughters weren't looking like.,syntax,argument_structure,inchoative,True,False,False,False,20,-53.489376068115234,-56.52555465698242,1
Some feet chip.,Some feet have.,syntax,argument_structure,inchoative,True,False,False,False,21,-33.507240295410156,-29.076488494873047,0
A lot of bananas baked.,A lot of bananas brought.,syntax,argument_structure,inchoative,True,False,False,False,22,-38.32898712158203,-38.334136962890625,1
Dennis didn't sit down.,Dennis didn't kiss.,syntax,argument_structure,inchoative,True,False,False,False,23,-32.87200927734375,-34.71192169189453,1
Most glaciers freeze.,Most glaciers look like.,syntax,argument_structure,inchoative,True,False,False,False,24,-34.87583923339844,-34.69068145751953,0
The bicycle wasn't slowing.,The bicycle wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,25,-37.53160095214844,-38.63135528564453,1
Most children move.,Most children looked like.,syntax,argument_structure,inchoative,True,False,False,False,26,-27.53256607055664,-31.648136138916016,1
Ella's grandfathers hurt.,Ella's grandfathers reference.,syntax,argument_structure,inchoative,True,False,False,False,27,-48.57489776611328,-49.93264389038086,1
That sweater twirls.,That sweater took.,syntax,argument_structure,inchoative,True,False,False,False,28,-39.67767333984375,-35.89319610595703,0
