sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
A niece of most senators hasn't descended most slopes.,A niece of most senators haven't descended most slopes.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,0,-83.23814392089844,-81.047607421875,0
The sketch of those trucks hasn't hurt Alan.,The sketch of those trucks haven't hurt Alan.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,1,-56.13452911376953,-53.71925735473633,0
A newspaper article about the Borgias has disagreed with Marcus.,A newspaper article about the Borgias have disagreed with Marcus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,2,-81.33234405517578,-83.2808837890625,1
The niece of most guests has cleaned every college campus.,The niece of most guests have cleaned every college campus.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,3,-76.8639144897461,-75.36308288574219,0
A sketch of lights doesn't appear.,A sketch of lights don't appear.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,4,-47.503135681152344,-44.85346603393555,0
The movies about Galileo were astounding Melanie.,The movies about Galileo was astounding Melanie.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,5,-61.39454650878906,-58.532806396484375,0
A cousin of a lot of dancers anticipates Naomi to aggravate Angela.,A cousin of a lot of dancers anticipate Naomi to aggravate Angela.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,6,-99.23454284667969,-94.93975067138672,0
A movie about the Impressionists hasn't scared Harvard University.,A movie about the Impressionists haven't scared Harvard University.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,7,-89.06214904785156,-88.13605499267578,0
The pamphlets about Galileo are winning.,The pamphlets about Galileo is winning.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,8,-55.738853454589844,-53.574974060058594,0
The daughter of those senators works with Patrick.,The daughter of those senators work with Patrick.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,9,-55.50843811035156,-53.934383392333984,0
A story about the Balkans doesn't irritate a person.,A story about the Balkans don't irritate a person.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,10,-66.24038696289062,-65.91282653808594,0
The sisters of Timothy judge Randolf to weep.,The sisters of Timothy judges Randolf to weep.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,11,-78.03450012207031,-78.790771484375,1
The daughter of the Lutherans hasn't argued about that waitress.,The daughter of the Lutherans haven't argued about that waitress.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,12,-79.74432373046875,-79.8841552734375,1
A nephew of senators is wanting to murmur.,A nephew of senators were wanting to murmur.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,13,-64.07247924804688,-62.81582260131836,0
The prints of that high school are impressing Helen.,The prints of that high school was impressing Helen.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,14,-65.89998626708984,-65.12080383300781,0
A report about the Impressionists has won.,A report about the Impressionists have won.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,15,-61.43617630004883,-59.79512405395508,0
The grandsons of Douglas chuckle.,The grandsons of Douglas chuckles.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,16,-52.297515869140625,-52.70500183105469,1
The mothers of Mary seem to shrink.,The mothers of Mary seems to shrink.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,17,-47.07308578491211,-45.21879577636719,0
The books about Winston Churchill do look like paintings.,The books about Winston Churchill does look like paintings.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,18,-69.1688232421875,-67.95539855957031,0
The sketches of some dancer do bore these girls.,The sketches of some dancer does bore these girls.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,19,-66.47178649902344,-66.52760314941406,1
The daughter of most actresses is observing Christina.,The daughter of most actresses were observing Christina.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,20,-61.23374557495117,-62.0804557800293,1
A story about the Lutherans hasn't won.,A story about the Lutherans haven't won.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,21,-59.947906494140625,-60.5179557800293,1
The friends of every person do fix some cups.,The friends of every person does fix some cups.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,22,-53.248046875,-54.25324249267578,1
A father of guys was passing most college campuses.,A father of guys are passing most college campuses.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,23,-72.14430236816406,-70.21607971191406,0
The commentaries about music do disgust Kayla.,The commentaries about music does disgust Kayla.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,24,-79.40557098388672,-79.16035461425781,0
The grandfathers of Diana drink.,The grandfathers of Diana drinks.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,25,-45.07355880737305,-45.42982864379883,1
The daughters of Wayne don't exit art galleries.,The daughters of Wayne doesn't exit art galleries.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,26,-70.10174560546875,-70.8686752319336,1
The pamphlets about art aggravate Sherry.,The pamphlets about art aggravates Sherry.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,27,-70.70613098144531,-73.32073974609375,1
A granddaughter of the Impressionists wasn't lifting a convertible.,A granddaughter of the Impressionists aren't lifting a convertible.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,28,-85.73747253417969,-84.16117095947266,0
The granddaughters of Walter have boasted about a teenager.,The granddaughters of Walter has boasted about a teenager.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,29,-73.91607666015625,-71.66123962402344,0
The reports about art are scaring Melissa.,The reports about art was scaring Melissa.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,30,-58.7041015625,-58.12249755859375,0
A brochure about the Balkans doesn't impress Erin.,A brochure about the Balkans don't impress Erin.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,31,-72.2518539428711,-71.379150390625,0
The sons of Victoria long to waste away.,The sons of Victoria longs to waste away.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,32,-53.353065490722656,-63.54080581665039,1
The report about the Impressionists hasn't sounded like Joel.,The report about the Impressionists haven't sounded like Joel.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,33,-79.52236938476562,-78.83060455322266,0
The commentaries about politics have bothered this senator.,The commentaries about politics has bothered this senator.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,34,-73.67030334472656,-74.46528625488281,1
A son of some actors spurs the actress to aggravate the child.,A son of some actors spur the actress to aggravate the child.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,35,-93.18496704101562,-92.13565063476562,0
The shows about Monet weren't scaring Liam.,The shows about Monet wasn't scaring Liam.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,36,-69.07789611816406,-67.6280517578125,0
The granddaughters of Michelle do shrug.,The granddaughters of Michelle does shrug.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,37,-62.44401168823242,-62.482521057128906,1
The painting of a lot of sweaters resembles some drawings.,The painting of a lot of sweaters resemble some drawings.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,38,-64.99853515625,-65.1359634399414,1
The pamphlets about Winston Churchill have resembled those photographs.,The pamphlets about Winston Churchill has resembled those photographs.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,39,-83.52316284179688,-82.31248474121094,0
The drawing of these pants exists.,The drawing of these pants exist.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,40,-41.95410919189453,-41.733551025390625,0
The grandsons of Theodore are pressuring Steven's supervisors to flee from Maria.,The grandsons of Theodore is pressuring Steven's supervisors to flee from Maria.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,41,-113.45848846435547,-112.88847351074219,0
The granddaughters of Amanda hug Noah.,The granddaughters of Amanda hugs Noah.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,42,-63.91755294799805,-63.808433532714844,0
The plays about Harvard University weren't worrying Douglas.,The plays about Harvard University wasn't worrying Douglas.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,43,-68.68254089355469,-68.03602600097656,0
The stories about literature have irritated Clyde.,The stories about literature has irritated Clyde.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,44,-58.41343688964844,-58.192359924316406,0
A story about the Impressionists worries all teachers.,A story about the Impressionists worry all teachers.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,45,-73.33702087402344,-73.53331756591797,1
The print of all tomatoes hasn't shocked Barbara.,The print of all tomatoes haven't shocked Barbara.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,46,-65.09487915039062,-63.87832260131836,0
A pamphlet about the Borgias aggravates Helen.,A pamphlet about the Borgias aggravate Helen.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,47,-73.45304107666016,-71.947265625,0
The mother of those dancers has researched those documentaries.,The mother of those dancers have researched those documentaries.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,48,-70.44361877441406,-69.74176025390625,0
The mothers of Cheryl do bake.,The mothers of Cheryl does bake.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,49,-51.23091125488281,-49.76258850097656,0
The paintings of Donna have upset every guest.,The paintings of Donna has upset every guest.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,50,-59.781185150146484,-57.41936492919922,0
A book about the Impressionists does resemble every photograph.,A book about the Impressionists do resemble every photograph.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,51,-81.68075561523438,-80.062255859375,0
The brochure about the Impressionists doesn't disturb that girl.,The brochure about the Impressionists don't disturb that girl.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,52,-88.69060516357422,-86.51895141601562,0
The sons of a guy do fail to eat.,The sons of a guy does fail to eat.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,53,-52.337364196777344,-51.30803680419922,0
The mother of the pedestrians isn't arriving at some closets.,The mother of the pedestrians weren't arriving at some closets.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,54,-71.06548309326172,-72.22660064697266,1
The report about the Impressionists doesn't disagree with Rose.,The report about the Impressionists don't disagree with Rose.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,55,-77.04032897949219,-75.19248962402344,0
The nieces of Gerald were crying.,The nieces of Gerald was crying.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,56,-57.43205642700195,-54.03356170654297,0
The reports about Jesus have disappeared.,The reports about Jesus has disappeared.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,57,-41.21404266357422,-39.75774383544922,0
A daughter of a lot of waiters speaks up.,A daughter of a lot of waiters speak up.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,58,-60.282264709472656,-59.03467559814453,0
The nieces of Rachel discover this nose.,The nieces of Rachel discovers this nose.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,59,-67.4456558227539,-68.50540161132812,1
The essays about Spain were disgusting Laurie.,The essays about Spain is disgusting Laurie.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,60,-57.124755859375,-54.7133674621582,0
The father of many pedestrians washes.,The father of many pedestrians wash.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,61,-51.21384048461914,-46.95867919921875,0
A painting of most photographs wasn't hurting Becky.,A painting of most photographs weren't hurting Becky.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,62,-67.30107116699219,-66.75022888183594,0
A sister of some children doesn't swallow.,A sister of some children don't swallow.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,63,-47.552391052246094,-46.25178527832031,0
The newspaper articles about Harvard University do disturb Brian.,The newspaper articles about Harvard University does disturb Brian.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,64,-71.52821350097656,-72.00399780273438,1
The prints of this icicle upset Stacy.,The prints of this icicle upsets Stacy.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,65,-64.49565887451172,-69.66268920898438,1
The book about the Lutherans does sound like Guy.,The book about the Lutherans do sound like Guy.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,66,-66.55619049072266,-65.86207580566406,0
The grandmothers of Heather aren't obliging Kathleen to walk through every cafe.,The grandmothers of Heather isn't obliging Kathleen to walk through every cafe.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,67,-99.71488952636719,-97.69937133789062,0
A father of these patients intends to embarrass Gary.,A father of these patients intend to embarrass Gary.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,68,-64.36825561523438,-62.95532989501953,0
A grandson of most doctors hasn't believed Wayne to walk through a public park.,A grandson of most doctors haven't believed Wayne to walk through a public park.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,69,-104.60746765136719,-103.29296875,0
The painting of a lot of eggplants has worried Spain.,The painting of a lot of eggplants have worried Spain.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,70,-78.8743667602539,-76.03764343261719,0
The nieces of the girl negotiate.,The nieces of the girl negotiates.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,71,-54.449249267578125,-60.81745147705078,1
The grandmothers of Jennifer do regret Daniel will threaten to go to this art gallery.,The grandmothers of Jennifer does regret Daniel will threaten to go to this art gallery.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,72,-115.40017700195312,-113.98426055908203,0
The granddaughters of Anna do describe Gerald.,The granddaughters of Anna does describe Gerald.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,73,-71.09601593017578,-69.4360580444336,0
The report about the Great Lakes is astounding Todd.,The report about the Great Lakes are astounding Todd.,morphology,subject_verb_agreement,distractor_agreement_relational_noun,True,True,False,False,74,-59.28630065917969,-60.62841796875,1
