sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
The teenager does tour at most nine restaurants.,No teenager does tour at most nine restaurants.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,0,-62.92247009277344,-63.791229248046875,1
That car looks like at least seven prints.,No car looks like at least seven prints.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,1,-48.931827545166016,-49.454891204833984,1
The doctor brought at most eight gates.,No doctor brought at most eight gates.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,2,-54.79261779785156,-53.917694091796875,0
An actor arrived at at most six lakes.,No actor arrived at at most six lakes.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,3,-57.82215118408203,-57.52313232421875,0
Every senator notices at most four windows.,No senator notices at most four windows.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,4,-56.32640838623047,-55.88270568847656,0
The hospital had fired at most four people.,No hospital had fired at most four people.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,5,-53.065040588378906,-54.30125427246094,1
Each customer has watched at least six teenagers.,No customer has watched at least six teenagers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,6,-50.041255950927734,-50.69292068481445,1
Every girl climbed up at most ten hills.,No girl climbed up at most ten hills.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,7,-55.456844329833984,-53.97012710571289,0
Each actor has revealed at most four shawls.,No actor has revealed at most four shawls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,8,-68.0765151977539,-66.66485595703125,0
A banana has disgusted at least ten women.,No banana has disgusted at least ten women.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,9,-58.7800178527832,-57.613182067871094,0
Each dancer would return to at least seven schools.,No dancer would return to at least seven schools.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,10,-57.01111602783203,-56.544857025146484,0
The waiter noticed at most six mountains.,No waiter noticed at most six mountains.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,11,-59.38105392456055,-58.80854797363281,0
This man is talking to at most three pedestrians.,No man is talking to at most three pedestrians.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,12,-61.41764831542969,-61.77590560913086,1
That person can lift at most nine turtles.,No person can lift at most nine turtles.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,13,-55.87535095214844,-56.385398864746094,1
The customer could kiss at most three girls.,No customer could kiss at most three girls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,14,-60.727752685546875,-61.38825225830078,1
Every university bought at most ten scarves.,No university bought at most ten scarves.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,15,-59.51979064941406,-60.29768371582031,1
Every person has exited at most four libraries.,No person has exited at most four libraries.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,16,-55.43062973022461,-55.73058319091797,1
Some car had resembled at least seven pictures.,No car had resembled at least seven pictures.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,17,-57.73393249511719,-57.62043762207031,0
This actress was driving to at least nine malls.,No actress was driving to at least nine malls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,18,-59.282562255859375,-60.49238586425781,1
Every man walked through at least nine hospitals.,No man walked through at least nine hospitals.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,19,-51.79020690917969,-51.929622650146484,1
Every driver can fire at least eight dancers.,No driver can fire at least eight dancers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,20,-52.43623352050781,-52.38300323486328,0
Every patient had embarrassed at least two ladies.,No patient had embarrassed at least two ladies.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,21,-51.972415924072266,-52.415618896484375,1
Each guest is looking like at least seven drawings.,No guest is looking like at least seven drawings.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,22,-58.222923278808594,-57.649635314941406,0
An adult could sound like at most seven waitresses.,No adult could sound like at most seven waitresses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,23,-76.35147857666016,-76.47449493408203,1
Some patient will break at least five cups.,No patient will break at least five cups.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,24,-46.361480712890625,-46.0926513671875,0
That guest passes at most five high schools.,No guest passes at most five high schools.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,25,-54.35246276855469,-54.05745315551758,0
That rabbit should irritate at most four actresses.,No rabbit should irritate at most four actresses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,26,-73.23878479003906,-72.95911407470703,0
A painting might astound at least five waiters.,No painting might astound at least five waiters.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,27,-77.31681823730469,-74.91212463378906,0
Each horse finds at least four men.,No horse finds at least four men.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,28,-43.209564208984375,-42.85099411010742,0
Every driver has helped at least two teachers.,No driver has helped at least two teachers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,29,-43.920143127441406,-44.655216217041016,1
A man left at most four hospitals.,No man left at most four hospitals.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,30,-50.06525802612305,-49.09098434448242,0
The icicle is stunning at least five committees.,No icicle is stunning at least five committees.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,31,-62.576087951660156,-64.24540710449219,1
That light is aggravating at least eight children.,No light is aggravating at least eight children.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,32,-53.20882797241211,-53.93492126464844,1
Some waitress does scan at least eight plays.,No waitress does scan at least eight plays.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,33,-57.33782196044922,-57.64496612548828,1
The rabbit has climbed down at most eight stairs.,No rabbit has climbed down at most eight stairs.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,34,-62.59016418457031,-63.450843811035156,1
The senator had remembered at least five women.,No senator had remembered at least five women.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,35,-48.78718948364258,-50.14813232421875,1
The museum will praise at least seven doctors.,No museum will praise at least seven doctors.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,36,-56.41764831542969,-57.66383743286133,1
Every movie theater is alarming at most four guys.,No movie theater is alarming at most four guys.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,37,-64.31803894042969,-64.56051635742188,1
Some book resembles at least eight paintings.,No book resembles at least eight paintings.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,38,-49.223297119140625,-48.873069763183594,0
Each library has argued about at most six adults.,No library has argued about at most six adults.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,39,-61.55693054199219,-61.80040740966797,1
A teacher boycotted at least five governments.,No teacher boycotted at least five governments.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,40,-70.44196319580078,-69.10905456542969,0
Every adult has fixed at most two trucks.,No adult has fixed at most two trucks.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,41,-54.27614974975586,-55.81888198852539,1
Some picture disturbs at least two senators.,No picture disturbs at least two senators.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,42,-62.45020294189453,-61.47749710083008,0
That couch might shock at least two actors.,No couch might shock at least two actors.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,43,-53.486175537109375,-54.25138473510742,1
That adult observed at least nine cashiers.,No adult observed at least nine cashiers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,44,-59.26286315917969,-58.40595245361328,0
The teenager would boast about at most four waiters.,No teenager would boast about at most four waiters.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,45,-76.98573303222656,-76.48041534423828,0
That restaurant shocked at most five men.,No restaurant shocked at most five men.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,46,-51.83540725708008,-52.621116638183594,1
This actress might praise at most eight customers.,No actress might praise at most eight customers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,47,-62.15987014770508,-62.82154083251953,1
Every government upset at most five doctors.,No government upset at most five doctors.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,48,-54.05635070800781,-55.58491516113281,1
Some teacher escaped from at least seven ladies.,No teacher escaped from at least seven ladies.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,49,-54.99747085571289,-55.20591735839844,1
That pedestrian has taken at most nine glasses.,No pedestrian has taken at most nine glasses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,50,-56.63732147216797,-57.34906768798828,1
The guy did run around at most six banks.,No guy did run around at most six banks.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,51,-62.793357849121094,-60.881309509277344,0
That driver was researching at most four documentaries.,No driver was researching at most four documentaries.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,52,-58.87950897216797,-58.07769012451172,0
Every student attacked at least four women.,No student attacked at least four women.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,53,-44.632041931152344,-45.65459060668945,1
That painting is looking like at most seven slopes.,No painting is looking like at most seven slopes.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,54,-63.31169891357422,-63.52667236328125,1
Each child had watched at most six girls.,No child had watched at most six girls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,55,-56.393985748291016,-53.98148727416992,0
A tomato had bored at most ten adults.,No tomato had bored at most ten adults.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,56,-63.50144958496094,-62.70964050292969,0
This woman fixes at least two carriages.,No woman fixes at least two carriages.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,57,-54.78533935546875,-53.91143798828125,0
This person admired at most four lights.,No person admired at most four lights.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,58,-54.27872848510742,-53.859901428222656,0
That cashier boycotted at least six museums.,No cashier boycotted at least six museums.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,59,-78.88111114501953,-77.36003112792969,0
The customer biked to at least ten closets.,No customer biked to at least ten closets.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,60,-59.893741607666016,-61.38090515136719,1
Every pedestrian had cured at most four pedestrians.,No pedestrian had cured at most four pedestrians.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,61,-65.0594711303711,-65.49687194824219,1
Some fish distracted at least two universities.,No fish distracted at least two universities.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,62,-49.078529357910156,-49.437744140625,1
The university would know at most seven customers.,No university would know at most seven customers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,63,-55.299560546875,-56.54872131347656,1
The guest cared for at most four customers.,No guest cared for at most four customers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,64,-57.52428436279297,-56.246700286865234,0
That guy buys at least seven forks.,No guy buys at least seven forks.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,65,-50.89486312866211,-51.28467559814453,1
That waitress was attacking at least ten waitresses.,No waitress was attacking at least ten waitresses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,66,-66.41890716552734,-67.71258544921875,1
That waiter skates around at least six college campuses.,No waiter skates around at least six college campuses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,67,-69.06838989257812,-69.28684997558594,1
Some association is upsetting at least six banks.,No association is upsetting at least six banks.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,68,-53.40941619873047,-53.137542724609375,0
Some company was helping at most ten doctors.,No company was helping at most ten doctors.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,69,-55.50426483154297,-55.5876350402832,1
That patient fled from at most six closets.,No patient fled from at most six closets.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,70,-68.4049072265625,-67.44096374511719,0
This doctor does question at least ten museums.,No doctor does question at least ten museums.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,71,-57.28569030761719,-57.215511322021484,0
That person escapes from at most six high schools.,No person escapes from at most six high schools.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,72,-65.33515930175781,-65.79607391357422,1
The person went to at most two malls.,No person went to at most two malls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,73,-52.994327545166016,-52.56527328491211,0
The girl watched at least seven women.,No girl watched at least seven women.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,74,-47.91981506347656,-45.9183349609375,0
Every teacher revealed at least three drivers.,No teacher revealed at least three drivers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,75,-43.037349700927734,-43.67555236816406,1
Each museum will like at least three cars.,No museum will like at least three cars.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,76,-48.113525390625,-48.208213806152344,1
Each teenager hates at most six waitresses.,No teenager hates at most six waitresses.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,77,-72.92774963378906,-72.59044647216797,0
This guest has bought at least four art galleries.,No guest has bought at least four art galleries.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,78,-54.03337097167969,-54.78193664550781,1
This senator was climbing up at most seven slopes.,No senator was climbing up at most seven slopes.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,79,-61.21262741088867,-61.044105529785156,0
Some boy has worn at most nine shawls.,No boy has worn at most nine shawls.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,80,-70.60624694824219,-70.09317779541016,0
Each actress is kissing at least eight drivers.,No actress is kissing at least eight drivers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,81,-56.24646759033203,-56.6865234375,1
Every patient would kiss at most ten dancers.,No patient would kiss at most ten dancers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,82,-64.07107543945312,-63.18514633178711,0
A dog is worrying at least eight governments.,No dog is worrying at least eight governments.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,83,-54.283294677734375,-52.131492614746094,0
The senator was breaking at least six mirrors.,No senator was breaking at least six mirrors.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,84,-53.762847900390625,-54.49047088623047,1
Every story was astounding at least six teenagers.,No story was astounding at least six teenagers.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,85,-53.320106506347656,-53.97865676879883,1
This dancer messed up at most four plates.,No dancer messed up at most four plates.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,86,-61.05223083496094,-61.06188201904297,1
Every glacier bored at least four pedestrians.,No glacier bored at least four pedestrians.,semantics,quantifiers,superlative_quantifiers_2,True,False,True,False,87,-55.85610580444336,-55.166236877441406,0
