sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Patricia had changed.,Patricia had forgotten.,syntax,argument_structure,inchoative,True,False,False,False,0,-25.74536895751953,-24.712879180908203,0
A lot of closets could fling open.,A lot of closets could buy.,syntax,argument_structure,inchoative,True,False,False,False,1,-54.15656280517578,-39.081199645996094,0
All pants loosen.,All pants brought.,syntax,argument_structure,inchoative,True,False,False,False,2,-28.327598571777344,-26.061447143554688,0
Many glasses aren't warping.,Many glasses aren't messing up.,syntax,argument_structure,inchoative,True,False,False,False,3,-36.542205810546875,-32.914798736572266,0
A screen was fading.,A screen was cleaning.,syntax,argument_structure,inchoative,True,False,False,False,4,-29.246122360229492,-32.36983871459961,1
Every mountain sells.,Every mountain climbs down.,syntax,argument_structure,inchoative,True,False,False,False,5,-28.992237091064453,-28.14099884033203,0
All rivers can't melt.,All rivers can't reveal.,syntax,argument_structure,inchoative,True,False,False,False,6,-35.540061950683594,-35.90483856201172,1
That skirt isn't unfolding.,That skirt isn't cleaning.,syntax,argument_structure,inchoative,True,False,False,False,7,-34.68905258178711,-33.50861740112305,0
That shawl shrank.,That shawl reveals.,syntax,argument_structure,inchoative,True,False,False,False,8,-37.478759765625,-35.04578399658203,0
Those bananas are ripening.,Those bananas are cleaning.,syntax,argument_structure,inchoative,True,False,False,False,9,-29.785207748413086,-27.400558471679688,0
A lot of chairs shattered.,A lot of chairs found.,syntax,argument_structure,inchoative,True,False,False,False,10,-39.62599563598633,-32.814361572265625,0
These carriages have maneuvered.,These carriages have looked like.,syntax,argument_structure,inchoative,True,False,False,False,11,-37.068092346191406,-32.18248748779297,0
Clyde's oncologists weren't reuniting.,Clyde's oncologists weren't boring.,syntax,argument_structure,inchoative,True,False,False,False,12,-69.27117156982422,-62.77994918823242,0
Benjamin's tutors spin around.,Benjamin's tutors respect.,syntax,argument_structure,inchoative,True,False,False,False,13,-48.72929763793945,-40.39978790283203,0
The sock isn't flattening.,The sock isn't wearing.,syntax,argument_structure,inchoative,True,False,False,False,14,-36.01284408569336,-31.17725372314453,0
This candle did dim.,This candle did look like.,syntax,argument_structure,inchoative,True,False,False,False,15,-36.58839416503906,-31.83434295654297,0
Rivers vaporized.,Rivers pass.,syntax,argument_structure,inchoative,True,False,False,False,16,-30.141359329223633,-24.211822509765625,0
Boys weren't assembling.,Boys weren't leaving.,syntax,argument_structure,inchoative,True,False,False,False,17,-32.8277587890625,-30.724231719970703,0
Planes accelerate.,Planes had.,syntax,argument_structure,inchoative,True,False,False,False,18,-26.057212829589844,-23.798362731933594,0
Many carriages slow.,Many carriages admire.,syntax,argument_structure,inchoative,True,False,False,False,19,-29.680959701538086,-33.01519012451172,1
Diane's granddaughters weren't worrying.,Diane's granddaughters weren't looking like.,syntax,argument_structure,inchoative,True,False,False,False,20,-50.595916748046875,-50.64270782470703,1
Some feet chip.,Some feet have.,syntax,argument_structure,inchoative,True,False,False,False,21,-25.128931045532227,-21.997085571289062,0
A lot of bananas baked.,A lot of bananas brought.,syntax,argument_structure,inchoative,True,False,False,False,22,-34.33683395385742,-36.352935791015625,1
Dennis didn't sit down.,Dennis didn't kiss.,syntax,argument_structure,inchoative,True,False,False,False,23,-30.563852310180664,-34.703121185302734,1
Most glaciers freeze.,Most glaciers look like.,syntax,argument_structure,inchoative,True,False,False,False,24,-25.428361892700195,-25.942251205444336,1
The bicycle wasn't slowing.,The bicycle wasn't revealing.,syntax,argument_structure,inchoative,True,False,False,False,25,-35.14504623413086,-35.839378356933594,1
Most children move.,Most children looked like.,syntax,argument_structure,inchoative,True,False,False,False,26,-22.211456298828125,-26.74551010131836,1
Ella's grandfathers hurt.,Ella's grandfathers reference.,syntax,argument_structure,inchoative,True,False,False,False,27,-46.86966323852539,-44.93566131591797,0
That sweater twirls.,That sweater took.,syntax,argument_structure,inchoative,True,False,False,False,28,-32.704429626464844,-26.75079345703125,0
A hat folds.,A hat saw.,syntax,argument_structure,inchoative,True,False,False,False,29,-27.109294891357422,-25.331693649291992,0
Some bicycle maneuvers.,Some bicycle had.,syntax,argument_structure,inchoative,True,False,False,False,30,-25.825817108154297,-28.29503059387207,1
A bicycle stopped.,A bicycle liked.,syntax,argument_structure,inchoative,True,False,False,False,31,-26.195253372192383,-31.907115936279297,1
What wrinkles.,What arrives at.,syntax,argument_structure,inchoative,True,False,False,False,32,-16.845550537109375,-21.287273406982422,1
All scarves fold.,All scarves admired.,syntax,argument_structure,inchoative,True,False,False,False,33,-30.432926177978516,-33.53517150878906,1
Many gloves twirl.,Many gloves revealed.,syntax,argument_structure,inchoative,True,False,False,False,34,-31.0408935546875,-27.18160629272461,0
Some river vaporizes.,Some river cleaned.,syntax,argument_structure,inchoative,True,False,False,False,35,-32.197486877441406,-26.705799102783203,0
Every father of Randolf hides.,Every father of Randolf aggravated.,syntax,argument_structure,inchoative,True,False,False,False,36,-51.74475860595703,-55.9010009765625,1
A lot of carts had slowed.,A lot of carts had looked like.,syntax,argument_structure,inchoative,True,False,False,False,37,-39.94837188720703,-41.750511169433594,1
This truck slowed.,This truck cleans.,syntax,argument_structure,inchoative,True,False,False,False,38,-25.821216583251953,-27.72287368774414,1
Some windows have flung open.,Some windows have seen.,syntax,argument_structure,inchoative,True,False,False,False,39,-36.60314178466797,-24.96536636352539,0
A coat hadn't shrunk.,A coat hadn't worn.,syntax,argument_structure,inchoative,True,False,False,False,40,-39.448787689208984,-33.087379455566406,0
Danielle's supervisor worries.,Danielle's supervisor astounded.,syntax,argument_structure,inchoative,True,False,False,False,41,-35.22035598754883,-39.07434844970703,1
The sock soaked.,The sock cleaned.,syntax,argument_structure,inchoative,True,False,False,False,42,-27.663326263427734,-25.206588745117188,0
Every candle dims.,Every candle lifted.,syntax,argument_structure,inchoative,True,False,False,False,43,-29.613819122314453,-24.378807067871094,0
The cashier's bosses worried.,The cashier's bosses aggravated.,syntax,argument_structure,inchoative,True,False,False,False,44,-46.29526138305664,-49.62178421020508,1
Those gloves had flattened.,Those gloves had looked like.,syntax,argument_structure,inchoative,True,False,False,False,45,-34.21569061279297,-33.75012969970703,0
A jacket shrank.,A jacket cleaned.,syntax,argument_structure,inchoative,True,False,False,False,46,-30.90337371826172,-25.892580032348633,0
Adam isn't healing.,Adam isn't concealing.,syntax,argument_structure,inchoative,True,False,False,False,47,-21.888912200927734,-27.199172973632812,1
That carriage chipped.,That carriage looked like.,syntax,argument_structure,inchoative,True,False,False,False,48,-29.7362060546875,-31.036035537719727,1
That vase couldn't chip.,That vase couldn't buy.,syntax,argument_structure,inchoative,True,False,False,False,49,-42.128273010253906,-38.967384338378906,0
Most coats didn't tighten.,Most coats didn't reveal.,syntax,argument_structure,inchoative,True,False,False,False,50,-34.62580871582031,-34.12561798095703,0
Those nephews of Alan marry.,Those nephews of Alan disturbed.,syntax,argument_structure,inchoative,True,False,False,False,51,-46.64814758300781,-48.981544494628906,1
That bicycle turned.,That bicycle brought.,syntax,argument_structure,inchoative,True,False,False,False,52,-27.96109390258789,-30.3175106048584,1
A shirt wrinkled.,A shirt has.,syntax,argument_structure,inchoative,True,False,False,False,53,-28.347803115844727,-21.933597564697266,0
These legislatures don't benefit.,These legislatures don't irritate.,syntax,argument_structure,inchoative,True,False,False,False,54,-32.50552749633789,-36.11614227294922,1
All windows closed.,All windows saw.,syntax,argument_structure,inchoative,True,False,False,False,55,-20.562572479248047,-26.012420654296875,1
Some plane crashed.,Some plane lifted.,syntax,argument_structure,inchoative,True,False,False,False,56,-23.398408889770508,-27.394771575927734,1
That unicycle shattered.,That unicycle had.,syntax,argument_structure,inchoative,True,False,False,False,57,-34.46533203125,-32.61859893798828,0
The glasses are breaking.,The glasses are taking.,syntax,argument_structure,inchoative,True,False,False,False,58,-27.426971435546875,-27.593006134033203,1
Susan's grandsons assemble.,Susan's grandsons complain about.,syntax,argument_structure,inchoative,True,False,False,False,59,-35.487213134765625,-40.45026397705078,1
All candles darken.,All candles admired.,syntax,argument_structure,inchoative,True,False,False,False,60,-28.815853118896484,-27.323287963867188,0
Some lamp wasn't dimming.,Some lamp wasn't lifting.,syntax,argument_structure,inchoative,True,False,False,False,61,-37.3071174621582,-36.563297271728516,0
Stephanie hadn't trained.,Stephanie hadn't escaped from.,syntax,argument_structure,inchoative,True,False,False,False,62,-38.426673889160156,-44.21025085449219,1
