sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Dawn's ex-husband wasn't going to one rough grocery store and Becca wasn't going to many.,Dawn's ex-husband wasn't going to one grocery store and Becca wasn't going to many rough.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,0,-140.92588806152344,-138.5040283203125,0
Most men irritates two happy students and a snake irritates three.,Most men irritates two students and a snake irritates three happy.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,1,-102.55745697021484,-100.33058166503906,0
A pedestrian's brothers had loved one smart dancer and Phillip's mother had loved few.,A pedestrian's brothers had loved one dancer and Phillip's mother had loved few smart.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,2,-122.4832992553711,-120.19422149658203,0
Brad passed one big museum and Eva passed several.,Brad passed one museum and Eva passed several big.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,3,-66.88453674316406,-66.45460510253906,0
The daughters of Michelle weren't hurting one displeased ex-wife and Stephanie's classmates weren't hurting three.,The daughters of Michelle weren't hurting one ex-wife and Stephanie's classmates weren't hurting three displeased.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,4,-160.74594116210938,-156.04522705078125,0
Most ladies can appreciate one good essay and Matt's dermatologist can appreciate two.,Most ladies can appreciate one essay and Matt's dermatologist can appreciate two good.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,5,-114.09402465820312,-114.21614074707031,1
Those actresses' guests discovered three hard socks and Jason's ex-boyfriends discovered more.,Those actresses' guests discovered three socks and Jason's ex-boyfriends discovered more hard.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,6,-139.77078247070312,-137.38351440429688,0
That lady has resembled one hidden print and Guy's colleague has resembled four.,That lady has resembled one print and Guy's colleague has resembled four hidden.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,7,-110.03716278076172,-110.51577758789062,1
Every actress's piano teachers skate around five messy college campuses and Carolyn's dentists skate around four.,Every actress's piano teachers skate around five college campuses and Carolyn's dentists skate around four messy.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,8,-167.95504760742188,-166.38438415527344,0
This print scares a lot of busy senators and Benjamin scares a few.,This print scares a lot of senators and Benjamin scares a few busy.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,9,-97.916015625,-94.03208923339844,0
Florence's handymen think about no happy best friends and Ellen's best friends think about some.,Florence's handymen think about no best friends and Ellen's best friends think about some happy.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,10,-135.7666473388672,-132.56747436523438,0
The customers don't walk through one orange public park and Ellen might walk through few.,The customers don't walk through one public park and Ellen might walk through few orange.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,11,-115.28628540039062,-110.83080291748047,0
Amy's lawyers examine one upset grandson and a lot of cashiers examine few.,Amy's lawyers examine one grandson and a lot of cashiers examine few upset.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,12,-119.92821502685547,-115.71427917480469,0
Jerry was cleaning few gray public parks and some grandson of Ann was cleaning many.,Jerry was cleaning few public parks and some grandson of Ann was cleaning many gray.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,13,-110.79220581054688,-108.69900512695312,0
Jerry fired a few hopeful employees and Daniel's sons fired several.,Jerry fired a few employees and Daniel's sons fired several hopeful.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,14,-92.53292846679688,-88.16973114013672,0
A slope isn't shocking few lost colleagues and horses aren't shocking many.,A slope isn't shocking few colleagues and horses aren't shocking many lost.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,15,-111.69918823242188,-106.7278823852539,0
Claire could sound like one good college campus and Daniel could sound like some.,Claire could sound like one college campus and Daniel could sound like some good.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,16,-111.46553039550781,-107.91679382324219,0
Donald criticizes three important customers and Carrie criticizes more.,Donald criticizes three customers and Carrie criticizes more important.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,17,-96.08140563964844,-94.60469818115234,0
Connie's fathers find one determined spouse and all teenagers find four.,Connie's fathers find one spouse and all teenagers find four determined.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,18,-103.08245086669922,-103.59111022949219,1
The son of Danielle will bore several confident cousins and these grandfathers of Carrie will bore a few.,The son of Danielle will bore several cousins and these grandfathers of Carrie will bore a few confident.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,19,-139.9209442138672,-135.572021484375,0
These grandmothers of Martin hadn't resembled two yellow photographs of and some reports about music hadn't resembled three.,These grandmothers of Martin hadn't resembled two photographs of and some reports about music hadn't resembled three yellow.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,20,-154.1635284423828,-152.4268798828125,0
Many bikes embarrassed no excited French teachers and the organizations embarrassed some.,Many bikes embarrassed no French teachers and the organizations embarrassed some excited.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,21,-107.09368896484375,-100.82464599609375,0
Suzanne's grandfathers talk to five unconvinced grandsons and many schools talk to four.,Suzanne's grandfathers talk to five grandsons and many schools talk to four unconvinced.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,22,-152.297119140625,-151.78286743164062,0
Kenneth's brother revealed one purple restaurant and Karen revealed more.,Kenneth's brother revealed one restaurant and Karen revealed more purple.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,23,-95.10238647460938,-93.52436828613281,0
Kristin's piano teachers see one rough school and Florence's electricians see two.,Kristin's piano teachers see one school and Florence's electricians see two rough.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,24,-117.55792999267578,-116.52923583984375,0
A lot of governments describe a few unsure senators and Meredith's lawyers describe several.,A lot of governments describe a few senators and Meredith's lawyers describe several unsure.,syntax,ellipsis,ellipsis_n_bar_1,True,False,False,False,25,-121.96533203125,-115.73950958251953,0
