sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Teresa had not ever sold a movie theater.,Teresa had probably ever sold a movie theater.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,0,-59.82493209838867,-62.039451599121094,1
Allison has not ever taken that ice cream.,Allison has fortunately ever taken that ice cream.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,1,-56.01466751098633,-64.86917114257812,1
Teresa would not ever ascertain Carmen to remember Jessica.,Teresa would fortunately ever ascertain Carmen to remember Jessica.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,2,-84.85416412353516,-95.91607666015625,1
Sharon might not ever argue.,Sharon might probably ever argue.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,3,-43.86166000366211,-46.26380920410156,1
Those banks had not ever lied.,Those banks had really ever lied.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,4,-39.97972869873047,-42.52806854248047,1
All children do not ever struggle.,All children do really ever struggle.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,5,-36.07548522949219,-41.0145149230957,1
Theresa can not ever shock the Impressionists.,Theresa can fortunately ever shock the Impressionists.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,6,-78.73345947265625,-86.82897186279297,1
Theodore can not ever beg Sandra to stretch.,Theodore can really ever beg Sandra to stretch.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,7,-79.87535095214844,-81.07572937011719,1
Valerie does not ever manage to like some coats.,Valerie does probably ever manage to like some coats.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,8,-65.25718688964844,-68.15444946289062,1
Barbara has not ever boycotted that river.,Barbara has really ever boycotted that river.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,9,-77.33915710449219,-79.84483337402344,1
Sherry had not ever remembered who wasn't arriving at some closets.,Sherry had really ever remembered who wasn't arriving at some closets.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,10,-91.19465637207031,-91.08561706542969,0
Those children can not ever exercise.,Those children can fortunately ever exercise.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,11,-37.075714111328125,-45.53927230834961,1
Angela did not ever heal Becca.,Angela did probably ever heal Becca.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,12,-54.0460319519043,-58.748966217041016,1
Julia had not ever forced Kirsten to get a job.,Julia had really ever forced Kirsten to get a job.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,13,-74.43661499023438,-74.95231628417969,1
Anna does not ever hunt.,Anna does fortunately ever hunt.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,14,-28.76730728149414,-40.87825393676758,1
Maria might not ever reference Sara.,Maria might fortunately ever reference Sara.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,15,-46.82551193237305,-57.07548522949219,1
Ice has not ever vaporized.,Ice has probably ever vaporized.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,16,-40.39501190185547,-41.702938079833984,1
Theresa will not ever concur.,Theresa will really ever concur.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,17,-49.85851287841797,-53.91168212890625,1
Donna had not ever tempted Sheila's boss to explore those schools.,Donna had probably ever tempted Sheila's boss to explore those schools.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,18,-95.40313720703125,-96.65467071533203,1
Edward did not ever attempt to appear.,Edward did probably ever attempt to appear.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,19,-36.23554992675781,-40.083927154541016,1
Jerry has not ever cleaned this report.,Jerry has really ever cleaned this report.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,20,-40.836463928222656,-42.116729736328125,1
The senator has not ever discovered who sounded like Eva.,The senator has fortunately ever discovered who sounded like Eva.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,21,-69.00038146972656,-77.58306884765625,1
Anna had not ever escaped from Laurie.,Anna had probably ever escaped from Laurie.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,22,-45.49748229980469,-48.24592590332031,1
Some customers had not ever talked.,Some customers had really ever talked.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,23,-39.68315505981445,-40.340843200683594,1
Robert has not ever threatened to appear.,Robert has really ever threatened to appear.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,24,-40.36613464355469,-42.79055404663086,1
Paul has not ever bothered to descend most mountains.,Paul has really ever bothered to descend most mountains.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,25,-60.02262878417969,-61.841739654541016,1
Some driver can not ever discover what was dimming.,Some driver can fortunately ever discover what was dimming.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,26,-63.90084457397461,-71.05469512939453,1
The Lutherans did not ever weep.,The Lutherans did fortunately ever weep.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,27,-50.337608337402344,-62.498050689697266,1
Homer has not ever disturbed those doctors.,Homer has really ever disturbed those doctors.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,28,-59.04389572143555,-61.47562026977539,1
Nicole will not ever flee from that library.,Nicole will really ever flee from that library.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,29,-64.05230712890625,-66.84752655029297,1
Grace has not ever looked like prints.,Grace has really ever looked like prints.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,30,-49.58576965332031,-50.743804931640625,1
Lawrence might not ever entreat Lucille to wake up.,Lawrence might fortunately ever entreat Lucille to wake up.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,31,-84.49765014648438,-96.14546966552734,1
Janet has not ever want to talk to Irene.,Janet has really ever want to talk to Irene.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,32,-61.523311614990234,-63.5880012512207,1
Rodney should not ever study.,Rodney should fortunately ever study.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,33,-39.579566955566406,-50.202850341796875,1
Rebecca will not ever donate.,Rebecca will fortunately ever donate.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,34,-42.10910415649414,-53.298789978027344,1
That cashier had not ever researched many newspaper articles.,That cashier had probably ever researched many newspaper articles.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,35,-78.88134765625,-81.38630676269531,1
Andrea had not ever referenced Melissa.,Andrea had fortunately ever referenced Melissa.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,36,-52.176666259765625,-61.75506591796875,1
Mushrooms had not ever upset Tammy.,Mushrooms had fortunately ever upset Tammy.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,37,-71.27252197265625,-80.07597351074219,1
Benjamin might not ever want Nancy to see many paintings.,Benjamin might probably ever want Nancy to see many paintings.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,38,-74.08436584472656,-75.0798110961914,1
Many guys have not ever stood up.,Many guys have probably ever stood up.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,39,-42.51945495605469,-42.96521759033203,1
Jerry does not ever induce Sabrina to climb up those steps.,Jerry does really ever induce Sabrina to climb up those steps.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,40,-83.23405456542969,-87.63154602050781,1
These mouths had not ever wasted away.,These mouths had fortunately ever wasted away.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,41,-49.24658203125,-56.862213134765625,1
Jane had not ever swallowed.,Jane had probably ever swallowed.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,42,-32.506046295166016,-35.407066345214844,1
A dress has not ever shrunk.,A dress has really ever shrunk.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,43,-42.96311950683594,-45.50703430175781,1
Donna will not ever weep.,Donna will really ever weep.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,44,-43.540122985839844,-46.13814163208008,1
Tonya should not ever clean this dog.,Tonya should fortunately ever clean this dog.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,45,-50.3585205078125,-60.761070251464844,1
Alicia has not ever sung.,Alicia has fortunately ever sung.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,46,-47.975486755371094,-56.16722869873047,1
Joel has not ever impressed most girls.,Joel has really ever impressed most girls.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,47,-52.964080810546875,-54.11252212524414,1
Dawn will not ever hug Liam.,Dawn will fortunately ever hug Liam.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,48,-57.19779586791992,-67.54328918457031,1
Gerald had not ever wept.,Gerald had fortunately ever wept.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,49,-56.095909118652344,-64.17910766601562,1
All teenagers can not ever cope.,All teenagers can really ever cope.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,50,-41.023658752441406,-43.05769348144531,1
Tamara might not ever discover Vincent.,Tamara might really ever discover Vincent.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,51,-53.74671173095703,-55.421287536621094,1
These boys would not ever communicate.,These boys would really ever communicate.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,52,-41.27235412597656,-43.77635955810547,1
Carmen will not ever insult most dancers.,Carmen will really ever insult most dancers.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,53,-68.62489318847656,-70.6532211303711,1
That apple has not ever grown.,That apple has probably ever grown.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,54,-41.48967742919922,-42.769805908203125,1
Roger had not ever judged Ann to perform.,Roger had really ever judged Ann to perform.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,55,-59.968116760253906,-61.84153747558594,1
This screen will not ever bother Derek.,This screen will probably ever bother Derek.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,56,-51.02590560913086,-52.271121978759766,1
Banks have not ever conferred.,Banks have fortunately ever conferred.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,57,-43.87621307373047,-52.67665100097656,1
Thomas had not ever broken the computer.,Thomas had really ever broken the computer.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,58,-40.85415267944336,-42.25583267211914,1
Kenneth would not ever eat.,Kenneth would really ever eat.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,59,-35.7451171875,-37.54119110107422,1
Every driver has not ever sat down.,Every driver has really ever sat down.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,60,-39.55148696899414,-41.272987365722656,1
A lot of icicles should not ever evaporate.,A lot of icicles should fortunately ever evaporate.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,61,-68.02523803710938,-78.80744171142578,1
Samantha had not ever littered.,Samantha had fortunately ever littered.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,62,-56.680206298828125,-65.37628173828125,1
Jessica has not ever messed up those couches.,Jessica has probably ever messed up those couches.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,63,-53.872886657714844,-55.125999450683594,1
Every truck has not ever turned.,Every truck has fortunately ever turned.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,64,-37.877647399902344,-46.05686950683594,1
Most wheelbarrows can not ever accelerate.,Most wheelbarrows can probably ever accelerate.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,65,-65.85641479492188,-66.79896545410156,1
Jennifer would not ever litter.,Jennifer would really ever litter.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,66,-34.320037841796875,-36.200477600097656,1
Rebecca does not ever approach Amelia.,Rebecca does really ever approach Amelia.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,67,-56.695533752441406,-60.55119323730469,1
All stories will not ever disagree with Curtis.,All stories will probably ever disagree with Curtis.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,68,-54.38172149658203,-55.083221435546875,1
A person had not ever swallowed.,A person had fortunately ever swallowed.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,69,-40.81179428100586,-49.63289260864258,1
Rose has not ever neglected to climb down every mountain.,Rose has fortunately ever neglected to climb down every mountain.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,70,-60.06121826171875,-69.04258728027344,1
A lot of senators had not ever advised Beth to nod.,A lot of senators had really ever advised Beth to nod.,semantics,npi_licensing,sentential_negation_npi_licensor_present,True,False,True,False,71,-85.82659912109375,-87.96510314941406,1
