sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_slor,bad_slor,slor_diff,correct,good_model_logprob,bad_model_logprob,good_unigram_logprob,bad_unigram_logprob,good_num_tokens,bad_num_tokens
Todd can't yawn.,Todd can't walk through.,syntax,argument_structure,intransitive,True,False,False,False,0,0.9908127188850984,1.960905120399455,-0.9700924015143566,0,-34.46404409408569,-32.762890577316284,-39.418107688511185,-44.528321299713014,5,6
Some guests hadn't left.,Some guests hadn't boasted about.,syntax,argument_structure,intransitive,True,False,False,False,1,2.4433946216690026,2.2366715932915286,0.20672302837747392,1,-33.250155322253704,-44.15911564975977,-47.91052305226772,-59.81581680280047,6,7
This niece of Elizabeth protests.,This niece of Elizabeth walks through.,syntax,argument_structure,intransitive,True,False,False,False,2,1.0743203389076814,1.0479838777435984,0.026336461164083058,1,-44.597679138183594,-49.830527544021606,-51.04360117162968,-57.166414688226794,6,7
Regina is shouting.,Regina is boasting about.,syntax,argument_structure,intransitive,True,False,False,False,3,2.359449857575895,2.2793982826467762,0.08005157492911863,1,-29.46517026424408,-37.08199858665466,-41.26241955212355,-50.75838828253532,5,6
This guest's plumber complains.,This guest's plumber wore.,syntax,argument_structure,intransitive,True,False,False,False,4,1.92605675578876,1.8328735373764442,0.0931832184123158,1,-48.99249231815338,-46.487263917922974,-62.4748896086747,-59.31737867955808,7,7
Anna's grandmothers aren't benefiting.,Anna's grandmothers aren't arguing about.,syntax,argument_structure,intransitive,True,False,False,False,5,2.0038248766540434,2.0971381440634818,-0.09331326740943835,0,-50.49294163705781,-51.40946628572419,-66.52354065029016,-70.28370958229553,8,9
Some glaciers are vaporizing.,Some glaciers are scaring.,syntax,argument_structure,intransitive,True,False,False,False,6,3.4253503157444647,2.95729251786344,0.46805779788102475,1,-36.707011342048645,-36.03435277938843,-57.25911323651543,-53.77810788656907,6,6
Stephanie succeeds.,Stephanie boasts about.,syntax,argument_structure,intransitive,True,False,False,False,7,3.075461391595661,1.8986506471609605,1.1768107444347005,1,-32.397579312324524,-43.94117569923401,-47.77488627030283,-55.33307958219977,5,6
Tara's contractors scream.,Tara's contractors drive to.,syntax,argument_structure,intransitive,True,False,False,False,8,1.0666163329334803,1.0114782480599425,0.055138084873537885,1,-45.145129919052124,-47.05947184562683,-51.544827916653006,-54.13981958204643,6,7
All gloves weren't crumpling.,All gloves weren't looking like.,syntax,argument_structure,intransitive,True,False,False,False,9,2.4794052919444205,1.8827340378043533,0.5966712541400672,1,-48.21771094761789,-40.09706065803766,-68.05295328317325,-53.27619892266814,8,7
Patricia's hairdressers hadn't cooked.,Patricia's hairdressers hadn't gone to.,syntax,argument_structure,intransitive,True,False,False,False,10,3.9734088513019916,3.675214530764928,0.29819432053706363,1,-55.94331411086023,-56.77502921782434,-99.65081147518214,-100.87760358700348,11,12
The spotlights faded.,The spotlights scared.,syntax,argument_structure,intransitive,True,False,False,False,11,1.7557525885676981,1.4817292375761852,0.27402335099151287,1,-36.08317518234253,-35.19032049179077,-44.86193812518102,-42.5989666796717,5,5
The muffins were scorching.,The muffins were scaring.,syntax,argument_structure,intransitive,True,False,False,False,12,3.547039144378846,3.2853375184945994,0.2617016258842466,1,-37.03796315193176,-35.50373959541321,-61.867237162583685,-58.5011022248754,7,7
Those friends of Sally were painting.,Those friends of Sally were walking through.,syntax,argument_structure,intransitive,True,False,False,False,13,1.6167421935948039,1.9083925765232816,-0.2916503829284778,0,-44.53547167778015,-47.70355582237244,-55.85266703294378,-62.97069643455869,7,8
This screen does brighten.,This screen does resemble.,syntax,argument_structure,intransitive,True,False,False,False,14,1.3071613899338377,1.0507177139558208,0.25644367597801687,1,-40.51082444190979,-38.15697765350342,-48.353792781512816,-43.41056622328252,6,5
