sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Every association figured out that most drivers that forfeit investigated Irene.,Every association figured out who most drivers that forfeit investigated Irene.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,0,-102.2416763305664,-108.73075866699219,1
Kathleen was revealing that this actress that can sit down was skated around this museum.,Kathleen was revealing what this actress that can sit down was skated around this museum.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,1,-116.39008331298828,-118.57516479492188,1
Jodi was learning that a library that hadn't communicated was working with Randolf.,Jodi was learning who a library that hadn't communicated was working with Randolf.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,2,-114.16844177246094,-120.7052001953125,1
Drivers remembered that those hospitals that should waste away are listening to Angela.,Drivers remembered who those hospitals that should waste away are listening to Angela.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,3,-96.38758087158203,-104.19510650634766,1
Every cashier wouldn't investigate that some birds that weren't distracting Steve broke some unicycles.,Every cashier wouldn't investigate what some birds that weren't distracting Steve broke some unicycles.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,4,-144.12669372558594,-145.2474822998047,1
Tamara had figured out that most governments that had fired these guests won't have a window.,Tamara had figured out what most governments that had fired these guests won't have a window.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,5,-107.65629577636719,-110.45039367675781,1
Adam isn't forgetting that many actors that did buy a snake should pass the high school.,Adam isn't forgetting what many actors that did buy a snake should pass the high school.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,6,-99.56114196777344,-102.49613952636719,1
Melinda investigated that this girl that looked like those drawings might attack Cindy.,Melinda investigated who this girl that looked like those drawings might attack Cindy.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,7,-104.61772155761719,-110.06597900390625,1
Most cashiers conceal that most guys that can run around a cafe had skated around those banks.,Most cashiers conceal what most guys that can run around a cafe had skated around those banks.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,8,-138.39187622070312,-141.5322265625,1
Martin had remembered that this man that sold most eyes hides the coat.,Martin had remembered what this man that sold most eyes hides the coat.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,9,-84.97639465332031,-88.23322296142578,1
Mark concealed that a lot of drawings that weren't irritating Beverly stunned Derek.,Mark concealed who a lot of drawings that weren't irritating Beverly stunned Derek.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,10,-106.04090881347656,-112.20124816894531,1
Martin is revealing that the pictures that hadn't stunned Nina shock Curtis.,Martin is revealing who the pictures that hadn't stunned Nina shock Curtis.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,11,-99.02561950683594,-106.97360229492188,1
Those students aren't learning that that library that cooperates hasn't looked like a print.,Those students aren't learning what that library that cooperates hasn't looked like a print.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,12,-107.55963134765625,-110.36540222167969,1
Joseph discovered that a woman that couldn't discuss Sabrina approached the dancer.,Joseph discovered who a woman that couldn't discuss Sabrina approached the dancer.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,13,-93.06278228759766,-100.32400512695312,1
Eva discovered that all pedestrians that have performed upset Candice.,Eva discovered who all pedestrians that have performed upset Candice.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,14,-83.72270965576172,-90.3140640258789,1
Wayne remembered that every child that talks about Tina escapes from Alan.,Wayne remembered who every child that talks about Tina escapes from Alan.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,15,-89.95816040039062,-96.90120697021484,1
Nicole reveals that this fish that has fallen asleep finds these adults.,Nicole reveals who this fish that has fallen asleep finds these adults.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,16,-90.73920440673828,-97.03086853027344,1
Stephen reveals that all children that haven't spun around might astound Jesus.,Stephen reveals who all children that haven't spun around might astound Jesus.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,17,-103.28085327148438,-110.04785919189453,1
All doctors were forgetting that some guest that questions Monet explores lakes.,All doctors were forgetting what some guest that questions Monet explores lakes.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,18,-104.66552734375,-107.89205932617188,1
A child didn't realize that a lot of waiters that should confer were referencing Rodney.,A child didn't realize who a lot of waiters that should confer were referencing Rodney.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,19,-113.40292358398438,-121.47930145263672,1
Anne wouldn't forget that this doctor that had thought about the cilantro disagrees with Beth.,Anne wouldn't forget who this doctor that had thought about the cilantro disagrees with Beth.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,20,-106.25672149658203,-111.85659790039062,1
Some teenager hasn't learned that some socks that are falling were hurting Becca.,Some teenager hasn't learned who some socks that are falling were hurting Becca.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,21,-109.11970520019531,-115.67925262451172,1
Ann does remember that those skirts that annoyed Kayla stun Dan.,Ann does remember who those skirts that annoyed Kayla stun Dan.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,22,-98.3968734741211,-104.81369018554688,1
William discovered that many actresses that annoy Donald skated around the rivers.,William discovered what many actresses that annoy Donald skated around the rivers.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,23,-93.48812866210938,-97.83990478515625,1
Steven is realizing that the waitresses that had departed might sell every photograph.,Steven is realizing what the waitresses that had departed might sell every photograph.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,24,-99.28126525878906,-102.63319396972656,1
Linda wasn't forgetting that a woman that was getting fired likes every sketch.,Linda wasn't forgetting what a woman that was getting fired likes every sketch.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,25,-95.82711791992188,-98.25875854492188,1
Many banks had revealed that every woman that sits down fired Benjamin.,Many banks had revealed who every woman that sits down fired Benjamin.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,26,-88.54645538330078,-97.0891342163086,1
David had learned that all actresses that escaped conceal George.,David had learned who all actresses that escaped conceal George.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,27,-75.36839294433594,-81.83673095703125,1
Many hospitals figure out that some doctor that describes the guy flees from Kirsten.,Many hospitals figure out who some doctor that describes the guy flees from Kirsten.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,28,-113.85906982421875,-118.34528350830078,1
Many men reveal that some driver that painted hadn't arrived at some river.,Many men reveal what some driver that painted hadn't arrived at some river.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,29,-98.27816772460938,-99.58628845214844,1
The legislatures hadn't realized that most actors that flirted didn't arrive at those malls.,The legislatures hadn't realized what most actors that flirted didn't arrive at those malls.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,30,-122.12565612792969,-126.77590942382812,1
Robert reveals that every guy that hasn't sighed was annoying Alice.,Robert reveals who every guy that hasn't sighed was annoying Alice.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,31,-84.45538330078125,-93.32760620117188,1
All guys hadn't learned that the pedestrian that scratched did return to Winston Churchill.,All guys hadn't learned who the pedestrian that scratched did return to Winston Churchill.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,32,-110.03179168701172,-118.20022583007812,1
A school realizes that a waiter that was grinning skates around these cafes.,A school realizes what a waiter that was grinning skates around these cafes.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,33,-102.599609375,-106.2400894165039,1
Those actors realize that some waiter that had healed Anne works with Timothy.,Those actors realize who some waiter that had healed Anne works with Timothy.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,34,-102.6339111328125,-109.13902282714844,1
Peter concealed that some adult that hasn't worried Jane boasts about Walter.,Peter concealed who some adult that hasn't worried Jane boasts about Walter.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,35,-104.67161560058594,-107.96247863769531,1
Peter learns that all women that reply attack Benjamin.,Peter learns who all women that reply attack Benjamin.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,36,-70.64627075195312,-76.14077758789062,1
These legislatures know that the person that remembers Thomas hasn't broken some window.,These legislatures know what the person that remembers Thomas hasn't broken some window.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,37,-91.99128723144531,-93.40184020996094,1
Christina forgot that all plays that win worry Dana.,Christina forgot who all plays that win worry Dana.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,38,-79.81062316894531,-87.45808410644531,1
These women forget that boys that embarrasses Christine forget Monica.,These women forget who boys that embarrasses Christine forget Monica.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,39,-93.00093078613281,-99.64942169189453,1
Stacy learned that this waitress that cleans some fork had concealed Andrea.,Stacy learned who this waitress that cleans some fork had concealed Andrea.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,40,-108.81584167480469,-116.65635681152344,1
Paula will forget that those drivers that investigated Galileo hurt Andrew.,Paula will forget who those drivers that investigated Galileo hurt Andrew.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,41,-95.5784683227539,-102.79808044433594,1
All adults learn that many cashiers that baked were touring every restaurant.,All adults learn what many cashiers that baked were touring every restaurant.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,42,-109.51869201660156,-111.2381362915039,1
Spain won't figure out that this louse that appeared hasn't aggravated the boy.,Spain won't figure out who this louse that appeared hasn't aggravated the boy.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,43,-97.42009735107422,-102.17184448242188,1
Carlos was remembering that some doctor that cures Steven explores every river.,Carlos was remembering what some doctor that cures Steven explores every river.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,44,-102.00663757324219,-105.50454711914062,1
These museums shouldn't reveal that those species that couldn't astound Pamela have aggravated Carolyn.,These museums shouldn't reveal who those species that couldn't astound Pamela have aggravated Carolyn.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,45,-130.39735412597656,-137.79046630859375,1
Ruth didn't know that the guests that weren't speaking up have boasted about Natalie.,Ruth didn't know who the guests that weren't speaking up have boasted about Natalie.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,46,-102.73776245117188,-108.14434814453125,1
Dana is realizing that those paintings that had irritated Suzanne look like all paintings.,Dana is realizing what those paintings that had irritated Suzanne look like all paintings.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,47,-107.97535705566406,-110.61750793457031,1
Dennis won't figure out that a university that replied hasn't talked about Samuel.,Dennis won't figure out who a university that replied hasn't talked about Samuel.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,48,-101.54202270507812,-106.71528625488281,1
Judy isn't discovering that some guy that does change watched Amy.,Judy isn't discovering who some guy that does change watched Amy.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,49,-90.61573028564453,-96.43986511230469,1
This bank was concealing that those teachers that leave this school are finding Mitchell.,This bank was concealing who those teachers that leave this school are finding Mitchell.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,50,-116.06011199951172,-120.59605407714844,1
Brian investigated that some guests that did play have brought some college campus.,Brian investigated what some guests that did play have brought some college campus.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,51,-93.04650115966797,-95.52056884765625,1
Brad learned that the legislature that responds criticizes Lawrence.,Brad learned who the legislature that responds criticizes Lawrence.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,52,-78.31575012207031,-86.0658950805664,1
Sandra was remembering that some offspring that aren't forfeiting do scan reports.,Sandra was remembering what some offspring that aren't forfeiting do scan reports.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,53,-113.39799499511719,-116.6432113647461,1
Janet knew that some driver that wasn't forfeiting was insulting Regina.,Janet knew who some driver that wasn't forfeiting was insulting Regina.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,54,-102.46437072753906,-107.62777709960938,1
Larry investigates that this teenager that has bought a convertible shouldn't clean this nose.,Larry investigates what this teenager that has bought a convertible shouldn't clean this nose.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,55,-103.56268310546875,-106.37083435058594,1
Paula wasn't learning that many girls that won't chuckle upset Valerie.,Paula wasn't learning who many girls that won't chuckle upset Valerie.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,56,-93.69058227539062,-99.76353454589844,1
Danielle conceals that these guests that had woken up wouldn't have most bikes.,Danielle conceals what these guests that had woken up wouldn't have most bikes.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,57,-115.52847290039062,-117.16753387451172,1
Sherry will know that some actress that is insulting Rachel investigates Melanie.,Sherry will know who some actress that is insulting Rachel investigates Melanie.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,58,-99.4716796875,-104.275390625,1
Caroline wouldn't figure out that the story that won was embarrassing Joseph.,Caroline wouldn't figure out who the story that won was embarrassing Joseph.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,59,-93.66922760009766,-98.52847290039062,1
The girls forget that most actors that work hard haven't noticed Donald.,The girls forget who most actors that work hard haven't noticed Donald.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,60,-90.78610229492188,-97.87210083007812,1
Some customer investigates that this boy that hasn't washed was buying every light.,Some customer investigates what this boy that hasn't washed was buying every light.,syntax,filler_gap_dependency,wh_vs_that_no_gap_long_distance,True,False,False,False,61,-100.94578552246094,-102.60238647460938,1
