sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Only Bill would ever complain.,Even Bill would ever complain.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,0,-36.68099594116211,-35.61186981201172,0
Only Lori had ever healed Carl.,Even Lori had ever healed Carl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,1,-46.607452392578125,-46.509132385253906,0
Only these pedestrians ever obligate Carl to aggravate Brad.,Even these pedestrians ever obligate Carl to aggravate Brad.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,2,-86.09780883789062,-85.42665100097656,0
Only Alexander ever looked like this drawing.,Even Alexander ever looked like this drawing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,3,-44.138282775878906,-44.06892013549805,0
Only libraries ever sway Sally to salute.,Even libraries ever sway Sally to salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,4,-66.89018249511719,-67.05657958984375,1
Only Meredith should ever wear the shawl.,Even Meredith should ever wear the shawl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,5,-53.11280822753906,-52.18902587890625,0
Only Grace ever reveals Janice.,Even Grace ever reveals Janice.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,6,-47.42212677001953,-48.017669677734375,1
Only Aaron ever messes up some couches.,Even Aaron ever messes up some couches.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,7,-62.231956481933594,-64.38723754882812,1
Only Elizabeth ever doubted Patricia has arrived at the hospital.,Even Elizabeth ever doubted Patricia has arrived at the hospital.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,8,-63.36814880371094,-64.1230697631836,1
Only Chad ever preferred Robert to waste away.,Even Chad ever preferred Robert to waste away.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,9,-64.87647247314453,-63.66715621948242,0
Only the boys ever managed to watch most teenagers.,Even the boys ever managed to watch most teenagers.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,10,-47.23686981201172,-48.74707794189453,1
Only the sweaters ever twirl.,Even the sweaters ever twirl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,11,-39.48810577392578,-40.98340606689453,1
Only Susan ever tries to exercise.,Even Susan ever tries to exercise.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,12,-42.1309928894043,-41.31051254272461,0
Only Melanie ever investigates who reunite.,Even Melanie ever investigates who reunite.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,13,-54.5937614440918,-54.516357421875,0
Only waiters ever cope.,Even waiters ever cope.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,14,-41.984710693359375,-41.606990814208984,0
Only Kendra could ever protest.,Even Kendra could ever protest.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,15,-41.06040954589844,-39.66019058227539,0
Only the Clintons ever disagreed.,Even the Clintons ever disagreed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,16,-32.964378356933594,-32.80662536621094,0
Only some dancers ever cure Debra.,Even some dancers ever cure Debra.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,17,-56.82570266723633,-57.155845642089844,1
Only these actresses ever assembled.,Even these actresses ever assembled.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,18,-35.012123107910156,-35.67494201660156,1
Only that unicycle ever crashed.,Even that unicycle ever crashed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,19,-40.92146682739258,-40.67505645751953,0
Only Connie does ever learn who isn't imagining those mushrooms were growing.,Even Connie does ever learn who isn't imagining those mushrooms were growing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,20,-96.07577514648438,-95.9572525024414,0
Only some cashiers had ever replied.,Even some cashiers had ever replied.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,21,-46.918582916259766,-47.23200225830078,1
Only some children ever marry.,Even some children ever marry.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,22,-33.92639923095703,-33.920875549316406,0
Only Kayla has ever pressed Kenneth to hate Rachel.,Even Kayla has ever pressed Kenneth to hate Rachel.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,23,-75.93090057373047,-76.261962890625,1
Only Wayne could ever talk.,Even Wayne could ever talk.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,24,-34.98292541503906,-34.17607116699219,0
Only Rebecca would ever observe John.,Even Rebecca would ever observe John.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,25,-47.707427978515625,-47.03856658935547,0
Only Emily ever found Liam.,Even Emily ever found Liam.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,26,-39.458038330078125,-39.46998596191406,1
Only that pedestrian will ever fail to attack Mitchell.,Even that pedestrian will ever fail to attack Mitchell.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,27,-62.9915771484375,-60.92647933959961,0
Only the Clintons ever work with every teenager.,Even the Clintons ever work with every teenager.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,28,-52.966007232666016,-52.963077545166016,0
Only Patricia had ever painted.,Even Patricia had ever painted.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,29,-35.4279670715332,-35.753753662109375,1
Only Wayne ever referenced Randolf.,Even Wayne ever referenced Randolf.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,30,-54.264427185058594,-55.107276916503906,1
Only Patricia ever turns out to bring a lot of plates.,Even Patricia ever turns out to bring a lot of plates.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,31,-62.22734069824219,-62.71685791015625,1
Only Nina ever arrives at every high school.,Even Nina ever arrives at every high school.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,32,-50.32299041748047,-50.669010162353516,1
Only Dana has ever painted.,Even Dana has ever painted.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,33,-34.35737609863281,-35.129852294921875,1
Only Andrea could ever sway Walter's French teachers to salute.,Even Andrea could ever sway Walter's French teachers to salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,34,-88.9603500366211,-88.64673614501953,0
Only Janice had ever bought some carriage.,Even Janice had ever bought some carriage.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,35,-52.23933029174805,-53.69198989868164,1
Only Eva ever waves.,Even Eva ever waves.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,36,-38.91835403442383,-38.64128494262695,0
Only Helen ever shrugged.,Even Helen ever shrugged.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,37,-33.124839782714844,-33.18726348876953,1
Only a plane has ever tipped over.,Even a plane has ever tipped over.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,38,-41.06544494628906,-41.7044677734375,1
Only this glacier ever disgusts Nancy.,Even this glacier ever disgusts Nancy.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,39,-63.332427978515625,-62.14495849609375,0
Only those apples had ever grown.,Even those apples had ever grown.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,40,-38.77375793457031,-38.142723083496094,0
Only hospitals ever force Joseph to sing.,Even hospitals ever force Joseph to sing.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,41,-56.39004898071289,-57.813262939453125,1
Only these ladies ever competed.,Even these ladies ever competed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,42,-33.874481201171875,-33.572479248046875,0
Only Alan ever proposes to laugh.,Even Alan ever proposes to laugh.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,43,-46.79650115966797,-46.53050994873047,0
Only some bicycles might ever rust.,Even some bicycles might ever rust.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,44,-48.33735656738281,-47.599281311035156,0
Only those cashiers had ever concealed Erin.,Even those cashiers had ever concealed Erin.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,45,-67.32923126220703,-66.7414779663086,0
Only those women ever wonder what isn't cracking.,Even those women ever wonder what isn't cracking.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,46,-53.3057861328125,-53.81822204589844,1
Only Natalie had ever induced a lot of libraries to annoy Naomi.,Even Natalie had ever induced a lot of libraries to annoy Naomi.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,47,-82.2617416381836,-82.07896423339844,0
Only Maria ever doubts many spotlights dim.,Even Maria ever doubts many spotlights dim.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,48,-75.23664855957031,-75.04499816894531,0
Only Tamara ever appreciates Omar.,Even Tamara ever appreciates Omar.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,49,-51.58921432495117,-51.977508544921875,1
Only some guys ever salute.,Even some guys ever salute.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,50,-36.25847625732422,-37.26860046386719,1
Only Paula ever intends to escape from Carrie.,Even Paula ever intends to escape from Carrie.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,51,-55.720558166503906,-55.16935729980469,0
Only Steve ever hurt Bill.,Even Steve ever hurt Bill.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,52,-42.00859069824219,-41.69654083251953,0
Only Melissa ever liked that screen.,Even Melissa ever liked that screen.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,53,-43.25957489013672,-44.11792755126953,1
Only Frank would ever read.,Even Frank would ever read.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,54,-33.41974639892578,-33.54248809814453,1
Only this car ever bored Julie.,Even this car ever bored Julie.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,55,-49.51319885253906,-48.5803108215332,0
Only the broccoli ever disgusted Jennifer.,Even the broccoli ever disgusted Jennifer.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,56,-53.54181671142578,-53.536155700683594,0
Only Kristen ever hoped to boast.,Even Kristen ever hoped to boast.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,57,-42.94733428955078,-44.23051071166992,1
Only Kimberley has ever helped Mark.,Even Kimberley has ever helped Mark.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,58,-48.08106231689453,-46.80982971191406,0
Only Ann had ever judged Naomi to flee from a lot of cashiers.,Even Ann had ever judged Naomi to flee from a lot of cashiers.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,59,-90.47920227050781,-89.97339630126953,0
Only Nina did ever ask Katherine to learn.,Even Nina did ever ask Katherine to learn.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,60,-51.79286193847656,-51.805320739746094,1
Only Gregory ever smiles.,Even Gregory ever smiles.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,61,-32.41278839111328,-32.237159729003906,0
Only Jill ever thinks about cars.,Even Jill ever thinks about cars.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,62,-43.477081298828125,-42.480323791503906,0
Only Mitchell ever eats.,Even Mitchell ever eats.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,63,-35.43765640258789,-34.665531158447266,0
Only Candice will ever grin.,Even Candice will ever grin.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,64,-43.3045654296875,-43.71969985961914,1
Only Vincent ever entreats Spain to impress Janet.,Even Vincent ever entreats Spain to impress Janet.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,65,-77.18736267089844,-77.03437805175781,0
Only the Impressionists ever anticipate that patient to whisper.,Even the Impressionists ever anticipate that patient to whisper.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,66,-71.9425048828125,-71.4911880493164,0
Only the rabbit ever climbed up some mountains.,Even the rabbit ever climbed up some mountains.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,67,-48.80693817138672,-48.92150115966797,1
Only Kayla does ever listen to Kendra.,Even Kayla does ever listen to Kendra.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,68,-57.45521926879883,-58.08674240112305,1
Only Homer ever fires Guy.,Even Homer ever fires Guy.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,69,-50.063201904296875,-49.92912292480469,0
Only Jeffrey ever worried Melinda.,Even Jeffrey ever worried Melinda.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,70,-47.865081787109375,-48.809486389160156,1
Only Derek had ever hidden.,Even Derek had ever hidden.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,71,-38.4019660949707,-38.789207458496094,1
Only a projector had ever dimmed.,Even a projector had ever dimmed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,72,-46.98432159423828,-49.289466857910156,1
Only Wendy ever neglects to question some patient.,Even Wendy ever neglects to question some patient.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,73,-62.423580169677734,-63.65130615234375,1
Only Teresa has ever admired Suzanne.,Even Teresa has ever admired Suzanne.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,74,-46.58906936645508,-46.99168395996094,1
Only Dana has ever kissed Janice.,Even Dana has ever kissed Janice.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,75,-49.327232360839844,-49.92755126953125,1
Only Tracy ever exists.,Even Tracy ever exists.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,76,-32.687896728515625,-32.37057876586914,0
Only those waitresses have ever climbed up those mountains.,Even those waitresses have ever climbed up those mountains.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,77,-67.79843139648438,-68.23500061035156,1
Only a candle ever dimmed.,Even a candle ever dimmed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,78,-42.61163330078125,-44.317405700683594,1
Only Kristin ever shouts.,Even Kristin ever shouts.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,79,-38.95965576171875,-39.51783752441406,1
Only the Clintons should ever wish to donate.,Even the Clintons should ever wish to donate.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,80,-47.288818359375,-47.01399230957031,0
Only these actresses ever embrace.,Even these actresses ever embrace.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,81,-37.415504455566406,-36.57989501953125,0
Only this painting ever looks like Clyde.,Even this painting ever looks like Clyde.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,82,-49.11372375488281,-47.453712463378906,0
Only Kristen did ever hug Carl.,Even Kristen did ever hug Carl.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,83,-48.05783462524414,-47.699188232421875,0
Only Richard ever nods.,Even Richard ever nods.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,84,-33.97692108154297,-34.146240234375,1
Only these plays ever astound Jeffrey.,Even these plays ever astound Jeffrey.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,85,-60.6933708190918,-59.42078399658203,0
Only that committee ever competed.,Even that committee ever competed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,86,-40.2598876953125,-40.33306121826172,1
Only Elaine ever works hard.,Even Elaine ever works hard.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,87,-39.9615478515625,-38.99531936645508,0
Only George ever healed Bruce.,Even George ever healed Bruce.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,88,-43.3249626159668,-43.956153869628906,1
Only Dawn will ever read.,Even Dawn will ever read.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,89,-34.20142364501953,-35.03643798828125,1
Only these waiters ever entice Martha to conceal all sweaters.,Even these waiters ever entice Martha to conceal all sweaters.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,90,-93.19978332519531,-92.07949829101562,0
Only Sandra will ever require Karen's student to drop by some college campus.,Even Sandra will ever require Karen's student to drop by some college campus.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,91,-90.6092300415039,-89.55035400390625,0
Only waiters have ever succeeded.,Even waiters have ever succeeded.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,92,-38.28842544555664,-38.97261047363281,1
Only Gregory can ever approach every person.,Even Gregory can ever approach every person.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,93,-47.26445007324219,-46.21001052856445,0
Only the students ever find out who talked about some movie theater.,Even the students ever find out who talked about some movie theater.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,94,-61.40486526489258,-62.09698486328125,1
Only Julie ever respects Elaine.,Even Julie ever respects Elaine.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,95,-46.65269088745117,-46.20066833496094,0
Only that lamp has ever dimmed.,Even that lamp has ever dimmed.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,96,-44.562679290771484,-45.741912841796875,1
Only these horses did ever waste away.,Even these horses did ever waste away.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,97,-46.57521057128906,-46.02764129638672,0
Only these actresses had ever prompted Veronica's brothers to shrug.,Even these actresses had ever prompted Veronica's brothers to shrug.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,98,-77.13526916503906,-77.63258361816406,1
Only Victoria ever obliges all waitresses' doctors to watch some drivers.,Even Victoria ever obliges all waitresses' doctors to watch some drivers.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,99,-103.10028076171875,-104.75709533691406,1
Only Carol ever argued about Brad.,Even Carol ever argued about Brad.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,100,-48.580482482910156,-47.9293212890625,0
Only Leslie ever threatens to shrink.,Even Leslie ever threatens to shrink.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,101,-46.08246994018555,-45.43361282348633,0
Only Aaron ever observed Tonya.,Even Aaron ever observed Tonya.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,102,-50.27875518798828,-51.188209533691406,1
Only Rachelle ever presses Carl to distract Linda.,Even Rachelle ever presses Carl to distract Linda.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,103,-77.82575988769531,-78.65139770507812,1
Only Brett ever flees from Gerald.,Even Brett ever flees from Gerald.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,104,-59.50079345703125,-58.651458740234375,0
Only Mary would ever disappear.,Even Mary would ever disappear.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,105,-35.6053352355957,-35.00318908691406,0
Only actresses ever ascend all ladders.,Even actresses ever ascend all ladders.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,106,-54.23604965209961,-53.67890930175781,0
Only Carlos ever chuckled.,Even Carlos ever chuckled.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,107,-35.27132797241211,-35.34813690185547,1
Only Amelia should ever visit Jason.,Even Amelia should ever visit Jason.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,108,-46.42778778076172,-45.46548843383789,0
Only Walter ever encouraged most organizations to answer.,Even Walter ever encouraged most organizations to answer.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,109,-58.65226745605469,-57.775840759277344,0
Only the company ever respected Irene.,Even the company ever respected Irene.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,110,-39.90908432006836,-40.78346252441406,1
Only some candles ever dim.,Even some candles ever dim.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,111,-40.827640533447266,-40.466163635253906,0
Only Jessica ever astounded Ella.,Even Jessica ever astounded Ella.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,112,-54.18924331665039,-54.72904586791992,1
Only Michael did ever shrug.,Even Michael did ever shrug.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,113,-39.544708251953125,-39.373619079589844,0
Only this mushroom ever grew.,Even this mushroom ever grew.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,114,-38.853485107421875,-37.012306213378906,0
Only Marie would ever scratch.,Even Marie would ever scratch.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,115,-39.74445724487305,-38.97285079956055,0
Only cilantro has ever gone bad.,Even cilantro has ever gone bad.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,116,-42.293243408203125,-41.91236114501953,0
Only the Clintons ever win.,Even the Clintons ever win.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,117,-32.620235443115234,-32.43427276611328,0
Only some gates did ever fling open.,Even some gates did ever fling open.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,118,-60.45082092285156,-60.936012268066406,1
Only Eric ever researched the Balkans.,Even Eric ever researched the Balkans.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,119,-46.42977523803711,-46.7387809753418,1
Only these women ever prevent Beverly from standing up.,Even these women ever prevent Beverly from standing up.,semantics,npi_licensing,only_npi_licensor_present,True,False,True,False,120,-64.14456176757812,-62.97532653808594,0
