sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Paula references Robert.,Paula reference Robert.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,0,-40.57383728027344,-41.19854736328125,1
Most legislatures haven't disliked children.,Most legislatures hasn't disliked children.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,1,-55.87750244140625,-58.71958923339844,1
Some organizations aren't disturbing Vanessa.,Some organizations isn't disturbing Vanessa.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,2,-55.123924255371094,-56.6753044128418,1
The cups alarm Angela.,The cups alarms Angela.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,3,-43.23487854003906,-44.35112762451172,1
Tina isn't ascending that mountain.,Tina weren't ascending that mountain.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,4,-52.19811248779297,-55.04579162597656,1
The Borgias see Veronica.,The Borgias sees Veronica.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,5,-53.78205871582031,-54.614845275878906,1
Jeffrey hasn't criticized Donald.,Jeffrey haven't criticized Donald.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,6,-48.21038818359375,-48.579280853271484,1
Michelle is impressing Deanna.,Michelle were impressing Deanna.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,7,-52.46841812133789,-54.183128356933594,1
Meredith researches this mountain.,Meredith research this mountain.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,8,-45.44977569580078,-45.05170440673828,0
Walter was bringing the bank.,Walter were bringing the bank.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,9,-39.24851608276367,-42.19647979736328,1
Randolf hasn't fled from Kayla.,Randolf haven't fled from Kayla.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,10,-64.43854522705078,-64.17884063720703,0
Winston Churchill wasn't embarrassing Keith.,Winston Churchill weren't embarrassing Keith.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,11,-63.806514739990234,-65.51578521728516,1
All mirrors disgust Suzanne.,All mirrors disgusts Suzanne.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,12,-49.437217712402344,-52.49540710449219,1
A spotlight worries Jason.,A spotlight worry Jason.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,13,-44.2857780456543,-44.39064407348633,1
Carl hasn't irritated Brett.,Carl haven't irritated Brett.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,14,-52.403682708740234,-54.896629333496094,1
Bethany wasn't escaping from those men.,Bethany aren't escaping from those men.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,15,-56.939491271972656,-57.51177978515625,1
Walter tours some closets.,Walter tour some closets.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,16,-46.720035552978516,-46.021148681640625,0
Some eggplant has impressed those guys.,Some eggplant have impressed those guys.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,17,-57.64850997924805,-58.77448272705078,1
Katherine has helped some teachers.,Katherine have helped some teachers.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,18,-44.710289001464844,-46.67149353027344,1
These dancers break every bicycle.,These dancers breaks every bicycle.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,19,-46.97686004638672,-48.544769287109375,1
Those rugs aggravate every woman.,Those rugs aggravates every woman.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,20,-52.59407043457031,-51.16245651245117,0
Most glasses scare Martin.,Most glasses scares Martin.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,21,-45.98516082763672,-46.96586227416992,1
A lot of dancers research a hospital.,A lot of dancers researches a hospital.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,22,-52.82054138183594,-52.95338439941406,1
Margaret returns to Margaret.,Margaret return to Margaret.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,23,-42.404937744140625,-41.1025276184082,0
These casseroles disgust Kayla.,These casseroles disgusts Kayla.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,24,-60.751792907714844,-62.49391174316406,1
Some legislature forgets Janice.,Some legislature forget Janice.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,25,-55.05846405029297,-53.793365478515625,0
A lot of computers impress Bradley.,A lot of computers impresses Bradley.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,26,-45.124629974365234,-49.36521911621094,1
Those dogs resemble some sketches.,Those dogs resembles some sketches.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,27,-45.97296142578125,-47.63789367675781,1
Lissa has explored these closets.,Lissa have explored these closets.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,28,-49.93049240112305,-51.451019287109375,1
Erin hasn't taken some hill.,Erin haven't taken some hill.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,29,-53.017364501953125,-54.28619384765625,1
Bethany has bored Kirsten.,Bethany have bored Kirsten.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,30,-60.33357238769531,-61.87736129760742,1
All pedestrians fix some chairs.,All pedestrians fixes some chairs.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,31,-47.90843200683594,-50.578575134277344,1
Most actresses observe Judy.,Most actresses observes Judy.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,32,-47.23295211791992,-48.39464569091797,1
That teacher tours the hills.,That teacher tour the hills.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,33,-50.45655822753906,-49.45456314086914,0
That library conceals Jeffrey.,That library conceal Jeffrey.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,34,-47.743377685546875,-49.48842239379883,1
Schools criticize these glaciers.,Schools criticizes these glaciers.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,35,-44.460365295410156,-48.74085235595703,1
The guest has walked through most art galleries.,The guest have walked through most art galleries.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,36,-56.96229934692383,-58.346168518066406,1
A cake shocks Patrick.,A cake shock Patrick.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,37,-43.72092819213867,-42.355247497558594,0
Randolf was criticizing Alan.,Randolf are criticizing Alan.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,38,-48.78277587890625,-50.82219696044922,1
All hospitals resemble a lot of drawings.,All hospitals resembles a lot of drawings.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,39,-52.09282302856445,-53.955413818359375,1
Galileo listens to Elizabeth.,Galileo listen to Elizabeth.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,40,-56.046852111816406,-47.84510803222656,0
Some movies sound like a student.,Some movies sounds like a student.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,41,-42.1539421081543,-40.243141174316406,0
The pedestrian is driving to this lake.,The pedestrian are driving to this lake.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,42,-48.75798416137695,-50.21025848388672,1
The pedestrians reference Charles.,The pedestrians references Charles.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,43,-44.659873962402344,-44.452491760253906,0
Most associations buy those libraries.,Most associations buys those libraries.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,44,-50.955711364746094,-53.16729736328125,1
Suzanne dislikes these dancers.,Suzanne dislike these dancers.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,45,-61.55193328857422,-53.280426025390625,0
That customer dislikes Heather.,That customer dislike Heather.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,46,-52.17756271362305,-43.8236083984375,0
Most girls aren't concealing Kevin.,Most girls wasn't concealing Kevin.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,47,-51.768585205078125,-56.04645538330078,1
The ladies break this plate.,The ladies breaks this plate.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,48,-40.07682800292969,-43.12456130981445,1
Gary leaves Stacy.,Gary leave Stacy.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,49,-39.54500961303711,-39.157535552978516,0
Heidi lifts many socks.,Heidi lift many socks.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,50,-44.854896545410156,-47.92974090576172,1
A lot of doctors scan a lot of movies.,A lot of doctors scans a lot of movies.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,51,-49.475860595703125,-50.092430114746094,1
Linda has cared for Kenneth.,Linda have cared for Kenneth.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,52,-46.54003143310547,-46.93931579589844,1
Carol boasts about Ella.,Carol boast about Ella.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,53,-46.65472412109375,-45.980812072753906,0
The Impressionists aren't passing the river.,The Impressionists isn't passing the river.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,54,-53.98147201538086,-56.94751739501953,1
These cafes haven't upset Patricia.,These cafes hasn't upset Patricia.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,55,-54.10976791381836,-56.41176986694336,1
Kimberley approaches Carl.,Kimberley approach Carl.,morphology,subject_verb_agreement,regular_plural_subject_verb_agreement_1,True,True,False,False,56,-47.792381286621094,-48.06749725341797,1
