sentence_good,sentence_bad,field,linguistics_term,UID,simple_LM_method,one_prefix_method,two_prefix_method,lexically_identical,pair_id,good_prob,bad_prob,correct
Some dog stunned this committee.,Some dog stunned these committee.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,0,-39.65325927734375,-42.17293167114258,1
Tracy passed these art galleries.,Tracy passed this art galleries.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,1,-45.66233825683594,-43.8260498046875,0
Sarah has sounded like these children.,Sarah has sounded like this children.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,2,-31.95642852783203,-33.045509338378906,1
Craig had cared for that dancer.,Craig had cared for those dancer.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,3,-42.00960922241211,-38.03924560546875,0
Most children return to those senators.,Most children return to that senators.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,4,-39.950294494628906,-42.74964904785156,1
The Impressionists impress those hospitals.,The Impressionists impress that hospitals.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,5,-58.50382614135742,-59.01594543457031,1
Carl cures those horses.,Carl cures that horses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,6,-34.03276443481445,-31.23276710510254,0
The Borgias should pass these college campuses.,The Borgias should pass this college campuses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,7,-61.167755126953125,-60.44549560546875,0
Natalie had passed those public parks.,Natalie had passed that public parks.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,8,-55.415523529052734,-50.437965393066406,0
All grocery stores didn't shock these adults.,All grocery stores didn't shock this adults.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,9,-54.99195861816406,-57.87242126464844,1
This person bothered these libraries.,This person bothered this libraries.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,10,-38.42674255371094,-37.55839920043945,0
This actress isn't taking that dress.,This actress isn't taking those dress.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,11,-48.819602966308594,-49.18360900878906,1
The turtle alarmed these legislatures.,The turtle alarmed this legislatures.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,12,-45.63465881347656,-46.423553466796875,1
The Borgias attack those customers.,The Borgias attack that customers.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,13,-51.44123840332031,-47.737953186035156,0
Jerry messes up these chairs.,Jerry messes up this chairs.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,14,-41.10248565673828,-41.68933868408203,1
Sally thinks about that story.,Sally thinks about those story.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,15,-40.57428741455078,-42.03280258178711,1
Frank doesn't upset that actress.,Frank doesn't upset those actress.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,16,-37.77815628051758,-40.66069412231445,1
Amelia doesn't return to those hospitals.,Amelia doesn't return to that hospitals.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,17,-48.40962600708008,-51.047264099121094,1
Christopher hated those stories.,Christopher hated that stories.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,18,-28.463258743286133,-28.40441131591797,0
This mouth astounds these actresses.,This mouth astounds this actresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,19,-54.549400329589844,-54.47366714477539,0
Tiffany insults those movies.,Tiffany insults that movies.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,20,-53.10773849487305,-51.13408279418945,0
That book confuses that cashier.,That book confuses those cashier.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,21,-51.85435485839844,-55.44086456298828,1
Sabrina doesn't tour these cafes.,Sabrina doesn't tour this cafes.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,22,-50.273597717285156,-49.63108825683594,0
An actor would drop by this bank.,An actor would drop by these bank.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,23,-45.009857177734375,-46.675132751464844,1
Boys hadn't criticized that high school.,Boys hadn't criticized those high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,24,-61.058509826660156,-62.10047149658203,1
The Borgias discuss those cashiers.,The Borgias discuss that cashiers.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,25,-58.423255920410156,-58.3868293762207,0
The guy researches this brochure.,The guy researches these brochure.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,26,-50.47370147705078,-52.54949188232422,1
Carl references this essay.,Carl references these essay.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,27,-28.592575073242188,-30.597274780273438,1
Robert hates that dancer.,Robert hates those dancer.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,28,-33.8468017578125,-34.46049499511719,1
Erin fires that waiter.,Erin fires those waiter.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,29,-35.75347900390625,-41.450618743896484,1
Sherry was selling those hamsters.,Sherry was selling that hamsters.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,30,-55.632911682128906,-54.87590026855469,0
This cilantro hurt those senators.,This cilantro hurt that senators.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,31,-51.157257080078125,-49.76390838623047,0
Some drawing won't bother that girl.,Some drawing won't bother those girl.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,32,-50.254486083984375,-51.528892517089844,1
Stacey hadn't criticized these college campuses.,Stacey hadn't criticized this college campuses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,33,-65.31607055664062,-63.627159118652344,0
Russell had revealed this student.,Russell had revealed these student.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,34,-30.158489227294922,-32.39385986328125,1
Theresa revealed that cashier.,Theresa revealed those cashier.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,35,-46.67784881591797,-52.032066345214844,1
Caroline doesn't wear this glove.,Caroline doesn't wear these glove.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,36,-45.38945007324219,-48.09297180175781,1
Alan questioned this hospital.,Alan questioned these hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,37,-26.85894012451172,-28.339019775390625,1
Sheila had exited this high school.,Sheila had exited these high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,38,-48.276119232177734,-49.774375915527344,1
Boys exit that hospital.,Boys exit those hospital.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,39,-43.607139587402344,-42.70069122314453,0
Joseph cleans this art gallery.,Joseph cleans these art gallery.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,40,-35.52445983886719,-35.27103805541992,0
Ellen cleans this plate.,Ellen cleans these plate.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,41,-35.696624755859375,-36.280364990234375,1
Some woman discusses these reports.,Some woman discusses this reports.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,42,-34.97292709350586,-36.389278411865234,1
Most waiters describe this pedestrian.,Most waiters describe these pedestrian.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,43,-48.48988342285156,-47.538394927978516,0
Omar fixed those couches.,Omar fixed that couches.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,44,-47.979068756103516,-45.716644287109375,0
The Impressionists worked with these teenagers.,The Impressionists worked with this teenagers.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,45,-55.054481506347656,-58.011619567871094,1
Elizabeth didn't resemble these drawings.,Elizabeth didn't resemble this drawings.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,46,-39.511016845703125,-40.08148193359375,1
Alicia can flee from those waitresses.,Alicia can flee from that waitresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,47,-71.63264465332031,-69.14672088623047,0
All public parks should stun those actresses.,All public parks should stun that actresses.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,48,-59.66448974609375,-59.735984802246094,1
Jerry fires those guys.,Jerry fires that guys.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,49,-31.560943603515625,-27.808378219604492,0
Teresa shouldn't upset these companies.,Teresa shouldn't upset this companies.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,50,-51.41945266723633,-53.658912658691406,1
Diana isn't stunning that student.,Diana isn't stunning those student.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,51,-51.27680206298828,-51.645240783691406,1
Many girls return to that school.,Many girls return to those school.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,52,-39.6963005065918,-38.284873962402344,0
Victoria finds this book.,Victoria finds these book.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,53,-19.670324325561523,-26.572704315185547,1
Lawrence was buying these schools.,Lawrence was buying this schools.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,54,-41.66495895385742,-44.101905822753906,1
This sock didn't upset that waitress.,This sock didn't upset those waitress.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,55,-53.79545593261719,-55.664093017578125,1
John is questioning these students.,John is questioning this students.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,56,-29.946237564086914,-30.339393615722656,1
Patrick irritated this company.,Patrick irritated these company.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,57,-28.50469398498535,-30.57437515258789,1
Every pedestrian did take this library.,Every pedestrian did take these library.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,58,-42.78678894042969,-46.341304779052734,1
Dennis bothered those hospitals.,Dennis bothered that hospitals.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,59,-43.869964599609375,-43.49170684814453,0
Many planes disturb that teenager.,Many planes disturb those teenager.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,60,-44.75719451904297,-43.390846252441406,0
All girls have run around this high school.,All girls have run around these high school.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,61,-45.17034912109375,-46.978240966796875,1
Michael hasn't scanned these plays.,Michael hasn't scanned this plays.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,62,-44.08795166015625,-41.52073669433594,0
Larry is taking that mall.,Larry is taking those mall.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,63,-31.77086067199707,-29.5415096282959,0
Kristen hadn't broken these plates.,Kristen hadn't broken this plates.,morphology,determiner_noun_agreement,determiner_noun_agreement_2,True,False,True,True,64,-50.25557327270508,-50.03638458251953,0
